Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
01/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
02/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
03/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
06/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
07/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
08/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
09/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
10/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
13/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
14/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
15/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
16/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
17/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
20/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
21/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
22/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
23/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
28/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
29/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
30/11/2023,0,0,0(0.00 %),0,0,0,0,0,0
01/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
04/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
05/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
06/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
08/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
11/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
12/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
13/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
14/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
18/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
19/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
20/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
21/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
22/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
25/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
26/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
29/12/2023,0,0,0(0.00 %),0,0,0,0,0,0
02/01/2024,0,0,0(0.00 %),0,0,0,0,0,0
09/01/2024,0,0,0(0.00 %),0,0,0,0,0,0
10/01/2024,0,0,0(0.00 %),0,0,0,0,0,0
11/01/2024,0,0,13.8(39.39 %),0,0,0,0,0,0
12/01/2024,0,0,15.8(14.49 %),0,0,0,0,0,0
15/01/2024,0,0,18.1(14.56 %),0,0,0,0,0,0
16/01/2024,0,0,20.8(14.92 %),0,0,0,0,0,0
17/01/2024,0,0,20.8(0.00 %),0,0,0,0,0,0
18/01/2024,0,0,20(0.00 %),0,0,0,0,0,0
19/01/2024,0,0,20.5(2.50 %),0,0,0,0,0,0
22/01/2024,0,0,20.1(0.50 %),0,0,0,0,0,0
23/01/2024,0,0,20(-1.96 %),0,0,0,0,0,0
24/01/2024,0,0,20(0.00 %),0,0,0,0,0,0
25/01/2024,0,0,19.9(-0.50 %),0,0,0,0,0,0
26/01/2024,0,0,20.4(2.51 %),0,0,0,0,0,0
29/01/2024,0,0,20(0.00 %),0,0,0,0,0,0
30/01/2024,0,0,19.8(-0.50 %),0,0,0,0,0,0
31/01/2024,0,0,19.7(-0.51 %),0,0,0,0,0,0
01/02/2024,0,0,19.5(-1.02 %),0,0,0,0,0,0
02/02/2024,0,0,19.7(0.00 %),0,0,0,0,0,0
05/02/2024,0,0,18.9(0.00 %),0,0,0,0,0,0
06/02/2024,0,0,18.3(-3.17 %),0,0,0,0,0,0
07/02/2024,0,0,17.5(-5.41 %),0,0,0,0,0,0
15/02/2024,0,0,18(0.00 %),0,0,0,0,0,0
16/02/2024,0,0,17.9(0.00 %),0,0,0,0,0,0
19/02/2024,0,0,17.7(-0.56 %),0,0,0,0,0,0
20/02/2024,0,0,17.4(-1.69 %),0,0,0,0,0,0
21/02/2024,0,0,17.4(-0.57 %),0,0,0,0,0,0
22/02/2024,0,0,17.9(2.87 %),0,0,0,0,0,0
23/02/2024,0,0,17.6(0.57 %),0,0,0,0,0,0
26/02/2024,0,0,17.6(0.00 %),0,0,0,0,0,0
27/02/2024,0,0,17.4(-1.14 %),0,0,0,0,0,0
28/02/2024,0,0,17(-3.41 %),0,0,0,0,0,0
29/02/2024,0,0,17.4(-1.14 %),0,0,0,0,0,0
