Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
23/07/2020,0,0,0(0.00 %),0,0,0,0,31000000,0.0
24/07/2020,0,0,20.1(14.86 %),0,0,0,0,31000000,0.0
27/07/2020,1000,23100000,23.1(14.93 %),1000,23100000,0,0,30999000,0.0
28/07/2020,0,0,26.5(14.72 %),0,0,0,0,30999000,0.0
29/07/2020,0,0,25.5(0.00 %),0,0,0,0,30999000,0.0
30/07/2020,100,2170000,22(-12.70 %),100,2170000,0,0,30998900,0.0
31/07/2020,-800,-18400000,22(-4.35 %),0,0,800,18400000,30999700,0.0
03/08/2020,0,0,23.2(1.75 %),0,0,0,0,30998900,0.0
04/08/2020,0,0,24.9(8.73 %),0,0,0,0,30998900,0.0
05/08/2020,0,0,27.8(14.88 %),0,0,0,0,30998900,0.0
06/08/2020,0,0,31(14.81 %),0,0,0,0,30998900,0.0
07/08/2020,0,0,34.2(11.04 %),0,0,0,0,30998900,0.0
10/08/2020,400,11200000,27.2(-15.00 %),400,11200000,0,0,30998500,0.0
11/08/2020,200,4860000,24.3(-14.74 %),200,4860000,0,0,30998300,0.0
12/08/2020,100,2100000,22.1(-10.16 %),100,2100000,0,0,30998200,0.0
13/08/2020,1000,24400000,24.4(14.55 %),1000,24400000,0,0,30997200,0.01
14/08/2020,0,0,27.2(14.77 %),0,0,0,0,30997200,0.0
17/08/2020,-500,-15150000,22.5(-14.77 %),0,0,500,15150000,30997700,0.0
18/08/2020,-600,-13740000,24.6(-4.28 %),400,8760000,1000,22500000,30998300,0.0
19/08/2020,0,0,22.5(-0.88 %),0,0,0,0,30998300,0.0
20/08/2020,0,0,19.3(-12.27 %),0,0,0,0,30998300,0.0
21/08/2020,0,0,17.6(-14.56 %),0,0,0,0,30998300,0.0
24/08/2020,5000,79500000,18.9(1.61 %),5000,79500000,0,0,30993300,0.02
25/08/2020,0,0,17.1(-8.06 %),0,0,0,0,30993300,0.0
26/08/2020,0,0,16.7(-6.70 %),0,0,0,0,30993300,0.0
27/08/2020,0,0,14.5(-14.71 %),0,0,0,0,30993300,0.0
28/08/2020,-5000,-63500000,12.7(-14.77 %),0,0,5000,63500000,30998300,0.0
31/08/2020,1200,12960000,10.8(-14.96 %),1200,12960000,0,0,30997100,0.0
01/09/2020,23000,214370000,10.3(-5.50 %),23000,214370000,0,0,30969900,0.07
03/09/2020,3600,33220000,9.5(-12.04 %),3600,33220000,0,0,30966300,0.03
04/09/2020,3500,31020000,9(-3.23 %),3500,31020000,0,0,30962800,0.03
07/09/2020,1400,12420000,9(1.12 %),1400,12420000,0,0,30961400,0.02
08/09/2020,600,5220000,9.2(3.37 %),600,5220000,0,0,30960800,0.02
10/09/2020,8700,71200000,8(-13.98 %),8700,71200000,0,0,30952100,0.04
11/09/2020,0,0,8.1(-5.81 %),0,0,0,0,30952100,0.01
14/09/2020,5100,41860000,8.3(-5.68 %),5100,41860000,0,0,30947000,0.03
15/09/2020,2800,21930000,7.8(-4.88 %),2800,21930000,0,0,30944200,0.02
16/09/2020,3800,28420000,7.4(-6.33 %),4400,33100000,600,4680000,30940400,0.02
17/09/2020,5000,34800000,6.8(-10.53 %),5000,34800000,0,0,30935400,0.03
18/09/2020,0,0,6.7(-4.29 %),0,0,0,0,30935400,0.01
21/09/2020,-5000,-38780000,7.7(14.93 %),400,2800000,5400,41580000,30940400,0.0
22/09/2020,0,0,8.3(9.21 %),0,0,0,0,30940400,0.0
23/09/2020,0,0,7.8(-8.24 %),0,0,0,0,30940400,0.0
24/09/2020,-1400,-10130000,7.7(-3.75 %),1600,12470000,3000,22600000,30941800,0.01
25/09/2020,800,6000000,7.5(0.00 %),800,6000000,0,0,30941000,0.01
28/09/2020,2100,16420000,8(3.90 %),2100,16420000,0,0,30938900,0.01
29/09/2020,7300,50590000,7.3(-10.98 %),8500,60670000,1200,10080000,30931600,0.04
30/09/2020,0,0,7.2(-1.37 %),0,0,0,0,30931600,0.01
01/10/2020,2000,14120000,7.2(0.00 %),2000,14120000,0,0,30932300,-50.78
02/10/2020,1600,11240000,7(-1.41 %),1600,11240000,0,0,30930700,0.01
05/10/2020,300,2110000,7.1(2.90 %),300,2110000,0,0,30930400,0.0
06/10/2020,0,0,6.9(-1.43 %),0,0,0,0,30930400,0.0
07/10/2020,300,2090000,7(1.45 %),300,2090000,0,0,30930100,0.0
08/10/2020,0,0,7(0.00 %),0,0,0,0,30930100,0.0
09/10/2020,300,2110000,6.8(-2.86 %),300,2110000,0,0,30929800,0.0
12/10/2020,0,0,6.8(0.00 %),0,0,0,0,30929800,0.0
13/10/2020,0,0,7.2(5.88 %),0,0,0,0,30929800,0.0
14/10/2020,0,0,7.1(0.00 %),0,0,0,0,30929800,0.0
15/10/2020,0,0,7(0.00 %),0,0,0,0,30929800,0.0
16/10/2020,100,690000,6.7(-1.47 %),100,690000,0,0,30929700,0.0
19/10/2020,0,0,6.8(1.49 %),0,0,0,0,30929700,0.0
20/10/2020,0,0,6.8(0.00 %),0,0,0,0,30929700,0.0
21/10/2020,0,0,6.8(0.00 %),0,0,0,0,30929700,0.0
22/10/2020,0,0,6.8(0.00 %),0,0,0,0,30929700,0.0
23/10/2020,2000,13300000,6.9(1.47 %),2000,13300000,0,0,30927700,0.01
26/10/2020,2100,12090000,6.9(1.47 %),7100,47090000,5000,35000000,30925600,0.01
27/10/2020,200,1350000,6.7(-1.47 %),200,1350000,0,0,30925400,0.0
28/10/2020,2200,14500000,6.5(-2.99 %),2200,14500000,0,0,30923200,0.0
29/10/2020,3900,24230000,6.1(-6.15 %),3900,24230000,0,0,30919300,0.02
30/10/2020,700,4270000,6(-3.23 %),700,4270000,0,0,30918600,0.01
02/11/2020,4000,25600000,6.3(5.00 %),4000,25600000,0,0,30915800,0.01
03/11/2020,0,0,6.1(-3.17 %),0,0,0,0,30915800,0.0
04/11/2020,0,0,6.2(1.64 %),0,0,0,0,30915800,0.0
05/11/2020,100,610000,6(-1.64 %),100,610000,0,0,30915700,0.0
06/11/2020,0,0,6.1(1.67 %),0,0,0,0,30915700,0.0
09/11/2020,0,0,6(0.00 %),0,0,0,0,30915700,0.0
10/11/2020,0,0,6(0.00 %),0,0,0,0,30915700,0.0
11/11/2020,600,3540000,5.9(-1.67 %),600,3540000,0,0,30915100,0.0
12/11/2020,100,580000,5.8(-1.69 %),100,580000,0,0,30915000,0.0
13/11/2020,10000,56200000,5.7(-1.72 %),10000,56200000,0,0,30905000,0.03
16/11/2020,200,1200000,6.3(10.53 %),200,1200000,0,0,30904800,0.0
17/11/2020,100,610000,6.2(-1.59 %),100,610000,0,0,30904700,0.0
18/11/2020,0,0,6(-1.64 %),0,0,0,0,30904700,0.0
19/11/2020,0,0,6(0.00 %),0,0,0,0,30904700,0.0
20/11/2020,0,0,6.1(3.39 %),0,0,0,0,30904700,0.0
25/11/2020,0,0,5.9(0.00 %),0,0,0,0,30904700,0.0
26/11/2020,0,0,5.9(0.00 %),0,0,0,0,30904700,0.0
30/11/2020,0,0,6.5(8.33 %),0,0,0,0,30904700,0.0
01/12/2020,500,3100000,6.4(3.23 %),500,3100000,0,0,30904200,0.0
02/12/2020,2900,17760000,6.2(-1.59 %),2900,17760000,0,0,30901300,0.01
03/12/2020,300,1700000,6.1(1.67 %),700,4060000,400,2360000,30901000,0.0
04/12/2020,2000,11330000,5.9(-1.67 %),2000,11330000,0,0,30899000,0.01
07/12/2020,0,0,6(3.45 %),0,0,0,0,30899000,0.0
08/12/2020,0,0,5.8(-4.92 %),0,0,0,0,30899000,0.0
09/12/2020,0,0,5.8(3.57 %),0,0,0,0,30899000,0.0
10/12/2020,0,0,5.7(-1.72 %),0,0,0,0,30899000,0.0
11/12/2020,0,0,5.6(-1.75 %),0,0,0,0,30899000,0.0
14/12/2020,0,0,5.7(1.79 %),0,0,0,0,30899000,0.0
15/12/2020,3000,17100000,5.7(0.00 %),3000,17100000,0,0,30896000,0.01
16/12/2020,17500,99750000,5.8(1.75 %),17500,99750000,0,0,30878500,-50.61
17/12/2020,0,0,5.6(-1.75 %),0,0,0,0,30878500,0.0
18/12/2020,0,0,5.7(1.79 %),0,0,0,0,30878500,0.0
21/12/2020,7200,41000000,6.2(10.71 %),9000,52000000,1800,11000000,30871300,0.02
22/12/2020,-14000,-95530000,6.9(15.00 %),5000,34500000,19000,130030000,30885300,0.0
23/12/2020,20800,154240000,7.6(11.76 %),20800,154240000,0,0,30864500,0.0
24/12/2020,30900,206210000,7(-6.67 %),33900,228110000,3000,21900000,30833600,0.04
25/12/2020,14300,101730000,7.2(2.86 %),14300,101730000,0,0,30819300,0.04
28/12/2020,-5200,-39000000,7.5(13.64 %),0,0,5200,39000000,30824500,0.0
29/12/2020,15000,126500000,8.6(14.67 %),15000,126500000,0,0,30809500,0.03
30/12/2020,-100500,-844560000,8.3(-1.19 %),11000,92500000,111500,937060000,30793300,-50.33
31/12/2020,200,1700000,8.5(-1.16 %),200,1700000,0,0,30793100,0.02
04/01/2021,16500,151150000,9.2(10.84 %),17000,155800000,500,4650000,30781300,0.05
05/01/2021,9600,89320000,9.3(1.09 %),10000,93000000,400,3680000,30771700,0.39
06/01/2021,-4200,-39300000,9.2(-1.08 %),1000,9000000,5200,48300000,30775900,0.34
07/01/2021,-4200,-36340000,9.1(-1.09 %),5800,52160000,10000,88500000,30780100,0.33
08/01/2021,300,2870000,9.4(4.44 %),300,2870000,0,0,30779800,0.31
11/01/2021,0,0,9.6(3.23 %),0,0,0,0,30779800,0.33
12/01/2021,0,2000000,9.3(-3.12 %),10000,94000000,10000,92000000,30779800,0.36
13/01/2021,5200,48380000,9.5(2.15 %),5200,48380000,0,0,30774600,0.35
14/01/2021,-57400,-579220000,10.2(8.51 %),0,0,57400,579220000,30832000,0.14
15/01/2021,29200,308440000,10.7(9.18 %),30000,317000000,800,8560000,30802800,0.27
18/01/2021,0,-50000,12(13.21 %),200,2330000,200,2380000,30802800,0.17
19/01/2021,24000,245940000,10.5(-9.48 %),24000,245940000,0,0,30778800,0.44
20/01/2021,11000,116800000,10.5(-3.67 %),34000,344500000,23000,227700000,30767800,0.4
21/01/2021,-2900,-28480000,10.1(-1.94 %),2100,20020000,5000,48500000,30770700,0.28
22/01/2021,9500,93700000,9.8(0.00 %),9500,93700000,0,0,30761200,0.3
25/01/2021,53300,494880000,9.3(-6.06 %),55000,510500000,1700,15620000,30707900,0.52
26/01/2021,5000,40130000,8(-13.98 %),5100,40930000,100,800000,30702900,0.37
27/01/2021,700,4940000,7(-14.63 %),700,4940000,0,0,30702200,0.36
28/01/2021,56000,346600000,6.1(-14.08 %),56000,346600000,0,0,30646200,0.54
29/01/2021,1500,8900000,7(14.75 %),1500,8900000,0,0,30644700,0.37
01/02/2021,15900,111110000,6.7(3.08 %),16000,111800000,100,690000,30740700,0.05
02/02/2021,0,0,6.8(0.00 %),0,0,0,0,30740700,0.0
03/02/2021,200,1460000,7.5(11.94 %),200,1460000,0,0,30740500,0.0
04/02/2021,0,0,7.6(4.11 %),0,0,0,0,30740500,0.0
05/02/2021,29000,220400000,7.6(1.33 %),29000,220400000,0,0,30711500,0.09
09/02/2021,0,0,7.3(0.00 %),0,0,0,0,30711600,-50.07
17/02/2021,0,0,7.6(5.56 %),0,0,0,0,30711600,0.0
18/02/2021,800,6270000,7.7(2.67 %),900,7020000,100,750000,30710800,0.0
19/02/2021,22000,164000000,7.6(0.00 %),22000,164000000,0,0,30688800,0.07
22/02/2021,0,0,7.6(0.00 %),0,0,0,0,30688800,0.0
23/02/2021,1400,10640000,7.7(0.00 %),1400,10640000,0,0,30687400,0.0
24/02/2021,-77300,-616800000,8.1(6.58 %),23600,190220000,100900,807020000,30764700,0.0
25/02/2021,1300,10520000,8(0.00 %),1300,10520000,0,0,30763400,0.0
26/02/2021,-11000,-85700000,7.8(-2.50 %),1000,7900000,12000,93600000,30774400,0.0
01/03/2021,-34000,-265200000,8.1(3.85 %),0,0,34000,265200000,30762400,0.0
02/03/2021,-2400,-19980000,8.2(3.80 %),500,4050000,2900,24030000,30764800,0.0
03/03/2021,-2400,-19440000,8.3(1.22 %),0,0,2400,19440000,30767200,0.02
04/03/2021,0,0,8.4(2.44 %),0,0,0,0,30767200,0.13
05/03/2021,6600,54790000,9(9.76 %),6600,54790000,0,0,30760600,0.16
08/03/2021,800,7360000,0(0.00 %),800,7360000,0,0,30759800,0.15
09/03/2021,500,4450000,8.9(-2.20 %),500,4450000,0,0,30759300,0.15
10/03/2021,-200,-1580000,8.9(0.00 %),800,7120000,1000,8700000,30759500,0.15
11/03/2021,0,-150000,9.2(4.55 %),1500,13500000,1500,13650000,30759500,0.15
12/03/2021,-500,-4550000,9.1(0.00 %),0,0,500,4550000,30760000,0.14
15/03/2021,0,0,9.1(0.00 %),0,0,0,0,30760000,0.14
16/03/2021,0,-80000,8.9(-1.11 %),400,3520000,400,3600000,30760000,0.15
17/03/2021,500,4400000,9(1.12 %),500,4400000,0,0,30759500,0.15
18/03/2021,-6700,-60970000,9.2(3.37 %),0,0,6700,60970000,30766200,0.13
19/03/2021,5400,49680000,9.2(1.10 %),5400,49680000,0,0,30760800,0.14
22/03/2021,-15000,-136500000,9.2(0.00 %),0,0,15000,136500000,30775800,0.08
23/03/2021,0,0,9.1(-1.09 %),0,0,0,0,30775800,0.1
24/03/2021,300,2580000,8.7(-4.40 %),300,2580000,0,0,30775500,0.1
25/03/2021,400,3320000,8.5(-2.30 %),400,3320000,0,0,30775100,0.15
26/03/2021,0,0,8.4(-1.18 %),0,0,0,0,30775100,0.15
29/03/2021,0,0,8.7(7.41 %),0,0,0,0,30775100,0.14
30/03/2021,-900,-7720000,8.8(3.53 %),100,880000,1000,8600000,30776000,0.14
31/03/2021,-3600,-31420000,8.8(2.33 %),0,0,3600,31420000,30779600,0.13
01/04/2021,600,5940000,9.9(13.79 %),600,5940000,0,0,30818900,0.0
02/04/2021,-13300,-135660000,9.8(4.26 %),100,990000,13400,136650000,30832200,0.0
05/04/2021,13300,133000000,10(1.01 %),13300,133000000,0,0,30818900,0.01
06/04/2021,700,8970000,10.2(2.00 %),19700,197000000,19000,188030000,30818200,0.0
07/04/2021,700,7340000,10.8(8.00 %),700,7340000,0,0,30817500,0.0
08/04/2021,-2000,-21200000,10.5(-0.94 %),0,0,2000,21200000,30819500,0.0
09/04/2021,-600,-6180000,0(0.00 %),0,0,600,6180000,30820100,0.01
12/04/2021,-3900,-41120000,10.8(4.85 %),10100,108080000,14000,149200000,30824000,0.0
13/04/2021,1200,10830000,10.4(-1.89 %),11500,122980000,10300,112150000,30822800,0.0
14/04/2021,-6400,-66220000,10.5(-0.94 %),0,0,6400,66220000,30829200,0.0
15/04/2021,0,0,10.2(-0.97 %),0,0,0,0,30812000,-50.39
16/04/2021,-1000,-10000000,9.8(-4.85 %),0,0,1000,10000000,30813000,0.03
19/04/2021,0,0,9.9(2.06 %),0,0,0,0,30813000,0.05
20/04/2021,0,0,9.6(-1.03 %),0,0,0,0,30813000,0.05
22/04/2021,0,0,8.6(-11.34 %),0,0,0,0,30813000,0.05
23/04/2021,-2000,-17800000,9.2(1.10 %),0,0,2000,17800000,30815000,0.05
26/04/2021,0,0,8.8(-1.12 %),0,0,0,0,30815000,0.05
27/04/2021,0,0,8.5(-3.41 %),0,0,0,0,30815000,0.05
28/04/2021,-4500,-37800000,8.7(2.35 %),0,0,4500,37800000,30819500,0.04
29/04/2021,5000,43000000,8.7(1.16 %),5000,43000000,0,0,30814500,0.06
04/05/2021,1400,11620000,8.4(-2.33 %),1400,11620000,0,0,30825300,0.0
05/05/2021,0,0,9(8.43 %),0,0,0,0,30825300,0.01
06/05/2021,0,0,8.7(0.00 %),0,0,0,0,30825300,0.01
07/05/2021,-1400,-11900000,8.6(-2.27 %),0,0,1400,11900000,30826700,0.01
10/05/2021,12000,108000000,0(0.00 %),12000,108000000,0,0,30814700,0.05
11/05/2021,0,0,8.9(1.14 %),0,0,0,0,30814700,0.01
12/05/2021,-500,-4400000,8.8(-1.12 %),0,0,500,4400000,30815200,0.01
13/05/2021,0,0,8.8(1.15 %),0,0,0,0,30815200,0.01
14/05/2021,0,0,8.8(1.15 %),0,0,0,0,30815200,0.01
17/05/2021,-66500,-571900000,8.7(0.00 %),0,0,66500,571900000,30881700,0.0
18/05/2021,0,0,8.5(-2.30 %),0,0,0,0,30881700,0.0
19/05/2021,0,0,8.4(0.00 %),0,0,0,0,30881700,0.0
20/05/2021,-9300,-76330000,8.7(4.82 %),700,5670000,10000,82000000,30891000,0.0
21/05/2021,0,0,8.9(4.71 %),0,0,0,0,30891000,0.0
24/05/2021,0,0,9.1(2.25 %),0,0,0,0,30891000,0.0
25/05/2021,-700,-6370000,9.5(4.40 %),0,0,700,6370000,30891700,0.01
26/05/2021,0,0,9.2(-2.13 %),0,0,0,0,30891700,0.01
27/05/2021,3600,32040000,9(-3.23 %),3600,32040000,0,0,30888100,0.02
28/05/2021,-33500,-339250000,10.2(12.09 %),0,0,33500,339250000,30921600,0.0
31/05/2021,1000,11000000,11.1(14.43 %),1000,11000000,0,0,30920600,0.0
01/06/2021,-3000,-37800000,12.4(12.73 %),0,0,3000,37800000,30891600,0.0
02/06/2021,-5400,-78980000,12.6(1.61 %),4600,53220000,10000,132200000,30897000,0.09
03/06/2021,8100,103800000,13.8(13.11 %),8100,103800000,0,0,30888900,0.1
04/06/2021,9200,129120000,12.9(-3.73 %),12100,167820000,2900,38700000,30879700,0.12
07/06/2021,4400,52360000,11.8(-11.94 %),4400,52360000,0,0,30875300,0.12
08/06/2021,16000,174500000,10.5(-13.22 %),16000,174500000,0,0,30859300,0.16
09/06/2021,900,4250000,11.6(5.45 %),5500,57370000,4600,53120000,30858400,0.12
10/06/2021,-3000,-33500000,11.3(1.80 %),1000,11300000,4000,44800000,30861400,0.09
11/06/2021,7100,83800000,11.7(3.54 %),7300,86080000,200,2280000,30854300,0.11
14/06/2021,-1800,-25380000,13.1(14.91 %),8200,105620000,10000,131000000,30856100,0.1
15/06/2021,-9000,-123100000,13.4(5.51 %),1000,13400000,10000,136500000,30865100,0.06
16/06/2021,0,0,12.8(-6.57 %),0,0,0,0,30865100,0.05
17/06/2021,-5500,-71400000,13.5(3.85 %),0,0,5500,71400000,30870600,0.07
18/06/2021,0,0,13.6(4.62 %),0,0,0,0,30870600,0.1
22/06/2021,0,0,13.8(3.76 %),0,0,0,0,30870600,0.01
23/06/2021,-11100,-173670000,15.7(14.60 %),0,0,11100,173670000,30881700,0.0
24/06/2021,800,12710000,15.5(0.65 %),800,12710000,0,0,30880900,0.0
25/06/2021,5700,93480000,16.7(5.03 %),5700,93480000,0,0,30875200,0.0
28/06/2021,3500,56590000,16.2(0.00 %),3700,59910000,200,3320000,30871700,0.02
29/06/2021,2700,43460000,16.2(-1.22 %),2700,43460000,0,0,30869000,0.02
30/06/2021,0,0,16.4(0.61 %),0,0,0,0,30869000,0.01
