Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
28/12/2020,8.18,13.4,-1.6(-10.67 %),3124600,43464020000,0,0,15.5,16.0,13.3
29/12/2020,8.24,13.5,-0.4(-2.88 %),1886191,25910667100,10203000,122504700000,13.8,14.1,11.9
30/12/2020,8.3,13.6,-0.1(-0.73 %),1396514,19021214600,0,0,13.9,14.0,13.5
31/12/2020,8.24,13.5,-0.1(-0.74 %),1188032,15975771400,7502148,91075776000,13.6,13.6,12.0
04/01/2021,8.0,13.1,-0.3(-2.24 %),1668474,22259361900,29129,332070600,13.5,13.6,11.4
05/01/2021,8.06,13.2,-0.1(-0.75 %),2694485,34884963500,0,0,13.3,13.3,12.5
06/01/2021,8.3,13.6,0.7(5.43 %),1600793,21705591600,20000,220000000,13.0,13.9,11.0
07/01/2021,8.24,13.5,-0.1(-0.74 %),1282512,17334808200,100000,1160000000,13.6,13.8,11.6
08/01/2021,8.36,13.7,0.2(1.48 %),1895056,25849279200,0,0,13.6,13.8,13.5
11/01/2021,8.36,13.7,0.1(0.74 %),1430979,19600560000,0,0,13.7,13.8,13.6
12/01/2021,8.3,13.6,-0.1(-0.73 %),1199367,16233825000,0,0,13.7,13.8,13.4
13/01/2021,8.24,13.5,0(0.00 %),1344451,18216306900,0,0,13.6,13.8,13.4
14/01/2021,8.3,13.6,0.1(0.74 %),1011050,13642536000,0,0,13.5,13.6,13.4
15/01/2021,8.61,14.1,0.6(4.44 %),3513332,48579244700,400000,4600000000,13.5,14.2,11.5
18/01/2021,8.73,14.3,0.5(3.62 %),1699857,24501233900,0,0,14.1,14.7,14.1
19/01/2021,8.24,13.5,-0.9(-6.25 %),1669363,22899104500,0,0,14.4,14.5,13.0
20/01/2021,8.18,13.4,-0.3(-2.19 %),1809537,23790149800,0,0,13.5,13.7,12.5
21/01/2021,8.36,13.7,0.6(4.58 %),968994,13107884200,0,0,13.5,13.7,13.3
22/01/2021,8.24,13.5,0(0.00 %),768123,10391220900,0,0,13.7,13.9,13.4
25/01/2021,8.12,13.3,-0.2(-1.48 %),634245,8438654500,0,0,13.5,13.5,13.1
26/01/2021,7.69,12.6,-0.7(-5.26 %),1887092,24193443400,0,0,13.3,13.3,12.5
27/01/2021,7.57,12.4,-0.4(-3.12 %),795936,9975359300,0,0,12.7,13.0,12.3
28/01/2021,6.59,10.8,-1.7(-13.60 %),3779320,41838724500,115747,1238492900,12.3,12.4,10.7
29/01/2021,7.32,12.0,0.9(8.11 %),864558,10087895500,0,0,10.7,12.1,10.5
01/02/2021,7.08,11.6,-0.1(-0.85 %),427872,5066478400,0,0,12.0,12.3,11.5
02/02/2021,7.26,11.9,0.1(0.85 %),1788081,20951766500,0,0,11.8,12.0,11.2
03/02/2021,7.51,12.3,0.6(5.13 %),957886,11602596500,0,0,11.8,12.4,11.7
04/02/2021,7.63,12.5,0.4(3.31 %),1986722,24378080200,0,0,12.3,12.6,12.0
05/02/2021,7.81,12.8,0.5(4.07 %),1295769,16290149200,0,0,12.4,12.8,12.3
09/02/2021,7.75,12.7,0.2(1.60 %),628355,7907493500,0,0,12.5,12.7,12.4
17/02/2021,7.81,12.8,0.2(1.59 %),2926458,37084216600,0,0,12.7,12.8,12.5
18/02/2021,7.94,13.0,0.3(2.36 %),852997,11041753900,0,0,12.8,13.2,12.7
19/02/2021,7.94,13.0,0.1(0.78 %),541969,7036848100,0,0,13.1,13.2,12.9
22/02/2021,7.87,12.9,-0.1(-0.77 %),729909,9439123100,0,0,13.0,13.1,12.9
23/02/2021,7.87,12.9,0(0.00 %),605861,7767579300,0,0,12.9,12.9,12.7
24/02/2021,7.81,12.8,0(0.00 %),655957,8375975300,0,0,12.9,13.0,12.7
25/02/2021,7.75,12.7,-0.1(-0.78 %),372620,4755291800,0,0,12.9,12.9,12.7
26/02/2021,7.75,12.7,-0.1(-0.78 %),679000,8595280000,0,0,12.7,12.8,12.6
01/03/2021,7.81,12.8,0.1(0.79 %),1004444,12861292900,0,0,12.7,12.9,12.7
02/03/2021,7.81,12.8,0(0.00 %),1097250,14123445300,83700,912330000,13.0,13.0,10.9
03/03/2021,7.81,12.8,-0.1(-0.78 %),1338919,17145500900,0,0,12.9,12.9,12.7
04/03/2021,7.94,13.0,0.2(1.56 %),2346474,30464359000,0,0,12.8,13.2,12.8
05/03/2021,7.87,12.9,-0.1(-0.77 %),1283697,16608764700,0,0,13.0,13.1,12.8
09/03/2021,8.55,14.0,1(7.69 %),6415601,88190199900,0,0,13.1,14.2,13.1
10/03/2021,8.61,14.1,0.4(2.92 %),2289910,32220435700,1000,11700000,14.1,14.5,11.7
11/03/2021,8.48,13.9,-0.2(-1.42 %),2180547,30295096100,5077,63462500,14.2,14.3,12.5
12/03/2021,8.55,14.0,0.1(0.72 %),2372801,33061259100,0,0,13.8,14.1,13.8
15/03/2021,8.61,14.1,0.2(1.44 %),2448443,34280210100,394,5476600,14.0,14.1,13.9
16/03/2021,8.91,14.6,0.6(4.29 %),6346277,91476337600,294,4116000,14.1,14.6,14.0
17/03/2021,9.16,15.0,0.6(4.17 %),4548460,68088736000,0,0,14.5,15.3,14.5
18/03/2021,9.16,15.0,0(0.00 %),3639299,54555972800,302,4530000,15.0,15.3,14.8
19/03/2021,9.03,14.8,-0.2(-1.33 %),3632585,53554029300,83,1245000,15.0,15.0,14.6
22/03/2021,8.91,14.6,-0.1(-0.68 %),2044043,29820013900,93,1367100,14.7,14.8,14.5
23/03/2021,8.85,14.5,-0.1(-0.68 %),2299036,33184805000,0,0,14.6,14.7,14.2
24/03/2021,8.55,14.0,-0.4(-2.78 %),2921161,41036701100,14467,205431400,14.3,14.3,13.6
25/03/2021,8.55,14.0,0(0.00 %),1734031,24249799200,0,0,14.0,14.2,13.8
26/03/2021,8.55,14.0,0(0.00 %),1565814,21549305700,0,0,14.0,14.0,13.4
29/03/2021,8.73,14.3,0.5(3.62 %),1616109,22828127500,0,0,14.0,14.4,13.9
30/03/2021,8.85,14.5,0.4(2.84 %),3520350,50974509400,0,0,14.5,14.7,14.3
31/03/2021,8.91,14.6,0.1(0.69 %),3160686,46644021800,98900,1226360000,14.8,14.9,12.4
01/04/2021,9.1,14.9,0.1(0.68 %),6379211,94299316600,0,0,14.8,15.0,14.3
02/04/2021,9.83,16.1,1.3(8.78 %),8148379,130653709800,150000,1890000000,14.9,16.5,12.6
