Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
22/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
23/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
24/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
25/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
28/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
29/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
30/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
31/12/2009,0,0,0(0.00 %),0,0,0,0,2930000,0.17
04/01/2010,0,0,27.5(-2.83 %),0,0,0,0,2930000,0.17
05/01/2010,0,0,28(1.45 %),0,0,0,0,2930000,0.17
06/01/2010,0,0,27(-3.23 %),0,0,0,0,2930000,0.17
07/01/2010,0,0,25(-5.30 %),0,0,0,0,2930000,0.17
08/01/2010,0,0,24(-5.14 %),0,0,0,0,2930000,0.17
11/01/2010,0,0,24(0.00 %),0,0,0,0,2930000,0.17
12/01/2010,0,0,22(-8.33 %),0,0,0,0,2930000,0.17
13/01/2010,0,0,23.8(9.17 %),0,0,0,0,2930000,0.17
14/01/2010,0,0,23.8(0.00 %),0,0,0,0,2930000,0.17
15/01/2010,0,0,26.1(9.66 %),0,0,0,0,2930000,0.17
18/01/2010,0,0,27(9.76 %),0,0,0,0,2930000,0.17
19/01/2010,0,0,28.5(5.56 %),0,0,0,0,2930000,0.17
20/01/2010,0,0,26.2(0.00 %),0,0,0,0,2930000,0.17
21/01/2010,0,0,27(3.05 %),0,0,0,0,2930000,0.17
22/01/2010,0,0,26.5(0.00 %),0,0,0,0,2930000,0.17
25/01/2010,0,0,28.5(7.55 %),0,0,0,0,2930000,0.17
26/01/2010,0,0,28.5(0.00 %),0,0,0,0,2930000,0.17
27/01/2010,0,0,27(-5.26 %),0,0,0,0,2930000,0.17
28/01/2010,0,0,27(0.00 %),0,0,0,0,2930000,0.17
29/01/2010,0,0,27(0.00 %),0,0,0,0,2930000,0.17
01/02/2010,0,0,27(0.00 %),0,0,0,0,2930000,0.17
02/02/2010,0,0,29(7.41 %),0,0,0,0,2930000,0.17
03/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
04/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
05/02/2010,0,0,27(-6.90 %),0,0,0,0,2930000,0.17
08/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
09/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
10/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
11/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
12/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
22/02/2010,0,0,29(0.00 %),0,0,0,0,2930000,0.17
23/02/2010,0,0,26.1(-10.00 %),0,0,0,0,2930000,0.17
24/02/2010,0,0,26.5(1.53 %),0,0,0,0,2930000,0.17
25/02/2010,0,0,26(-1.89 %),0,0,0,0,2930000,0.17
26/02/2010,0,0,26.1(0.00 %),0,0,0,0,2930000,0.17
01/03/2010,0,0,26.5(1.53 %),0,0,0,0,2930000,0.17
02/03/2010,0,0,27(1.12 %),0,0,0,0,2930000,0.17
03/03/2010,0,0,27.2(0.74 %),0,0,0,0,2930000,0.17
04/03/2010,0,0,29.8(9.96 %),0,0,0,0,2930000,0.17
05/03/2010,0,0,32.7(9.73 %),0,0,0,0,2930000,0.17
08/03/2010,0,0,29.7(0.00 %),0,0,0,0,2930000,0.17
09/03/2010,0,0,29.7(0.00 %),0,0,0,0,2930000,0.17
10/03/2010,0,0,27.1(-8.75 %),0,0,0,0,2930000,0.17
11/03/2010,0,0,27.1(0.00 %),0,0,0,0,2930000,0.17
12/03/2010,0,0,29.8(9.96 %),0,0,0,0,2930000,0.17
15/03/2010,0,0,32.7(9.73 %),0,0,0,0,2930000,0.17
16/03/2010,0,0,32.7(0.00 %),0,0,0,0,2930000,0.17
17/03/2010,0,0,35.9(9.79 %),0,0,0,0,2930000,0.17
18/03/2010,0,0,32.6(9.76 %),0,0,0,0,2930000,0.17
19/03/2010,0,0,29.3(-9.85 %),0,0,0,0,2930000,0.17
22/03/2010,0,0,32.2(9.90 %),0,0,0,0,2930000,0.17
23/03/2010,0,0,29(-9.94 %),0,0,0,0,2930000,0.17
24/03/2010,0,0,26.1(-10.00 %),0,0,0,0,2930000,0.17
25/03/2010,0,0,23.5(-9.96 %),0,0,0,0,2930000,0.17
26/03/2010,0,0,28(0.00 %),0,0,0,0,2930000,0.17
29/03/2010,0,0,30.8(10.00 %),0,0,0,0,2930000,0.17
30/03/2010,0,0,33.7(9.77 %),0,0,0,0,2930000,0.17
31/03/2010,0,0,33.7(0.00 %),0,0,0,0,2930000,0.17
01/04/2010,0,0,30.4(-9.79 %),0,0,0,0,2930000,0.17
02/04/2010,0,0,33.9(9.71 %),0,0,0,0,2930000,0.17
05/04/2010,0,0,33.9(0.00 %),0,0,0,0,2930000,0.17
06/04/2010,0,0,33.5(-1.18 %),0,0,0,0,2930000,0.17
07/04/2010,0,0,31(-7.46 %),0,0,0,0,2930000,0.17
08/04/2010,0,0,31(0.00 %),0,0,0,0,2930000,0.17
09/04/2010,0,0,31(0.00 %),0,0,0,0,2930000,0.17
12/04/2010,0,0,31(0.00 %),0,0,0,0,2930000,0.17
13/04/2010,0,0,32.5(4.84 %),0,0,0,0,2930000,0.17
14/04/2010,0,0,35.5(9.91 %),0,0,0,0,2930000,0.17
15/04/2010,0,0,38.7(9.94 %),0,0,0,0,2930000,0.17
16/04/2010,0,0,40.9(5.68 %),0,0,0,0,2930000,0.17
19/04/2010,0,0,38(1.33 %),0,0,0,0,2930000,0.17
20/04/2010,0,0,38(-0.78 %),0,0,0,0,2930000,0.17
21/04/2010,0,0,38.5(1.32 %),0,0,0,0,2930000,0.17
22/04/2010,0,0,38.5(1.85 %),0,0,0,0,2930000,0.17
26/04/2010,0,0,39(5.41 %),0,0,0,0,2930000,0.17
27/04/2010,0,0,38.5(-3.99 %),0,0,0,0,2930000,0.17
28/04/2010,0,0,39.5(-0.75 %),0,0,0,0,2930000,0.17
29/04/2010,5000,197500000,40(1.78 %),5000,197500000,0,0,2925000,0.25
04/05/2010,0,0,39.6(0.00 %),0,0,0,0,2925000,0.25
05/05/2010,0,0,40.5(4.38 %),0,0,0,0,2925000,0.25
06/05/2010,0,0,42(7.97 %),0,0,0,0,2925000,0.25
07/05/2010,0,0,44.5(9.88 %),0,0,0,0,2925000,0.25
10/05/2010,0,0,43(1.65 %),0,0,0,0,2925000,0.25
11/05/2010,0,0,47.3(10.00 %),0,0,0,0,2925000,0.25
12/05/2010,0,0,43.5(-0.46 %),0,0,0,0,2925000,0.25
13/05/2010,0,0,41.5(-3.94 %),0,0,0,0,2925000,0.25
14/05/2010,0,0,43.3(-0.23 %),0,0,0,0,2925000,0.25
17/05/2010,0,0,40(-8.26 %),0,0,0,0,2925000,0.25
18/05/2010,0,0,39.8(8.15 %),0,0,0,0,2925000,0.25
19/05/2010,0,0,36.1(-9.75 %),0,0,0,0,2925000,0.25
20/05/2010,0,0,36(-2.17 %),0,0,0,0,2925000,0.25
21/05/2010,0,0,33.1(-7.80 %),0,0,0,0,2925000,0.25
24/05/2010,0,0,36.5(9.94 %),0,0,0,0,2925000,0.25
25/05/2010,0,0,35(-4.11 %),0,0,0,0,2925000,0.25
26/05/2010,0,0,36(-1.10 %),0,0,0,0,2925000,0.25
27/05/2010,0,0,39.2(9.80 %),0,0,0,0,2925000,0.25
28/05/2010,0,0,43.1(9.95 %),0,0,0,0,2925000,0.25
31/05/2010,0,0,47.4(9.98 %),0,0,0,0,2925000,0.25
01/06/2010,0,0,52.1(9.92 %),0,0,0,0,2925000,0.25
02/06/2010,0,0,46.9(-9.98 %),0,0,0,0,2925000,0.25
03/06/2010,0,0,42.3(-9.81 %),0,0,0,0,2925000,0.25
04/06/2010,0,0,38.1(-9.93 %),0,0,0,0,2925000,0.25
07/06/2010,0,0,34.3(-9.97 %),0,0,0,0,2925000,0.25
08/06/2010,0,0,30.9(-9.91 %),0,0,0,0,2925000,0.25
09/06/2010,0,0,32.8(6.15 %),0,0,0,0,2925000,0.25
10/06/2010,0,0,34.8(9.78 %),0,0,0,0,2925000,0.25
11/06/2010,0,0,38.2(9.77 %),0,0,0,0,2925000,0.25
14/06/2010,0,0,34.9(0.00 %),0,0,0,0,2925000,0.25
15/06/2010,0,0,37(6.02 %),0,0,0,0,2925000,0.25
16/06/2010,0,0,33.4(-9.97 %),0,0,0,0,2925000,0.25
17/06/2010,0,0,35(4.79 %),0,0,0,0,2925000,0.25
18/06/2010,0,0,36.7(6.07 %),0,0,0,0,2925000,0.25
21/06/2010,0,0,37(-1.07 %),0,0,0,0,2925000,0.25
22/06/2010,0,0,37.5(5.63 %),0,0,0,0,2925000,0.25
23/06/2010,0,0,37.5(0.27 %),0,0,0,0,2925000,0.25
24/06/2010,0,0,37(-1.86 %),0,0,0,0,2925000,0.25
25/06/2010,0,0,37.6(1.62 %),0,0,0,0,2925000,0.25
28/06/2010,0,0,38.1(2.14 %),0,0,0,0,2925000,0.25
29/06/2010,0,0,37(-4.15 %),0,0,0,0,2925000,0.25
30/06/2010,0,0,40.9(8.49 %),0,0,0,0,2925000,0.25
01/07/2010,0,0,41.8(10.00 %),0,0,0,0,2925000,0.25
