Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
10/01/2018,9.86,14.0,4(40.00 %),30400,363100000,0,0,11.0,14.0,11.0
11/01/2018,8.38,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
12/01/2018,8.38,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
15/01/2018,8.38,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
16/01/2018,8.38,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
17/01/2018,9.58,13.6,1.7(14.29 %),100,1360000,0,0,13.6,13.6,13.6
18/01/2018,9.58,13.6,0(0.00 %),33,382800,0,0,13.6,13.6,13.6
19/01/2018,9.58,13.6,0(0.00 %),0,0,0,0,13.6,13.6,13.6
22/01/2018,8.38,11.9,-1.7(-12.50 %),20000,244500000,0,0,12.3,12.8,11.9
23/01/2018,8.59,12.2,0(0.00 %),0,0,0,0,12.2,12.2,12.2
24/01/2018,8.59,12.2,0(0.00 %),0,0,0,0,12.2,12.2,12.2
25/01/2018,8.59,12.2,0(0.00 %),0,0,0,0,12.2,12.2,12.2
26/01/2018,8.59,12.2,0(0.00 %),0,0,0,0,12.2,12.2,12.2
29/01/2018,9.51,13.5,1.3(10.66 %),1000,13500000,0,0,13.5,13.5,13.5
30/01/2018,8.45,12.0,-1.5(-11.11 %),1020,12304000,0,0,12.0,12.0,12.0
31/01/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
01/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/02/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
01/03/2018,8.45,12.0,0(0.00 %),1,12000,0,0,12.0,12.0,12.0
02/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/03/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/04/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/04/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
04/04/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/04/2018,8.45,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/04/2018,10.56,15.0,3(25.00 %),400,6000000,0,0,15.0,15.0,15.0
09/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
10/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
12/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
13/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
16/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
17/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
18/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
19/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
20/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
26/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
27/04/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
02/05/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
03/05/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/05/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/05/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
09/05/2018,10.56,15.0,0(0.00 %),0,0,60000,768000000,15.0,15.0,15.0
10/05/2018,10.56,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/05/2018,10.56,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
14/05/2018,10.56,13.7,0(0.00 %),40,628000,0,0,13.7,13.7,13.7
15/05/2018,10.56,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
16/05/2018,10.56,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
17/05/2018,10.56,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
18/05/2018,9.02,11.7,-2(-14.60 %),3500,40950000,0,0,11.7,11.7,11.7
21/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
22/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
23/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
24/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
25/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
28/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
29/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
30/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
31/05/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
01/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
04/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
05/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
06/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
07/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
08/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
11/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
12/06/2018,9.02,11.7,0(0.00 %),0,0,0,0,11.7,11.7,11.7
13/06/2018,7.71,10.0,-1.7(-14.53 %),5000,50000000,0,0,10.0,10.0,10.0
14/06/2018,7.71,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
15/06/2018,7.71,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
18/06/2018,7.71,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
19/06/2018,7.71,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
20/06/2018,7.71,10.0,0(0.00 %),8000,80000000,0,0,10.0,10.0,10.0
