Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
02/05/2002,9.32,30.0,0(0.00 %),116900,3507000,0,0,30.0,30.0,30.0
03/05/2002,9.48,30.5,0.5(1.67 %),52800,1610400,10000,306000,30.5,30.5,30.5
06/05/2002,9.66,31.1,0.6(1.97 %),77700,2416470,10000,311000,31.1,31.1,31.1
07/05/2002,9.48,30.5,-0.6(-1.93 %),38600,1177300,0,0,30.5,30.5,30.5
08/05/2002,9.35,30.1,-0.4(-1.31 %),53000,1595300,10000,29900,30.1,30.1,30.1
09/05/2002,9.54,30.7,0.6(1.99 %),4500,138150,30000,903000,30.7,30.7,30.7
10/05/2002,9.72,31.3,0.6(1.95 %),23100,723030,10000,313000,31.3,31.3,31.3
13/05/2002,9.88,31.8,0.5(1.60 %),64000,2035200,0,0,31.8,31.8,31.8
14/05/2002,9.88,31.8,0(0.00 %),44200,1405560,0,0,31.8,31.8,31.8
15/05/2002,9.69,31.2,-0.6(-1.89 %),43700,1363440,0,0,31.2,31.2,31.2
16/05/2002,9.63,31.0,-0.2(-0.64 %),34200,1060200,0,0,31.0,31.0,31.0
17/05/2002,9.57,30.8,-0.2(-0.65 %),35700,1099560,0,0,30.8,30.8,30.8
20/05/2002,9.54,30.7,-0.1(-0.32 %),17500,537250,0,0,30.7,30.7,30.7
21/05/2002,9.63,31.0,0.3(0.98 %),20700,641700,0,0,31.0,31.0,31.0
22/05/2002,9.72,31.3,0.3(0.97 %),41700,1305210,10000,313000,31.3,31.3,31.3
23/05/2002,9.69,31.2,-0.1(-0.32 %),7900,246480,10000,312000,31.2,31.2,31.2
24/05/2002,9.76,31.4,0.2(0.64 %),30800,967120,0,0,31.4,31.4,31.4
27/05/2002,9.76,31.4,0(0.00 %),30100,945140,0,0,31.4,31.4,31.4
28/05/2002,9.76,31.4,0(0.00 %),5600,175840,0,0,31.4,31.4,31.4
29/05/2002,9.76,31.4,0(0.00 %),9400,295160,0,0,31.4,31.4,31.4
30/05/2002,9.76,31.4,0(0.00 %),15200,477280,0,0,31.4,31.4,31.4
31/05/2002,9.94,32.0,0.6(1.91 %),27500,880000,0,0,32.0,32.0,32.0
03/06/2002,9.94,32.0,0(0.00 %),16000,512000,0,0,32.0,32.0,32.0
04/06/2002,9.79,31.5,-0.5(-1.56 %),7500,236250,0,0,31.5,31.5,31.5
05/06/2002,9.79,31.5,0(0.00 %),11200,352800,0,0,31.5,31.5,31.5
06/06/2002,9.79,31.5,0(0.00 %),2500,78750,0,0,31.5,31.5,31.5
07/06/2002,9.79,31.5,0(0.00 %),5600,176400,0,0,31.5,31.5,31.5
10/06/2002,9.79,31.5,0(0.00 %),8500,267750,0,0,31.5,31.5,31.5
11/06/2002,9.79,31.5,0(0.00 %),4000,126000,0,0,31.5,31.5,31.5
12/06/2002,9.76,31.4,-0.1(-0.32 %),4000,125600,0,0,31.4,31.4,31.4
13/06/2002,9.69,31.2,-0.2(-0.64 %),2700,84240,0,0,31.2,31.2,31.2
14/06/2002,9.63,31.0,-0.2(-0.64 %),5500,170500,0,0,31.0,31.0,31.0
17/06/2002,9.45,30.4,-0.6(-1.94 %),5300,161120,0,0,30.4,30.4,30.4
18/06/2002,9.26,29.8,-0.6(-1.97 %),8900,265220,0,0,29.8,29.8,29.8
19/06/2002,9.1,29.3,-0.5(-1.68 %),4600,134780,0,0,29.3,29.3,29.3
20/06/2002,8.98,28.9,-0.4(-1.37 %),18700,540430,0,0,28.9,28.9,28.9
21/06/2002,9.13,29.4,0.5(1.73 %),200,5880,0,0,29.4,29.4,29.4
24/06/2002,9.29,29.9,0.5(1.70 %),100,2990,0,0,29.9,29.9,29.9
25/06/2002,9.45,30.4,0.5(1.67 %),4100,124640,10000,304000,30.4,30.4,30.4
26/06/2002,9.23,29.7,-0.7(-2.30 %),15900,472230,0,0,29.7,29.7,29.7
27/06/2002,9.17,29.5,-0.2(-0.67 %),300,8850,0,0,29.5,29.5,29.5
28/06/2002,9.26,29.8,0.3(1.02 %),2300,68540,0,0,29.8,29.8,29.8
01/07/2002,9.17,29.5,-0.3(-1.01 %),12200,359900,45000,1327500,29.5,29.5,29.5
02/07/2002,9.17,29.5,0(0.00 %),30400,896800,0,0,29.5,29.5,29.5
03/07/2002,9.17,29.5,0(0.00 %),10200,300900,0,0,29.5,29.5,29.5
04/07/2002,9.1,29.3,-0.2(-0.68 %),15100,442430,0,0,29.3,29.3,29.3
05/07/2002,9.1,29.3,0(0.00 %),11100,325230,70000,2039000,29.3,29.3,29.3
08/07/2002,9.1,29.3,0(0.00 %),13000,380900,80000,2344000,29.3,29.3,29.3
09/07/2002,9.01,29.0,-0.3(-1.02 %),30700,890300,40000,1160000,29.0,29.0,29.0
10/07/2002,8.89,28.6,-0.4(-1.38 %),16300,466180,0,0,28.6,28.6,28.6
11/07/2002,8.82,28.4,-0.2(-0.70 %),12700,360680,0,0,28.4,28.4,28.4
12/07/2002,8.89,28.6,0.2(0.70 %),9000,257400,0,0,28.6,28.6,28.6
15/07/2002,8.76,28.2,-0.4(-1.40 %),13700,386340,0,0,28.2,28.2,28.2
16/07/2002,8.76,28.2,0(0.00 %),2700,76140,0,0,28.2,28.2,28.2
17/07/2002,8.67,27.9,-0.3(-1.06 %),6200,172980,0,0,27.9,27.9,27.9
18/07/2002,8.51,27.4,-0.5(-1.79 %),5700,156180,0,0,27.4,27.4,27.4
19/07/2002,8.54,27.5,0.1(0.36 %),14900,409750,0,0,27.5,27.5,27.5
22/07/2002,8.58,27.6,0.1(0.36 %),7500,207000,0,0,27.6,27.6,27.6
23/07/2002,8.73,28.1,0.5(1.81 %),4400,123640,0,0,28.1,28.1,28.1
24/07/2002,8.89,28.6,0.5(1.78 %),6900,197340,0,0,28.6,28.6,28.6
25/07/2002,8.89,28.6,0(0.00 %),39400,1126840,0,0,28.6,28.6,28.6
26/07/2002,8.95,28.8,0.2(0.70 %),28000,806400,0,0,28.8,28.8,28.8
29/07/2002,9.01,29.0,0.2(0.69 %),27700,803300,0,0,29.0,29.0,29.0
30/07/2002,9.17,29.5,0.5(1.72 %),10000,295000,0,0,29.5,29.5,29.5
31/07/2002,9.23,29.7,0.2(0.68 %),23200,689040,0,0,29.7,29.7,29.7
01/08/2002,9.13,29.4,-0.3(-1.01 %),600,17640,0,0,29.4,29.4,29.4
02/08/2002,9.04,29.1,-0.3(-1.02 %),500,14550,0,0,29.1,29.1,29.1
05/08/2002,8.92,28.7,-0.4(-1.37 %),4100,117670,0,0,28.7,28.7,28.7
06/08/2002,9.07,29.2,0.5(1.74 %),1600,46720,0,0,29.2,29.2,29.2
07/08/2002,9.01,29.0,-0.2(-0.68 %),2000,58000,0,0,29.0,29.0,29.0
08/08/2002,8.89,28.6,-0.4(-1.38 %),9200,263120,0,0,28.6,28.6,28.6
09/08/2002,8.7,28.0,-0.6(-2.10 %),20000,560000,10000,278000,28.0,28.0,28.0
12/08/2002,8.76,28.2,0.2(0.71 %),7200,203040,0,0,28.2,28.2,28.2
13/08/2002,8.73,28.1,-0.1(-0.35 %),12100,340010,0,0,28.1,28.1,28.1
14/08/2002,8.73,28.1,0(0.00 %),2200,61820,10000,277000,28.1,28.1,28.1
15/08/2002,8.76,28.2,0.1(0.36 %),1700,47940,20000,554000,28.2,28.2,28.2
16/08/2002,8.85,28.5,0.3(1.06 %),11000,313500,0,0,28.5,28.5,28.5
19/08/2002,8.95,28.8,0.3(1.05 %),4200,120960,0,0,28.8,28.8,28.8
20/08/2002,8.95,28.8,0(0.00 %),1100,31680,0,0,28.8,28.8,28.8
21/08/2002,8.95,28.8,0(0.00 %),5700,164160,10000,283000,28.8,28.8,28.8
22/08/2002,8.95,28.8,0(0.00 %),20800,599040,0,0,28.8,28.8,28.8
23/08/2002,8.92,28.7,-0.1(-0.35 %),13400,384580,0,0,28.7,28.7,28.7
26/08/2002,8.92,28.7,0(0.00 %),2800,80360,0,0,28.7,28.7,28.7
27/08/2002,8.85,28.5,-0.2(-0.70 %),7300,208050,0,0,28.5,28.5,28.5
28/08/2002,8.92,28.7,0.2(0.70 %),2200,63140,0,0,28.7,28.7,28.7
29/08/2002,8.95,28.8,0.1(0.35 %),14600,420480,0,0,28.8,28.8,28.8
30/08/2002,9.01,29.0,0.2(0.69 %),21900,635100,0,0,29.0,29.0,29.0
03/09/2002,8.98,28.9,-0.1(-0.34 %),5200,150280,0,0,28.9,28.9,28.9
04/09/2002,9.01,29.0,0.1(0.35 %),21600,626400,0,0,29.0,29.0,29.0
05/09/2002,9.01,29.0,0(0.00 %),500,14500,0,0,29.0,29.0,29.0
06/09/2002,8.95,28.8,-0.2(-0.69 %),5100,146880,0,0,28.8,28.8,28.8
09/09/2002,8.95,28.8,0(0.00 %),7300,210240,0,0,28.8,28.8,28.8
10/09/2002,8.95,28.8,0(0.00 %),5000,144000,0,0,28.8,28.8,28.8
11/09/2002,8.85,28.5,-0.3(-1.04 %),7900,225150,0,0,28.5,28.5,28.5
12/09/2002,8.85,28.5,0(0.00 %),3900,111150,0,0,28.5,28.5,28.5
13/09/2002,8.82,28.4,-0.1(-0.35 %),3100,88040,17300,493050,28.4,28.4,28.4
16/09/2002,8.85,28.5,0.1(0.35 %),13000,370500,10000,283000,28.5,28.5,28.5
17/09/2002,8.85,28.5,0(0.00 %),4500,128250,10000,285000,28.5,28.5,28.5
18/09/2002,8.7,28.0,-0.5(-1.75 %),13400,375200,0,0,28.0,28.0,28.0
19/09/2002,8.79,28.3,0.3(1.07 %),2000,56600,0,0,28.3,28.3,28.3
20/09/2002,8.95,28.8,0.5(1.77 %),100,2880,0,0,28.8,28.8,28.8
23/09/2002,8.95,28.8,0(0.00 %),100,2880,33000,950400,28.8,28.8,28.8
24/09/2002,8.76,28.2,-0.6(-2.08 %),300,8460,0,0,28.2,28.2,28.2
25/09/2002,8.85,28.5,0.3(1.06 %),1200,34200,0,0,28.5,28.5,28.5
26/09/2002,8.89,28.6,0.1(0.35 %),6300,180180,0,0,28.6,28.6,28.6
27/09/2002,8.85,28.5,-0.1(-0.35 %),13000,370500,0,0,28.5,28.5,28.5
30/09/2002,8.82,28.4,-0.1(-0.35 %),800,22720,0,0,28.4,28.4,28.4
01/10/2002,8.82,28.4,0(0.00 %),1100,31240,0,0,28.4,28.4,28.4
02/10/2002,8.82,28.4,0(0.00 %),7300,207320,0,0,28.4,28.4,28.4
03/10/2002,8.82,28.4,0(0.00 %),4700,133480,0,0,28.4,28.4,28.4
04/10/2002,8.82,28.4,0(0.00 %),3800,107920,0,0,28.4,28.4,28.4
07/10/2002,8.7,28.0,-0.4(-1.41 %),2100,58800,0,0,28.0,28.0,28.0
08/10/2002,8.64,27.8,-0.2(-0.71 %),4000,111200,0,0,27.8,27.8,27.8
09/10/2002,8.82,28.4,0.6(2.16 %),100,2840,0,0,28.4,28.4,28.4
10/10/2002,8.73,28.1,-0.3(-1.06 %),5100,143310,0,0,28.1,28.1,28.1
11/10/2002,8.7,28.0,-0.1(-0.36 %),3900,109200,0,0,28.0,28.0,28.0
14/10/2002,8.73,28.1,0.1(0.36 %),2100,59010,0,0,28.1,28.1,28.1
15/10/2002,8.76,28.2,0.1(0.36 %),9700,273540,0,0,28.2,28.2,28.2
16/10/2002,8.73,28.1,-0.1(-0.35 %),1000,28100,0,0,28.1,28.1,28.1
17/10/2002,8.7,28.0,-0.1(-0.36 %),3300,92400,0,0,28.0,28.0,28.0
18/10/2002,8.7,28.0,0(0.00 %),500,14000,0,0,28.0,28.0,28.0
21/10/2002,8.64,27.8,-0.2(-0.71 %),8700,241860,0,0,27.8,27.8,27.8
22/10/2002,8.61,27.7,-0.1(-0.36 %),9500,263150,0,0,27.7,27.7,27.7
23/10/2002,8.61,27.7,0(0.00 %),4100,113570,0,0,27.7,27.7,27.7
24/10/2002,8.58,27.6,-0.1(-0.36 %),4600,126960,0,0,27.6,27.6,27.6
25/10/2002,8.61,27.7,0.1(0.36 %),4400,121880,0,0,27.7,27.7,27.7
28/10/2002,8.7,28.0,0.3(1.08 %),7500,210000,0,0,28.0,28.0,28.0
29/10/2002,8.7,28.0,0(0.00 %),3000,84000,0,0,28.0,28.0,28.0
30/10/2002,8.7,28.0,0(0.00 %),3600,100800,0,0,28.0,28.0,28.0
