Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
AGG,07/07/2023,800,100,24130000,3030000
AGG,10/07/2023,0,200,0,6200000
AGG,11/07/2023,400,0,12310000,0
AGG,12/07/2023,0,800,0,24210000
AGG,18/07/2023,1000,0,30575000,0
AGG,19/07/2023,1600,0,48640000,0
AGG,24/07/2023,0,1000,0,31605000
AGG,25/07/2023,1200,100,37595000,3135000
AGG,26/07/2023,0,100,0,3090000
AGG,27/07/2023,100,500,3090000,15705000
AGG,31/07/2023,1200,0,37210000,0
AGG,01/08/2023,1200,0,37370000,0
AGG,02/08/2023,0,2600,0,79245000
AGG,04/08/2023,0,1800,0,54670000
AGG,16/08/2023,2200,0,71250000,0
AGG,18/08/2023,1000,0,31795000,0
AGG,22/08/2023,300,0,9285000,0
AGG,24/08/2023,0,1500,0,47810000
AGG,25/08/2023,0,100,0,3155000
AGG,28/08/2023,0,1200,0,37860000
AGG,14/09/2023,100,0,3440000,0
AGG,19/09/2023,400,0,13245000,0
AGG,22/09/2023,400,400,12920000,13280000
AGG,25/09/2023,400,0,12440000,0
AGG,26/09/2023,500,0,15505000,0
AGG,27/09/2023,400,0,12460000,0
AGG,28/09/2023,100,0,3170000,0
AGG,03/10/2023,3100,0,94955000,0
AGG,04/10/2023,500,0,15150000,0
AGG,05/10/2023,400,0,12060000,0
AGG,06/10/2023,500,0,15145000,0
AGG,09/10/2023,200,3000,6070000,90960000
AGG,10/10/2023,1200,0,36545000,0
AGG,11/10/2023,1400,0,42380000,0
AGG,12/10/2023,400,0,12160000,0
AGG,13/10/2023,500,1600,15120000,48310000
AGG,16/10/2023,0,1200,0,36290000
AGG,17/10/2023,200,0,6045000,0
AGG,18/10/2023,1300,100,37650000,2980000
AGG,19/10/2023,900,100,25245000,2820000
AGG,20/10/2023,400,0,11090000,0
AGG,23/10/2023,0,2000,0,55290000
AGG,24/10/2023,600,0,16530000,0
AGG,25/10/2023,1100,0,30420000,0
AGG,26/10/2023,3900,0,102010000,0
AGG,30/10/2023,900,0,22190000,0
AGG,31/10/2023,1100,0,27155000,0
AGG,01/11/2023,200,0,4900000,0
AGG,06/11/2023,1200,0,30425000,0
AGG,07/11/2023,100,300,2505000,7485000
AGG,13/11/2023,0,1000,0,26510000
AGG,14/11/2023,0,400,0,10490000
AGG,15/11/2023,500,0,13335000,0
AGG,16/11/2023,200,0,5160000,0
AGG,17/11/2023,800,0,20220000,0
AGG,23/11/2023,0,1600,0,40930000
AGG,24/11/2023,400,0,9900000,0
AGG,27/11/2023,700,0,17400000,0
AGG,28/11/2023,300,0,7560000,0
AGG,29/11/2023,0,700,0,17745000
AGG,30/11/2023,0,500,0,12600000
AGG,01/12/2023,1600,0,39640000,0
AGG,04/12/2023,0,100,0,2495000
AGG,06/12/2023,1000,300,24980000,7495000
AGG,07/12/2023,5500,0,136300000,0
AGG,08/12/2023,200,0,4930000,0
AGG,11/12/2023,400,0,9830000,0
AGG,12/12/2023,0,400,0,9850000
AGG,13/12/2023,1000,100,24570000,2470000
AGG,14/12/2023,2600,0,63840000,0
AGG,18/12/2023,0,3800,0,94955000
AGG,19/12/2023,100,600,2485000,15100000
AGG,20/12/2023,0,200,0,4965000
