Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
28/11/2006,4000,154800,0(0.00 %),4000,154800,0,0,0,0.0
30/11/2006,700,29820,0(0.00 %),700,29820,0,0,0,0.0
01/12/2006,3500,156450,0(0.00 %),3500,156450,0,0,0,0.0
04/12/2006,1400,65660,0(0.00 %),1400,65660,0,0,0,0.0
05/12/2006,330,16236,0(0.00 %),330,16236,0,0,0,0.0
11/12/2006,300,17700,0(0.00 %),300,17700,0,0,0,0.0
12/12/2006,2000,123000,0(0.00 %),2000,123000,0,0,0,0.0
13/12/2006,1000,64500,0(0.00 %),1000,64500,0,0,0,0.0
15/12/2006,5000,352500,0(0.00 %),5000,352500,0,0,0,0.0
18/12/2006,1500,111000,0(0.00 %),1500,111000,0,0,0,0.0
19/12/2006,1000,77500,0(0.00 %),1000,77500,0,0,0,0.0
20/12/2006,3500,264250,0(0.00 %),3500,264250,0,0,0,0.0
27/12/2006,1000,61000,0(0.00 %),1000,61000,0,0,0,0.0
28/12/2006,30,1680,0(0.00 %),30,1680,0,0,0,0.0
01/03/2007,5280,378900000,70(-2.78 %),5280,378900000,0,0,0,0.0
02/03/2007,0,0,70(0.00 %),0,0,0,0,0,0.0
05/03/2007,5000,350000000,70(0.00 %),5000,350000000,0,0,0,0.0
06/03/2007,0,0,73.5(5.00 %),0,0,0,0,0,0.0
07/03/2007,0,0,77(4.76 %),0,0,0,0,0,0.0
08/03/2007,100,8050000,80.5(4.55 %),100,8050000,0,0,0,0.0
09/03/2007,0,0,84.5(4.97 %),0,0,0,0,0,0.0
12/03/2007,39800,3522300000,88.5(4.73 %),40000,3540000000,200,17700000,0,0.0
13/03/2007,0,0,91(2.82 %),0,0,0,0,0,0.0
14/03/2007,0,0,95(4.40 %),0,0,0,0,0,0.0
15/03/2007,0,0,90.5(-4.74 %),0,0,0,0,0,0.0
16/03/2007,0,0,86(-4.97 %),0,0,0,0,0,0.0
19/03/2007,0,0,90(4.65 %),0,0,0,0,0,0.0
20/03/2007,0,0,92(2.22 %),0,0,0,0,0,0.0
21/03/2007,0,0,88(-4.35 %),0,0,0,0,0,0.0
22/03/2007,0,0,88(0.00 %),0,0,0,0,0,0.0
23/03/2007,0,0,91(3.41 %),0,0,0,0,0,0.0
26/03/2007,0,0,86.5(-4.95 %),0,0,0,0,0,0.0
27/03/2007,100,8650000,82.5(-4.62 %),100,8650000,0,0,0,0.0
28/03/2007,0,0,78.5(-4.85 %),0,0,0,0,0,0.0
29/03/2007,0,0,82(4.46 %),0,0,0,0,0,0.0
30/03/2007,1020,83680000,84(2.44 %),1020,83680000,0,0,0,0.0
02/04/2007,0,0,85(1.19 %),0,0,0,0,0,0.0
03/04/2007,0,0,81(-4.71 %),0,0,0,0,0,0.0
04/04/2007,100,7700000,82(1.23 %),100,7700000,0,0,0,0.0
05/04/2007,0,0,82(0.00 %),0,0,0,0,0,0.0
06/04/2007,0,0,82(0.00 %),0,0,0,0,0,0.0
09/04/2007,0,0,82(0.00 %),0,0,0,0,0,0.0
10/04/2007,0,0,82(0.00 %),0,0,0,0,0,0.0
11/04/2007,0,0,81.5(-0.61 %),0,0,0,0,0,0.0
12/04/2007,0,0,78(-4.29 %),0,0,0,0,0,0.0
13/04/2007,100,7450000,74.5(-4.49 %),100,7450000,0,0,0,0.0
16/04/2007,0,0,76(2.01 %),0,0,0,0,0,0.0
17/04/2007,0,0,78.5(3.29 %),0,0,0,0,0,0.0
18/04/2007,0,0,82(4.46 %),0,0,0,0,0,0.0
19/04/2007,100,8200000,86(4.88 %),100,8200000,0,0,0,0.0
20/04/2007,50,4300000,86(0.00 %),50,4300000,0,0,0,0.0
23/04/2007,1000,82000000,90(4.65 %),1000,82000000,0,0,0,0.0
24/04/2007,0,0,88(-2.22 %),0,0,0,0,0,0.0
25/04/2007,0,0,88(0.00 %),0,0,0,0,0,0.0
02/05/2007,0,0,90(2.27 %),0,0,0,0,0,0.0
03/05/2007,0,0,90(0.00 %),0,0,0,0,0,0.0
04/05/2007,0,0,90(0.00 %),0,0,0,0,0,0.0
07/05/2007,0,0,91(1.11 %),0,0,0,0,0,0.0
08/05/2007,0,0,95(4.40 %),0,0,0,0,0,0.0
09/05/2007,400,37600000,95(0.00 %),400,37600000,0,0,0,0.0
10/05/2007,100,9500000,95(0.00 %),100,9500000,0,0,0,0.0
11/05/2007,0,0,95(0.00 %),0,0,0,0,0,0.0
14/05/2007,100,9500000,97(2.11 %),100,9500000,0,0,0,0.0
15/05/2007,0,0,100(3.09 %),0,0,0,0,0,0.0
16/05/2007,0,0,91(4.60 %),0,0,0,0,0,0.0
17/05/2007,0,0,95.5(4.95 %),0,0,0,0,0,0.0
18/05/2007,0,0,100(4.71 %),0,0,0,0,0,0.0
21/05/2007,0,0,105(5.00 %),0,0,0,0,0,0.0
22/05/2007,0,0,110(4.76 %),0,0,0,0,0,0.0
23/05/2007,700,80500000,115(4.55 %),700,80500000,0,0,0,0.0
24/05/2007,0,0,120(4.35 %),0,0,0,0,0,0.0
25/05/2007,0,0,120(0.00 %),0,0,0,0,0,0.0
28/05/2007,100,12600000,126(5.00 %),100,12600000,0,0,0,0.0
29/05/2007,-4410,-573300000,130(3.17 %),0,0,4410,573300000,0,0.0
30/05/2007,-3830,-481820000,124(-4.62 %),100,12600000,3930,494420000,0,0.0
31/05/2007,-140,-16520000,118(-4.84 %),0,0,140,16520000,0,0.0
01/06/2007,0,0,123(4.24 %),0,0,0,0,0,0.0
04/06/2007,-1610,-198900000,120(-2.44 %),290,34800000,1900,233700000,0,0.0
05/06/2007,-50,-5700000,120(0.00 %),0,0,50,5700000,0,0.0
06/06/2007,-1500,-171000000,114(-5.00 %),0,0,1500,171000000,0,0.0
07/06/2007,-2000,-228150000,119(4.39 %),0,0,2000,228150000,0,0.0
08/06/2007,0,0,114(-4.20 %),0,0,0,0,0,0.0
11/06/2007,0,0,109(-4.39 %),0,0,0,0,0,0.0
12/06/2007,0,0,110(0.92 %),0,0,0,0,0,0.0
13/06/2007,0,0,115(4.55 %),0,0,0,0,0,0.0
14/06/2007,0,0,117(1.74 %),0,0,0,0,0,0.0
15/06/2007,0,0,116(-0.85 %),0,0,0,0,0,0.0
18/06/2007,0,0,116(0.00 %),0,0,0,0,0,0.0
19/06/2007,0,0,116(0.00 %),0,0,0,0,0,0.0
20/06/2007,0,0,116(0.00 %),0,0,0,0,0,0.0
21/06/2007,0,0,116(0.00 %),0,0,0,0,0,0.0
22/06/2007,0,0,115(-0.86 %),0,0,0,0,0,0.0
25/06/2007,0,0,115(0.00 %),0,0,0,0,0,0.0
26/06/2007,0,0,112(-2.61 %),0,0,0,0,0,0.0
27/06/2007,300,33300000,111(-0.89 %),300,33300000,0,0,0,0.0
28/06/2007,0,0,112(0.90 %),0,0,0,0,0,0.0
29/06/2007,-550,-59400000,108(-3.57 %),0,0,550,59400000,0,0.0
02/07/2007,-90,-9720000,108(0.00 %),0,0,90,9720000,0,0.0
03/07/2007,0,0,109(0.93 %),0,0,0,0,0,0.0
04/07/2007,-680,-72080000,106(-2.75 %),0,0,680,72080000,0,0.0
05/07/2007,-1770,-187620000,104(-1.89 %),0,0,1770,187620000,0,0.0
06/07/2007,0,0,101(-2.88 %),0,0,0,0,0,0.0
09/07/2007,110,10560000,98(-2.97 %),110,10560000,0,0,0,0.0
10/07/2007,-1000,-98000000,98(0.00 %),0,0,1000,98000000,0,0.0
11/07/2007,0,0,102(4.08 %),0,0,0,0,0,0.0
12/07/2007,0,0,107(4.90 %),0,0,0,0,0,0.0
13/07/2007,0,0,107(0.00 %),0,0,0,0,0,0.0
16/07/2007,200,20800000,104(-2.80 %),200,20800000,0,0,0,0.0
17/07/2007,0,0,105(0.96 %),0,0,0,0,0,0.0
18/07/2007,0,0,105(0.00 %),0,0,0,0,0,0.0
19/07/2007,0,0,105(0.00 %),0,0,0,0,0,0.0
20/07/2007,0,0,104(-0.95 %),0,0,0,0,0,0.0
23/07/2007,0,0,104(0.00 %),0,0,0,0,0,0.0
24/07/2007,0,0,104(0.00 %),0,0,0,0,0,0.0
25/07/2007,0,0,102(-1.92 %),0,0,0,0,0,0.0
26/07/2007,0,0,97(-4.90 %),0,0,0,0,0,0.0
27/07/2007,100,9500000,96(-1.03 %),100,9500000,0,0,0,0.0
30/07/2007,0,0,91.5(-4.69 %),0,0,0,0,0,0.0
31/07/2007,3000,261000000,87(-4.92 %),3000,261000000,0,0,0,0.0
01/08/2007,0,0,90(3.45 %),0,0,0,0,0,0.0
02/08/2007,0,0,93(3.33 %),0,0,0,0,0,0.0
03/08/2007,0,0,81(3.51 %),0,0,0,0,0,0.0
06/08/2007,120,9550000,83(2.47 %),120,9550000,0,0,0,0.0
07/08/2007,750,63750000,85(2.41 %),750,63750000,0,0,0,0.0
08/08/2007,0,0,84.5(-0.59 %),0,0,0,0,0,0.0
09/08/2007,0,0,84(-0.59 %),0,0,0,0,0,0.0
10/08/2007,0,0,84.5(0.60 %),0,0,0,0,0,0.0
13/08/2007,0,0,84(-0.59 %),0,0,0,0,0,0.0
14/08/2007,-100,-8800000,88(4.76 %),0,0,100,8800000,0,0.0
15/08/2007,0,0,88(0.00 %),0,0,0,0,0,0.0
16/08/2007,0,0,90(2.27 %),0,0,0,0,0,0.0
17/08/2007,0,0,86(-4.44 %),0,0,0,0,0,0.0
20/08/2007,0,0,87.5(1.74 %),0,0,0,0,0,0.0
21/08/2007,0,0,88(0.57 %),0,0,0,0,0,0.0
22/08/2007,0,0,87.5(-0.57 %),0,0,0,0,0,0.0
