Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
06/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
07/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
08/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
09/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
10/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
13/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
14/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
15/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
16/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
17/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
20/02/2017,0,0,0(0.00 %),0,0,0,0,6371023,6.53
21/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
22/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
23/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
24/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
27/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
28/02/2017,0,0,8.2(0.00 %),0,0,0,0,6371023,6.53
01/03/2017,0,0,7(-1.41 %),0,0,0,0,6371023,6.53
02/03/2017,0,0,6(-3.23 %),0,0,0,0,6371023,6.53
03/03/2017,0,0,6(0.00 %),0,0,0,0,6371023,6.53
06/03/2017,0,0,6(0.00 %),0,0,0,0,6371023,6.53
07/03/2017,0,0,6.5(8.33 %),0,0,0,0,6371023,6.53
08/03/2017,0,0,6.6(3.12 %),0,0,0,0,6371023,6.53
09/03/2017,0,0,6.7(1.52 %),0,0,0,0,6371023,6.53
10/03/2017,0,0,6.6(-1.49 %),0,0,0,0,6371023,6.53
13/03/2017,0,0,6.7(1.52 %),0,0,0,0,6371023,6.53
14/03/2017,0,0,6.6(-2.94 %),0,0,0,0,6371023,6.53
15/03/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
16/03/2017,0,0,6.8(3.03 %),0,0,0,0,6371023,6.53
17/03/2017,0,0,6.9(2.99 %),0,0,0,0,6371023,6.53
20/03/2017,0,0,7(1.45 %),0,0,0,0,6371023,6.53
22/03/2017,0,0,7(0.00 %),0,0,0,0,6371023,6.53
23/03/2017,0,0,6.9(-1.43 %),0,0,0,0,6371023,6.53
24/03/2017,0,0,6.8(-1.45 %),0,0,0,0,6371023,6.53
27/03/2017,0,0,7(2.94 %),0,0,0,0,6371023,6.53
28/03/2017,0,0,7.1(0.00 %),0,0,0,0,6371023,6.53
29/03/2017,0,0,7(-1.41 %),0,0,0,0,6371023,6.53
30/03/2017,0,0,6.8(-2.86 %),0,0,0,0,6371023,6.53
31/03/2017,0,0,6(-11.76 %),0,0,0,0,6371023,6.53
03/04/2017,0,0,6(0.00 %),0,0,0,0,6371023,6.53
04/04/2017,0,0,6(3.45 %),0,0,0,0,6371023,6.53
05/04/2017,0,0,6.2(3.33 %),0,0,0,0,6371023,6.53
07/04/2017,0,0,6.7(11.67 %),0,0,0,0,6371023,6.53
10/04/2017,0,0,7.5(11.94 %),0,0,0,0,6371023,6.53
11/04/2017,0,0,6.9(-8.00 %),0,0,0,0,6371023,6.53
12/04/2017,0,0,6.5(-5.80 %),0,0,0,0,6371023,6.53
13/04/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
14/04/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
17/04/2017,0,0,6(-9.09 %),0,0,0,0,6371023,6.53
18/04/2017,0,0,6.5(8.33 %),0,0,0,0,6371023,6.53
19/04/2017,0,0,7.2(14.29 %),0,0,0,0,6371023,6.53
20/04/2017,0,0,7.2(0.00 %),0,0,0,0,6371023,6.53
21/04/2017,0,0,7.2(0.00 %),0,0,0,0,6371023,6.53
24/04/2017,0,0,6.7(-6.94 %),0,0,0,0,6371023,6.53
25/04/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
26/04/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
27/04/2017,0,0,6.7(0.00 %),0,0,0,0,6371023,6.53
28/04/2017,0,0,6.7(0.00 %),0,0,0,0,6371023,6.53
03/05/2017,0,0,6.6(-1.49 %),0,0,0,0,6371023,6.53
04/05/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
05/05/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
08/05/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
09/05/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
10/05/2017,0,0,6.6(0.00 %),0,0,0,0,6371023,6.53
11/05/2017,0,0,6.5(-1.52 %),0,0,0,0,6371023,6.53
12/05/2017,0,0,7(7.69 %),0,0,0,0,6371023,6.53
15/05/2017,0,0,6.4(-8.57 %),0,0,0,0,6371023,6.53
16/05/2017,0,0,6.4(0.00 %),0,0,0,0,6371023,6.53
17/05/2017,0,0,6.4(0.00 %),0,0,0,0,6371023,6.53
18/05/2017,0,0,6.4(0.00 %),0,0,0,0,6371023,6.53
19/05/2017,0,0,6.1(-4.69 %),0,0,0,0,6371023,6.53
22/05/2017,0,0,6.1(0.00 %),0,0,0,0,6371023,6.53
23/05/2017,0,0,6.1(0.00 %),0,0,0,0,6371023,6.53
24/05/2017,0,0,7(14.75 %),0,0,0,0,6371023,6.53
25/05/2017,0,0,6.5(-7.14 %),0,0,0,0,6371023,6.53
26/05/2017,0,0,6(-10.45 %),0,0,0,0,6371023,6.53
29/05/2017,0,0,6.3(5.00 %),0,0,0,0,6371023,6.53
30/05/2017,0,0,7(11.11 %),0,0,0,0,6371023,6.53
31/05/2017,0,0,6.3(-10.00 %),0,0,0,0,6371023,6.53
01/06/2017,0,0,6.4(0.00 %),0,0,0,0,6371023,6.53
02/06/2017,0,0,6.6(3.12 %),0,0,0,0,6371023,6.53
05/06/2017,0,0,7(7.69 %),0,0,0,0,6371023,6.53
06/06/2017,0,0,6.7(-4.29 %),0,0,0,0,6371023,6.53
07/06/2017,0,0,6.5(-2.99 %),0,0,0,0,6371023,6.53
08/06/2017,1000,6500000,6.5(0.00 %),1000,6500000,0,0,6370023,6.53
09/06/2017,0,0,6.5(0.00 %),0,0,0,0,6370023,6.53
12/06/2017,0,0,7(7.69 %),0,0,0,0,6370023,6.53
13/06/2017,0,0,6.6(-5.71 %),0,0,0,0,6370023,6.53
14/06/2017,0,0,6.6(0.00 %),0,0,0,0,6370023,6.53
16/06/2017,0,0,6.8(9.68 %),0,0,0,0,6370023,6.53
19/06/2017,0,0,6.8(4.62 %),0,0,0,0,6370023,6.53
20/06/2017,0,0,6.1(-7.58 %),0,0,0,0,6370223,6.53
21/06/2017,0,0,6.6(8.20 %),0,0,0,0,6370223,6.53
22/06/2017,0,0,6.9(11.29 %),0,0,0,0,6370223,6.53
23/06/2017,0,0,6.4(-7.25 %),0,0,0,0,6370223,6.53
26/06/2017,0,0,6.4(0.00 %),0,0,0,0,6370223,6.53
27/06/2017,0,0,6.8(6.25 %),0,0,0,0,6370223,6.53
28/06/2017,0,0,5.9(-13.24 %),0,0,0,0,6370223,6.53
29/06/2017,0,0,6.6(4.76 %),0,0,0,0,6370223,6.53
30/06/2017,0,0,6.5(-1.52 %),0,0,0,0,6370223,6.53
03/07/2017,0,0,6.5(-1.52 %),0,0,0,0,6370223,6.53
04/07/2017,-800,-5280000,6.7(3.08 %),0,0,800,5280000,6370223,6.53
05/07/2017,0,0,7.1(9.23 %),0,0,0,0,6370223,6.53
06/07/2017,0,0,7.5(8.70 %),0,0,0,0,6370223,6.53
07/07/2017,0,0,7.5(2.74 %),0,0,0,0,6371023,6.53
10/07/2017,0,0,7.7(2.67 %),0,0,0,0,6371023,6.53
11/07/2017,0,0,7.8(2.63 %),0,0,0,0,6371023,6.53
12/07/2017,0,0,8.5(7.59 %),0,0,0,0,6371023,6.53
13/07/2017,0,0,9(7.14 %),0,0,0,0,6371023,6.53
14/07/2017,0,0,8.8(-2.22 %),0,0,0,0,6371023,6.53
17/07/2017,0,0,9(2.27 %),0,0,0,0,6371023,6.53
18/07/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
19/07/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
20/07/2017,0,0,9(1.12 %),0,0,0,0,6371023,6.53
21/07/2017,0,0,9(1.12 %),0,0,0,0,6371023,6.53
24/07/2017,0,0,9(0.00 %),0,0,0,0,6371023,6.53
25/07/2017,0,0,9(1.12 %),0,0,0,0,6371023,6.53
26/07/2017,0,0,9(0.00 %),0,0,0,0,6371023,6.53
27/07/2017,0,0,8.9(-1.11 %),0,0,0,0,6371023,6.53
28/07/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
31/07/2017,0,0,9(1.12 %),0,0,0,0,6371023,6.53
01/08/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
02/08/2017,0,0,8.8(-1.12 %),0,0,0,0,6371023,6.53
03/08/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
04/08/2017,0,0,8.8(-1.12 %),0,0,0,0,6371023,6.53
07/08/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
08/08/2017,0,0,8.6(-2.27 %),0,0,0,0,6371023,6.53
09/08/2017,0,0,8.6(0.00 %),0,0,0,0,6371023,6.53
10/08/2017,0,0,8.6(0.00 %),0,0,0,0,6371023,6.53
11/08/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
14/08/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
15/08/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
16/08/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
17/08/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
18/08/2017,0,0,8.9(2.30 %),0,0,0,0,6371023,6.53
21/08/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
22/08/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
23/08/2017,0,0,8.9(2.30 %),0,0,0,0,6371023,6.53
24/08/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
25/08/2017,0,0,8.8(2.33 %),0,0,0,0,6371023,6.53
28/08/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
29/08/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
30/08/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
31/08/2017,0,0,8(-4.76 %),0,0,0,0,6371023,6.53
01/09/2017,0,0,8(0.00 %),0,0,0,0,6371023,6.53
05/09/2017,0,0,8.2(2.50 %),0,0,0,0,6371023,6.53
06/09/2017,0,0,8.5(0.00 %),0,0,0,0,6371023,6.53
07/09/2017,0,0,8.3(0.00 %),0,0,0,0,6371023,6.53
08/09/2017,0,0,8.6(3.61 %),0,0,0,0,6371023,6.53
12/09/2017,0,0,8.8(2.33 %),0,0,0,0,6371023,6.53
13/09/2017,0,0,8.8(-1.12 %),0,0,0,0,6371023,6.53
14/09/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
15/09/2017,0,0,8.9(2.30 %),0,0,0,0,6371023,6.53
18/09/2017,0,0,8.7(-4.40 %),0,0,0,0,6371023,6.53
19/09/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
20/09/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
21/09/2017,0,0,9(3.45 %),0,0,0,0,6371023,6.53
22/09/2017,0,0,9(0.00 %),0,0,0,0,6371023,6.53
25/09/2017,0,0,8.6(-4.44 %),0,0,0,0,6371023,6.53
26/09/2017,0,0,8.7(1.16 %),0,0,0,0,6371023,6.53
27/09/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
28/09/2017,0,0,8.7(0.00 %),0,0,0,0,6371023,6.53
29/09/2017,0,0,9(3.45 %),0,0,0,0,6371023,6.53
02/10/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
03/10/2017,0,0,8.7(-2.25 %),0,0,0,0,6371023,6.53
04/10/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
05/10/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
06/10/2017,0,0,8.7(-2.25 %),0,0,0,0,6371023,6.53
09/10/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
10/10/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
11/10/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
12/10/2017,0,0,8.3(-4.60 %),0,0,0,0,6371023,6.53
16/10/2017,0,0,8.8(0.00 %),0,0,0,0,6371023,6.53
17/10/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
19/10/2017,0,0,8.3(-1.19 %),0,0,0,0,6371023,6.53
20/10/2017,0,0,8.4(0.00 %),0,0,0,0,6371023,6.53
23/10/2017,0,0,8.4(0.00 %),0,0,0,0,6371023,6.53
24/10/2017,0,0,8.4(0.00 %),0,0,0,0,6371023,6.53
25/10/2017,0,0,8.7(3.57 %),0,0,0,0,6371023,6.53
26/10/2017,0,0,8.9(1.14 %),0,0,0,0,6371023,6.53
27/10/2017,0,0,8.9(0.00 %),0,0,0,0,6371023,6.53
30/10/2017,-4000,-32000000,7.6(-14.61 %),0,0,4000,32000000,6371023,6.53
31/10/2017,-400,-3240000,8.1(2.53 %),0,0,400,3240000,6371023,6.53
01/11/2017,0,0,8.1(0.00 %),0,0,0,0,6371023,6.53
02/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375023,6.5
03/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375423,6.5
06/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375423,6.5
07/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375423,6.5
08/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375423,6.5
09/11/2017,0,0,8.1(0.00 %),0,0,0,0,6375423,6.5
10/11/2017,0,0,7.9(-2.47 %),0,0,0,0,6375423,6.5
13/11/2017,0,0,7.8(6.85 %),0,0,0,0,6375423,6.5
14/11/2017,0,0,8.1(14.08 %),0,0,0,0,6375423,6.5
15/11/2017,-100,-800000,8(-1.23 %),0,0,100,800000,6375423,6.5
16/11/2017,-200,-1600000,7.9(-1.25 %),0,0,200,1600000,6375423,6.5
17/11/2017,0,0,7.3(0.00 %),0,0,0,0,6375423,6.5
20/11/2017,0,0,7.9(8.22 %),0,0,0,0,6375523,6.5
21/11/2017,0,0,7.8(-1.27 %),0,0,0,0,6375723,6.5
22/11/2017,-100,-800000,8(3.90 %),0,0,100,800000,6375723,6.5
23/11/2017,0,0,7.9(0.00 %),0,0,0,0,6375723,6.5
24/11/2017,0,0,8(1.27 %),0,0,0,0,6375723,6.5
27/11/2017,-200,-1600000,7.9(0.00 %),0,0,200,1600000,6375823,6.49
28/11/2017,-100,-800000,8(1.27 %),0,0,100,800000,6375823,6.49
29/11/2017,-100,-800000,8(0.00 %),0,0,100,800000,6375823,6.49
30/11/2017,-200,-1600000,8(0.00 %),0,0,200,1600000,6376023,6.49
01/12/2017,-400,-3200000,8(0.00 %),0,0,400,3200000,6376123,6.49
04/12/2017,-500,-4000000,8(0.00 %),0,0,500,4000000,6376223,6.49
05/12/2017,-100,-800000,8(0.00 %),0,0,100,800000,6376423,6.49
06/12/2017,0,0,7.8(-2.50 %),0,0,0,0,6376823,6.49
07/12/2017,-200,-1600000,8(1.27 %),0,0,200,1600000,6377323,6.48
08/12/2017,-100,-800000,8(0.00 %),0,0,100,800000,6377423,6.48
11/12/2017,-200,-1600000,8(1.27 %),0,0,200,1600000,6377423,6.48
12/12/2017,-100,-800000,8(1.27 %),0,0,100,800000,6377623,6.48
13/12/2017,-200,-1600000,8(0.00 %),0,0,200,1600000,6377723,6.48
14/12/2017,-100,-800000,8(0.00 %),0,0,100,800000,6377923,6.48
15/12/2017,0,0,8(0.00 %),0,0,0,0,6378023,6.48
18/12/2017,-200,-1600000,7.9(-1.25 %),0,0,200,1600000,6378223,6.48
19/12/2017,-200,-1600000,8(1.27 %),0,0,200,1600000,6378323,6.48
