Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/12/2016,9.27,16.1,4.6(40.00 %),11000,177100000,0,0,16.1,16.1,16.1
23/12/2016,10.65,18.5,2.4(14.91 %),4700,86950000,0,0,18.5,18.5,18.5
26/12/2016,11.52,20.0,1.5(8.11 %),3700,74000000,0,0,20.0,20.0,20.0
27/12/2016,9.79,17.0,-3(-15.00 %),800,13600000,0,0,17.0,17.0,17.0
28/12/2016,9.21,16.0,-1(-5.88 %),4400,67640000,0,0,16.1,16.1,14.5
29/12/2016,9.21,16.0,0.6(3.90 %),600,9100000,0,0,15.0,16.0,15.0
30/12/2016,9.21,16.0,0.8(5.26 %),1000,16000000,0,0,16.0,16.0,16.0
03/01/2017,9.21,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
04/01/2017,8.64,15.0,-1(-6.25 %),300,4500000,9000,122400000,15.0,15.0,15.0
05/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
06/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
09/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
10/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/01/2017,8.64,15.0,0(0.00 %),2000,30000000,0,0,15.0,15.0,15.0
12/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
13/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
16/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
17/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
18/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
19/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
20/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/01/2017,8.64,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
25/01/2017,8.41,14.6,-0.4(-2.67 %),8000,116100000,0,0,14.5,14.6,14.5
02/02/2017,8.06,14.0,-0.5(-3.45 %),300,4200000,0,0,14.0,14.0,14.0
03/02/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
06/02/2017,8.64,15.0,1(7.14 %),3000,42700000,0,0,14.0,15.0,14.0
07/02/2017,8.06,14.0,-0.2(-1.41 %),200,2800000,0,0,14.0,14.0,14.0
08/02/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
09/02/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
10/02/2017,7.77,13.5,-0.5(-3.57 %),500,6750000,0,0,13.5,13.5,13.5
13/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
14/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
15/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
16/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
17/02/2017,7.77,13.5,0(0.00 %),200,2700000,0,0,13.5,13.5,13.5
20/02/2017,8.06,14.0,0.5(3.70 %),5100,71400000,0,0,14.0,14.0,14.0
21/02/2017,7.77,13.5,-0.5(-3.57 %),600,8100000,0,0,13.5,13.5,13.5
22/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
23/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
24/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
27/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
28/02/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
01/03/2017,7.77,13.5,0(0.00 %),2100,28350000,0,0,13.5,13.5,13.5
02/03/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
03/03/2017,7.72,13.4,-0.1(-0.74 %),4000,53600000,0,0,13.4,13.4,13.4
06/03/2017,7.6,13.2,-0.2(-1.49 %),1200,15840000,0,0,13.2,13.2,13.2
07/03/2017,7.72,13.4,0.2(1.52 %),2050,27450000,0,0,13.4,13.4,13.4
08/03/2017,8.06,14.0,0.6(4.48 %),100,1400000,0,0,14.0,14.0,14.0
09/03/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
10/03/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
13/03/2017,7.48,13.0,-1(-7.14 %),31800,413400000,0,0,13.0,13.0,13.0
14/03/2017,7.48,13.0,0(0.00 %),7400,96200000,0,0,13.0,13.0,13.0
15/03/2017,7.48,13.0,0(0.00 %),6600,85800000,0,0,13.0,13.0,13.0
16/03/2017,7.48,13.0,0(0.00 %),4500,58500000,0,0,13.0,13.0,13.0
17/03/2017,7.48,13.0,0(0.00 %),1600,20800000,0,0,13.0,13.0,13.0
20/03/2017,7.48,13.0,0(0.00 %),5000,65000000,0,0,13.0,13.0,13.0
21/03/2017,7.48,13.0,0(0.00 %),20500,266500000,0,0,13.0,13.0,13.0
22/03/2017,7.48,13.0,0(0.00 %),7000,91000000,0,0,13.0,13.0,13.0
23/03/2017,7.48,13.0,0(0.00 %),2200,28600000,0,0,13.0,13.0,13.0
24/03/2017,7.48,13.0,0(0.00 %),700,9100000,0,0,13.0,13.0,13.0
27/03/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
28/03/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
29/03/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
30/03/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
31/03/2017,8.06,14.0,1(7.69 %),1040,14560000,2800,31080000,14.0,14.0,14.0
03/04/2017,8.06,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
04/04/2017,8.06,14.0,0(0.00 %),300,4200000,0,0,14.0,14.0,14.0
05/04/2017,6.85,11.9,-2.1(-15.00 %),100,1190000,0,0,11.9,11.9,11.9
07/04/2017,7.2,12.5,0.6(5.04 %),500,6210000,0,0,12.1,12.5,12.1
10/04/2017,7.14,12.4,0(0.00 %),0,0,0,0,12.4,12.4,12.4
11/04/2017,7.2,12.5,0.1(0.81 %),3500,43750000,0,0,12.5,12.5,12.5
12/04/2017,6.91,12.0,-0.5(-4.00 %),3000,36000000,0,0,12.0,12.0,12.0
13/04/2017,6.56,11.4,-0.6(-5.00 %),13500,156390000,0,0,11.7,11.8,11.4
14/04/2017,6.56,11.4,-0.2(-1.72 %),1100,12540000,0,0,11.4,11.4,11.4
17/04/2017,6.56,11.4,0(0.00 %),66900,760490000,0,0,11.6,12.0,11.0
18/04/2017,6.56,11.4,0(0.00 %),0,0,0,0,11.4,11.4,11.4
19/04/2017,6.56,11.4,0(0.00 %),0,0,0,0,11.4,11.4,11.4
20/04/2017,6.56,11.4,0(0.00 %),0,0,0,0,11.4,11.4,11.4
21/04/2017,6.56,11.4,0(0.00 %),0,0,0,0,11.4,11.4,11.4
24/04/2017,7.2,12.5,1.1(9.65 %),2000,25000000,0,0,12.5,12.5,12.5
25/04/2017,7.48,13.0,0.5(4.00 %),32600,423130000,0,0,12.8,13.1,12.8
26/04/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
27/04/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
28/04/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
03/05/2017,7.48,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
04/05/2017,7.6,13.2,0.2(1.54 %),200,2640000,0,0,13.2,13.2,13.2
05/05/2017,7.6,13.2,0(0.00 %),26400,346460000,0,0,11.5,13.2,11.5
08/05/2017,7.54,13.1,0(0.00 %),0,0,0,0,13.1,13.1,13.1
09/05/2017,7.6,13.2,0.1(0.76 %),16100,211940000,0,0,13.0,13.2,13.0
10/05/2017,7.77,13.5,0.3(2.27 %),5400,72840000,0,0,13.2,13.5,13.2
11/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
12/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
15/05/2017,7.48,13.0,-0.5(-3.70 %),9000,120500000,0,0,13.5,13.5,13.0
16/05/2017,7.77,13.5,0.1(0.75 %),5600,75500000,0,0,13.0,13.5,13.0
17/05/2017,7.77,13.5,0(0.00 %),22000,297000000,0,0,13.5,13.5,13.5
18/05/2017,7.77,13.5,0(0.00 %),13000,175500000,0,0,13.5,13.5,13.5
19/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
22/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
23/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
24/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
25/05/2017,7.77,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
26/05/2017,7.83,13.6,0.1(0.74 %),4900,66640000,0,0,13.6,13.6,13.6
29/05/2017,7.83,13.6,0(0.00 %),0,0,0,0,13.6,13.6,13.6
30/05/2017,7.54,13.1,-0.5(-3.68 %),15000,196500000,0,0,13.1,13.1,13.1
31/05/2017,7.54,13.1,0(0.00 %),0,0,0,0,13.1,13.1,13.1
01/06/2017,7.54,13.1,0(0.00 %),3000,39300000,0,0,13.1,13.1,13.1
02/06/2017,7.54,13.1,0(0.00 %),0,0,0,0,13.1,13.1,13.1
05/06/2017,7.77,13.5,0.4(3.05 %),6900,93150000,0,0,13.5,13.5,13.5
