Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
15/05/2024,7.9,7.9,0.8(11.27 %),46500,365790000,0,0,9.9,9.9,7.5
16/05/2024,7.8,7.8,-0.1(-1.27 %),11701,90887900,0,0,7.9,7.9,7.5
17/05/2024,7.8,7.8,0(0.00 %),23597,187634500,0,0,7.8,8.3,7.8
20/05/2024,7.9,7.9,-0.1(-1.25 %),5710,45048000,0,0,7.9,7.9,7.8
21/05/2024,7.8,7.8,-0.1(-1.27 %),11644,90866100,0,0,7.6,7.9,7.6
22/05/2024,7.7,7.7,-0.1(-1.28 %),11002,83695000,0,0,7.5,7.7,7.5
23/05/2024,7.5,7.5,-0.1(-1.32 %),1032,7807300,0,0,7.6,7.6,7.5
24/05/2024,7.5,7.5,-0.1(-1.32 %),5914,44213700,0,0,7.7,7.7,7.4
27/05/2024,7.5,7.5,0(0.00 %),9711,74496600,0,0,7.7,7.9,7.5
28/05/2024,7.6,7.6,-0.1(-1.30 %),7600,57490000,0,0,7.7,7.8,7.5
29/05/2024,7.6,7.6,0(0.00 %),12040,91054000,0,0,7.6,7.7,7.5
30/05/2024,7.5,7.5,-0.1(-1.32 %),7709,58077500,0,0,7.6,7.7,7.5
31/05/2024,7.6,7.6,0.1(1.33 %),4920,37008000,0,0,7.5,7.7,7.5
03/06/2024,7.4,7.4,-0.1(-1.33 %),2700,20190000,0,0,7.7,7.7,7.4
04/06/2024,7.3,7.3,-0.2(-2.67 %),9925,73616200,0,0,7.5,7.5,7.3
05/06/2024,7.3,7.3,-0.1(-1.35 %),26261,194231500,0,0,7.4,7.5,7.3
06/06/2024,7.3,7.3,-0.1(-1.35 %),3841,28260700,0,0,7.4,7.5,7.2
07/06/2024,7.3,7.3,-0.1(-1.35 %),4003,29222200,0,0,7.3,7.3,7.3
10/06/2024,7.4,7.4,0.1(1.37 %),3003,22121900,0,0,7.4,7.4,7.3
11/06/2024,7.3,7.3,-0.1(-1.35 %),5000,36170000,0,0,7.4,7.4,7.2
12/06/2024,7.2,7.2,0(0.00 %),2801,20167200,0,0,7.2,7.2,7.2
13/06/2024,7.3,7.3,0.1(1.39 %),7210,52205000,0,0,7.2,7.3,7.2
14/06/2024,7.5,7.5,0.3(4.17 %),3437,25530100,0,0,7.3,7.5,7.3
17/06/2024,7.4,7.4,0(0.00 %),9451,70692600,0,0,7.3,7.6,7.3
18/06/2024,7.6,7.6,0.1(1.33 %),3305,25088000,0,0,7.5,7.9,7.4
19/06/2024,7.6,7.6,0(0.00 %),1600,11600000,0,0,7.6,7.6,7.0
20/06/2024,7.3,7.3,0(0.00 %),2721,19963300,0,0,7.3,7.4,7.3
21/06/2024,7.4,7.4,0.1(1.37 %),52445,369404500,0,0,7.3,7.5,7.0
24/06/2024,7.6,7.6,0.6(8.57 %),24602,187985100,0,0,7.4,7.8,7.4
25/06/2024,7.7,7.7,0.1(1.32 %),2750,21407400,0,0,7.6,7.9,7.6
26/06/2024,7.3,7.3,-0.5(-6.41 %),3107,23324600,0,0,7.8,7.8,7.3
27/06/2024,7.5,7.5,0(0.00 %),1505,11056500,0,0,7.5,7.5,7.2
28/06/2024,7.3,7.3,0(0.00 %),1400,10220000,0,0,7.5,7.5,7.1
01/07/2024,7.3,7.3,0(0.00 %),1620,11766000,0,0,7.2,7.3,7.2
02/07/2024,7.2,7.2,-0.1(-1.37 %),900,6560000,0,0,7.3,7.4,7.2
03/07/2024,7.3,7.3,0(0.00 %),2510,18323000,0,0,7.3,7.3,7.3
04/07/2024,7.4,7.4,0.1(1.37 %),3872,28396600,0,0,7.3,7.4,7.3
05/07/2024,7.3,7.3,0(0.00 %),6200,44200000,0,0,7.1,7.3,7.1
08/07/2024,7.2,7.2,0.1(1.41 %),2200,15760000,0,0,7.3,7.3,7.1
09/07/2024,7.2,7.2,0(0.00 %),300,2170000,0,0,7.3,7.3,7.2
10/07/2024,7.2,7.2,0(0.00 %),400,2880000,0,0,7.2,7.2,7.2
11/07/2024,7.3,7.3,0.1(1.39 %),2700,19540000,0,0,7.2,7.3,7.1
12/07/2024,7.2,7.2,0(0.00 %),100,720000,0,0,7.2,7.2,7.2
15/07/2024,7.2,7.2,0(0.00 %),4305,30945500,0,0,7.2,7.2,7.1
16/07/2024,7.2,7.2,0(0.00 %),515,3738000,0,0,7.5,7.5,7.2
17/07/2024,7.2,7.2,-0.1(-1.37 %),1500,10800000,0,0,7.2,7.2,7.2
18/07/2024,7.3,7.3,0.1(1.39 %),4800,34420000,0,0,7.2,7.3,7.1
19/07/2024,7.1,7.1,-0.1(-1.39 %),1300,9300000,0,0,7.2,7.2,7.1
22/07/2024,7.2,7.2,0(0.00 %),900,6480000,0,0,7.2,7.2,7.2
23/07/2024,7.3,7.3,0.1(1.39 %),2900,21000000,0,0,7.2,7.3,7.2
24/07/2024,7.1,7.1,-0.1(-1.39 %),5504,39229200,0,0,7.2,7.2,7.1
25/07/2024,7.2,7.2,0.1(1.41 %),1301,9377100,0,0,7.3,7.3,7.2
26/07/2024,7.3,7.3,0.1(1.39 %),908,6870800,0,0,7.6,7.6,7.3
29/07/2024,7.3,7.3,-0.3(-3.95 %),206,1513800,0,0,7.4,7.4,7.3
30/07/2024,7.4,7.4,0(0.00 %),0,0,0,0,7.4,7.4,7.4
31/07/2024,7.2,7.2,-0.2(-2.70 %),3600,26030000,0,0,7.3,7.3,7.1
01/08/2024,7.2,7.2,0(0.00 %),3207,23293600,0,0,7.4,7.4,7.2
02/08/2024,7.2,7.2,-0.1(-1.37 %),6000,42990000,0,0,7.2,7.3,7.1
05/08/2024,7.1,7.1,-0.1(-1.39 %),2011,14379200,0,0,7.2,7.2,7.1
06/08/2024,7.1,7.1,-0.1(-1.39 %),1162,8249400,0,0,7.1,7.1,7.1
07/08/2024,7.1,7.1,0(0.00 %),9,63900,0,0,7.1,7.1,7.1
08/08/2024,7.1,7.1,0(0.00 %),5000,35550000,0,0,7.1,7.2,7.1
09/08/2024,7.1,7.1,0(0.00 %),3404,24438400,0,0,7.2,7.2,7.1
12/08/2024,7.1,7.1,-0.1(-1.39 %),1000,7100000,0,0,7.1,7.1,7.1
13/08/2024,7.2,7.2,0.1(1.41 %),331,2380200,0,0,7.2,7.2,7.2
14/08/2024,7.1,7.1,-0.1(-1.39 %),234,1671600,0,0,7.2,7.2,7.1
15/08/2024,7.2,7.2,0(0.00 %),124,891900,0,0,7.2,7.2,7.2
16/08/2024,7.1,7.1,-0.1(-1.39 %),3030,21704300,0,0,7.2,7.2,7.1
19/08/2024,7.2,7.2,0(0.00 %),221,1579100,0,0,7.1,7.2,7.1
20/08/2024,7.2,7.2,0(0.00 %),1940,13934200,0,0,7.1,7.2,7.1
21/08/2024,7.2,7.2,0(0.00 %),1802,12974400,0,0,7.2,7.2,7.2
22/08/2024,7.2,7.2,0(0.00 %),1200,8630000,0,0,7.1,7.2,7.1
23/08/2024,7.2,7.2,0(0.00 %),3303,23751600,0,0,7.1,7.2,7.1
26/08/2024,7.2,7.2,0(0.00 %),6906,49713200,0,0,7.1,7.2,7.1
27/08/2024,7.1,7.1,-0.1(-1.39 %),901,6397100,0,0,7.1,7.1,7.1
28/08/2024,7.2,7.2,0.1(1.41 %),280,2008000,0,0,7.2,7.2,7.2
29/08/2024,7.2,7.2,0(0.00 %),612,4365400,0,0,7.2,7.2,7.1
30/08/2024,7.1,7.1,0(0.00 %),6405,45475000,0,0,7.1,7.1,7.1
04/09/2024,7.1,7.1,0(0.00 %),1302,9244200,0,0,7.1,7.1,7.1
05/09/2024,7.0,7.0,-0.1(-1.41 %),711,4998100,0,0,7.1,7.1,7.0
06/09/2024,7.0,7.0,0(0.00 %),2501,17376900,0,0,7.0,7.0,6.9
09/09/2024,7.0,7.0,0.1(1.45 %),807,5642000,0,0,7.0,7.0,7.0
10/09/2024,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
11/09/2024,7.0,7.0,0(0.00 %),3401,23807000,0,0,7.0,7.0,7.0
12/09/2024,6.8,6.8,-0.2(-2.86 %),2201,15126800,0,0,6.9,6.9,6.8
13/09/2024,6.9,6.9,0(0.00 %),0,0,0,0,6.9,6.9,6.9
16/09/2024,6.8,6.8,-0.1(-1.45 %),5,32500,0,0,6.9,6.9,6.9
17/09/2024,6.9,6.9,0(0.00 %),0,0,0,0,6.9,6.9,6.9
18/09/2024,6.9,6.9,0(0.00 %),0,0,0,0,6.9,6.9,6.9
19/09/2024,7.0,7.0,0.1(1.45 %),279,1928900,0,0,7.0,7.0,7.0
20/09/2024,7.0,7.0,0(0.00 %),3916,26808800,0,0,6.9,7.0,6.8
23/09/2024,6.8,6.8,0(0.00 %),106,720200,0,0,6.8,6.8,6.8
24/09/2024,6.9,6.9,0.1(1.47 %),101,696800,0,0,6.9,6.9,6.9
25/09/2024,6.8,6.8,-0.1(-1.45 %),2801,19096800,0,0,7.0,7.0,6.8
26/09/2024,6.8,6.8,0(0.00 %),0,0,0,0,6.8,6.8,6.8
27/09/2024,6.9,6.9,0.1(1.47 %),3900,26590000,0,0,6.9,6.9,6.8
30/09/2024,6.8,6.8,0(0.00 %),100,680000,0,0,6.8,6.8,6.8
01/10/2024,6.8,6.8,0(0.00 %),12550,85051800,0,0,6.8,6.8,6.6
02/10/2024,6.8,6.8,0(0.00 %),300,2040000,0,0,6.8,6.8,6.8
03/10/2024,7.3,7.3,0.5(7.35 %),30518,207570800,0,0,6.8,7.5,6.7
04/10/2024,6.6,6.6,-0.2(-2.94 %),1604,10259200,0,0,7.3,7.3,6.0
07/10/2024,6.6,6.6,0.2(3.12 %),63,407200,0,0,6.4,6.4,6.4
08/10/2024,6.5,6.5,0.1(1.56 %),104,673500,0,0,6.5,6.5,6.5
09/10/2024,6.4,6.4,-0.1(-1.54 %),620,3989000,0,0,6.5,6.5,6.4
10/10/2024,6.5,6.5,0.1(1.56 %),533,3394200,0,0,6.4,6.5,6.4
11/10/2024,6.5,6.5,0.1(1.56 %),884,5623500,0,0,6.5,6.5,6.4
14/10/2024,6.5,6.5,0.1(1.56 %),1972,12846400,0,0,6.5,6.5,6.5
15/10/2024,6.5,6.5,0(0.00 %),400,2600000,0,0,6.5,6.5,6.5
16/10/2024,6.5,6.5,0(0.00 %),7740,50310000,0,0,6.5,6.5,6.5
17/10/2024,6.5,6.5,0(0.00 %),305,1982500,0,0,6.5,6.5,6.5
18/10/2024,6.6,6.6,0.1(1.54 %),300,1980000,0,0,6.6,6.6,6.6
21/10/2024,6.7,6.7,0.1(1.52 %),1941,12591300,0,0,6.3,6.7,6.3
22/10/2024,6.7,6.7,0.2(3.08 %),6,39000,0,0,6.5,6.5,6.5
23/10/2024,6.7,6.7,0.2(3.08 %),100,670000,0,0,6.7,6.7,6.7
24/10/2024,6.5,6.5,-0.2(-2.99 %),1200,7630000,0,0,6.4,6.7,6.3
25/10/2024,6.4,6.4,0(0.00 %),3800,24170000,0,0,6.3,6.4,6.3
28/10/2024,6.5,6.5,0.1(1.56 %),500,3200000,0,0,6.4,6.5,6.3
29/10/2024,6.6,6.6,0.2(3.12 %),1700,11220000,0,0,6.6,6.6,6.6
30/10/2024,6.7,6.7,0.1(1.52 %),1500,10040000,0,0,6.6,6.7,6.6
31/10/2024,6.7,6.7,0(0.00 %),0,0,0,0,6.7,6.7,6.7
01/11/2024,6.6,6.6,-0.1(-1.49 %),3909,25569400,0,0,6.8,6.8,6.5
04/11/2024,6.5,6.5,0(0.00 %),1800,11700000,0,0,6.5,6.5,6.5
05/11/2024,6.5,6.5,0(0.00 %),0,0,0,0,6.5,6.5,6.5
06/11/2024,6.4,6.4,-0.1(-1.54 %),1600,10240000,0,0,6.4,6.4,6.4
07/11/2024,6.4,6.4,0(0.00 %),100,640000,0,0,6.4,6.4,6.4
08/11/2024,6.6,6.6,0.2(3.12 %),1000,6600000,0,0,6.6,6.6,6.6
11/11/2024,6.6,6.6,0(0.00 %),10900,71650000,0,0,6.4,6.6,6.3
12/11/2024,6.6,6.6,0(0.00 %),8101,53445700,0,0,6.4,6.6,6.4
13/11/2024,6.6,6.6,0(0.00 %),1800,11880000,0,0,6.6,6.6,6.6
14/11/2024,6.4,6.4,-0.2(-3.03 %),7202,47253800,0,0,6.4,6.6,6.4
15/11/2024,6.6,6.6,0(0.00 %),0,0,0,0,6.6,6.6,6.6
18/11/2024,6.6,6.6,0(0.00 %),0,0,0,0,6.6,6.6,6.6
19/11/2024,6.6,6.6,0(0.00 %),27160,179226000,0,0,6.6,6.6,6.6
20/11/2024,6.6,6.6,0(0.00 %),10000,66000000,0,0,6.6,6.6,6.6
21/11/2024,6.6,6.6,0(0.00 %),5200,34320000,0,0,6.6,6.6,6.6
22/11/2024,6.7,6.7,0.1(1.52 %),20200,134010000,0,0,6.6,6.7,6.5
