Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/04/2010,0,0,15.7(-12.78 %),0,0,0,0,6615000,0.0
06/04/2010,0,0,15(-5.66 %),0,0,0,0,6615000,0.0
07/04/2010,0,0,15.8(3.95 %),0,0,0,0,6615000,0.0
08/04/2010,0,0,16.4(6.49 %),0,0,0,0,6615000,0.0
09/04/2010,0,0,16.7(2.45 %),0,0,0,0,6615000,0.0
12/04/2010,0,0,16.1(-3.01 %),0,0,0,0,6615000,0.0
13/04/2010,0,0,15.9(-4.22 %),0,0,0,0,6615000,0.0
14/04/2010,0,0,15.5(-2.52 %),0,0,0,0,6615000,0.0
15/04/2010,0,0,15.7(1.95 %),0,0,0,0,6615000,0.0
16/04/2010,0,0,15.8(1.94 %),0,0,0,0,6615000,0.0
19/04/2010,0,0,15.6(-0.64 %),0,0,0,0,6615000,0.0
20/04/2010,0,0,15.5(-1.90 %),0,0,0,0,6615000,0.0
21/04/2010,5000,79000000,16.1(2.55 %),5000,79000000,0,0,6610000,0.04
22/04/2010,0,0,17(6.92 %),0,0,0,0,6610000,0.04
26/04/2010,8000,144800000,18(5.88 %),8000,144800000,0,0,6602000,0.1
27/04/2010,0,0,18.1(1.12 %),0,0,0,0,6602000,0.1
28/04/2010,-900,-16350000,18.1(1.12 %),100,1850000,1000,18200000,6602900,0.09
29/04/2010,0,0,19.1(6.70 %),0,0,0,0,6602900,0.09
04/05/2010,0,0,19.9(6.99 %),0,0,0,0,6602900,0.09
05/05/2010,-4000,-83600000,21.2(6.53 %),0,0,4000,83600000,6606900,0.06
06/05/2010,0,0,22.5(6.64 %),0,0,0,0,6606900,0.06
07/05/2010,0,0,24(6.67 %),0,0,0,0,6606900,0.06
10/05/2010,-1300,-34090000,25.1(4.58 %),2700,68310000,4000,102400000,6608200,0.05
11/05/2010,-4000,-95420000,23.7(-6.69 %),0,0,4000,95420000,6612200,0.02
12/05/2010,0,0,22.5(-6.64 %),0,0,0,0,6612200,0.02
13/05/2010,0,0,21(-6.67 %),0,0,0,0,6612200,0.02
14/05/2010,0,0,22.4(6.67 %),0,0,0,0,6612200,0.02
17/05/2010,0,0,20.8(-4.15 %),0,0,0,0,6612200,0.02
18/05/2010,0,0,21.2(0.95 %),0,0,0,0,6612200,0.02
19/05/2010,0,0,19.5(-6.70 %),0,0,0,0,6612200,0.02
20/05/2010,0,0,20.8(6.12 %),0,0,0,0,6612200,0.02
21/05/2010,-2700,-49950000,18.5(-6.57 %),0,0,2700,49950000,6614900,0.0
24/05/2010,0,0,19(2.15 %),0,0,0,0,6614900,0.0
25/05/2010,0,0,17.9(-4.28 %),0,0,0,0,6614900,0.0
26/05/2010,0,0,18(0.56 %),0,0,0,0,6614900,0.0
27/05/2010,4000,76000000,18.7(3.31 %),4000,76000000,0,0,6610900,0.03
28/05/2010,0,0,19.5(6.56 %),0,0,0,0,6610900,0.03
31/05/2010,0,0,20.5(5.13 %),0,0,0,0,6610900,0.03
01/06/2010,0,0,19.8(-2.94 %),0,0,0,0,6610900,0.03
02/06/2010,0,0,19.3(-1.03 %),0,0,0,0,6610900,0.03
03/06/2010,0,0,19.2(0.00 %),0,0,0,0,6610900,0.03
04/06/2010,0,0,19.2(-1.03 %),0,0,0,0,6610900,0.03
07/06/2010,0,0,18.2(-6.67 %),0,0,0,0,6610900,0.03
08/06/2010,0,0,18.5(1.09 %),0,0,0,0,6610900,0.03
09/06/2010,0,0,18(-1.64 %),0,0,0,0,6610900,0.03
10/06/2010,0,0,18.5(0.54 %),0,0,0,0,6610900,0.03
11/06/2010,0,0,18.7(0.54 %),0,0,0,0,6610900,0.03
14/06/2010,-4000,-76000000,18.5(-0.54 %),0,0,4000,76000000,6614900,0.0
15/06/2010,0,0,18.1(-2.69 %),0,0,0,0,6614900,0.0
16/06/2010,0,0,19.5(6.56 %),0,0,0,0,6614900,0.0
17/06/2010,0,0,20.1(5.79 %),0,0,0,0,6614900,0.0
18/06/2010,1800,35640000,19.5(-2.50 %),1800,35640000,0,0,6613100,0.01
21/06/2010,0,0,19.5(-2.50 %),0,0,0,0,6613100,0.01
22/06/2010,0,0,19(-4.52 %),0,0,0,0,6613100,0.01
23/06/2010,0,0,18.9(0.00 %),0,0,0,0,6613100,0.01
24/06/2010,0,0,18.8(0.53 %),0,0,0,0,6613100,0.01
25/06/2010,0,0,18.6(-0.53 %),0,0,0,0,6613100,0.01
28/06/2010,0,0,18.6(0.00 %),0,0,0,0,6613100,0.01
29/06/2010,0,0,19.2(3.23 %),0,0,0,0,6613100,0.01
30/06/2010,0,0,18.7(-3.11 %),0,0,0,0,6613100,0.01
01/07/2010,0,0,18.5(-0.54 %),0,0,0,0,6613100,0.01
02/07/2010,0,0,18.5(0.00 %),0,0,0,0,6613100,0.01
05/07/2010,0,0,18.3(-1.61 %),0,0,0,0,6613100,0.01
06/07/2010,100,1900000,18(-1.10 %),100,1900000,0,0,6613000,0.01
07/07/2010,0,0,17.7(-1.67 %),0,0,0,0,6613000,0.01
08/07/2010,0,0,17.7(-1.12 %),0,0,0,0,6613000,0.01
09/07/2010,0,0,17.9(0.00 %),0,0,0,0,6613000,0.01
12/07/2010,0,0,17.3(-3.35 %),0,0,0,0,6613000,0.01
13/07/2010,0,0,18.2(6.43 %),0,0,0,0,6613000,0.01
14/07/2010,0,0,18.9(5.00 %),0,0,0,0,6613000,0.01
15/07/2010,0,0,18.7(-2.60 %),0,0,0,0,6613000,0.01
16/07/2010,300,5400000,18(-4.26 %),300,5400000,0,0,6612700,0.02
19/07/2010,0,0,18(-0.55 %),0,0,0,0,6612700,0.02
20/07/2010,0,0,17.7(-0.56 %),0,0,0,0,6612700,0.02
21/07/2010,0,0,17.6(-1.12 %),0,0,0,0,6612700,0.02
22/07/2010,0,0,17.5(0.00 %),0,0,0,0,6612700,0.02
23/07/2010,300,5220000,17.7(1.14 %),300,5220000,0,0,6612400,0.02
26/07/2010,0,0,17.1(-1.72 %),0,0,0,0,6612400,0.02
27/07/2010,0,0,17.3(0.58 %),0,0,0,0,6612400,0.02
28/07/2010,0,0,17.1(-3.39 %),0,0,0,0,6612400,0.02
29/07/2010,0,0,17.3(1.17 %),0,0,0,0,6612400,0.02
30/07/2010,0,0,17.4(1.16 %),0,0,0,0,6612400,0.02
02/08/2010,0,0,17.2(-1.15 %),0,0,0,0,6612400,0.02
03/08/2010,0,0,17(-1.73 %),0,0,0,0,6612400,0.02
04/08/2010,0,0,16.7(-2.91 %),0,0,0,0,6612400,0.02
05/08/2010,0,0,16.7(0.00 %),0,0,0,0,6612400,0.02
06/08/2010,0,0,15.7(-0.63 %),0,0,0,0,6612400,0.02
09/08/2010,0,0,15.5(0.65 %),0,0,0,0,6612400,0.02
10/08/2010,0,0,14.4(-6.49 %),0,0,0,0,6612400,0.02
11/08/2010,0,0,14.6(0.69 %),0,0,0,0,6612400,0.02
12/08/2010,0,0,13.4(-4.96 %),0,0,0,0,6612400,0.02
13/08/2010,0,0,12.8(-3.76 %),0,0,0,0,6612400,0.02
16/08/2010,0,0,13.6(6.25 %),0,0,0,0,6612400,0.02
17/08/2010,0,0,13.5(0.00 %),0,0,0,0,6612400,0.02
18/08/2010,0,0,13.2(0.76 %),0,0,0,0,6612400,0.02
19/08/2010,0,0,12.9(0.00 %),0,0,0,0,6612400,0.02
20/08/2010,0,0,13.2(0.76 %),0,0,0,0,6612400,0.02
23/08/2010,0,0,13.1(-0.76 %),0,0,0,0,6612400,0.02
24/08/2010,0,0,12.2(-6.15 %),0,0,0,0,6612400,0.02
25/08/2010,0,0,11.4(-5.79 %),0,0,0,0,6612400,0.02
26/08/2010,0,0,11.1(-5.13 %),0,0,0,0,6612400,0.02
27/08/2010,0,0,12(6.19 %),0,0,0,0,6612400,0.02
30/08/2010,0,0,12.1(6.14 %),0,0,0,0,6612400,0.02
31/08/2010,0,0,12.9(6.61 %),0,0,0,0,6612400,0.02
01/09/2010,0,0,13.8(6.98 %),0,0,0,0,6612400,0.02
06/09/2010,200,2860000,14.5(6.62 %),200,2860000,0,0,6612200,0.02
07/09/2010,0,0,14(-3.45 %),0,0,0,0,6612200,0.02
08/09/2010,0,0,13.6(-3.55 %),0,0,0,0,6612200,0.02
09/09/2010,0,0,14.2(4.41 %),0,0,0,0,6612200,0.02
10/09/2010,0,0,13.2(-6.38 %),0,0,0,0,6612200,0.02
13/09/2010,0,0,12.5(-6.72 %),0,0,0,0,6612200,0.02
14/09/2010,0,0,12.8(1.59 %),0,0,0,0,6612200,0.02
15/09/2010,0,0,12.9(0.00 %),0,0,0,0,6612200,0.02
16/09/2010,0,0,13.1(0.00 %),0,0,0,0,6612200,0.02
17/09/2010,400,5340000,13.6(3.82 %),400,5340000,0,0,6611800,0.02
20/09/2010,0,0,13.8(2.99 %),0,0,0,0,6611800,0.02
21/09/2010,200,2640000,12.7(-5.93 %),200,2640000,0,0,6611600,0.03
22/09/2010,0,0,12.7(-1.55 %),0,0,0,0,6611600,0.03
23/09/2010,0,0,11.6(-2.52 %),0,0,0,0,6611600,0.03
24/09/2010,0,0,11.7(0.00 %),0,0,0,0,6611600,0.03
27/09/2010,0,0,11.7(-0.85 %),0,0,0,0,6611600,0.03
28/09/2010,-100,-1180000,11.6(0.00 %),0,0,100,1180000,6611700,0.02
29/09/2010,0,0,11.3(-2.59 %),0,0,0,0,6611700,0.02
30/09/2010,0,0,11.6(1.75 %),0,0,0,0,6611700,0.02
01/10/2010,0,0,11(-5.17 %),0,0,0,0,6611700,0.02
04/10/2010,0,0,10.4(-6.31 %),0,0,0,0,6611700,0.02
05/10/2010,0,0,10.5(0.96 %),0,0,0,0,6611700,0.02
06/10/2010,-200,-2150000,10.9(4.81 %),0,0,200,2150000,6611900,0.02
07/10/2010,0,0,10.4(-2.80 %),0,0,0,0,6611900,0.02
08/10/2010,0,0,10.5(-2.78 %),0,0,0,0,6611900,0.02
11/10/2010,0,0,10.4(2.97 %),0,0,0,0,6611900,0.02
12/10/2010,0,0,10.3(-0.96 %),0,0,0,0,6611900,0.02
13/10/2010,0,0,10.3(0.98 %),0,0,0,0,6611900,0.02
14/10/2010,0,0,10.5(1.94 %),0,0,0,0,6611900,0.02
15/10/2010,0,0,10.3(0.00 %),0,0,0,0,6611900,0.02
18/10/2010,0,0,9.6(-4.00 %),0,0,0,0,6611900,0.02
19/10/2010,100,980000,9.5(-3.06 %),100,980000,0,0,6611800,0.02
20/10/2010,0,0,9.6(-1.03 %),0,0,0,0,6611800,0.02
21/10/2010,0,0,9.9(4.21 %),0,0,0,0,6611800,0.02
22/10/2010,0,0,9.9(0.00 %),0,0,0,0,6611800,0.02
25/10/2010,-100,-980000,9.8(0.00 %),0,0,100,980000,6611900,0.02
26/10/2010,0,0,10.4(6.12 %),0,0,0,0,6611900,0.02
27/10/2010,0,0,10.4(0.97 %),0,0,0,0,6611900,0.02
28/10/2010,0,0,10.2(-1.92 %),0,0,0,0,6611900,0.02
29/10/2010,0,0,10.5(0.96 %),0,0,0,0,6611900,0.02
01/11/2010,-200,-2100000,10.5(0.00 %),0,0,200,2100000,6612100,0.02
02/11/2010,0,0,10.4(-0.95 %),0,0,0,0,6612100,0.02
03/11/2010,0,0,10.5(-0.94 %),0,0,0,0,6612100,0.02
04/11/2010,0,0,10.5(0.00 %),0,0,0,0,6612100,0.02
05/11/2010,0,0,10.7(0.94 %),0,0,0,0,6612100,0.02
08/11/2010,-600,-6300000,10.4(-1.89 %),0,0,600,6300000,6612700,0.02
09/11/2010,0,0,10.4(-2.80 %),0,0,0,0,6612700,0.02
10/11/2010,0,0,10.4(0.97 %),0,0,0,0,6612700,0.02
11/11/2010,0,0,10.2(-1.92 %),0,0,0,0,6612700,0.02
12/11/2010,0,0,10.3(-0.96 %),0,0,0,0,6612700,0.02
15/11/2010,-100,-1000000,10.1(0.00 %),0,0,100,1000000,6612800,0.02
16/11/2010,0,0,10.2(2.00 %),0,0,0,0,6612800,0.02
17/11/2010,0,0,10.3(3.00 %),0,0,0,0,6612800,0.02
18/11/2010,0,0,10.5(3.96 %),0,0,0,0,6612800,0.02
19/11/2010,0,0,10.7(0.00 %),0,0,0,0,6612800,0.02
