Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
06/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
07/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
08/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
11/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
12/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
13/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
14/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
15/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
18/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
19/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
20/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
21/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
22/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
25/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
26/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
27/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
28/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
29/10/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
01/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
02/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
03/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
04/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
05/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
08/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
09/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
10/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
11/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
12/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
15/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
16/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
17/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
18/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
19/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
22/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
23/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
24/11/2010,0,0,0(0.00 %),0,0,0,0,1334025,0.0
25/11/2010,15000,356820000,0(0.00 %),15000,356820000,0,0,0,0.0
26/11/2010,23000,571900000,0(0.00 %),23000,571900000,0,0,0,49.84
29/11/2010,5000,126890000,0(0.00 %),5000,126890000,0,0,0,50.03
30/11/2010,6800,187500000,0(0.00 %),6800,187500000,0,0,0,50.28
01/12/2010,5000,129000000,0(0.00 %),5000,129000000,0,0,0,50.46
02/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.46
03/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.46
06/12/2010,-5700,-151050000,0(0.00 %),0,0,5700,151050000,0,50.25
07/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.25
08/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.25
09/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.25
10/12/2010,0,0,0(0.00 %),0,0,0,0,0,50.25
13/12/2010,-8900,-232680000,0(0.00 %),300,7620000,9200,240300000,0,49.93
