Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/10/2010,7.18,21.5,-38(-63.87 %),6100,137030000,0,0,59.5,59.5,20.0
27/10/2010,8.02,24.0,1.5(6.67 %),21400,513600000,0,0,24.0,24.0,24.0
28/10/2010,7.69,23.0,-1(-4.17 %),7400,183540000,0,0,25.6,25.6,23.0
29/10/2010,7.72,23.1,-1.7(-6.85 %),300,6930000,0,0,23.1,23.1,23.1
01/11/2010,7.18,21.5,-1.6(-6.93 %),700,15300000,0,0,21.5,22.0,21.5
02/11/2010,6.85,20.5,-1.4(-6.39 %),200,4090000,0,0,20.4,20.5,20.4
03/11/2010,6.38,19.1,-1.4(-6.83 %),500,9550000,0,0,19.1,19.1,19.1
04/11/2010,5.95,17.8,-1.3(-6.81 %),4200,75010000,0,0,17.8,20.3,17.8
05/11/2010,5.98,17.9,0(0.00 %),8800,149830000,0,0,17.8,17.9,16.7
08/11/2010,5.85,17.5,0.5(2.94 %),3000,52900000,0,0,17.5,18.0,17.5
09/11/2010,5.51,16.5,-1.1(-6.25 %),7700,132350000,0,0,17.6,17.6,16.5
10/11/2010,5.35,16.0,-1.2(-6.98 %),2700,44400000,0,0,17.2,17.2,16.0
11/11/2010,5.11,15.3,-1.1(-6.71 %),1300,20390000,0,0,15.8,15.8,15.3
12/11/2010,4.91,14.7,-1(-6.37 %),3700,54390000,0,0,14.7,14.7,14.7
15/11/2010,4.58,13.7,-1(-6.80 %),4000,54900000,0,0,13.8,13.8,13.7
16/11/2010,4.31,12.9,-0.8(-5.84 %),3200,41380000,0,0,13.0,13.0,12.9
17/11/2010,4.28,12.8,-0.1(-0.78 %),5800,74690000,0,0,12.9,12.9,12.8
18/11/2010,4.48,13.4,0.5(3.88 %),2600,35250000,0,0,13.2,13.8,13.2
19/11/2010,4.51,13.5,-0.1(-0.74 %),200,2700000,0,0,13.5,13.5,13.5
22/11/2010,4.21,12.6,-0.9(-6.67 %),5000,63000000,0,0,12.6,12.6,12.6
23/11/2010,4.34,13.0,0.4(3.17 %),100,1300000,0,0,13.0,13.0,13.0
24/11/2010,4.61,13.8,0.8(6.15 %),800,11050000,0,0,13.9,13.9,13.8
25/11/2010,4.81,14.4,0.6(4.35 %),100,1440000,0,0,14.4,14.4,14.4
26/11/2010,4.48,13.4,-1(-6.94 %),3300,44490000,0,0,14.4,14.4,13.4
29/11/2010,4.81,14.4,0.9(6.67 %),1300,18550000,0,0,12.8,14.4,12.8
30/11/2010,4.68,14.0,-0.3(-2.10 %),5400,77960000,0,0,14.1,15.0,14.0
01/12/2010,4.54,13.6,-0.8(-5.56 %),1900,26520000,0,0,13.7,14.1,13.6
02/12/2010,4.78,14.3,0.3(2.14 %),6400,92770000,0,0,14.5,14.9,14.2
03/12/2010,4.78,14.3,-0.2(-1.38 %),300,4490000,0,0,15.3,15.3,14.3
06/12/2010,4.71,14.1,-0.9(-6.00 %),9000,130780000,0,0,15.5,15.5,14.1
07/12/2010,4.68,14.0,-0.5(-3.45 %),8500,122020000,0,0,14.0,15.0,14.0
08/12/2010,4.48,13.4,-1(-6.94 %),8700,118330000,0,0,14.0,14.5,13.4
09/12/2010,4.74,14.2,0.6(4.41 %),400,5440000,0,0,13.0,14.2,13.0
10/12/2010,4.68,14.0,0.4(2.94 %),5200,70880000,0,0,13.4,14.4,13.3
13/12/2010,4.85,14.5,0.9(6.62 %),16100,231950000,0,0,14.3,14.5,14.3
14/12/2010,4.68,14.0,-0.4(-2.78 %),3100,44060000,0,0,15.0,15.0,14.0
15/12/2010,5.01,15.0,0.8(5.63 %),100,1500000,0,0,15.0,15.0,15.0
16/12/2010,4.68,14.0,-1(-6.67 %),2100,29400000,0,0,14.0,14.0,14.0
17/12/2010,4.81,14.4,0.4(2.86 %),300,4320000,0,0,14.4,14.4,14.4
20/12/2010,4.58,13.7,-0.7(-4.86 %),100,1370000,0,0,13.7,13.7,13.7
21/12/2010,4.58,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
22/12/2010,4.85,14.5,0.8(5.84 %),100,1450000,0,0,14.5,14.5,14.5
23/12/2010,4.85,14.5,0(0.00 %),0,0,0,0,14.5,14.5,14.5
24/12/2010,4.68,14.0,-0.5(-3.45 %),700,9700000,0,0,13.5,14.0,13.5
27/12/2010,4.68,14.0,0.1(0.72 %),200,2800000,0,0,14.0,14.0,14.0
28/12/2010,4.44,13.3,-0.7(-5.00 %),300,3990000,0,0,13.3,13.3,13.3
29/12/2010,4.51,13.5,0.2(1.50 %),2100,28350000,0,0,13.5,13.5,13.5
30/12/2010,4.51,13.5,0(0.00 %),0,0,0,0,13.5,13.5,13.5
31/12/2010,4.51,13.5,0(0.00 %),1600,21580000,0,0,13.5,13.5,13.3
04/01/2011,4.64,13.9,0.4(2.96 %),1000,13820000,0,0,13.5,13.9,13.5
05/01/2011,4.51,13.5,-0.3(-2.17 %),5500,76450000,0,0,14.0,14.2,13.5
06/01/2011,4.78,14.3,0.4(2.88 %),2700,37480000,0,0,13.3,14.3,13.3
07/01/2011,4.68,14.0,0.1(0.72 %),1800,25200000,0,0,14.0,14.0,14.0
10/01/2011,4.48,13.4,-0.6(-4.29 %),100,1340000,0,0,13.4,13.4,13.4
11/01/2011,4.24,12.7,-0.7(-5.22 %),100,1270000,0,0,12.7,12.7,12.7
12/01/2011,4.51,13.5,0.8(6.30 %),4500,60750000,0,0,13.5,13.5,13.5
