Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/08/2017,0,0,7(40.00 %),0,0,0,0,6615000,0.0
03/08/2017,0,0,8(14.29 %),0,0,0,0,6615000,0.0
04/08/2017,0,0,9.2(15.00 %),0,0,0,0,6615000,0.0
07/08/2017,0,0,10.5(14.13 %),0,0,0,0,6615000,0.0
08/08/2017,0,0,12(14.29 %),0,0,0,0,6615000,0.0
09/08/2017,0,0,13.8(15.00 %),0,0,0,0,6615000,0.0
10/08/2017,1000,15800000,15.8(14.49 %),1000,15800000,0,0,6614000,0.01
11/08/2017,0,0,18.1(14.56 %),0,0,0,0,6614000,0.01
14/08/2017,0,0,20.8(14.92 %),0,0,0,0,6614000,0.01
15/08/2017,-1000,-20800000,20.8(0.48 %),0,0,1000,20800000,6614000,0.01
16/08/2017,0,0,18.2(-14.55 %),0,0,0,0,6614000,0.01
17/08/2017,0,0,16.2(-13.83 %),0,0,0,0,6614000,0.01
18/08/2017,0,0,18.5(14.91 %),0,0,0,0,6615000,0.0
21/08/2017,0,0,21(14.75 %),0,0,0,0,6615000,0.0
22/08/2017,6500,156650000,24.1(14.76 %),6500,156650000,0,0,6608500,0.05
23/08/2017,0,0,27.7(14.94 %),0,0,0,0,6608500,0.05
24/08/2017,0,0,31.8(14.80 %),0,0,0,0,6608500,0.05
25/08/2017,0,0,36.5(14.78 %),0,0,0,0,6608500,0.05
28/08/2017,18000,744590000,31(-14.84 %),18000,744590000,0,0,6590500,0.18
29/08/2017,100,3070000,30.7(-14.96 %),100,3070000,0,0,6590400,0.18
30/08/2017,0,0,26.1(-14.98 %),0,0,0,0,6590400,0.18
31/08/2017,1000,25950000,22.7(-13.36 %),1000,25950000,0,0,6589400,0.19
01/09/2017,1400,33250000,27.1(14.83 %),1400,33250000,0,0,6588000,0.2
05/09/2017,2200,60040000,22.9(-12.93 %),2200,60040000,0,0,6585800,0.22
06/09/2017,1100,25030000,26.2(0.00 %),1100,25030000,0,0,6584700,0.22
07/09/2017,0,0,20.1(-11.06 %),0,0,0,0,6584700,0.22
08/09/2017,-1300,-25870000,20(-1.96 %),0,0,1300,25870000,6584700,0.22
12/09/2017,0,0,23(2.68 %),0,0,0,0,6584700,0.22
13/09/2017,400,8900000,22.1(-7.53 %),400,8900000,0,0,6585600,0.22
14/09/2017,7600,173030000,22.8(1.33 %),7600,173030000,0,0,6578000,0.27
15/09/2017,720,16458000,22.9(1.33 %),720,16458000,0,0,6577280,0.28
