Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
25/08/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
28/08/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
29/08/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
30/08/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
31/08/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
01/09/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
05/09/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
06/09/2017,0,0,0(0.00 %),0,0,0,0,6803160,0.0
07/09/2017,0,0,10(2.04 %),0,0,0,0,6803160,0.0
08/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
12/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
13/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
14/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
15/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
18/09/2017,0,0,11.2(0.00 %),0,0,0,0,6803160,0.0
19/09/2017,0,0,9.6(-14.29 %),0,0,0,0,6803160,0.0
20/09/2017,0,0,8.2(-14.58 %),0,0,0,0,6803160,0.0
21/09/2017,0,0,7(-14.63 %),0,0,0,0,6803160,0.0
22/09/2017,0,0,6(-14.29 %),0,0,0,0,6803160,0.0
25/09/2017,0,0,5.1(-15.00 %),0,0,0,0,6803160,0.0
26/09/2017,0,0,4.4(-13.73 %),0,0,0,0,6803160,0.0
27/09/2017,0,0,3.8(-13.64 %),0,0,0,0,6803160,0.0
28/09/2017,0,0,3.3(-13.16 %),0,0,0,0,6803160,0.0
29/09/2017,0,0,3(-9.09 %),0,0,0,0,6803160,0.0
02/10/2017,0,0,2.5(-13.79 %),0,0,0,0,6803160,0.0
03/10/2017,0,0,2.5(0.00 %),0,0,0,0,6803160,0.0
04/10/2017,0,0,2.3(0.00 %),0,0,0,0,6803160,0.0
05/10/2017,0,0,2.4(14.29 %),0,0,0,0,6803160,0.0
06/10/2017,0,0,2.7(12.50 %),0,0,0,0,6803160,0.0
09/10/2017,0,0,3.1(14.81 %),0,0,0,0,6803160,0.0
10/10/2017,0,0,3.5(12.90 %),0,0,0,0,6803160,0.0
11/10/2017,0,0,4(14.29 %),0,0,0,0,6803160,0.0
12/10/2017,0,0,3.4(-15.00 %),0,0,0,0,6803160,0.0
16/10/2017,0,0,2.9(-3.33 %),0,0,0,0,6803160,0.0
17/10/2017,0,0,3.1(14.81 %),0,0,0,0,6803160,0.0
19/10/2017,0,0,2.8(-12.50 %),0,0,0,0,6803160,0.0
20/10/2017,0,0,3(3.45 %),0,0,0,0,6803160,0.0
23/10/2017,0,0,2.6(-10.34 %),0,0,0,0,6803160,0.0
24/10/2017,0,0,2.7(0.00 %),0,0,0,0,6803160,0.0
25/10/2017,0,0,2.8(12.00 %),0,0,0,0,6803160,0.0
26/10/2017,0,0,2.6(-3.70 %),0,0,0,0,6803160,0.0
27/10/2017,0,0,2.5(-3.85 %),0,0,0,0,6803160,0.0
30/10/2017,0,0,2.4(-4.00 %),0,0,0,0,6803160,0.0
31/10/2017,0,0,2.3(-4.17 %),0,0,0,0,6803160,0.0
01/11/2017,0,0,2.3(0.00 %),0,0,0,0,6803160,0.0
02/11/2017,0,0,2.5(8.70 %),0,0,0,0,6803160,0.0
03/11/2017,0,0,2.3(0.00 %),0,0,0,0,6803160,0.0
06/11/2017,0,0,2.2(-8.33 %),0,0,0,0,6803160,0.0
07/11/2017,0,0,2.1(-8.70 %),0,0,0,0,6803160,0.0
08/11/2017,0,0,2.1(0.00 %),0,0,0,0,6803160,0.0
09/11/2017,0,0,2.3(9.52 %),0,0,0,0,6803160,0.0
10/11/2017,0,0,2.1(-8.70 %),0,0,0,0,6803160,0.0
13/11/2017,0,0,2.1(0.00 %),0,0,0,0,6803160,0.0
14/11/2017,0,0,2(-4.76 %),0,0,0,0,6803160,0.0
15/11/2017,0,0,1.8(-10.00 %),0,0,0,0,6803160,0.0
16/11/2017,0,0,2(11.11 %),0,0,0,0,6803160,0.0
17/11/2017,0,0,2(0.00 %),0,0,0,0,6803160,0.0
20/11/2017,0,0,1.9(-5.00 %),0,0,0,0,6803160,0.0
21/11/2017,0,0,1.8(-5.26 %),0,0,0,0,6803160,0.0
22/11/2017,0,0,1.8(0.00 %),0,0,0,0,6803160,0.0
23/11/2017,0,0,1.8(0.00 %),0,0,0,0,6803160,0.0
24/11/2017,0,0,1.8(0.00 %),0,0,0,0,6803160,0.0
27/11/2017,0,0,1.9(5.56 %),0,0,0,0,6803160,0.0
28/11/2017,0,0,1.9(5.56 %),0,0,0,0,6803160,0.0
29/11/2017,0,0,1.8(-5.26 %),0,0,0,0,6803160,0.0
30/11/2017,0,0,1.7(-5.56 %),0,0,0,0,6803160,0.0
01/12/2017,0,0,1.7(-5.56 %),0,0,0,0,6803160,0.0
04/12/2017,17500,29750000,1.8(5.88 %),17500,29750000,0,0,6785660,0.13
05/12/2017,0,0,1.7(0.00 %),0,0,0,0,6785660,0.13
06/12/2017,0,0,1.6(-5.88 %),0,0,0,0,6785660,0.13
07/12/2017,0,0,1.6(0.00 %),0,0,0,0,6785660,0.13
08/12/2017,0,0,1.7(6.25 %),0,0,0,0,6785660,0.13
11/12/2017,0,0,1.6(0.00 %),0,0,0,0,6785660,0.13
12/12/2017,0,0,1.5(-6.25 %),0,0,0,0,6785660,0.13
13/12/2017,0,0,1.5(0.00 %),0,0,0,0,6785660,0.13
14/12/2017,0,0,1.7(13.33 %),0,0,0,0,6785660,0.13
15/12/2017,100,170000,1.6(0.00 %),100,170000,0,0,6785560,0.13
18/12/2017,0,0,1.6(0.00 %),0,0,0,0,6785560,0.13
19/12/2017,0,0,1.5(-6.25 %),0,0,0,0,6785560,0.13
20/12/2017,0,0,1.5(0.00 %),0,0,0,0,6785560,0.13
21/12/2017,0,0,1.5(0.00 %),0,0,0,0,6785560,0.13
22/12/2017,0,0,1.6(6.67 %),0,0,0,0,6785560,0.13
25/12/2017,0,0,1.5(0.00 %),0,0,0,0,6785560,0.13
26/12/2017,-100,-140000,1.5(0.00 %),0,0,100,140000,6785560,0.13
27/12/2017,0,0,1.5(7.14 %),0,0,0,0,6785560,0.13
28/12/2017,0,0,1.4(0.00 %),0,0,0,0,6785560,0.13
29/12/2017,40000,56000000,1.4(0.00 %),40000,56000000,0,0,6745660,0.41
02/01/2018,0,0,1.5(7.14 %),0,0,0,0,6745660,0.41
03/01/2018,0,0,1.4(0.00 %),0,0,0,0,6745660,0.41
04/01/2018,0,0,1.6(14.29 %),0,0,0,0,6745660,0.41
05/01/2018,0,0,1.7(13.33 %),0,0,0,0,6745660,0.41
08/01/2018,17000,32300000,1.9(11.76 %),17000,32300000,0,0,6728660,0.54
09/01/2018,0,0,1.8(-5.26 %),0,0,0,0,6728660,0.54
10/01/2018,0,0,1.7(-5.56 %),0,0,0,0,6728660,0.54
11/01/2018,0,0,1.7(0.00 %),0,0,0,0,6728660,0.54
12/01/2018,0,0,1.7(6.25 %),0,0,0,0,6728660,0.54
15/01/2018,0,0,1.8(5.88 %),0,0,0,0,6728660,0.54
16/01/2018,0,0,1.9(5.56 %),0,0,0,0,6728660,0.54
17/01/2018,0,0,1.8(-5.26 %),0,0,0,0,6728660,0.54
18/01/2018,0,0,1.8(0.00 %),0,0,0,0,6728660,0.54
19/01/2018,0,0,2(11.11 %),0,0,0,0,6728660,0.54
22/01/2018,0,0,2.1(10.53 %),0,0,0,0,6728660,0.54
23/01/2018,-15600,-37440000,2.3(9.52 %),1400,3360000,17000,40800000,6727260,0.55
24/01/2018,0,0,2.5(4.17 %),0,0,0,0,6727260,0.55
25/01/2018,0,0,2.5(0.00 %),0,0,0,0,6727260,0.55
26/01/2018,0,0,2.3(-4.17 %),0,0,0,0,6744260,0.42
29/01/2018,0,0,2.1(-8.70 %),0,0,0,0,6744260,0.42
30/01/2018,200,420000,2.2(4.76 %),200,420000,0,0,6744060,0.43
31/01/2018,18600,46500000,2.5(13.64 %),18600,46500000,0,0,6725460,0.56
01/02/2018,4200,11760000,2.7(8.00 %),4200,11760000,0,0,6721260,0.59
02/02/2018,0,0,2.6(-3.70 %),0,0,0,0,6721260,0.59
05/02/2018,0,0,2.5(0.00 %),0,0,0,0,6721260,0.59
06/02/2018,0,0,2.2(-12.00 %),0,0,0,0,6721260,0.59
07/02/2018,0,0,2.2(0.00 %),0,0,0,0,6721260,0.59
08/02/2018,0,0,2.2(-4.35 %),0,0,0,0,6721260,0.59
09/02/2018,0,0,2.1(-4.55 %),0,0,0,0,6721260,0.59
12/02/2018,0,0,2.2(4.76 %),0,0,0,0,6721260,0.59
13/02/2018,0,0,2.2(-4.35 %),0,0,0,0,6721260,0.59
21/02/2018,0,0,2.1(-4.55 %),0,0,0,0,6721260,0.59
22/02/2018,0,0,2.1(-4.55 %),0,0,0,0,6721260,0.59
23/02/2018,0,0,2.1(5.00 %),0,0,0,0,6721260,0.59
26/02/2018,0,0,2.2(10.00 %),0,0,0,0,6721260,0.59
27/02/2018,0,0,2.1(0.00 %),0,0,0,0,6721260,0.59
28/02/2018,0,0,2(-4.76 %),0,0,0,0,6721260,0.59
01/03/2018,0,0,2(0.00 %),0,0,0,0,6721260,0.59
02/03/2018,-21400,-38520000,1.8(-5.26 %),0,0,21400,38520000,6721260,0.59
05/03/2018,0,0,1.6(-11.11 %),0,0,0,0,6721260,0.59
06/03/2018,0,0,1.7(0.00 %),0,0,0,0,6721260,0.59
07/03/2018,0,0,1.9(11.76 %),0,0,0,0,6742660,0.44
08/03/2018,0,0,1.8(0.00 %),0,0,0,0,6742660,0.44
09/03/2018,0,0,1.8(5.88 %),0,0,0,0,6742660,0.44
12/03/2018,0,0,1.7(0.00 %),0,0,0,0,6742660,0.44
13/03/2018,0,0,1.7(0.00 %),0,0,0,0,6742660,0.44
14/03/2018,0,0,1.7(6.25 %),0,0,0,0,6742660,0.44
15/03/2018,300,480000,1.7(6.25 %),300,480000,0,0,6742360,0.44
16/03/2018,5000,8000000,1.5(-6.25 %),5000,8000000,0,0,6737360,0.47
19/03/2018,0,0,1.4(-12.50 %),0,0,0,0,6737360,0.47
20/03/2018,0,0,1.4(-6.67 %),0,0,0,0,6737360,0.47
21/03/2018,0,0,1.6(14.29 %),0,0,0,0,6737360,0.47
22/03/2018,0,0,1.5(0.00 %),0,0,0,0,6737360,0.47
23/03/2018,5000,7000000,1.5(0.00 %),5000,7000000,0,0,6732360,0.51
26/03/2018,0,0,1.5(7.14 %),0,0,0,0,6732360,0.51
27/03/2018,0,0,1.4(-6.67 %),0,0,0,0,6732360,0.51
28/03/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
29/03/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
30/03/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
02/04/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
03/04/2018,0,0,1.5(7.14 %),0,0,0,0,6732360,0.51
04/04/2018,0,0,1.5(7.14 %),0,0,0,0,6732360,0.51
05/04/2018,0,0,1.4(-6.67 %),0,0,0,0,6732360,0.51
06/04/2018,0,0,1.5(7.14 %),0,0,0,0,6732360,0.51
09/04/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
10/04/2018,0,0,1.4(0.00 %),0,0,0,0,6732360,0.51
12/04/2018,0,0,1.3(0.00 %),0,0,0,0,6732360,0.51
