Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/08/2016,12.4,12.4,1.4(12.73 %),27020,323000000,0,0,11.5,12.4,11.5
23/08/2016,12.5,12.5,0.1(0.81 %),6530,81000000,0,0,12.4,12.5,12.4
24/08/2016,12.5,12.5,0(0.00 %),2000,25000000,0,0,12.5,12.5,12.5
25/08/2016,12.4,12.4,-0.1(-0.80 %),1500,19000000,0,0,12.4,12.4,12.4
26/08/2016,12.2,12.2,-0.2(-1.61 %),1800,22000000,0,0,12.3,12.3,12.2
29/08/2016,12.0,12.0,-0.2(-1.64 %),2550,31000000,0,0,12.3,12.3,12.0
30/08/2016,12.2,12.2,0.2(1.67 %),400,5000000,0,0,12.2,12.2,12.2
31/08/2016,12.3,12.3,0.1(0.82 %),310,4000000,0,0,12.3,12.3,12.1
01/09/2016,12.3,12.3,0(0.00 %),0,0,0,0,12.3,12.3,12.3
05/09/2016,12.2,12.2,-0.1(-0.81 %),11720,144000000,0,0,12.2,12.5,12.1
06/09/2016,12.4,12.4,0.2(1.64 %),23610,293000000,0,0,12.3,12.5,12.2
07/09/2016,12.4,12.4,0(0.00 %),31690,397000000,0,0,12.4,12.8,12.2
08/09/2016,12.7,12.7,0.3(2.42 %),54000,682000000,0,0,12.4,12.8,12.1
09/09/2016,12.8,12.8,0.1(0.79 %),90250,1178000000,0,0,12.9,13.3,12.6
12/09/2016,12.5,12.5,-0.3(-2.34 %),143360,1788000000,0,0,12.8,12.8,12.3
13/09/2016,12.5,12.5,0(0.00 %),163050,1996000000,0,0,11.9,12.5,11.9
14/09/2016,12.55,12.55,0.05(0.40 %),231800,2917000000,0,0,12.5,12.9,12.4
15/09/2016,12.5,12.5,-0.05(-0.40 %),154490,1915000000,0,0,12.55,12.6,12.1
16/09/2016,12.4,12.4,-0.1(-0.80 %),215600,2709000000,0,0,12.6,13.0,12.4
19/09/2016,12.3,12.3,-0.1(-0.81 %),218810,2737000000,0,0,12.3,12.7,12.3
