Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
29/03/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
30/03/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
31/03/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
01/04/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
04/04/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
05/04/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
06/04/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
07/04/2016,0,0,0(0.00 %),0,0,0,0,1715000,0.0
08/04/2016,0,0,15.7(1.29 %),0,0,0,0,1715000,0.0
11/04/2016,0,0,15.8(0.64 %),0,0,0,0,1715000,0.0
12/04/2016,0,0,15.5(-1.90 %),0,0,0,0,1715000,0.0
13/04/2016,0,0,15.4(-0.65 %),0,0,0,0,1715000,0.0
14/04/2016,0,0,15.4(0.00 %),0,0,0,0,1715000,0.0
15/04/2016,0,0,15.4(0.00 %),0,0,0,0,1715000,0.0
19/04/2016,0,0,15(-2.60 %),0,0,0,0,1715000,0.0
20/04/2016,0,0,15.2(1.33 %),0,0,0,0,1715000,0.0
21/04/2016,0,0,14.6(-3.95 %),0,0,0,0,1715000,0.0
22/04/2016,0,0,14.5(-0.68 %),0,0,0,0,1715000,0.0
25/04/2016,0,0,14.3(-1.38 %),0,0,0,0,1715000,0.0
26/04/2016,0,0,14.3(0.00 %),0,0,0,0,1715000,0.0
27/04/2016,0,0,13.9(-2.80 %),0,0,0,0,1715000,0.0
28/04/2016,0,0,13.7(-1.44 %),0,0,0,0,1715000,0.0
29/04/2016,0,0,13.7(0.00 %),0,0,0,0,1715000,0.0
04/05/2016,0,0,13.7(0.00 %),0,0,0,0,1715000,0.0
05/05/2016,0,0,13.5(-1.46 %),0,0,0,0,1715000,0.0
06/05/2016,0,0,13.5(0.00 %),0,0,0,0,1715000,0.0
09/05/2016,0,0,12.2(-9.63 %),0,0,0,0,1715000,0.0
10/05/2016,0,0,12.2(0.00 %),0,0,0,0,1715000,0.0
11/05/2016,0,0,12.2(0.00 %),0,0,0,0,1715000,0.0
12/05/2016,0,0,12.2(0.00 %),0,0,0,0,1715000,0.0
13/05/2016,0,0,12.2(0.00 %),0,0,0,0,1715000,0.0
16/05/2016,0,0,12.2(0.00 %),0,0,0,0,1715000,0.0
17/05/2016,0,0,11(-9.84 %),0,0,0,0,1715000,0.0
18/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
19/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
20/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
23/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
24/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
25/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
26/05/2016,0,0,11(0.00 %),0,0,0,0,1715000,0.0
27/05/2016,0,0,10(-9.09 %),0,0,0,0,1715000,0.0
30/05/2016,0,0,10.8(8.00 %),0,0,0,0,1715000,0.0
31/05/2016,0,0,11.5(6.48 %),0,0,0,0,1715000,0.0
01/06/2016,0,0,11.5(0.00 %),0,0,0,0,1715000,0.0
02/06/2016,0,0,11.5(0.00 %),0,0,0,0,1715000,0.0
03/06/2016,0,0,11.6(0.87 %),0,0,0,0,1715000,0.0
06/06/2016,0,0,11.4(-1.72 %),0,0,0,0,1715000,0.0
07/06/2016,0,0,11.2(-1.75 %),0,0,0,0,1715000,0.0
08/06/2016,0,0,11.4(1.79 %),0,0,0,0,1715000,0.0
09/06/2016,0,0,11.8(3.51 %),0,0,0,0,1715000,0.0
10/06/2016,0,0,12.1(2.54 %),0,0,0,0,1715000,0.0
13/06/2016,0,0,12.5(3.31 %),0,0,0,0,1715000,0.0
14/06/2016,0,0,12.5(0.00 %),0,0,0,0,1715000,0.0
15/06/2016,0,0,12.7(1.60 %),0,0,0,0,1715000,0.0
16/06/2016,0,0,12.7(0.00 %),0,0,0,0,1715000,0.0
17/06/2016,0,0,11.6(-8.66 %),0,0,0,0,1715000,0.0
20/06/2016,0,0,11.6(0.00 %),0,0,0,0,1715000,0.0
21/06/2016,0,0,12(3.45 %),0,0,0,0,1715000,0.0
22/06/2016,0,0,11.4(-5.00 %),0,0,0,0,1715000,0.0
23/06/2016,0,0,11(-3.51 %),0,0,0,0,1715000,0.0
24/06/2016,0,0,10.1(-8.18 %),0,0,0,0,1715000,0.0
27/06/2016,0,0,10.1(0.00 %),0,0,0,0,1715000,0.0
28/06/2016,0,0,10.1(0.00 %),0,0,0,0,1715000,0.0
29/06/2016,0,0,10.5(3.96 %),0,0,0,0,1715000,0.0
30/06/2016,0,0,10.7(1.90 %),0,0,0,0,1715000,0.0
01/07/2016,0,0,10.8(0.93 %),0,0,0,0,1715000,0.0
04/07/2016,0,0,10.9(0.93 %),0,0,0,0,1715000,0.0
05/07/2016,200,2220000,11.1(1.83 %),200,2220000,0,0,1714800,0.01
06/07/2016,0,0,11.4(2.70 %),0,0,0,0,1714800,0.01
07/07/2016,0,0,11.7(2.63 %),0,0,0,0,1714800,0.01
08/07/2016,-200,-2320000,11.7(0.00 %),0,0,200,2320000,1714800,0.01
11/07/2016,0,0,11.6(-0.85 %),0,0,0,0,1714800,0.01
12/07/2016,0,0,11.6(0.00 %),0,0,0,0,1714800,0.01
13/07/2016,0,0,11.4(-1.72 %),0,0,0,0,1715000,0.0
14/07/2016,0,0,11.3(-0.88 %),0,0,0,0,1715000,0.0
15/07/2016,0,0,11.2(-0.88 %),0,0,0,0,1715000,0.0
18/07/2016,0,0,11(-1.79 %),0,0,0,0,1715000,0.0
19/07/2016,0,0,10.9(-0.91 %),0,0,0,0,1715000,0.0
20/07/2016,0,0,10.8(-0.92 %),0,0,0,0,1715000,0.0
21/07/2016,0,0,11(1.85 %),0,0,0,0,1715000,0.0
22/07/2016,0,0,9.9(-10.00 %),0,0,0,0,1715000,0.0
25/07/2016,0,0,9.9(0.00 %),0,0,0,0,1715000,0.0
26/07/2016,0,0,9.1(-8.08 %),0,0,0,0,1715000,0.0
27/07/2016,0,0,8.7(-4.40 %),0,0,0,0,1715000,0.0
28/07/2016,0,0,8.9(2.30 %),0,0,0,0,1715000,0.0
29/07/2016,0,0,9.5(6.74 %),0,0,0,0,1715000,0.0
01/08/2016,0,0,9(-5.26 %),0,0,0,0,1715000,0.0
02/08/2016,0,0,9(0.00 %),0,0,0,0,1715000,0.0
03/08/2016,0,0,9(0.00 %),0,0,0,0,1715000,0.0
04/08/2016,0,0,9(0.00 %),0,0,0,0,1715000,0.0
05/08/2016,0,0,9(0.00 %),0,0,0,0,1715000,0.0
08/08/2016,0,0,8.1(-10.00 %),0,0,0,0,1715000,0.0
09/08/2016,0,0,7.3(-9.88 %),0,0,0,0,1715000,0.0
10/08/2016,0,0,7.7(5.48 %),0,0,0,0,1715000,0.0
11/08/2016,0,0,8(3.90 %),0,0,0,0,1715000,0.0
12/08/2016,0,0,8.2(2.50 %),0,0,0,0,1715000,0.0
15/08/2016,0,0,8.2(0.00 %),0,0,0,0,1715000,0.0
16/08/2016,0,0,8.2(0.00 %),0,0,0,0,1715000,0.0
17/08/2016,0,0,8.2(0.00 %),0,0,0,0,1715000,0.0
18/08/2016,0,0,8.3(1.22 %),0,0,0,0,1715000,0.0
19/08/2016,0,0,8.5(2.41 %),0,0,0,0,1715000,0.0
22/08/2016,0,0,7.7(-9.41 %),0,0,0,0,1715000,0.0
23/08/2016,0,0,7.9(2.60 %),0,0,0,0,1715000,0.0
24/08/2016,0,0,7.5(-5.06 %),0,0,0,0,1715000,0.0
25/08/2016,0,0,8.2(9.33 %),0,0,0,0,1715000,0.0
26/08/2016,0,0,8.3(1.22 %),0,0,0,0,1715000,0.0
29/08/2016,0,0,8.3(0.00 %),0,0,0,0,1715000,0.0
30/08/2016,0,0,8.3(0.00 %),0,0,0,0,1715000,0.0
31/08/2016,0,0,8.7(4.82 %),0,0,0,0,1715000,0.0
01/09/2016,0,0,8.8(1.15 %),0,0,0,0,1715000,0.0
05/09/2016,0,0,8(-9.09 %),0,0,0,0,1715000,0.0
06/09/2016,0,0,7.3(-8.75 %),0,0,0,0,1715000,0.0
07/09/2016,0,0,7.3(0.00 %),0,0,0,0,1715000,0.0
08/09/2016,0,0,7.8(6.85 %),0,0,0,0,1715000,0.0
