Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/12/2001,13.47,27.0,0(0.00 %),34800,939600,0,0,27.0,27.0,27.0
21/12/2001,13.71,27.5,0.5(1.85 %),77500,2131250,0,0,27.5,27.5,27.5
24/12/2001,13.96,28.0,0.5(1.82 %),13400,375200,0,0,28.0,28.0,28.0
26/12/2001,13.71,27.5,-0.5(-1.79 %),76700,2109250,0,0,27.5,27.5,27.5
28/12/2001,13.47,27.0,-0.5(-1.82 %),20500,553500,0,0,27.0,27.0,27.0
31/12/2001,13.22,26.5,-0.5(-1.85 %),6900,182850,0,0,26.5,26.5,26.5
02/01/2002,12.97,26.0,-0.5(-1.89 %),3900,101400,0,0,26.0,26.0,26.0
04/01/2002,12.72,25.5,-0.5(-1.92 %),19200,489600,0,0,25.5,25.5,25.5
07/01/2002,12.97,26.0,0.5(1.96 %),70700,1838200,0,0,26.0,26.0,26.0
09/01/2002,13.22,26.5,0.5(1.92 %),82200,2178300,0,0,26.5,26.5,26.5
11/01/2002,12.62,25.3,-1.2(-4.53 %),21200,536360,0,0,25.3,25.3,25.3
14/01/2002,12.37,24.8,-0.5(-1.98 %),11800,292640,0,0,24.8,24.8,24.8
16/01/2002,12.17,24.4,-0.4(-1.61 %),15400,375760,0,0,24.4,24.4,24.4
18/01/2002,11.97,24.0,-0.4(-1.64 %),6200,148800,0,0,24.0,24.0,24.0
21/01/2002,11.77,23.6,-0.4(-1.67 %),18700,441320,0,0,23.6,23.6,23.6
23/01/2002,11.97,24.0,0.4(1.69 %),62100,1490400,0,0,24.0,24.0,24.0
25/01/2002,12.17,24.4,0.4(1.67 %),3500,85400,0,0,24.4,24.4,24.4
28/01/2002,12.37,24.8,0.4(1.64 %),1100,27280,0,0,24.8,24.8,24.8
30/01/2002,12.37,24.8,0(0.00 %),75800,1879840,0,0,24.8,24.8,24.8
01/02/2002,12.17,24.4,-0.4(-1.61 %),55200,1346880,0,0,24.4,24.4,24.4
04/02/2002,12.32,24.7,0.3(1.23 %),76200,1882140,0,0,24.7,24.7,24.7
06/02/2002,12.52,25.1,0.4(1.62 %),64600,1621460,0,0,25.1,25.1,25.1
08/02/2002,12.52,25.1,0(0.00 %),82400,2068240,0,0,25.1,25.1,25.1
18/02/2002,12.52,25.1,0(0.00 %),8500,213350,0,0,25.1,25.1,25.1
20/02/2002,12.27,24.6,-0.5(-1.99 %),3700,91020,0,0,24.6,24.6,24.6
22/02/2002,12.07,24.2,-0.4(-1.63 %),7500,181500,0,0,24.2,24.2,24.2
25/02/2002,11.87,23.8,-0.4(-1.65 %),12500,297500,0,0,23.8,23.8,23.8
27/02/2002,11.67,23.4,-0.4(-1.68 %),4200,98280,0,0,23.4,23.4,23.4
01/03/2002,11.87,23.8,0.4(1.71 %),95600,2275280,22100,521560,23.8,23.8,23.8
04/03/2002,11.67,23.4,-0.4(-1.68 %),19100,446940,0,0,23.4,23.4,23.4
05/03/2002,11.47,23.0,-0.4(-1.71 %),37600,864800,0,0,23.0,23.0,23.0
06/03/2002,11.47,23.0,0(0.00 %),49700,1143100,0,0,23.0,23.0,23.0
07/03/2002,11.27,22.6,-0.4(-1.74 %),34500,779700,20000,460000,22.6,22.6,22.6
08/03/2002,11.27,22.6,0(0.00 %),40500,915300,0,0,22.6,22.6,22.6
11/03/2002,11.37,22.8,0.2(0.88 %),27300,622440,0,0,22.8,22.8,22.8
12/03/2002,11.57,23.2,0.4(1.75 %),28200,654240,0,0,23.2,23.2,23.2
13/03/2002,11.77,23.6,0.4(1.72 %),1700,40120,0,0,23.6,23.6,23.6
14/03/2002,11.97,24.0,0.4(1.69 %),8100,194400,0,0,24.0,24.0,24.0
15/03/2002,12.17,24.4,0.4(1.67 %),8700,212280,0,0,24.4,24.4,24.4
18/03/2002,12.17,24.4,0(0.00 %),67000,1634800,17200,423120,24.4,24.4,24.4
19/03/2002,11.97,24.0,-0.4(-1.64 %),37300,895200,0,0,24.0,24.0,24.0
20/03/2002,12.12,24.3,0.3(1.25 %),52400,1273320,0,0,24.3,24.3,24.3
21/03/2002,11.92,23.9,-0.4(-1.65 %),11700,279630,0,0,23.9,23.9,23.9
22/03/2002,11.97,24.0,0.1(0.42 %),11100,266400,0,0,24.0,24.0,24.0
25/03/2002,11.97,24.0,0(0.00 %),14300,343200,0,0,24.0,24.0,24.0
26/03/2002,12.17,24.4,0.4(1.67 %),27200,663680,0,0,24.4,24.4,24.4
27/03/2002,12.37,24.8,0.4(1.64 %),20100,498480,0,0,24.8,24.8,24.8
28/03/2002,12.57,25.2,0.4(1.61 %),61000,1537200,0,0,25.2,25.2,25.2
29/03/2002,12.32,24.7,-0.5(-1.98 %),33700,832390,0,0,24.7,24.7,24.7
01/04/2002,12.52,25.1,0.4(1.62 %),38100,956310,0,0,25.1,25.1,25.1
02/04/2002,12.47,25.0,-0.1(-0.40 %),32200,805000,0,0,25.0,25.0,25.0
03/04/2002,12.22,24.5,-0.5(-2.00 %),10000,245000,0,0,24.5,24.5,24.5
04/04/2002,12.02,24.1,-0.4(-1.63 %),9100,219310,0,0,24.1,24.1,24.1
05/04/2002,11.92,23.9,-0.2(-0.83 %),20200,482780,0,0,23.9,23.9,23.9
08/04/2002,11.92,23.9,0(0.00 %),13900,332210,0,0,23.9,23.9,23.9
09/04/2002,12.12,24.3,0.4(1.67 %),26000,631800,0,0,24.3,24.3,24.3
