Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
16/03/2020,12.65,33.8,0(0.00 %),0,0,0,0,33.8,33.8,33.8
17/03/2020,12.65,33.8,0(0.00 %),0,0,0,0,33.8,33.8,33.8
18/03/2020,16.44,43.9,10.1(29.88 %),100,4390000,0,0,43.9,43.9,43.9
19/03/2020,16.44,43.9,0(0.00 %),0,0,0,0,43.9,43.9,43.9
20/03/2020,18.05,48.2,4.3(9.79 %),100,4820000,0,0,48.2,48.2,48.2
23/03/2020,19.84,53.0,4.8(9.96 %),100,5300000,0,0,53.0,53.0,53.0
24/03/2020,19.84,53.0,0(0.00 %),5,291500,0,0,53.0,53.0,53.0
25/03/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
26/03/2020,20.59,55.0,2(3.77 %),100,5500000,0,0,55.0,55.0,55.0
27/03/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
30/03/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
31/03/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
01/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
03/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
06/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
07/04/2020,21.72,58.0,3(5.45 %),100,5800000,0,0,58.0,58.0,58.0
08/04/2020,21.72,58.0,0(0.00 %),100,5800000,0,0,58.0,58.0,58.0
09/04/2020,20.59,55.0,-3(-5.17 %),2800,155600000,0,0,57.0,58.0,55.0
10/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
13/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
14/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
15/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
16/04/2020,20.59,55.0,0(0.00 %),200,11000000,0,0,55.0,55.0,55.0
17/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
20/04/2020,20.59,55.0,0(0.00 %),1500,83200000,0,0,55.0,56.0,55.0
21/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
22/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
23/04/2020,20.59,55.0,0(0.00 %),500,27500000,0,0,55.0,55.0,55.0
24/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
27/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
28/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
29/04/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
04/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
05/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
06/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
07/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
08/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
11/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
12/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
13/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
14/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
15/05/2020,20.59,55.0,0(0.00 %),0,0,0,0,55.0,55.0,55.0
18/05/2020,20.22,54.0,-1(-1.82 %),700,37800000,0,0,54.0,54.0,54.0
19/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
20/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
21/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
22/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
25/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
26/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
27/05/2020,20.22,54.0,0(0.00 %),0,0,0,0,54.0,54.0,54.0
28/05/2020,19.84,53.0,-1(-1.85 %),2000,106000000,0,0,53.0,53.0,53.0
29/05/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
01/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
02/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
03/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
04/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
05/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
08/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
09/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
10/06/2020,19.84,53.0,0(0.00 %),100,5300000,0,0,53.0,53.0,53.0
11/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
12/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
15/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
16/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
17/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
18/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
19/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
22/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
23/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
24/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
25/06/2020,19.84,53.0,0(0.00 %),200,10600000,0,0,53.0,53.0,53.0
26/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
29/06/2020,19.84,53.0,0(0.00 %),2800,148400000,0,0,53.0,53.0,53.0
30/06/2020,19.84,53.0,0(0.00 %),0,0,0,0,53.0,53.0,53.0
01/07/2020,19.47,52.0,-1(-1.89 %),700,36400000,0,0,52.0,52.0,52.0
02/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
03/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
06/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
07/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
08/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
09/07/2020,19.47,52.0,0(0.00 %),500,26000000,0,0,52.0,52.0,52.0
10/07/2020,19.47,52.0,0(0.00 %),0,0,0,0,52.0,52.0,52.0
13/07/2020,19.47,51.5,0(0.00 %),0,0,0,0,51.5,51.5,51.5
14/07/2020,19.47,51.5,0(0.00 %),0,0,0,0,51.5,51.5,51.5
15/07/2020,19.47,51.5,0(0.00 %),0,0,0,0,51.5,51.5,51.5
16/07/2020,19.47,51.5,0(0.00 %),0,0,0,0,51.5,51.5,51.5
17/07/2020,19.24,50.9,-0.6(-1.17 %),1600,81440000,0,0,50.9,50.9,50.9
20/07/2020,19.24,50.9,0(0.00 %),0,0,0,0,50.9,50.9,50.9
21/07/2020,19.24,50.9,0(0.00 %),0,0,0,0,50.9,50.9,50.9
22/07/2020,19.24,50.9,0(0.00 %),0,0,0,0,50.9,50.9,50.9
23/07/2020,19.47,51.5,0.6(1.18 %),200,9950000,0,0,48.0,51.5,48.0
24/07/2020,19.47,51.5,0(0.00 %),0,0,0,0,51.5,51.5,51.5
27/07/2020,19.28,51.0,-0.5(-0.97 %),300,15300000,0,0,51.0,51.0,51.0
28/07/2020,19.28,51.0,0(0.00 %),0,0,0,0,51.0,51.0,51.0
29/07/2020,19.28,51.0,0(0.00 %),0,0,0,0,51.0,51.0,51.0
30/07/2020,19.28,51.0,0(0.00 %),0,0,0,0,51.0,51.0,51.0
