Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/09/2015,8.5,13.4,0(0.00 %),0,0,0,0,13.4,13.4,13.4
15/09/2015,8.19,12.9,-0.5(-3.73 %),500,6400000,0,0,12.9,12.9,12.9
16/09/2015,6.98,11.0,-1.9(-14.73 %),2500,27500000,0,0,11.0,11.0,11.0
17/09/2015,5.96,9.4,-1.6(-14.55 %),1100,10340000,0,0,9.4,9.4,9.4
18/09/2015,6.28,9.9,0.5(5.32 %),1000,9900000,0,0,9.9,9.9,9.9
21/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
22/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
23/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
24/09/2015,6.28,9.9,0(0.00 %),500,4950000,0,0,9.9,9.9,9.9
25/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
28/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
29/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
30/09/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
01/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
02/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
05/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
06/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
07/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
08/10/2015,6.28,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
09/10/2015,6.35,10.0,0.1(1.01 %),1000,10000000,0,0,10.0,10.0,10.0
12/10/2015,6.35,10.0,0(0.00 %),100,1000000,0,0,10.0,10.0,10.0
13/10/2015,6.35,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
14/10/2015,6.35,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
15/10/2015,6.35,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
16/10/2015,6.35,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
19/10/2015,6.35,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
20/10/2015,6.98,11.0,1(10.00 %),10000,110000000,0,0,11.0,11.0,11.0
21/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
22/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
23/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
26/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
27/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
28/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
29/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
30/10/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
02/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
03/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
04/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
05/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
06/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
09/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
10/11/2015,6.98,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
11/11/2015,5.96,9.4,-1.6(-14.55 %),200,1880000,0,0,9.4,9.4,9.4
12/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
13/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
16/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
17/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
18/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
19/11/2015,5.96,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
20/11/2015,6.03,9.5,0.1(1.06 %),800,7600000,0,0,9.5,9.5,9.5
23/11/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
24/11/2015,6.03,9.5,0(0.00 %),100,950000,0,0,9.5,9.5,9.5
25/11/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
26/11/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
27/11/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
30/11/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
01/12/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
02/12/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
03/12/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
04/12/2015,6.03,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
