Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
22/09/2014,0,0,0(0.00 %),0,0,0,0,16072000,0.0
23/09/2014,0,0,13.5(-2.17 %),0,0,0,0,16072000,0.0
24/09/2014,0,0,14.8(9.63 %),0,0,0,0,16072000,0.0
25/09/2014,0,0,13.5(-8.78 %),0,0,0,0,16072000,0.0
26/09/2014,0,0,13.8(2.22 %),0,0,0,0,16072000,0.0
29/09/2014,0,0,13.9(0.72 %),0,0,0,0,16072000,0.0
30/09/2014,0,0,13.5(-2.88 %),0,0,0,0,16072000,0.0
01/10/2014,0,0,13.8(2.22 %),0,0,0,0,16072000,0.0
02/10/2014,0,0,13.7(-0.72 %),0,0,0,0,16072000,0.0
03/10/2014,0,0,15(9.49 %),0,0,0,0,16072000,0.0
06/10/2014,0,0,16.4(9.33 %),0,0,0,0,16072000,0.0
07/10/2014,0,0,17.8(8.54 %),0,0,0,0,16072000,0.0
08/10/2014,100,1620000,16.1(-9.55 %),100,1620000,0,0,16071900,0.0
09/10/2014,0,0,14.8(-8.07 %),0,0,0,0,16071900,0.0
10/10/2014,200,2800000,13.8(-6.76 %),200,2800000,0,0,16071700,0.0
13/10/2014,0,0,13.5(-2.17 %),0,0,0,0,16071700,0.0
14/10/2014,0,0,13.5(0.00 %),0,0,0,0,16071700,0.0
15/10/2014,200,2640000,13.5(0.00 %),200,2640000,0,0,16071500,0.0
16/10/2014,200,2560000,12.9(-4.44 %),200,2560000,0,0,16071300,0.0
20/10/2014,0,0,12.3(-3.15 %),0,0,0,0,16071300,0.0
21/10/2014,200,2460000,11.5(-6.50 %),200,2460000,0,0,16071100,0.0
22/10/2014,-400,-4960000,11.9(3.48 %),0,0,400,4960000,16071500,0.0
23/10/2014,0,0,11.3(-5.04 %),0,0,0,0,16071500,0.0
24/10/2014,10100,119120000,11.3(0.00 %),10100,119120000,0,0,16061400,0.03
27/10/2014,100,1130000,11.3(0.00 %),100,1130000,0,0,16061300,0.03
29/10/2014,-100,-1170000,11.8(1.72 %),0,0,100,1170000,16061400,0.03
30/10/2014,0,0,11.5(-2.54 %),0,0,0,0,16061400,0.03
31/10/2014,0,0,11.7(1.74 %),0,0,0,0,16061400,0.03
03/11/2014,-10000,-116000000,11.8(0.85 %),0,0,10000,116000000,16061400,0.03
04/11/2014,0,0,11.4(-3.39 %),0,0,0,0,16061400,0.03
05/11/2014,100,1120000,11.8(3.51 %),100,1120000,0,0,16061300,0.03
06/11/2014,-400,-4760000,12.1(2.54 %),0,0,400,4760000,16061700,0.03
07/11/2014,0,0,12.2(0.83 %),0,0,0,0,16061700,0.03
10/11/2014,0,0,12.2(0.00 %),0,0,0,0,16061700,0.03
11/11/2014,0,0,11.8(-3.28 %),0,0,0,0,16061700,0.03
12/11/2014,0,0,11.9(0.85 %),0,0,0,0,16061700,0.03
13/11/2014,0,0,11.9(0.00 %),0,0,0,0,16061700,0.03
14/11/2014,0,0,11.8(-0.84 %),0,0,0,0,16061700,0.03
17/11/2014,0,0,11.8(0.00 %),0,0,0,0,16061700,0.03
18/11/2014,0,0,11.7(-0.85 %),0,0,0,0,16061700,0.03
19/11/2014,0,0,11.7(0.00 %),0,0,0,0,16061700,0.03
20/11/2014,0,0,11.9(1.71 %),0,0,0,0,16071700,0.0
21/11/2014,0,0,11.6(-2.52 %),0,0,0,0,16071700,0.0
24/11/2014,0,0,11.5(-0.86 %),0,0,0,0,16071700,0.0
25/11/2014,0,0,11.7(1.74 %),0,0,0,0,16071700,0.0
26/11/2014,0,0,11.7(0.00 %),0,0,0,0,16071700,0.0
27/11/2014,-100,-1200000,11.9(1.71 %),0,0,100,1200000,16071700,0.0
28/11/2014,0,0,12(0.84 %),0,0,0,0,16071700,0.0
01/12/2014,-100,-1250000,12.6(5.00 %),0,0,100,1250000,16071700,0.0
02/12/2014,1000,12600000,12.8(1.59 %),1000,12600000,0,0,16070700,0.0
03/12/2014,0,0,14(9.37 %),0,0,0,0,16070800,0.0
04/12/2014,0,0,13.8(-1.43 %),0,0,0,0,16070800,0.0
05/12/2014,4000,53800000,13.9(0.72 %),5000,67700000,1000,13900000,16065900,0.02
08/12/2014,0,0,13.6(-2.16 %),0,0,0,0,16065900,0.02
09/12/2014,0,0,12.9(-5.15 %),0,0,0,0,16065900,0.02
10/12/2014,0,0,13.2(2.33 %),0,0,0,0,16065900,0.02
11/12/2014,0,0,12.8(-3.03 %),0,0,0,0,16066900,0.02
12/12/2014,5000,66000000,13.3(3.91 %),5000,66000000,0,0,16061900,0.03
15/12/2014,0,0,13.4(0.75 %),0,0,0,0,16061900,0.03
16/12/2014,0,0,13.2(-1.49 %),0,0,0,0,16061900,0.03
17/12/2014,-5000,-63500000,12.4(-6.06 %),0,0,5000,63500000,16061900,0.03
18/12/2014,-5000,-64500000,12.8(3.23 %),0,0,5000,64500000,16061900,0.03
19/12/2014,0,0,12.5(-2.34 %),0,0,0,0,16061900,0.03
22/12/2014,0,0,12.8(2.40 %),0,0,0,0,16061900,0.03
23/12/2014,0,0,12.9(0.78 %),0,0,0,0,16066900,0.02
24/12/2014,0,0,12.9(0.00 %),0,0,0,0,16071900,0.0
25/12/2014,0,0,12.6(-2.33 %),0,0,0,0,16071900,0.0
26/12/2014,0,0,12.6(0.00 %),0,0,0,0,16071900,0.0
29/12/2014,0,0,12.6(0.00 %),0,0,0,0,16071900,0.0
30/12/2014,0,0,13.3(5.56 %),0,0,0,0,16071900,0.0
31/12/2014,0,0,14.1(6.02 %),0,0,0,0,16071900,0.0
05/01/2015,0,0,13.8(-2.13 %),0,0,0,0,16071900,0.0
06/01/2015,0,0,13.9(0.72 %),0,0,0,0,16071900,0.0
07/01/2015,0,0,14(0.72 %),0,0,0,0,16071900,0.0
08/01/2015,0,0,13.9(-0.71 %),0,0,0,0,16071900,0.0
09/01/2015,0,0,13.8(-0.72 %),0,0,0,0,16071900,0.0
12/01/2015,0,0,13.5(-2.17 %),0,0,0,0,16071900,0.0
13/01/2015,0,0,13.6(0.74 %),0,0,0,0,16071900,0.0
14/01/2015,0,0,13.1(-3.68 %),0,0,0,0,16071900,0.0
15/01/2015,0,0,13.3(1.53 %),0,0,0,0,16071900,0.0
16/01/2015,0,0,13.1(-1.50 %),0,0,0,0,16071900,0.0
19/01/2015,0,0,13.2(0.76 %),0,0,0,0,16071900,0.0
20/01/2015,0,0,13.3(0.76 %),0,0,0,0,16071900,0.0
21/01/2015,0,0,13(-2.26 %),0,0,0,0,16071900,0.0
22/01/2015,0,0,13.1(0.77 %),0,0,0,0,16071900,0.0
23/01/2015,0,0,13.3(1.53 %),0,0,0,0,16071900,0.0
26/01/2015,0,0,12.9(-3.01 %),0,0,0,0,16071900,0.0
27/01/2015,0,0,13.1(1.55 %),0,0,0,0,16071900,0.0
28/01/2015,0,0,13.2(0.76 %),0,0,0,0,16071900,0.0
29/01/2015,0,0,12.8(-3.03 %),0,0,0,0,16071900,0.0
30/01/2015,0,0,12.3(-3.91 %),0,0,0,0,16071900,0.0
02/02/2015,0,0,11.4(-7.32 %),0,0,0,0,16071900,0.0
03/02/2015,0,0,11(-3.51 %),0,0,0,0,16071900,0.0
04/02/2015,0,0,10.9(-0.91 %),0,0,0,0,16071900,0.0
05/02/2015,0,0,11.1(1.83 %),0,0,0,0,16071900,0.0
06/02/2015,0,0,11.3(1.80 %),0,0,0,0,16071900,0.0
09/02/2015,0,0,10.9(-3.54 %),0,0,0,0,16071900,0.0
10/02/2015,0,0,10.8(-0.92 %),0,0,0,0,16071900,0.0
11/02/2015,0,0,11(1.85 %),0,0,0,0,16071900,0.0
12/02/2015,0,0,10.8(-1.82 %),0,0,0,0,16071900,0.0
13/02/2015,0,0,11(1.85 %),0,0,0,0,16071900,0.0
24/02/2015,0,0,11.1(0.91 %),0,0,0,0,16071900,0.0
25/02/2015,0,0,11.1(0.00 %),0,0,0,0,16071900,0.0
26/02/2015,0,0,11(-0.90 %),0,0,0,0,16071900,0.0
27/02/2015,0,0,11.1(0.91 %),0,0,0,0,16071900,0.0
02/03/2015,0,0,11(-0.90 %),0,0,0,0,16071900,0.0
03/03/2015,0,0,11.3(2.73 %),0,0,0,0,16071900,0.0
04/03/2015,0,0,11.3(0.00 %),0,0,0,0,16071900,0.0
05/03/2015,0,0,11.4(0.88 %),0,0,0,0,16071900,0.0
06/03/2015,0,0,11.2(-1.75 %),0,0,0,0,16071900,0.0
09/03/2015,0,0,10.9(-2.68 %),0,0,0,0,16071900,0.0
10/03/2015,0,0,11(0.92 %),0,0,0,0,16071900,0.0
11/03/2015,0,0,10.9(-0.91 %),0,0,0,0,16071900,0.0
12/03/2015,0,0,10.9(0.00 %),0,0,0,0,16071900,0.0
13/03/2015,0,0,10.8(-0.92 %),0,0,0,0,16071900,0.0
16/03/2015,0,0,10.7(-0.93 %),0,0,0,0,16071900,0.0
17/03/2015,0,0,10.7(0.00 %),0,0,0,0,16071900,0.0
18/03/2015,0,0,10.6(-0.93 %),0,0,0,0,16071900,0.0
19/03/2015,0,0,10.5(-0.94 %),0,0,0,0,16071900,0.0
20/03/2015,0,0,10.5(0.00 %),0,0,0,0,16071900,0.0
23/03/2015,0,0,10(-4.76 %),0,0,0,0,16071900,0.0
24/03/2015,0,0,9.9(-1.00 %),0,0,0,0,16071900,0.0
25/03/2015,0,0,9.7(-2.02 %),0,0,0,0,16071900,0.0
26/03/2015,0,0,9.5(-2.06 %),0,0,0,0,16071900,0.0
27/03/2015,0,0,9.3(-2.11 %),0,0,0,0,16071900,0.0
30/03/2015,0,0,9.1(-2.15 %),0,0,0,0,16071900,0.0
31/03/2015,0,0,9.2(1.10 %),0,0,0,0,16071900,0.0
01/04/2015,0,0,9(-2.17 %),0,0,0,0,16071900,0.0
02/04/2015,0,0,9.8(8.89 %),0,0,0,0,16071900,0.0
03/04/2015,0,0,9.9(1.02 %),0,0,0,0,16071900,0.0
06/04/2015,0,0,9.8(-1.01 %),0,0,0,0,16071900,0.0
07/04/2015,0,0,10(2.04 %),0,0,0,0,16071900,0.0
08/04/2015,0,0,9.9(-1.00 %),0,0,0,0,16071900,0.0
09/04/2015,0,0,9.9(0.00 %),0,0,0,0,16071900,0.0
10/04/2015,0,0,9.8(-1.01 %),0,0,0,0,16071900,0.0
13/04/2015,0,0,9.9(1.02 %),0,0,0,0,16071900,0.0
14/04/2015,0,0,9.8(-1.01 %),0,0,0,0,16071900,0.0
15/04/2015,0,0,9.8(0.00 %),0,0,0,0,16071900,0.0
16/04/2015,0,0,9.8(0.00 %),0,0,0,0,16071900,0.0
17/04/2015,0,0,9.8(0.00 %),0,0,0,0,16071900,0.0
20/04/2015,0,0,9.7(-1.02 %),0,0,0,0,16071900,0.0
21/04/2015,0,0,9.3(-4.12 %),0,0,0,0,16071900,0.0
22/04/2015,0,0,9.3(0.00 %),0,0,0,0,16071900,0.0
23/04/2015,0,0,9.1(-2.15 %),0,0,0,0,16071900,0.0
24/04/2015,0,0,9.1(0.00 %),0,0,0,0,16071900,0.0
27/04/2015,0,0,9.3(2.20 %),0,0,0,0,16071900,0.0
04/05/2015,0,0,9(-3.23 %),0,0,0,0,16071900,0.0
05/05/2015,0,0,9.1(1.11 %),0,0,0,0,16071900,0.0
06/05/2015,0,0,8.7(-4.40 %),0,0,0,0,16071900,0.0
07/05/2015,0,0,8.7(0.00 %),0,0,0,0,16071900,0.0
08/05/2015,0,0,9.2(5.75 %),0,0,0,0,16071900,0.0
11/05/2015,0,0,9.2(0.00 %),0,0,0,0,16071900,0.0
12/05/2015,0,0,9(-2.17 %),0,0,0,0,16071900,0.0
13/05/2015,0,0,8.8(-2.22 %),0,0,0,0,16071900,0.0
14/05/2015,0,0,8.7(-1.14 %),0,0,0,0,16071900,0.0
15/05/2015,0,0,8.6(-1.15 %),0,0,0,0,16071900,0.0
18/05/2015,0,0,8.1(-5.81 %),0,0,0,0,16071900,0.0
19/05/2015,0,0,8.5(4.94 %),0,0,0,0,16071900,0.0
20/05/2015,0,0,8.6(1.18 %),0,0,0,0,16071900,0.0
21/05/2015,0,0,8.5(-1.16 %),0,0,0,0,16071900,0.0
22/05/2015,0,0,8.5(0.00 %),0,0,0,0,16071900,0.0
