Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
31/12/2020,11.43,13.2,13.2(0.00 %),5000,66000000,0,0,13.2,13.2,13.2
04/01/2021,12.21,14.1,0.9(6.82 %),10600,144000000,0,0,13.2,14.1,13.2
05/01/2021,13.03,15.05,0.95(6.74 %),192500,2897000000,0,0,15.05,15.05,15.05
06/01/2021,13.94,16.1,1.05(6.98 %),647500,10406000000,0,0,16.1,16.1,15.95
07/01/2021,14.81,17.1,1(6.21 %),889400,14698000000,0,0,16.1,17.2,15.0
08/01/2021,14.29,16.5,-0.6(-3.51 %),357000,5766000000,0,0,17.3,17.5,15.95
11/01/2021,13.29,15.35,-1.15(-6.97 %),102500,1575000000,0,0,15.7,16.0,15.35
12/01/2021,12.38,14.3,-1.05(-6.84 %),107500,1537000000,0,0,14.3,14.3,14.3
13/01/2021,11.95,13.8,-0.5(-3.50 %),787000,10487000000,0,0,13.3,14.3,13.3
14/01/2021,11.6,13.4,-0.4(-2.90 %),400600,5215000000,0,0,14.0,14.3,12.85
15/01/2021,11.78,13.6,0.2(1.49 %),187600,2569000000,0,0,13.6,13.9,13.4
18/01/2021,11.08,12.8,-0.8(-5.88 %),350100,4539000000,0,0,13.6,13.6,12.75
19/01/2021,10.65,12.3,-0.5(-3.91 %),355900,4360000000,0,0,12.7,12.75,11.95
20/01/2021,10.35,11.95,-0.35(-2.85 %),107200,1268000000,0,0,11.8,12.0,11.55
21/01/2021,10.65,12.3,0.35(2.93 %),148700,1793000000,0,0,11.95,12.4,11.8
22/01/2021,10.48,12.1,-0.2(-1.63 %),167900,2043000000,200000,2300000000,12.45,12.5,12.0
25/01/2021,10.3,11.9,-0.2(-1.65 %),160000,1891000000,0,0,11.9,12.1,11.7
26/01/2021,10.22,11.8,-0.1(-0.84 %),128500,1515000000,0,0,11.8,12.0,11.6
27/01/2021,10.22,11.8,0(0.00 %),177600,2068000000,0,0,11.65,11.9,11.4
28/01/2021,10.04,11.6,-0.2(-1.69 %),308300,3521000000,0,0,11.5,11.6,11.15
29/01/2021,10.48,12.1,0.5(4.31 %),169200,2014000000,1000000,12000000000,11.5,12.2,11.5
01/02/2021,10.65,12.3,0.2(1.65 %),348100,4302000000,0,0,12.2,12.55,12.1
02/02/2021,10.48,12.1,-0.2(-1.63 %),1019200,12282000000,0,0,12.4,12.4,12.0
03/02/2021,10.56,12.2,0.1(0.83 %),965700,11628000000,0,0,11.9,12.25,11.9
04/02/2021,10.35,11.95,-0.25(-2.05 %),163300,1961000000,0,0,12.25,12.25,11.95
05/02/2021,10.22,11.8,-0.15(-1.26 %),359200,4239000000,0,0,11.85,11.95,11.75
08/02/2021,9.96,11.5,-0.3(-2.54 %),146500,1702000000,0,0,11.8,11.8,11.5
09/02/2021,10.04,11.6,0.1(0.87 %),132600,1530000000,0,0,11.5,11.7,11.4
17/02/2021,10.13,11.7,0.1(0.86 %),114100,1336000000,0,0,11.8,11.8,11.5
18/02/2021,10.04,11.6,-0.1(-0.85 %),259200,3012000000,0,0,11.8,11.8,11.6
19/02/2021,9.96,11.5,-0.1(-0.86 %),135400,1557000000,0,0,11.5,11.55,11.45
22/02/2021,10.04,11.6,0.1(0.87 %),584600,6723000000,0,0,11.5,11.6,11.45
23/02/2021,10.13,11.7,0.1(0.86 %),203100,2382000000,0,0,11.65,11.85,11.65
24/02/2021,10.09,11.65,-0.05(-0.43 %),166700,1943000000,0,0,11.7,11.7,11.6
25/02/2021,10.0,11.55,-0.1(-0.86 %),852700,9893000000,0,0,11.6,11.7,11.55
26/02/2021,9.91,11.45,-0.1(-0.87 %),92600,1062000000,0,0,11.4,11.55,11.4
01/03/2021,10.0,11.55,0.1(0.87 %),74400,859000000,0,0,11.5,11.6,11.5
02/03/2021,10.0,11.55,0(0.00 %),328300,3776000000,0,0,11.55,11.55,11.5
03/03/2021,10.13,11.7,0.15(1.30 %),142000,1648000000,0,0,11.6,11.7,11.5
04/03/2021,10.43,12.05,0.35(2.99 %),787300,9453000000,0,0,11.85,12.1,11.7
05/03/2021,10.56,12.2,0.15(1.24 %),392400,4785000000,0,0,12.05,12.4,12.05
08/03/2021,10.48,12.1,-0.1(-0.82 %),41100,501000000,0,0,12.45,12.45,12.1
09/03/2021,10.22,11.8,-0.3(-2.48 %),189500,2203000000,0,0,12.1,12.1,11.5
10/03/2021,10.13,11.7,-0.1(-0.85 %),161800,1866000000,0,0,11.6,11.8,11.45
11/03/2021,9.96,11.5,-0.2(-1.71 %),384700,4432000000,0,0,11.6,11.6,11.45
12/03/2021,9.83,11.35,-0.15(-1.30 %),180700,2051000000,0,0,11.5,11.5,11.25
15/03/2021,9.83,11.35,0(0.00 %),384600,4310000000,0,0,11.3,11.4,11.05
16/03/2021,9.74,11.25,-0.1(-0.88 %),337900,3746000000,0,0,11.4,11.5,11.0
17/03/2021,9.57,11.05,-0.2(-1.78 %),239500,2637000000,0,0,11.25,11.25,10.95
18/03/2021,9.7,11.2,0.15(1.36 %),108900,1200000000,0,0,11.05,11.2,10.95
19/03/2021,9.61,11.1,-0.1(-0.89 %),123500,1359000000,0,0,11.2,11.2,10.95
22/03/2021,9.52,11.0,-0.1(-0.90 %),224700,2471000000,0,0,11.1,11.1,10.9
23/03/2021,9.74,11.25,0.25(2.27 %),567000,6258000000,0,0,10.95,11.35,10.9
24/03/2021,9.57,11.05,-0.2(-1.78 %),184200,2071000000,0,0,11.0,11.4,11.0
25/03/2021,9.48,10.95,-0.1(-0.90 %),226700,2497000000,0,0,11.05,11.3,10.9
26/03/2021,9.48,10.95,0(0.00 %),161000,1761000000,0,0,10.95,11.0,10.85
29/03/2021,9.61,11.1,0.15(1.37 %),221200,2444000000,0,0,11.0,11.2,10.9
30/03/2021,10.13,11.7,0.6(5.41 %),1065100,12192000000,0,0,11.3,11.7,11.05
