Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
10/07/2017,19.33,41.5,0(0.00 %),1200,49900000,0,0,42.0,42.0,41.5
11/07/2017,19.38,41.6,0(0.00 %),0,0,0,0,41.6,41.6,41.6
12/07/2017,16.49,35.4,-6.2(-14.90 %),2000,70800000,0,0,35.4,35.4,35.4
13/07/2017,16.54,35.5,0.1(0.28 %),3200,118200000,0,0,38.0,38.0,35.0
14/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
17/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
18/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
19/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
20/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
21/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
24/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
25/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
26/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
27/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
28/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
31/07/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
01/08/2017,17.19,36.9,0(0.00 %),0,0,0,0,36.9,36.9,36.9
02/08/2017,14.91,32.0,-4.9(-13.28 %),2000,64000000,0,0,32.0,32.0,32.0
03/08/2017,14.91,32.0,0(0.00 %),0,0,0,0,32.0,32.0,32.0
04/08/2017,14.91,32.0,0(0.00 %),0,0,0,0,32.0,32.0,32.0
07/08/2017,14.91,32.0,0(0.00 %),0,0,0,0,32.0,32.0,32.0
08/08/2017,14.91,32.0,0(0.00 %),0,0,0,0,32.0,32.0,32.0
