Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
19/05/2003,500,8400,0(0.00 %),500,8400,0,0,0,0.0
14/11/2003,5000,80500,0(0.00 %),5000,80500,0,0,0,0.0
17/11/2003,5000,82500,0(0.00 %),5000,82500,0,0,0,0.0
21/11/2003,1700,26690,0(0.00 %),1700,26690,0,0,0,0.0
24/11/2003,800,12960,0(0.00 %),800,12960,0,0,0,0.0
17/12/2003,30,480,0(0.00 %),30,480,0,0,0,0.0
19/12/2003,190,3021,0(0.00 %),190,3021,0,0,0,0.0
15/01/2004,4380,71394,0(0.00 %),4380,71394,0,0,0,0.0
06/02/2004,450,8775,0(0.00 %),450,8775,0,0,0,0.0
17/02/2004,310,6198,0(0.00 %),310,6198,0,0,0,0.0
19/02/2004,200,4100,0(0.00 %),200,4100,0,0,0,0.0
29/03/2004,960,22080,0(0.00 %),960,22080,0,0,0,0.0
16/04/2004,900,19620,0(0.00 %),900,19620,0,0,0,0.0
04/05/2004,1600,36000,0(0.00 %),1600,36000,0,0,0,0.0
18/05/2004,10,220,0(0.00 %),10,220,0,0,0,0.0
24/05/2004,310,6758,0(0.00 %),310,6758,0,0,0,0.0
07/07/2004,580,11774,0(0.00 %),580,11774,0,0,0,0.0
12/10/2004,30,507,0(0.00 %),30,507,0,0,0,0.0
22/12/2004,-9900,-166320,0(0.00 %),0,0,9900,166320,0,0.0
04/01/2005,200,3360,0(0.00 %),300,5040,100,1680,0,0.0
28/03/2005,100,1640,0(0.00 %),100,1640,0,0,0,0.0
27/04/2005,-1400,-22540,0(0.00 %),0,0,1400,22540,0,0.0
05/05/2005,-30,-480,0(0.00 %),0,0,30,480,0,0.0
13/05/2005,-130,-2015,0(0.00 %),0,0,130,2015,0,0.0
16/05/2005,-2930,-45415,0(0.00 %),0,0,2930,45415,0,0.0
29/06/2005,700,11340,0(0.00 %),700,11340,0,0,0,0.0
08/08/2005,100,1570,0(0.00 %),100,1570,0,0,0,0.0
12/08/2005,-10,-158,0(0.00 %),0,0,10,158,0,0.0
07/09/2005,400,6281,0(0.00 %),400,6281,0,0,0,0.0
03/10/2005,3000,51000,0(0.00 %),3000,51000,0,0,0,0.0
17/10/2005,-500,-8200,0(0.00 %),0,0,500,8200,0,0.0
21/10/2005,-1200,-19720,0(0.00 %),400,6520,1600,26240,0,0.0
17/11/2005,100,1650,0(0.00 %),100,1650,0,0,0,0.0
29/11/2005,200,3280,0(0.00 %),200,3280,0,0,0,0.0
09/12/2005,200,3300,0(0.00 %),200,3300,0,0,0,0.0
22/12/2005,2000,32000,0(0.00 %),2000,32000,0,0,0,0.0
18/01/2006,200,3240,0(0.00 %),200,3240,0,0,0,0.0
24/01/2006,100,1610,0(0.00 %),100,1610,0,0,0,0.0
27/01/2006,100,1640,0(0.00 %),100,1640,0,0,0,0.0
09/02/2006,-2980,-49170,0(0.00 %),1400,23100,4380,72270,0,0.0
15/02/2006,100,1670,0(0.00 %),100,1670,0,0,0,0.0
16/02/2006,200,3340,0(0.00 %),200,3340,0,0,0,0.0
20/02/2006,500,8450,0(0.00 %),500,8450,0,0,0,0.0
23/02/2006,40,656,0(0.00 %),40,656,0,0,0,0.0
28/02/2006,500,8250,0(0.00 %),500,8250,0,0,0,0.0
03/03/2006,-1080,-18760,0(0.00 %),0,0,1080,18760,0,0.0
13/03/2006,1560,26968,0(0.00 %),2000,34800,440,7832,0,0.0
15/03/2006,-300,-5850,0(0.00 %),0,0,300,5850,0,0.0
20/03/2006,-200,-4480,0(0.00 %),0,0,200,4480,0,0.0
22/03/2006,-300,-7380,0(0.00 %),0,0,300,7380,0,0.0
23/03/2006,-200,-5000,0(0.00 %),0,0,200,5000,0,0.0
29/03/2006,-300,-7650,0(0.00 %),0,0,300,7650,0,0.0
20/04/2006,2700,91800,0(0.00 %),2700,91800,0,0,0,0.0
21/04/2006,400,14280,0(0.00 %),400,14280,0,0,0,0.0
27/04/2006,3300,129900,0(0.00 %),4000,158600,700,28700,0,0.0
05/05/2006,300,11850,0(0.00 %),300,11850,0,0,0,0.0
10/05/2006,600,19440,0(0.00 %),600,19440,0,0,0,0.0
16/05/2006,20,646,0(0.00 %),20,646,0,0,0,0.0
17/05/2006,500,15500,0(0.00 %),500,15500,0,0,0,0.0
22/05/2006,500,13800,0(0.00 %),500,13800,0,0,0,0.0
26/05/2006,200,5400,0(0.00 %),200,5400,0,0,0,0.0
06/06/2006,50,1385,0(0.00 %),50,1385,0,0,0,0.0
15/06/2006,310,8246,0(0.00 %),310,8246,0,0,0,0.0
16/06/2006,200,5200,0(0.00 %),200,5200,0,0,0,0.0
19/06/2006,7000,180600,0(0.00 %),7000,180600,0,0,0,0.0
20/06/2006,500,12750,0(0.00 %),500,12750,0,0,0,0.0
03/07/2006,2040,51000,0(0.00 %),2040,51000,0,0,0,0.0
06/07/2006,300,7320,0(0.00 %),300,7320,0,0,0,0.0
12/07/2006,50,1245,0(0.00 %),50,1245,0,0,0,0.0
13/07/2006,200,5010,0(0.00 %),200,5010,0,0,0,0.0
14/07/2006,1000,25200,0(0.00 %),1000,25200,0,0,0,0.0
07/08/2006,100,2100,0(0.00 %),100,2100,0,0,0,0.0
11/08/2006,200,4400,0(0.00 %),200,4400,0,0,0,0.0
15/08/2006,100,2360,0(0.00 %),100,2360,0,0,0,0.0
16/08/2006,100,2470,0(0.00 %),100,2470,0,0,0,0.0
17/08/2006,-270,-6735,0(0.00 %),30,765,300,7500,0,0.0
21/08/2006,-50,-1250,0(0.00 %),0,0,50,1250,0,0.0
22/08/2006,-100,-2360,0(0.00 %),0,0,100,2360,0,0.0
29/08/2006,-50,-1240,0(0.00 %),0,0,50,1240,0,0.0
30/08/2006,-200,-5080,0(0.00 %),0,0,200,5080,0,0.0
01/09/2006,-300,-7740,25.4(0.40 %),0,0,300,7740,0,0.0
05/09/2006,1000,26600,26.6(4.72 %),1000,26600,0,0,0,0.0
06/09/2006,-500,-13750,26.8(0.75 %),0,0,500,13750,0,0.0
07/09/2006,-200,-5380,26.2(-2.24 %),0,0,200,5380,0,0.0
12/09/2006,180,5184,27.5(0.00 %),680,19584,500,14400,0,0.0
13/09/2006,-20,-550,28(1.82 %),0,0,20,550,0,0.0
20/09/2006,-40,-1080,27(0.00 %),0,0,40,1080,0,0.0
25/09/2006,210,5670,27(-0.74 %),210,5670,0,0,0,0.0
03/10/2006,10,278,27.8(0.00 %),10,278,0,0,0,0.0
09/10/2006,1000,27000,27(-0.74 %),1000,27000,0,0,0,0.0
10/10/2006,300,7860,26.1(-3.33 %),300,7860,0,0,0,0.0
16/10/2006,400,10400,25.9(-1.15 %),400,10400,0,0,0,0.0
18/10/2006,300,7440,24.7(-1.98 %),300,7440,0,0,0,0.0
20/10/2006,200,5060,25.3(0.40 %),200,5060,0,0,0,0.0
25/10/2006,610,15250,25(-1.96 %),610,15250,0,0,0,0.0
30/10/2006,300,7050,23.5(-4.08 %),300,7050,0,0,0,0.0
31/10/2006,-1200,-28200,23.5(0.00 %),0,0,1200,28200,0,0.0
02/11/2006,-310,-7905,24.6(0.00 %),0,0,310,7905,0,0.0
03/11/2006,-30,-738,24.6(0.00 %),0,0,30,738,0,0.0
06/11/2006,100,2460,24.6(0.00 %),100,2460,0,0,0,0.0
13/11/2006,-30,-735,24.5(0.00 %),0,0,30,735,0,0.0
16/11/2006,-700,-16830,24(-1.23 %),300,7170,1000,24000,0,0.0
17/11/2006,180,4248,24.2(0.83 %),180,4248,0,0,0,0.0
20/11/2006,100,2440,24.4(0.83 %),100,2440,0,0,0,0.0
21/11/2006,6400,158720,24.8(1.64 %),6400,158720,0,0,0,0.0
24/11/2006,600,15600,26(4.00 %),800,20800,200,5200,0,0.0
27/11/2006,2720,72080,26(0.00 %),3000,79500,280,7420,0,0.0
29/11/2006,300,7350,24.5(-2.00 %),300,7350,0,0,0,0.0
01/12/2006,300,7230,24.1(-1.23 %),300,7230,0,0,0,0.0
05/12/2006,-680,-16048,23.6(-2.07 %),0,0,680,16048,0,0.0
15/12/2006,-1000,-24500,24.5(4.26 %),0,0,1000,24500,0,0.0
18/12/2006,-300,-7560,25.2(2.86 %),0,0,300,7560,0,0.0
