Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
24/01/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
25/01/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
02/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
03/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
06/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
07/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
08/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
09/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
10/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
13/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
14/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
15/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
16/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
17/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
20/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
21/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
22/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
23/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
24/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
27/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
28/02/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
01/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
02/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
03/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
06/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
07/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
08/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
09/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
10/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
13/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
14/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
15/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
16/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
17/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
20/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
21/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
22/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
23/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
24/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
27/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
28/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
29/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
30/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
31/03/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
03/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
04/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
05/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
07/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
10/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
11/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
12/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
13/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
14/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
17/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
18/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
19/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
20/04/2017,5.52,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
