Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/08/2018,9.38,21.4,6.1(39.87 %),8000,171200000,0,0,21.4,21.4,21.4
21/08/2018,10.79,24.6,3.2(14.95 %),27000,664200000,0,0,24.6,24.6,24.6
22/08/2018,12.36,28.2,3.6(14.63 %),100,2820000,0,0,28.2,28.2,28.2
23/08/2018,10.52,24.0,-4.2(-14.89 %),1000,24000000,0,0,24.0,24.0,24.0
24/08/2018,10.52,24.0,0(0.00 %),2200,52800000,0,0,24.0,24.0,24.0
27/08/2018,9.29,21.2,-2.8(-11.67 %),100,2120000,0,0,21.2,21.2,21.2
28/08/2018,8.77,20.0,-1.2(-5.66 %),6700,135300000,0,0,21.0,21.0,20.0
29/08/2018,8.77,20.0,-0.2(-0.99 %),1900,37500000,0,0,20.0,20.0,19.5
30/08/2018,9.43,21.5,1.8(9.14 %),100,2150000,0,0,21.5,21.5,21.5
31/08/2018,9.21,21.0,-0.5(-2.33 %),7100,149250000,0,0,22.5,22.5,21.0
04/09/2018,9.21,21.0,0(0.00 %),3100,65390000,0,0,23.9,23.9,21.0
05/09/2018,9.21,21.0,-0.1(-0.47 %),4000,84200000,0,0,21.1,21.1,21.0
06/09/2018,9.25,21.1,0(0.00 %),0,0,0,0,21.1,21.1,21.1
07/09/2018,9.25,21.1,0(0.00 %),0,0,0,0,21.1,21.1,21.1
10/09/2018,9.25,21.1,0(0.00 %),2000,42200000,0,0,21.1,21.1,21.1
11/09/2018,9.25,21.1,0(0.00 %),8100,170910000,0,0,21.1,21.1,21.1
12/09/2018,9.25,21.1,0(0.00 %),0,0,0,0,21.1,21.1,21.1
13/09/2018,9.25,21.1,0(0.00 %),12400,260600000,0,0,21.0,21.1,21.0
14/09/2018,8.99,20.5,-0.5(-2.38 %),100,2050000,0,0,20.5,20.5,20.5
17/09/2018,8.99,20.5,0(0.00 %),0,0,0,0,20.5,20.5,20.5
18/09/2018,9.08,20.7,0.2(0.98 %),400,8280000,0,0,20.7,20.7,20.7
19/09/2018,9.08,20.7,0(0.00 %),0,0,0,0,20.7,20.7,20.7
