Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
21/11/2016,13.92,14.1,3.9(38.24 %),9400,133460000,0,0,14.2,14.2,14.1
22/11/2016,13.53,13.7,-0.5(-3.52 %),400,5480000,1100,13310000,13.7,13.7,13.7
23/11/2016,11.65,11.8,-1.9(-13.87 %),4700,55460000,0,0,11.8,11.8,11.8
24/11/2016,10.07,10.2,-1.6(-13.56 %),2500,25500000,0,0,10.2,10.2,10.2
25/11/2016,10.96,11.1,0.9(8.82 %),1700,18780000,0,0,10.2,11.7,10.2
28/11/2016,10.76,10.9,-0.1(-0.91 %),800,8720000,0,0,10.9,10.9,10.9
29/11/2016,9.18,9.3,-1.6(-14.68 %),1200,11160000,0,0,9.3,9.3,9.3
30/11/2016,7.9,8.0,-1.3(-13.98 %),4600,36800000,0,0,8.0,8.0,8.0
01/12/2016,8.89,9.0,1(12.50 %),100,900000,0,0,9.0,9.0,9.0
02/12/2016,9.78,9.9,0.9(10.00 %),1000,9900000,0,0,9.9,9.9,9.9
05/12/2016,9.78,9.9,0(0.00 %),300,2970000,0,0,9.9,9.9,9.9
06/12/2016,8.89,9.0,-0.9(-9.09 %),500,4500000,0,0,9.0,9.0,9.0
07/12/2016,8.89,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
08/12/2016,8.39,8.5,-0.5(-5.56 %),300,2550000,0,0,8.5,8.5,8.5
09/12/2016,8.39,8.5,0(0.00 %),200,1700000,0,0,8.5,8.5,8.5
12/12/2016,8.49,8.6,0.1(1.18 %),2000,17200000,0,0,8.6,8.6,8.6
13/12/2016,8.49,8.6,0(0.00 %),1200,10320000,0,0,8.6,8.6,8.6
14/12/2016,8.99,9.1,0.5(5.81 %),2600,24010000,0,0,8.6,9.5,8.6
15/12/2016,8.89,9.0,-0.2(-2.17 %),2200,19800000,0,0,9.0,9.0,9.0
16/12/2016,9.38,9.5,0.5(5.56 %),100,950000,0,0,9.5,9.5,9.5
19/12/2016,8.89,9.0,-0.5(-5.26 %),4500,39850000,1200,10200000,8.5,9.5,8.5
20/12/2016,8.89,9.0,0.1(1.12 %),800,7200000,2700,21600000,9.0,9.0,9.0
21/12/2016,8.99,9.1,0.1(1.11 %),13800,125920000,0,0,9.4,9.4,9.0
22/12/2016,10.27,10.4,1.3(14.29 %),6400,61350000,0,0,9.0,10.4,9.0
23/12/2016,10.37,10.5,0.9(9.38 %),1000,10500000,0,0,10.5,10.5,10.5
26/12/2016,10.37,10.5,0(0.00 %),4700,49530000,0,0,9.0,11.0,9.0
27/12/2016,10.86,11.0,0.5(4.76 %),6100,63720000,0,0,10.5,11.0,10.0
28/12/2016,10.86,11.0,0.6(5.77 %),10300,109960000,0,0,10.5,11.0,10.5
29/12/2016,10.86,11.0,0.3(2.80 %),1800,19470000,0,0,10.7,11.0,10.7
30/12/2016,10.86,11.0,0.2(1.85 %),1800,19920000,2300,23000000,11.2,11.2,11.0
03/01/2017,10.96,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
04/01/2017,10.76,10.9,-0.2(-1.80 %),800,8750000,0,0,11.2,11.2,10.9
05/01/2017,10.76,10.9,0(0.00 %),800,8720000,3800,35340000,10.9,10.9,10.9
06/01/2017,10.27,10.4,-0.5(-4.59 %),2000,21110000,1600,15200000,10.7,10.7,10.4
09/01/2017,10.86,11.0,0.4(3.77 %),1000,10310000,0,0,10.4,11.0,10.1
10/01/2017,9.87,10.0,-0.3(-2.91 %),400,4050000,0,0,11.7,11.7,8.8
11/01/2017,9.68,9.8,-0.3(-2.97 %),300,2870000,0,0,9.1,9.8,9.1
12/01/2017,9.38,9.5,-0.1(-1.04 %),800,7650000,1200,10800000,9.7,9.7,9.5
13/01/2017,10.27,10.4,0.8(8.33 %),1700,16960000,0,0,9.1,10.4,9.1
16/01/2017,10.07,10.2,0.2(2.00 %),4700,47520000,0,0,8.6,10.3,8.6
17/01/2017,10.76,10.9,0.8(7.92 %),1000,10900000,0,0,10.9,10.9,10.9
18/01/2017,10.66,10.8,-0.1(-0.92 %),3000,30990000,0,0,10.0,10.8,10.0
19/01/2017,11.06,11.2,0.9(8.74 %),1000,11200000,0,0,11.2,11.2,11.2
20/01/2017,10.37,10.5,-0.7(-6.25 %),3000,31500000,0,0,10.5,10.5,10.5
23/01/2017,9.87,10.0,-0.5(-4.76 %),1100,10910000,0,0,9.9,10.0,9.9
24/01/2017,9.87,10.0,0.1(1.01 %),1400,14000000,0,0,10.0,10.0,10.0
25/01/2017,10.37,10.5,0.5(5.00 %),43000,463500000,0,0,10.5,10.8,10.5
02/02/2017,10.66,10.8,0(0.00 %),10000,108000000,0,0,10.8,10.8,10.8
03/02/2017,10.66,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
06/02/2017,10.57,10.7,-0.1(-0.93 %),1900,19530000,0,0,10.2,10.7,10.2
07/02/2017,10.07,10.2,-0.1(-0.97 %),6000,61500000,0,0,10.5,10.5,10.2
08/02/2017,10.47,10.6,0.3(2.91 %),3100,32860000,0,0,10.6,10.6,10.6
09/02/2017,10.57,10.7,0.1(0.94 %),7000,74900000,0,0,10.7,10.7,10.7
10/02/2017,10.07,10.2,-0.5(-4.67 %),2100,22020000,0,0,10.5,10.5,10.2
13/02/2017,10.37,10.5,0(0.00 %),2000,21000000,2300,20700000,10.5,10.5,10.5
14/02/2017,10.27,10.4,-0.1(-0.95 %),900,9360000,600,5400000,10.4,10.4,10.4
15/02/2017,10.17,10.3,-0.1(-0.96 %),10000,103000000,0,0,10.3,10.3,10.3
16/02/2017,10.66,10.8,0.5(4.85 %),3200,33690000,0,0,10.5,10.8,10.5
17/02/2017,10.17,10.3,-0.2(-1.90 %),2500,25750000,0,0,10.3,10.3,10.3
20/02/2017,10.17,10.3,0(0.00 %),0,0,0,0,10.3,10.3,10.3
21/02/2017,9.97,10.1,-0.2(-1.94 %),400,4020000,0,0,10.0,10.1,10.0
22/02/2017,9.87,10.0,-0.1(-0.99 %),1300,13010000,0,0,10.1,10.1,10.0
23/02/2017,9.87,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
24/02/2017,9.87,10.0,0(0.00 %),1200,12000000,0,0,10.0,10.0,10.0
27/02/2017,9.87,10.0,0(0.00 %),400,4000000,0,0,10.0,10.0,10.0
28/02/2017,8.89,9.0,-1(-10.00 %),400,3600000,400,3600000,9.0,9.0,9.0
01/03/2017,8.89,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
02/03/2017,8.89,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
03/03/2017,9.48,9.6,0.6(6.67 %),1100,10140000,0,0,9.0,9.6,9.0
06/03/2017,9.08,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
07/03/2017,9.08,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
08/03/2017,9.08,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
09/03/2017,8.89,9.0,-0.2(-2.17 %),500,4500000,0,0,9.0,9.0,9.0
10/03/2017,8.89,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
13/03/2017,8.39,8.5,-0.5(-5.56 %),6700,57100000,1200,10200000,9.5,9.5,8.5
14/03/2017,9.38,9.5,1(11.76 %),300,2850000,0,0,9.5,9.5,9.5
15/03/2017,9.87,10.0,0.5(5.26 %),1500,15000000,800,6800000,10.0,10.0,10.0
16/03/2017,9.87,10.0,0(0.00 %),400,4000000,0,0,10.0,10.0,10.0
17/03/2017,8.39,8.5,-1.5(-15.00 %),1700,16850000,0,0,10.0,10.0,8.5
20/03/2017,8.39,8.5,-1.4(-14.14 %),9100,90500000,0,0,10.0,10.0,8.5
21/03/2017,9.87,10.0,0.1(1.01 %),3000,30000000,0,0,10.0,10.0,10.0
22/03/2017,9.78,9.9,-0.1(-1.00 %),3000,29900000,0,0,10.0,10.0,9.9
23/03/2017,9.78,9.9,-0.1(-1.00 %),3600,35940000,0,0,10.0,10.0,9.9
24/03/2017,9.97,10.1,0.1(1.00 %),4900,48750000,0,0,10.0,10.1,9.9
27/03/2017,9.87,10.0,0.1(1.01 %),3000,30000000,0,0,10.0,10.0,10.0
28/03/2017,9.87,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
29/03/2017,9.97,10.1,0.1(1.00 %),1100,10950000,0,0,8.5,10.1,8.5
30/03/2017,9.87,10.0,0(0.00 %),600,6000000,0,0,10.0,10.0,10.0
31/03/2017,9.87,10.0,0(0.00 %),400,4000000,0,0,10.0,10.0,10.0
03/04/2017,8.49,8.6,-1.4(-14.00 %),100,860000,0,0,8.6,8.6,8.6
04/04/2017,8.49,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
05/04/2017,9.68,9.8,1.2(13.95 %),100,980000,0,0,9.8,9.8,9.8
07/04/2017,9.87,10.0,0.2(2.04 %),1000,10000000,0,0,10.0,10.0,10.0
10/04/2017,9.87,10.0,0(0.00 %),900,9000000,0,0,10.0,10.0,10.0
11/04/2017,9.87,10.0,0(0.00 %),0,0,2300,19780000,10.0,10.0,10.0
12/04/2017,9.87,10.0,0(0.00 %),1000,10000000,0,0,10.0,10.0,10.0
13/04/2017,9.97,10.1,0.1(1.00 %),2200,22200000,0,0,10.0,10.1,10.0
14/04/2017,9.97,10.1,0(0.00 %),0,0,0,0,10.1,10.1,10.1
17/04/2017,8.69,8.8,-1.3(-12.87 %),100,880000,0,0,8.8,8.8,8.8
18/04/2017,8.69,8.8,0(0.00 %),0,0,0,0,8.8,8.8,8.8
19/04/2017,9.78,9.9,1.1(12.50 %),100,990000,0,0,9.9,9.9,9.9
20/04/2017,8.89,9.0,-0.9(-9.09 %),300,2670000,0,0,8.7,9.0,8.7
21/04/2017,8.79,8.9,0(0.00 %),0,0,0,0,8.9,8.9,8.9
24/04/2017,8.79,8.9,0(0.00 %),0,0,0,0,8.9,8.9,8.9
25/04/2017,8.39,8.5,-0.4(-4.49 %),800,6800000,1500,13500000,8.5,8.5,8.5
26/04/2017,8.39,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
27/04/2017,9.58,9.7,1.2(14.12 %),400,3880000,0,0,9.7,9.7,9.7
28/04/2017,9.87,10.0,0.3(3.09 %),100,1000000,0,0,10.0,10.0,10.0
03/05/2017,9.87,10.0,0(0.00 %),1100,11200000,0,0,10.2,10.2,10.0
04/05/2017,10.07,10.2,0(0.00 %),0,0,0,0,10.2,10.2,10.2
05/05/2017,10.07,10.2,0(0.00 %),0,0,0,0,10.2,10.2,10.2
08/05/2017,8.69,8.8,-1.4(-13.73 %),100,880000,0,0,8.8,8.8,8.8
09/05/2017,7.41,7.5,-1.3(-14.77 %),100,750000,0,0,7.5,7.5,7.5
10/05/2017,8.49,8.6,1.1(14.67 %),100,860000,0,0,8.6,8.6,8.6
11/05/2017,9.58,9.7,1.1(12.79 %),100,970000,0,0,9.7,9.7,9.7
12/05/2017,8.2,8.3,-1.4(-14.43 %),100,830000,0,0,8.3,8.3,8.3
15/05/2017,8.2,8.3,0(0.00 %),0,0,0,0,8.3,8.3,8.3
16/05/2017,8.2,8.3,0(0.00 %),0,0,0,0,8.3,8.3,8.3
17/05/2017,8.2,8.3,0(0.00 %),0,0,1100,8800000,8.3,8.3,8.3
18/05/2017,8.2,8.3,0(0.00 %),0,0,0,0,8.3,8.3,8.3
19/05/2017,8.2,8.3,0(0.00 %),0,0,0,0,8.3,8.3,8.3
22/05/2017,8.2,8.3,0(0.00 %),0,0,0,0,8.3,8.3,8.3
23/05/2017,7.9,8.0,-0.3(-3.61 %),1000,8000000,0,0,8.0,8.0,8.0
24/05/2017,7.9,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
25/05/2017,7.9,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
26/05/2017,9.08,9.2,1.2(15.00 %),500,4600000,0,0,9.2,9.2,9.2
29/05/2017,9.08,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
30/05/2017,9.68,9.8,0.6(6.52 %),5400,52940000,0,0,9.8,10.0,9.8
31/05/2017,10.37,10.5,0.7(7.14 %),1000,10450000,0,0,10.5,10.5,10.3
01/06/2017,10.37,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
02/06/2017,10.37,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
05/06/2017,10.37,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
06/06/2017,9.97,10.1,-0.4(-3.81 %),200,2020000,0,0,10.1,10.1,10.1
07/06/2017,9.08,9.2,-0.9(-8.91 %),100,920000,0,0,9.2,9.2,9.2
08/06/2017,7.9,8.0,-1.2(-13.04 %),100,800000,0,0,8.0,8.0,8.0
09/06/2017,9.08,9.2,1.2(15.00 %),400,3680000,0,0,9.2,9.2,9.2
12/06/2017,9.08,9.2,0(0.00 %),0,0,0,0,9.2,9.2,9.2
13/06/2017,8.39,8.5,-0.7(-7.61 %),600,4850000,683000,5396000000,8.0,8.5,8.0
14/06/2017,8.0,8.1,0(0.00 %),0,0,2120000,14628000000,8.1,8.1,8.1
