Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
04/03/2010,0,0,0(0.00 %),0,0,0,0,4586400,0.0
05/03/2010,0,0,0(0.00 %),0,0,0,0,4586400,0.0
08/03/2010,0,0,0(0.00 %),0,0,0,0,4586400,0.0
09/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
10/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
11/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
12/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
15/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
16/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
17/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
18/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
19/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
22/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
23/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
24/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
25/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
26/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
29/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
30/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
31/03/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
01/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
02/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
05/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
06/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
07/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
08/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
09/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
12/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
13/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
14/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
15/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
16/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
19/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
20/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
21/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
22/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
26/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
27/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
28/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
29/04/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
04/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
05/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
06/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
07/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
10/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
11/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
12/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
13/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
14/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
17/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
18/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
19/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
20/05/2010,0,0,100(0.00 %),0,0,0,0,4586400,0.0
21/05/2010,0,0,90(-10.00 %),0,0,0,0,4586400,0.0
24/05/2010,0,0,81(-10.00 %),0,0,0,0,4586400,0.0
25/05/2010,0,0,81(0.00 %),0,0,0,0,4586400,0.0
26/05/2010,0,0,72.9(-10.00 %),0,0,0,0,4586400,0.0
27/05/2010,0,0,65(-9.97 %),0,0,0,0,4586400,0.0
28/05/2010,0,0,58.5(-10.00 %),0,0,0,0,4586400,0.0
31/05/2010,0,0,58.5(0.00 %),0,0,0,0,4586400,0.0
01/06/2010,0,0,52.7(-9.91 %),0,0,0,0,4586400,0.0
02/06/2010,0,0,47.5(-9.87 %),0,0,0,0,4586400,0.0
03/06/2010,0,0,42.8(-9.89 %),0,0,0,0,4586400,0.0
04/06/2010,0,0,38.6(-9.81 %),0,0,0,0,4586400,0.0
07/06/2010,0,0,34.8(-9.84 %),0,0,0,0,4586400,0.0
08/06/2010,0,0,31.4(-9.77 %),0,0,0,0,4586400,0.0
09/06/2010,0,0,28.3(-9.87 %),0,0,0,0,4586400,0.0
10/06/2010,0,0,25.5(-9.89 %),0,0,0,0,4586400,0.0
11/06/2010,0,0,25.5(0.00 %),0,0,0,0,4586400,0.0
14/06/2010,0,0,23(-9.80 %),0,0,0,0,4586400,0.0
15/06/2010,0,0,20.7(-10.00 %),0,0,0,0,4586400,0.0
16/06/2010,0,0,18.7(-9.66 %),0,0,0,0,4586400,0.0
17/06/2010,0,0,20.5(9.63 %),0,0,0,0,4586400,0.0
18/06/2010,0,0,18.5(-9.76 %),0,0,0,0,4586400,0.0
21/06/2010,0,0,22.5(9.76 %),0,0,0,0,4586400,0.0
22/06/2010,0,0,24.7(9.78 %),0,0,0,0,4586400,0.0
23/06/2010,0,0,27.1(9.72 %),0,0,0,0,4586400,0.0
24/06/2010,0,0,29.3(9.74 %),0,0,0,0,4586400,0.0
25/06/2010,0,0,26.4(-9.90 %),0,0,0,0,4586400,0.0
28/06/2010,0,0,35.2(10.00 %),0,0,0,0,4586400,0.0
29/06/2010,0,0,31.7(-9.94 %),0,0,0,0,4586400,0.0
30/06/2010,0,0,42.5(9.82 %),0,0,0,0,4586400,0.0
01/07/2010,0,0,46.7(9.88 %),0,0,0,0,4586400,0.0
02/07/2010,0,0,51.3(9.85 %),0,0,0,0,4586400,0.0
05/07/2010,0,0,45.5(-9.90 %),0,0,0,0,4586400,0.0
06/07/2010,0,0,49.9(-9.93 %),0,0,0,0,4586400,0.0
07/07/2010,0,0,49.9(0.00 %),0,0,0,0,4586400,0.0
08/07/2010,0,0,49.9(0.00 %),0,0,0,0,4586400,0.0
09/07/2010,0,0,50(0.20 %),0,0,0,0,4586400,0.0
12/07/2010,0,0,45(-10.00 %),0,0,0,0,4586400,0.0
13/07/2010,0,0,40.5(-10.00 %),0,0,0,0,4586400,0.0
14/07/2010,0,0,42.5(-9.96 %),0,0,0,0,4586400,0.0
15/07/2010,0,0,52.6(9.81 %),0,0,0,0,4586400,0.0
16/07/2010,0,0,47.4(-9.89 %),0,0,0,0,4586400,0.0
19/07/2010,0,0,52(0.00 %),0,0,0,0,4586400,0.0
20/07/2010,0,0,47.4(-8.85 %),0,0,0,0,4586400,0.0
21/07/2010,0,0,47.4(-8.85 %),0,0,0,0,4586400,0.0
22/07/2010,0,0,46.8(-10.00 %),0,0,0,0,4586400,0.0
23/07/2010,0,0,42.2(-9.83 %),0,0,0,0,4586400,0.0
26/07/2010,0,0,38(-9.95 %),0,0,0,0,4586400,0.0
27/07/2010,0,0,34.2(-10.00 %),0,0,0,0,4586400,0.0
28/07/2010,0,0,30.8(-9.94 %),0,0,0,0,4586400,0.0
29/07/2010,0,0,27.8(-9.74 %),0,0,0,0,4586400,0.0
30/07/2010,0,0,25.1(-9.71 %),0,0,0,0,4586400,0.0
02/08/2010,0,0,22.6(-9.96 %),0,0,0,0,4586400,0.0
