Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,58.5,0.0,-57.1(-100.00 %),683400,58500,0,0,57.4,59.5,57.3
22/08/2025,57.1,57.1,-2.9(-4.83 %),1207400,70000230000,0,0,58.5,59.8,56.4
21/08/2025,60.0,60.0,0.6(1.01 %),1371600,81907930000,0,0,58.8,61.4,58.3
20/08/2025,59.4,59.4,-1.8(-2.94 %),1244700,74606580000,0,0,61.5,61.7,58.2
19/08/2025,61.2,61.2,-1.6(-2.55 %),1127000,69466900000,0,0,62.9,62.9,61.0
18/08/2025,62.8,62.8,1(1.62 %),1702200,108655230000,0,0,62.5,65.5,59.8
15/08/2025,61.8,61.8,0.9(1.48 %),2216600,135630430000,0,0,64.2,64.3,59.7
14/08/2025,60.9,60.9,3.8(6.65 %),2568100,155327370000,0,0,60.8,61.0,59.5
13/08/2025,57.1,57.1,3.7(6.93 %),2711000,152631720000,0,0,53.9,57.1,53.9
12/08/2025,53.4,53.4,-0.2(-0.37 %),908000,48232480000,0,0,54.0,54.0,52.5
11/08/2025,53.6,53.6,1.6(3.08 %),1559900,83160330000,0,0,52.1,54.3,52.1
08/08/2025,52.0,52.0,0(0.00 %),715500,37165230000,0,0,52.0,52.5,51.5
07/08/2025,52.0,52.0,0.8(1.56 %),818400,42168460000,0,0,51.5,52.0,51.1
06/08/2025,51.2,51.2,1.4(2.81 %),653100,32875220000,0,0,50.0,51.2,49.8
05/08/2025,49.8,49.8,-0.2(-0.40 %),1114000,56200680000,0,0,50.2,51.0,49.8
04/08/2025,50.0,50.0,0(0.00 %),667400,33542955000,0,0,50.0,50.7,49.95
01/08/2025,50.0,50.0,0.75(1.52 %),849300,42279260000,0,0,49.5,50.0,49.25
31/07/2025,49.25,49.25,-0.3(-0.61 %),1132800,56284425000,0,0,50.2,50.3,49.05
30/07/2025,49.55,49.55,-0.05(-0.10 %),553600,27493590000,0,0,49.2,50.1,49.2
29/07/2025,49.6,49.6,-2.6(-4.98 %),949800,48862390000,0,0,52.3,52.6,49.6
28/07/2025,52.2,52.2,0.2(0.38 %),750300,39214550000,0,0,52.0,53.1,51.9
25/07/2025,52.0,52.0,-0.2(-0.38 %),698000,36390010000,0,0,52.3,52.7,51.9
24/07/2025,52.2,52.2,-0.2(-0.38 %),298800,15655150000,0,0,52.7,52.9,52.0
23/07/2025,52.4,52.4,-0.1(-0.19 %),366900,19291440000,0,0,52.7,53.2,52.3
22/07/2025,52.5,52.5,0.6(1.16 %),349300,18159710000,0,0,51.7,52.5,51.6
21/07/2025,51.9,51.9,-0.6(-1.14 %),421600,21977460000,0,0,52.5,52.8,51.7
18/07/2025,52.5,52.5,-1(-1.87 %),593000,31335710000,0,0,53.3,53.4,52.4
17/07/2025,53.5,53.5,-0.9(-1.65 %),542500,29213640000,0,0,54.4,54.5,53.4
16/07/2025,54.4,54.4,0.6(1.12 %),291600,15654270000,0,0,53.8,54.4,53.3
15/07/2025,53.8,53.8,-0.1(-0.19 %),652600,35407160000,0,0,54.3,54.8,53.5
14/07/2025,53.9,53.9,0.2(0.37 %),364700,19674450000,0,0,53.7,54.4,53.5
11/07/2025,53.7,53.7,-0.3(-0.56 %),525900,28496080000,0,0,54.0,54.8,53.7
10/07/2025,54.0,54.0,0.1(0.19 %),455500,24413590000,0,0,53.9,54.3,53.1
09/07/2025,53.9,53.9,0(0.00 %),811100,44040070000,0,0,54.3,55.0,53.8
08/07/2025,53.9,53.9,-0.6(-1.10 %),245400,13255720000,0,0,54.5,54.5,53.8
07/07/2025,54.5,54.5,-0.4(-0.73 %),303500,16431670000,0,0,54.2,54.9,53.8
04/07/2025,54.9,54.9,1.9(3.58 %),529900,28513690000,0,0,52.8,55.0,52.4
03/07/2025,53.0,53.0,-0.5(-0.93 %),606200,32045520000,0,0,53.0,53.7,52.5
02/07/2025,53.5,53.5,-0.1(-0.19 %),515400,27748780000,0,0,53.3,54.4,53.3
01/07/2025,53.6,53.6,0.5(0.94 %),655500,35203260000,0,0,52.7,54.3,51.7
30/06/2025,53.1,53.1,0.9(1.72 %),360400,19078130000,0,0,52.4,53.7,52.0
27/06/2025,52.2,52.2,-0.3(-0.57 %),381300,20084600000,0,0,52.3,53.3,52.1
26/06/2025,52.5,52.5,-0.2(-0.38 %),181700,9562000000,0,0,53.4,53.4,52.4
25/06/2025,52.7,52.7,-1.4(-2.59 %),290000,15479590000,0,0,54.1,54.1,52.7
24/06/2025,54.1,54.1,2.9(5.66 %),987900,52516690000,0,0,51.5,54.1,51.5
23/06/2025,51.2,51.2,0.6(1.19 %),266300,13541090000,20700,976005000,50.6,51.8,50.0
20/06/2025,50.6,50.6,-0.7(-1.36 %),521800,26682360000,0,0,51.5,52.1,50.6
19/06/2025,51.3,51.3,-0.6(-1.16 %),232000,11984710000,0,0,52.1,52.2,51.3
18/06/2025,51.9,51.9,0.2(0.39 %),245700,12741830000,0,0,51.7,52.1,51.5
17/06/2025,51.7,51.7,0.1(0.19 %),636200,33014260000,0,0,51.9,52.5,51.1
16/06/2025,51.6,51.6,2.3(4.67 %),785100,40084985000,0,0,49.3,51.7,49.3
13/06/2025,49.3,49.3,-0.5(-1.00 %),286900,14144415000,0,0,49.45,49.6,49.1
12/06/2025,49.8,49.8,0.4(0.81 %),247900,12328890000,0,0,49.9,49.9,49.3
11/06/2025,49.4,49.4,0.5(1.02 %),315500,15519480000,0,0,49.0,49.45,48.8
10/06/2025,48.9,48.9,0.3(0.62 %),297000,14656195000,0,0,49.0,49.8,48.6
09/06/2025,48.6,48.6,-0.9(-1.82 %),560400,27532840000,0,0,49.4,50.0,48.6
06/06/2025,49.5,49.5,-0.9(-1.79 %),445100,22283995000,0,0,50.0,50.5,49.5
05/06/2025,50.4,50.4,-0.9(-1.75 %),879500,44219865000,0,0,51.3,51.3,49.95
04/06/2025,51.3,51.3,-0.1(-0.19 %),269600,13810510000,0,0,51.7,51.7,50.7
03/06/2025,51.4,51.4,0.9(1.78 %),516000,26475680000,0,0,50.6,51.8,50.6
02/06/2025,50.5,50.5,-0.1(-0.20 %),444300,22272385000,0,0,51.4,51.4,49.8
30/05/2025,50.6,50.6,-1(-1.94 %),460300,23478950000,0,0,51.4,51.5,50.5
29/05/2025,51.6,51.6,-0.8(-1.53 %),307500,15951290000,0,0,52.2,52.3,51.4
28/05/2025,52.4,52.4,-0.1(-0.19 %),429300,22295240000,0,0,52.0,52.5,51.1
27/05/2025,52.5,52.5,1.1(2.14 %),936400,48671000000,0,0,51.7,52.7,51.2
26/05/2025,51.4,51.4,1.75(3.52 %),1265300,64359820000,0,0,49.7,51.4,49.3
23/05/2025,49.65,49.65,0.15(0.30 %),250000,12379500000,0,0,49.65,50.2,49.25
22/05/2025,49.5,49.5,-0.8(-1.59 %),413600,20700855000,0,0,49.15,50.6,49.15
21/05/2025,50.3,50.3,0.6(1.21 %),569700,28616580000,0,0,50.2,50.9,49.8
20/05/2025,49.7,49.7,1.45(3.01 %),859200,41953990000,0,0,48.2,49.8,47.9
19/05/2025,48.25,48.25,0(0.00 %),338200,16350205000,0,0,48.25,48.75,48.15
16/05/2025,48.25,48.25,-1.35(-2.72 %),291400,14297980000,0,0,49.65,49.8,48.25
15/05/2025,49.6,49.6,0.4(0.81 %),770100,38354535000,0,0,49.2,50.3,48.8
14/05/2025,49.2,49.2,0.1(0.20 %),392900,19200855000,0,0,49.45,49.45,48.5
13/05/2025,49.1,49.1,0.3(0.61 %),479300,23609940000,0,0,49.8,49.8,48.8
12/05/2025,48.8,48.8,0.6(1.24 %),496000,24054130000,0,0,48.2,48.85,47.85
09/05/2025,48.2,48.2,-0.7(-1.43 %),582400,28252235000,0,0,48.75,49.85,48.15
08/05/2025,48.9,48.9,-0.1(-0.20 %),598200,28911800000,0,0,49.15,49.15,48.0
07/05/2025,49.0,49.0,1.5(3.16 %),1320500,64244730000,0,0,47.1,49.3,47.1
06/05/2025,47.5,47.5,1.4(3.04 %),1032100,48653135000,0,0,46.15,48.2,46.0
05/05/2025,46.1,46.1,0.15(0.33 %),300700,13806255000,0,0,46.6,46.9,45.55
29/04/2025,45.95,45.95,-0.05(-0.11 %),296500,13650000000,0,0,46.2,46.65,45.5
28/04/2025,46.0,46.0,-0.1(-0.22 %),206200,9497000000,1750000,76772500000,46.7,46.7,45.7
25/04/2025,46.1,46.1,-0.35(-0.75 %),629400,29371000000,0,0,46.75,47.3,46.1
24/04/2025,46.45,46.45,2.45(5.57 %),1257700,57639000000,0,0,44.1,46.6,44.1
23/04/2025,44.0,44.0,0.6(1.38 %),501600,22313000000,0,0,45.0,45.0,44.0
22/04/2025,43.4,43.4,-0.6(-1.36 %),1658000,70771000000,32900,1401869000,43.55,43.9,41.0
21/04/2025,44.0,44.0,-1(-2.22 %),402800,17782000000,0,0,45.45,45.45,43.6
18/04/2025,45.0,45.0,-0.35(-0.77 %),536100,24320000000,0,0,45.65,45.9,45.0
17/04/2025,45.35,45.35,1.3(2.95 %),558500,24977000000,0,0,44.05,45.45,44.0
16/04/2025,44.05,44.05,0.05(0.11 %),680400,30462000000,0,0,43.55,45.6,43.55
15/04/2025,44.0,44.0,-0.6(-1.35 %),1029700,44974000000,0,0,44.1,44.6,42.95
14/04/2025,44.6,44.6,0.6(1.36 %),520300,23164000000,0,0,44.65,45.0,44.2
11/04/2025,44.0,44.0,2.2(5.26 %),1115800,48502000000,0,0,44.2,44.2,42.7
10/04/2025,41.8,41.8,2.7(6.91 %),56800,2374000000,0,0,41.8,41.8,41.8
09/04/2025,39.1,39.1,-2.9(-6.90 %),1657300,65756000000,0,0,39.1,42.0,39.1
08/04/2025,42.0,42.0,-3.15(-6.98 %),784300,33274000000,0,0,43.6,45.0,42.0
04/04/2025,45.15,45.15,-3.35(-6.91 %),2125400,96592000000,0,0,45.15,48.5,45.15
03/04/2025,48.5,48.5,-3.6(-6.91 %),800900,39058000000,0,0,48.9,50.9,48.5
02/04/2025,52.1,52.1,-0.6(-1.14 %),563400,29589000000,0,0,53.0,53.4,52.0
01/04/2025,52.7,52.7,-0.6(-1.13 %),391000,20657000000,0,0,53.4,53.4,52.4
31/03/2025,53.3,53.3,-0.2(-0.37 %),602700,32369000000,0,0,53.8,54.5,53.2
28/03/2025,53.5,53.5,0.3(0.56 %),464100,24953000000,0,0,53.2,54.2,52.9
27/03/2025,53.2,53.2,1(1.92 %),596900,31699000000,0,0,52.2,53.8,52.0
26/03/2025,52.2,52.2,-0.2(-0.38 %),259900,13576000000,0,0,52.4,52.7,51.7
25/03/2025,52.4,52.4,0.2(0.38 %),237900,12508000000,0,0,52.2,52.9,52.2
24/03/2025,52.2,52.2,-0.3(-0.57 %),523600,27255000000,0,0,52.5,52.8,51.6
21/03/2025,52.5,52.5,-0.5(-0.94 %),393800,20817000000,0,0,53.3,53.4,52.5
20/03/2025,53.0,53.0,-0.4(-0.75 %),475500,25297000000,0,0,53.0,53.7,52.8
19/03/2025,53.4,53.4,0.1(0.19 %),502100,26831000000,0,0,53.2,53.9,52.8
18/03/2025,53.3,53.3,0.3(0.57 %),256500,13621000000,0,0,52.9,53.5,52.9
17/03/2025,53.0,53.0,-0.6(-1.12 %),669500,35489000000,0,0,53.7,54.4,51.6
14/03/2025,53.6,53.6,-0.5(-0.92 %),661300,35489000000,0,0,54.1,54.4,53.3
13/03/2025,54.1,54.1,-0.9(-1.64 %),695300,37862000000,0,0,55.0,55.6,54.0
12/03/2025,55.0,55.0,0.1(0.18 %),438400,24124000000,0,0,55.2,55.4,54.6
11/03/2025,54.9,54.9,-1.3(-2.31 %),1174700,65218000000,0,0,55.9,56.5,54.5
