Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
BWE,22/08/2025,0,600,0,28685000
BWE,13/08/2025,0,100,0,4955000
BWE,08/08/2025,0,100,0,5000000
BWE,18/07/2025,0,100,0,4740000
BWE,08/07/2025,0,100,0,4745000
BWE,03/07/2025,0,10000,0,487500000
BWE,20/06/2025,200,0,9540000,0
BWE,19/06/2025,500,0,23625000,0
BWE,18/06/2025,100,0,4755000,0
BWE,17/06/2025,100,0,4790000,0
BWE,16/06/2025,0,100,0,4735000
BWE,27/05/2025,0,100,0,5190000
BWE,22/05/2025,0,91,0,4703000
BWE,21/05/2025,0,100,0,5180000
BWE,16/05/2025,0,100,0,5100000
BWE,15/05/2025,0,15000,0,768790000
BWE,14/05/2025,0,0,0,0
BWE,13/05/2025,0,0,0,0
BWE,12/05/2025,0,4000,0,212000000
BWE,08/05/2025,18000,0,929960000,0
BWE,07/05/2025,0,32000,0,1708380000
BWE,06/05/2025,0,85900,0,4645100000
BWE,16/04/2025,3100,0,140430000,0
BWE,14/04/2025,3900,0,174500000,0
BWE,11/04/2025,100,700,4450000,31010000
BWE,10/04/2025,0,169000,0,7655700000
BWE,09/04/2025,0,261000,0,10890050000
BWE,08/04/2025,0,280000,0,11206000000
BWE,04/04/2025,0,900,0,36700000
BWE,02/04/2025,0,100,0,4315000
BWE,31/03/2025,400,1000,17285000,43470000
BWE,28/03/2025,100,1400,4415000,61885000
BWE,27/03/2025,200,100,8895000,4465000
BWE,24/03/2025,2000,0,88345000,0
BWE,20/03/2025,400,0,17920000,0
BWE,19/03/2025,200,0,8910000,0
BWE,18/03/2025,0,200,0,8785000
BWE,17/03/2025,100,8500,4370000,371195000
BWE,13/03/2025,1000,2000,44135000,88460000
BWE,12/03/2025,400,0,17785000,0
BWE,11/03/2025,300,500,13440000,22295000
BWE,10/03/2025,1000,0,44945000,0
BWE,07/03/2025,500,2400,22455000,107445000
BWE,06/03/2025,100,5000,4500000,224005000
BWE,05/03/2025,600,0,27095000,0
BWE,04/03/2025,200,200,9020000,9030000
BWE,03/03/2025,2100,0,95025000,0
BWE,28/02/2025,0,1000,0,45020000
BWE,25/02/2025,0,100,0,4500000
BWE,24/02/2025,800,0,35830000,0
BWE,21/02/2025,600,0,27075000,0
BWE,19/02/2025,0,1400,0,63455000
BWE,11/02/2025,0,200,0,9160000
BWE,10/02/2025,1500,0,70500000,0
BWE,07/02/2025,800,0,38195000,0
BWE,06/02/2025,6200,0,297450000,0
BWE,03/02/2025,0,1000,0,46460000
BWE,21/01/2025,200,0,9320000,0
BWE,20/01/2025,1400,0,64890000,0
BWE,16/01/2025,0,2200,0,102540000
BWE,15/01/2025,0,800,0,37680000
BWE,31/12/2024,4200,0,199970000,0
BWE,26/12/2024,2800,0,131235000,0
BWE,17/12/2024,0,200,0,9260000
BWE,16/12/2024,0,800,0,36770000
BWE,12/12/2024,200,0,9190000,0
BWE,11/12/2024,400,0,18260000,0
BWE,10/12/2024,0,6000,0,276450000
BWE,09/12/2024,10000,0,460900000,0
BWE,05/12/2024,400,0,18810000,0
BWE,04/12/2024,0,200,0,9400000
BWE,03/12/2024,0,600,0,28180000
BWE,02/12/2024,0,400,0,18700000
BWE,28/11/2024,2100,0,94920000,0
BWE,27/11/2024,400,0,18080000,0
BWE,26/11/2024,200,0,9060000,0
BWE,25/11/2024,3935000,0,175894500000,0
BWE,22/11/2024,600,0,26960000,0
BWE,20/11/2024,10000,2000,451000000,90300000
BWE,19/11/2024,0,2000,0,90200000
BWE,12/11/2024,3000,0,137950000,0
BWE,11/11/2024,0,2200,0,100900000
BWE,08/11/2024,0,3400,0,156220000
BWE,07/11/2024,2000,800,90650000,36180000
BWE,05/11/2024,14300,600,645080000,27090000
BWE,04/11/2024,0,400,0,18000000
BWE,01/11/2024,0,400,0,17860000
BWE,28/10/2024,0,200,0,8910000
BWE,24/10/2024,0,1400,0,62040000
BWE,23/10/2024,0,200,0,8930000
BWE,22/10/2024,200,800,9010000,36050000
BWE,21/10/2024,0,200,0,9040000
BWE,18/10/2024,200,0,9050000,0
BWE,17/10/2024,200,1000,9170000,45630000
BWE,16/10/2024,5400200,600,238869200000,27215000
BWE,15/10/2024,4800,0,217170000,0
BWE,14/10/2024,2600,0,119120000,0
BWE,11/10/2024,0,200,0,9080000
BWE,10/10/2024,400,0,18000000,0
BWE,09/10/2024,10200,200,462070000,9040000
BWE,08/10/2024,200,200,9020000,8980000
BWE,07/10/2024,0,400,0,17960000
BWE,03/10/2024,200,6000,9020000,270050000
BWE,27/09/2024,4000,0,183950000,0
BWE,26/09/2024,0,10600200,0,462169340000
BWE,25/09/2024,0,20400,0,953890000
BWE,24/09/2024,0,134100,0,6206640000
BWE,19/09/2024,126100,0,5816025000,0
BWE,18/09/2024,200,200,9120000,9050000
BWE,17/09/2024,400,1900,18090000,85815000
BWE,16/09/2024,200,0,9090000,0
BWE,13/09/2024,1400,200,64680000,9240000
BWE,12/09/2024,200,1000,9240000,45700000
BWE,11/09/2024,2000,200,90645000,9150000
BWE,10/09/2024,1600,800,73420000,36430000
BWE,09/09/2024,2600,7000,118540000,317645000
BWE,06/09/2024,400,0,17540000,0
BWE,05/09/2024,200,1600,8790000,70135000
BWE,30/08/2024,4200,0,188255000,0
BWE,29/08/2024,6600,0,293115000,0
BWE,28/08/2024,400,600,17770000,26620000
BWE,23/08/2024,400,600,17695000,26520000
BWE,22/08/2024,400,0,17710000,0
BWE,21/08/2024,400,0,17720000,0
BWE,20/08/2024,3400,800,151390000,35760000
BWE,19/08/2024,0,400,0,17670000
BWE,16/08/2024,0,1200,0,52120000
BWE,15/08/2024,200,200,8490000,8520000
BWE,14/08/2024,400,0,17130000,0
BWE,13/08/2024,2800,200,118270000,8440000
BWE,12/08/2024,2700,800,113940000,33780000
BWE,08/08/2024,4200,1000,180055000,42570000
BWE,06/08/2024,1200,2800,49440000,117015000
BWE,05/08/2024,11200,2800,461230000,116900000
BWE,02/08/2024,800,1600,33085000,66580000
BWE,01/08/2024,10600,0,437945000,0
BWE,31/07/2024,600,0,25085000,0
BWE,30/07/2024,5800,100,243425000,4240000
BWE,29/07/2024,200,0,8475000,0
BWE,26/07/2024,500,0,21365000,0
BWE,25/07/2024,100,100,4200000,4220000
BWE,24/07/2024,500,0,20855000,0
BWE,23/07/2024,0,2400,0,100915000
BWE,22/07/2024,11500,0,485380000,0
BWE,19/07/2024,500,1400,21350000,59780000
BWE,18/07/2024,500,5800,21110000,245005000
BWE,17/07/2024,23500,0,1007820000,0
BWE,16/07/2024,2700,0,118705000,0
BWE,15/07/2024,100,0,4410000,0
BWE,12/07/2024,1700,0,74555000,0
BWE,11/07/2024,4400,300,193160000,13215000
BWE,10/07/2024,12700,400,560985000,17755000
BWE,09/07/2024,4000,2700,177650000,119975000
BWE,08/07/2024,400,5300,17700000,236895000
BWE,05/07/2024,1200,200,54185000,8990000
BWE,04/07/2024,6000,3400,273445000,155040000
BWE,03/07/2024,1600,200,73230000,9100000
BWE,02/07/2024,1100,2900,49915000,131235000
BWE,01/07/2024,600,0,27020000,0
BWE,28/06/2024,400,0,18335000,0
BWE,27/06/2024,1100,200,51495000,9310000
BWE,24/06/2024,3500,100,156510000,4505000
BWE,21/06/2024,100,4300,4500000,193900000
BWE,19/06/2024,2000,103200,90350000,4655695000
BWE,18/06/2024,1100,96800,50075000,4396595000
BWE,17/06/2024,1100,1200,49795000,53570000
BWE,14/06/2024,800,3300,36875000,152350000
BWE,13/06/2024,30500,4500,1414125000,206920000
BWE,12/06/2024,174500,0,7974470000,0
BWE,11/06/2024,300,0,13495000,0
BWE,10/06/2024,0,1500,0,66350000
BWE,05/06/2024,1000,0,42580000,0
BWE,04/06/2024,800,0,34320000,0
BWE,03/06/2024,700,400,30150000,17200000
BWE,31/05/2024,2000,500,86125000,21325000
BWE,30/05/2024,500,0,21025000,0
BWE,28/05/2024,0,600,0,24895000
BWE,24/05/2024,400,1600,16820000,68185000
BWE,23/05/2024,200,0,8330000,0
BWE,22/05/2024,0,1000,0,41790000
BWE,21/05/2024,0,700,0,28880000
BWE,20/05/2024,800,0,32940000,0
BWE,17/05/2024,0,2500,0,105375000
BWE,16/05/2024,2500,1600,117560000,75395000
BWE,15/05/2024,0,700,0,33065000
BWE,14/05/2024,2400,0,108950000,0
BWE,13/05/2024,200,0,9120000,0
BWE,10/05/2024,2200,0,98450000,0
BWE,09/05/2024,0,300,0,13585000
BWE,08/05/2024,0,2800,0,128170000
BWE,07/05/2024,0,7600,0,344685000
BWE,06/05/2024,300,500,13285000,22095000
BWE,03/05/2024,2900,0,128420000,0
BWE,02/05/2024,0,1900,0,81280000
BWE,26/04/2024,1200,800,51925000,34465000
BWE,25/04/2024,2300,1100,100225000,47665000
BWE,24/04/2024,800,1600,34580000,68825000
BWE,23/04/2024,500,0,21390000,0
BWE,22/04/2024,1900,15000,80930000,639875000
BWE,19/04/2024,1200,0,49790000,0
BWE,17/04/2024,100,3500,4130000,144325000
BWE,16/04/2024,4500,0,189370000,0
BWE,15/04/2024,2000,0,84700000,0
BWE,12/04/2024,600,7200,26080000,310255000
BWE,11/04/2024,1300,4900,55585000,210050000
BWE,10/04/2024,1300,4100,55980000,175635000
BWE,09/04/2024,11100,5300,477765000,228675000
BWE,08/04/2024,4600,500,201050000,21820000
BWE,05/04/2024,2700,3700,118685000,162515000
BWE,04/04/2024,2400,600,106330000,26355000
BWE,03/04/2024,0,5000,0,222745000
BWE,02/04/2024,0,1200,0,53855000
BWE,01/04/2024,0,800,0,35605000
BWE,29/03/2024,0,500,0,22450000
BWE,28/03/2024,3600,0,160175000,0
BWE,27/03/2024,0,4300,0,191435000
BWE,26/03/2024,1200,400,52985000,17520000
BWE,25/03/2024,3600,2800,156810000,120835000
BWE,22/03/2024,3800,2100,163855000,90445000
BWE,21/03/2024,2300,1000,98975000,42950000
BWE,20/03/2024,4300,0,183455000,0
BWE,19/03/2024,500,0,21415000,0
BWE,18/03/2024,13200,5600,569505000,243755000
BWE,15/03/2024,500,1400,21800000,60980000
BWE,14/03/2024,0,1700,0,74450000
BWE,13/03/2024,10000,500,435250000,21815000
BWE,12/03/2024,1100,100,48195000,4360000
BWE,11/03/2024,700,100,30795000,4395000
BWE,08/03/2024,6200,1900,271175000,83335000
BWE,07/03/2024,0,1900,0,83705000
BWE,06/03/2024,1800,0,78060000,0
BWE,05/03/2024,5600,0,240030000,0
BWE,04/03/2024,20300,2400,866490000,102785000
BWE,01/03/2024,14000,2800,596900000,119505000
BWE,29/02/2024,5100,1500,217780000,63940000
BWE,28/02/2024,14000,500,599715000,21400000
BWE,27/02/2024,21300,2800,913755000,120245000
BWE,26/02/2024,20200,2900,866380000,124625000
BWE,23/02/2024,23600,1400,1024300000,60900000
BWE,22/02/2024,20000,800,868500000,34730000
BWE,21/02/2024,12100,1000,524100000,43345000
BWE,20/02/2024,11100,0,482570000,0
BWE,19/02/2024,6700,0,292450000,0
BWE,16/02/2024,9600,0,414150000,0
BWE,15/02/2024,6000,400,256760000,17070000
BWE,07/02/2024,5300,0,225820000,0
BWE,06/02/2024,15200,0,647780000,0
BWE,05/02/2024,13000,0,554920000,0
BWE,02/02/2024,8800,2800,374250000,119260000
BWE,01/02/2024,5400,400,229490000,16940000
BWE,31/01/2024,5100,300,216765000,12805000
BWE,30/01/2024,14700,900,617780000,38250000
BWE,29/01/2024,0,4000,0,167985000
BWE,26/01/2024,800,0,33495000,0
BWE,25/01/2024,5000,0,208000000,0
BWE,24/01/2024,10000,400,416500000,16620000
BWE,23/01/2024,20000,300,830250000,12395000
BWE,22/01/2024,6600,0,273845000,0
BWE,19/01/2024,6600,0,271690000,0
BWE,18/01/2024,5100,200,208115000,8180000
BWE,17/01/2024,15000,1100,613800000,45090000
BWE,16/01/2024,10700,0,440200000,0
BWE,15/01/2024,5600,0,232020000,0
BWE,12/01/2024,26100,0,1088390000,0
BWE,11/01/2024,1516400,200,68868335000,8470000
BWE,10/01/2024,10900,0,461530000,0
BWE,09/01/2024,21000,0,868215000,0
BWE,08/01/2024,15600,500,634390000,20330000
BWE,05/01/2024,21300,100,866875000,4080000
BWE,04/01/2024,18600,1200,759080000,49015000
BWE,03/01/2024,18000,100,734100000,4075000
BWE,02/01/2024,21600,0,882460000,0
BWE,28/12/2023,3200,0,130995000,0
BWE,25/12/2023,2000,600,80260000,24030000
BWE,22/12/2023,300,4000,12015000,160810000
BWE,20/12/2023,0,200,0,8085000
BWE,19/12/2023,100,600,4025000,24480000
BWE,18/12/2023,0,3800,0,154425000
BWE,14/12/2023,2600,0,108330000,0
BWE,13/12/2023,1000,100,41755000,4205000
BWE,12/12/2023,0,400,0,16780000
BWE,11/12/2023,400,0,16870000,0
BWE,08/12/2023,200,0,8460000,0
BWE,07/12/2023,5500,0,235355000,0
BWE,06/12/2023,1000,300,42770000,12800000
BWE,04/12/2023,0,100,0,4280000
BWE,01/12/2023,1500,0,63995000,0
BWE,30/11/2023,0,500,0,21325000
BWE,29/11/2023,0,700,0,29890000
BWE,28/11/2023,300,0,12845000,0
BWE,27/11/2023,700,0,29655000,0
BWE,24/11/2023,400,0,17000000,0
BWE,23/11/2023,0,1600,0,68845000
BWE,17/11/2023,800,0,34870000,0
BWE,16/11/2023,200,0,8760000,0
BWE,15/11/2023,500,0,22000000,0
BWE,14/11/2023,0,400,0,17510000
BWE,13/11/2023,0,1000,0,43580000
BWE,07/11/2023,100,300,4305000,13015000
BWE,06/11/2023,1200,0,52140000,0
BWE,01/11/2023,200,0,8930000,0
BWE,31/10/2023,1100,0,48540000,0
BWE,30/10/2023,900,0,39845000,0
BWE,26/10/2023,3900,0,173335000,0
BWE,25/10/2023,1100,0,49290000,0
BWE,24/10/2023,600,0,27195000,0
BWE,23/10/2023,0,2000,0,89930000
BWE,20/10/2023,400,0,17920000,0
BWE,19/10/2023,900,100,40365000,4480000
BWE,18/10/2023,1300,100,58380000,4510000
BWE,17/10/2023,200,0,9080000,0
BWE,16/10/2023,0,1200,0,54890000
BWE,13/10/2023,500,1600,22640000,72390000
BWE,12/10/2023,400,0,18380000,0
BWE,11/10/2023,1400,0,64365000,0
BWE,10/10/2023,1200,0,55480000,0
BWE,09/10/2023,200,3000,9260000,138450000
BWE,06/10/2023,500,0,23245000,0
BWE,05/10/2023,400,0,18530000,0
BWE,04/10/2023,500,0,23485000,0
BWE,03/10/2023,8100,0,373600000,0
BWE,28/09/2023,9600,0,441150000,0
BWE,27/09/2023,400,0,18400000,0
BWE,26/09/2023,500,0,23110000,0
BWE,25/09/2023,400,0,18570000,0
BWE,22/09/2023,400,400,18730000,18760000
BWE,19/09/2023,400,0,18600000,0
BWE,14/09/2023,100,0,4690000,0
BWE,12/09/2023,10000,0,473500000,0
BWE,07/09/2023,2000,0,95750000,0
BWE,31/08/2023,0,400,0,19800000
BWE,28/08/2023,0,1200,0,55260000
BWE,25/08/2023,0,100,0,4635000
BWE,24/08/2023,28000,1500,1287875000,69165000
BWE,23/08/2023,72800,0,3346760000,0
BWE,22/08/2023,300,0,13760000,0
BWE,21/08/2023,65000,0,2984725000,0
BWE,18/08/2023,30700,0,1409280000,0
BWE,16/08/2023,2200,0,102060000,0
BWE,15/08/2023,1100,5000,50710000,230750000
BWE,09/08/2023,900,0,41380000,0
BWE,08/08/2023,133000,0,6115660000,0
BWE,07/08/2023,1000,0,46050000,0
BWE,04/08/2023,76000,1800,3490690000,82610000
BWE,03/08/2023,47000,0,2159570000,0
BWE,02/08/2023,70500,2600,3234000000,118865000
BWE,01/08/2023,36200,0,1661060000,0
BWE,31/07/2023,1200,0,55350000,0
BWE,27/07/2023,10100,500,464600000,23065000
BWE,26/07/2023,33000,0,1516215000,0
BWE,25/07/2023,105400,0,4845190000,0
BWE,24/07/2023,41600,1000,1913485000,46025000
BWE,21/07/2023,52500,0,2401630000,0
BWE,19/07/2023,1600,0,73360000,0
BWE,18/07/2023,1000,10500,45675000,484540000
BWE,17/07/2023,80500,0,3614415000,0
BWE,14/07/2023,30100,0,1351760000,0
BWE,13/07/2023,90400,0,4063345000,0
BWE,12/07/2023,92000,800,4122475000,35800000
BWE,11/07/2023,68900,0,3063085000,0
BWE,10/07/2023,7000,200,307550000,8700000
BWE,07/07/2023,800,100,34800000,4345000
BWE,06/07/2023,200,0,8730000,0
BWE,29/06/2023,1500,0,66500000,0
BWE,27/06/2023,0,2600,0,115180000
BWE,26/06/2023,300,800,13275000,35350000
BWE,22/06/2023,500,0,22220000,0
BWE,21/06/2023,300,0,13320000,0
BWE,15/06/2023,1400,0,62910000,0
BWE,14/06/2023,500,0,22250000,0
BWE,13/06/2023,1000,0,44855000,0
BWE,09/06/2023,600,0,26780000,0
BWE,01/06/2023,2000,0,89750000,0
BWE,30/05/2023,100,0,4500000,0
BWE,26/05/2023,0,39900,0,1865884000
BWE,25/05/2023,1000,0,45400000,0
BWE,24/05/2023,16500,0,768250000,0
BWE,23/05/2023,7000,0,325680000,0
BWE,22/05/2023,6100,106900,283660000,5035888000
BWE,19/05/2023,10300,0,480320000,0
BWE,18/05/2023,47200,0,2217280000,0
BWE,17/05/2023,20200,78300,948685000,3683389000
BWE,16/05/2023,33400,0,1566975000,0
BWE,15/05/2023,21700,0,1020085000,0
BWE,12/05/2023,11200,200,524400000,9380000
BWE,11/05/2023,12300,81500,578155000,3717623000
BWE,10/05/2023,33100,0,1543240000,0
BWE,09/05/2023,25200,85100,1157465000,3819543000
BWE,08/05/2023,58300,0,2635445000,0
BWE,05/05/2023,20500,0,919070000,0
BWE,04/05/2023,21900,0,972875000,0
BWE,28/04/2023,9700,0,421680000,0
BWE,27/04/2023,20900,95500,939885000,4311921000
BWE,26/04/2023,13600,0,609845000,0
BWE,25/04/2023,31300,0,1401310000,0
BWE,24/04/2023,13000,0,581360000,0
BWE,21/04/2023,51200,0,2310105000,0
BWE,18/04/2023,0,1000,0,42900000
BWE,13/04/2023,1000,500,43295000,21650000
BWE,10/04/2023,0,8000,0,341740000
BWE,06/04/2023,0,100,0,4300000
BWE,05/04/2023,8000,100,343195000,4295000
BWE,30/03/2023,0,400,0,17095000
BWE,14/03/2023,0,200,0,8860000
BWE,06/03/2023,500,0,22300000,0
BWE,03/03/2023,0,600,0,26690000
BWE,16/02/2023,200,0,9200000,0
BWE,02/02/2023,500,0,23560000,0
BWE,30/01/2023,0,2000,0,94600000
BWE,18/01/2023,200,0,9090000,0
BWE,17/01/2023,300,0,13660000,0
BWE,16/01/2023,300,0,13430000,0
BWE,09/01/2023,300,0,14160000,0
BWE,06/01/2023,700,33710,0,0
BWE,05/01/2023,800,0,39375000,0
BWE,04/01/2023,900,0,44015000,0
BWE,03/01/2023,600,0,29495000,0
BWE,30/12/2022,1200,25500,58080000,1255800000
BWE,29/12/2022,0,5000,0,240000000
BWE,28/12/2022,0,3100,0,147875000
BWE,27/12/2022,0,1500,0,71550000
BWE,26/12/2022,0,2000,0,95800000
BWE,23/12/2022,0,900,0,42930000
BWE,22/12/2022,0,1400,0,67030000
BWE,21/12/2022,0,3000,0,144600000
BWE,20/12/2022,0,800,0,37710000
BWE,19/12/2022,0,8900,0,435235000
BWE,16/12/2022,0,12300,0,592690000
BWE,15/12/2022,0,3000,0,142800000
BWE,13/12/2022,0,3800,0,180500000
BWE,16/11/2022,80500,0,2690010000,0
BWE,15/11/2022,300600,0,10563100000,0
BWE,25/08/2025,0,0,0,0
