Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
24/05/2018,15.31,27.0,7.7(39.90 %),1000,27000000,0,0,27.0,27.0,27.0
25/05/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
28/05/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
29/05/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
30/05/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
31/05/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
01/06/2018,15.31,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
04/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
05/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
06/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
07/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
08/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
11/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
12/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
13/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
14/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
15/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
18/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
19/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
20/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
21/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
22/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
25/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
26/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
27/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
28/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
29/06/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
02/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
03/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
04/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
05/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
06/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
09/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
10/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
11/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
12/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
13/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
16/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
17/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
18/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
19/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
20/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
23/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
24/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
25/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
26/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
27/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
30/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
31/07/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
01/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
02/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
03/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
06/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
07/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
08/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
09/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
10/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
13/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
14/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
15/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
16/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
17/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
20/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
21/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
22/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
23/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
24/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
27/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
28/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
29/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
30/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
31/08/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
04/09/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
05/09/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
06/09/2018,15.31,25.4,0(0.00 %),0,0,0,0,25.4,25.4,25.4
