Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
03/03/2011,-1600,-29440000,0(0.00 %),0,0,1600,29440000,11730000,-46.92
04/03/2011,0,0,0(0.00 %),0,0,0,0,11730000,2.08
07/03/2011,1000,27500000,0(0.00 %),1000,27500000,0,0,11729000,2.08
08/03/2011,0,0,0(0.00 %),0,0,0,0,11729000,2.08
09/03/2011,0,0,0(0.00 %),0,0,0,0,11729000,2.08
10/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
11/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
14/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
15/03/2011,0,0,19.9(-4.78 %),0,0,0,0,0,0.0
16/03/2011,0,0,19(-4.52 %),0,0,0,0,11730600,2.08
17/03/2011,0,0,18.1(-4.74 %),0,0,0,0,11730600,2.08
18/03/2011,0,0,17.2(-4.97 %),0,0,0,0,11730600,2.08
21/03/2011,0,0,16.4(-4.65 %),0,0,0,0,11730600,2.08
22/03/2011,0,0,15.6(-4.88 %),0,0,0,0,11730600,2.08
23/03/2011,0,0,14.9(-4.49 %),0,0,0,0,11730600,2.08
24/03/2011,0,0,14.2(-4.70 %),0,0,0,0,11730600,2.08
25/03/2011,-14260,-195240000,14.5(2.11 %),1000,13500000,15260,208740000,11744860,2.02
28/03/2011,-740,-10730000,14.6(0.69 %),0,0,740,10730000,11745600,2.02
29/03/2011,0,0,13.9(-4.79 %),0,0,0,0,11745600,2.02
30/03/2011,0,0,14.3(2.88 %),0,0,0,0,11745600,2.02
31/03/2011,0,0,14.5(1.40 %),0,0,0,0,11745600,2.02
01/04/2011,0,0,13.8(-4.83 %),0,0,0,0,11745600,2.02
04/04/2011,0,0,13.8(0.00 %),0,0,0,0,11745600,2.02
05/04/2011,0,0,13.3(-3.62 %),0,0,0,0,11745600,2.02
06/04/2011,0,0,13.4(0.75 %),0,0,0,0,11745600,2.02
07/04/2011,0,0,12.8(-4.48 %),0,0,0,0,11745600,2.02
08/04/2011,0,0,12.2(-4.69 %),0,0,0,0,11745600,2.02
13/04/2011,0,0,12.1(-0.82 %),0,0,0,0,11745600,2.02
14/04/2011,0,0,12.1(0.00 %),0,0,0,0,11745600,2.02
15/04/2011,100,1250000,12.5(3.31 %),100,1250000,0,0,11745500,2.02
18/04/2011,0,0,12.7(1.60 %),0,0,0,0,11745500,2.02
19/04/2011,0,0,12.7(0.00 %),0,0,0,0,11745500,2.02
20/04/2011,0,0,12.8(0.79 %),0,0,0,0,11745500,2.02
21/04/2011,0,0,12.8(0.00 %),0,0,0,0,11745500,2.02
22/04/2011,0,0,12.8(0.00 %),0,0,0,0,11745500,2.02
25/04/2011,0,0,13.2(3.12 %),0,0,0,0,11745500,2.02
26/04/2011,0,0,13.2(0.00 %),0,0,0,0,11745500,2.02
27/04/2011,0,0,13.2(0.00 %),0,0,0,0,11745500,2.02
28/04/2011,0,0,13.3(0.76 %),0,0,0,0,11745500,2.02
29/04/2011,0,0,13.3(0.00 %),0,0,0,0,11745500,2.02
04/05/2011,0,0,12.8(-3.76 %),0,0,0,0,11745500,2.02
05/05/2011,-10,-134000,13(1.56 %),0,0,10,134000,11745510,2.02
06/05/2011,0,0,13(0.00 %),0,0,0,0,11745510,2.02
09/05/2011,0,0,13.2(1.54 %),0,0,0,0,11745510,2.02
10/05/2011,0,0,12.6(-4.55 %),0,0,0,0,11745510,2.02
11/05/2011,0,0,12(-4.76 %),0,0,0,0,11745510,2.02
12/05/2011,0,0,12(0.00 %),0,0,0,0,11745510,2.02
13/05/2011,0,0,12(0.00 %),0,0,0,0,11745510,2.02
16/05/2011,0,0,12(0.00 %),0,0,0,0,11745510,2.02
17/05/2011,0,0,12(0.00 %),0,0,0,0,11745510,2.02
18/05/2011,0,0,12(0.00 %),0,0,0,0,11745510,2.02
19/05/2011,0,0,12.6(5.00 %),0,0,0,0,11745510,2.02
20/05/2011,0,0,13.2(4.76 %),0,0,0,0,11745510,2.02
23/05/2011,0,0,13.4(1.52 %),0,0,0,0,11745510,2.02
24/05/2011,0,0,13.9(3.73 %),0,0,0,0,11745510,2.02
25/05/2011,-300,-4320000,14.4(3.60 %),0,0,300,4320000,11745810,2.02
26/05/2011,-200,-2780000,13.9(-3.47 %),0,0,200,2780000,11746010,2.02
27/05/2011,0,0,12.3(-4.65 %),0,0,0,0,11746010,2.02
