Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
CDC,30/03/2023,0,700,0,12845000
CDC,17/07/2023,538000,0,9415000000,0
CDC,19/07/2023,512000,0,8960000000,0
CDC,27/12/2023,0,300000,0,5608260000
CDC,26/01/2024,0,300000,0,6165000000
CDC,29/01/2024,575700,0,10938300000,0
CDC,30/01/2024,0,245300,0,5028650000
CDC,31/01/2024,218600,0,4164330000,0
CDC,01/02/2024,0,355000,0,7255910000
CDC,02/02/2024,376200,0,7166610000,0
CDC,27/03/2024,200000,200000,3780000000,4282600000
CDC,31/05/2024,200000,200000,3698000000,4220000000
CDC,18/09/2024,0,100,0,1760000
CDC,14/11/2024,0,1020200,0,19281780000
CDC,21/11/2024,400000,0,6760000000,0
CDC,13/01/2025,0,400000,0,6880000000
CDC,22/05/2025,0,12,0,190000
CDC,09/07/2025,0,71,0,1058000
CDC,18/08/2025,0,2182858,0,40382873000
