Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/03/2016,10.93,22.4,6.4(40.00 %),3000,67200000,0,0,22.4,22.4,22.4
31/03/2016,12.53,25.7,3.3(14.73 %),50000,1285000000,0,0,25.7,25.7,25.7
01/04/2016,12.53,25.7,0(0.00 %),0,0,0,0,25.7,25.7,25.7
04/04/2016,14.39,29.5,3.8(14.79 %),10000,295000000,0,0,29.5,29.5,29.5
05/04/2016,13.9,28.5,-1(-3.39 %),3800,112020000,0,0,33.9,33.9,28.5
06/04/2016,12.24,25.1,-4.4(-14.92 %),5100,131030000,0,0,25.1,26.0,25.1
07/04/2016,12.19,25.0,-0.7(-2.72 %),500,12500000,0,0,25.0,25.0,25.0
08/04/2016,12.19,25.0,0(0.00 %),1700,42200000,0,0,24.0,25.0,24.0
11/04/2016,11.71,24.0,-0.8(-3.23 %),100,2400000,0,0,24.0,24.0,24.0
12/04/2016,10.24,21.0,-3(-12.50 %),5600,116680000,0,0,20.4,21.2,20.4
13/04/2016,10.73,22.0,1.2(5.77 %),4500,99590000,0,0,22.0,22.9,22.0
14/04/2016,12.29,25.2,3.1(14.03 %),33100,820670000,0,0,23.0,25.3,23.0
15/04/2016,11.71,24.0,-0.8(-3.23 %),800,19680000,0,0,25.4,25.4,24.0
19/04/2016,12.05,24.7,0.1(0.41 %),7100,176900000,0,0,25.0,25.0,24.7
20/04/2016,11.46,23.5,-1.4(-5.62 %),8700,204480000,0,0,23.8,23.8,23.5
21/04/2016,11.71,24.0,0.5(2.13 %),600,14390000,0,0,23.9,24.0,23.9
22/04/2016,11.07,22.7,-1.3(-5.42 %),22600,509530000,0,0,22.6,23.0,22.5
25/04/2016,12.44,25.5,3(13.33 %),19700,494470000,0,0,25.0,25.5,24.0
26/04/2016,12.92,26.5,1.4(5.58 %),9800,257200000,0,0,26.0,26.5,26.0
27/04/2016,12.68,26.0,-0.2(-0.76 %),8800,233250000,0,0,26.5,27.0,26.0
28/04/2016,12.92,26.5,0(0.00 %),3500,87800000,0,0,25.0,26.5,25.0
29/04/2016,12.68,26.0,0.9(3.59 %),3300,84890000,0,0,23.0,26.0,23.0
04/05/2016,12.88,26.4,0.7(2.72 %),1200,28300000,0,0,25.0,26.4,22.8
05/05/2016,11.95,24.5,0.9(3.81 %),500,12390000,0,0,25.9,25.9,24.5
06/05/2016,11.02,22.6,-2.2(-8.87 %),1700,39400000,0,0,22.2,24.8,22.2
09/05/2016,11.71,24.0,0.8(3.45 %),5900,144020000,0,0,25.0,25.0,24.0
10/05/2016,11.95,24.5,0.1(0.41 %),3400,83450000,0,0,24.4,25.0,24.4
11/05/2016,11.71,24.0,-0.5(-2.04 %),4900,118680000,0,0,22.4,25.0,22.4
12/05/2016,12.44,25.5,1.3(5.37 %),5800,145350000,0,0,25.0,25.5,24.5
13/05/2016,12.1,24.8,-0.3(-1.20 %),20600,516910000,0,0,25.1,25.4,24.2
16/05/2016,12.14,24.9,-0.2(-0.80 %),400,9980000,0,0,25.0,25.0,24.9
17/05/2016,12.14,24.9,-0.1(-0.40 %),600,14830000,0,0,23.8,24.9,23.8
18/05/2016,11.46,23.5,-1.2(-4.86 %),1200,28220000,0,0,23.6,23.6,23.5
19/05/2016,12.1,24.8,1.3(5.53 %),400,9920000,0,0,24.8,24.8,24.8
20/05/2016,12.1,24.8,0(0.00 %),0,0,0,0,24.8,24.8,24.8
23/05/2016,12.1,24.8,0(0.00 %),0,0,0,0,24.8,24.8,24.8
24/05/2016,11.95,24.5,-0.3(-1.21 %),300,7350000,0,0,24.5,24.5,24.5
25/05/2016,11.51,23.6,-0.9(-3.67 %),1000,23800000,1000,20900000,23.6,24.0,23.6
26/05/2016,11.71,24.0,0.2(0.84 %),7000,161570000,0,0,23.5,24.0,23.0
27/05/2016,11.46,23.5,0.4(1.73 %),100,2350000,0,0,23.5,23.5,23.5
30/05/2016,10.97,22.5,-1(-4.26 %),2500,56360000,3000,60000000,23.5,23.5,22.5
31/05/2016,11.22,23.0,0.5(2.22 %),200,4650000,0,0,23.5,23.5,23.0
