Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
28/07/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
31/07/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
01/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
02/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
03/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
04/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
07/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
08/08/2017,0,0,0(0.00 %),0,0,0,0,2695000,0.0
09/08/2017,0,0,10.7(-9.32 %),0,0,0,0,2695000,0.0
10/08/2017,0,0,9.7(-9.35 %),0,0,0,0,2695000,0.0
11/08/2017,0,0,10.6(9.28 %),0,0,0,0,2695000,0.0
14/08/2017,0,0,9.6(-9.43 %),0,0,0,0,2695000,0.0
15/08/2017,0,0,9.4(-2.08 %),0,0,0,0,2695000,0.0
16/08/2017,0,0,8.8(-6.38 %),0,0,0,0,2695000,0.0
17/08/2017,0,0,8(-9.09 %),0,0,0,0,2695000,0.0
18/08/2017,0,0,7.4(-7.50 %),0,0,0,0,2695000,0.0
21/08/2017,0,0,7.4(0.00 %),0,0,0,0,2695000,0.0
22/08/2017,0,0,7.4(0.00 %),0,0,0,0,2695000,0.0
23/08/2017,0,0,7.6(2.70 %),0,0,0,0,2695000,0.0
24/08/2017,0,0,7.6(0.00 %),0,0,0,0,2695000,0.0
25/08/2017,0,0,7.3(-3.95 %),0,0,0,0,2695000,0.0
28/08/2017,0,0,7.3(0.00 %),0,0,0,0,2695000,0.0
29/08/2017,0,0,7.3(0.00 %),0,0,0,0,2695000,0.0
30/08/2017,0,0,7.3(0.00 %),0,0,0,0,2695000,0.0
31/08/2017,0,0,6.8(-6.85 %),0,0,0,0,2695000,0.0
01/09/2017,0,0,6.9(1.47 %),0,0,0,0,2695000,0.0
05/09/2017,0,0,7.5(8.70 %),0,0,0,0,2695000,0.0
06/09/2017,0,0,7.8(4.00 %),0,0,0,0,2695000,0.0
07/09/2017,0,0,8.2(5.13 %),0,0,0,0,2695000,0.0
08/09/2017,0,0,8.7(6.10 %),0,0,0,0,2695000,0.0
11/09/2017,0,0,8.3(-4.60 %),0,0,0,0,2695000,0.0
12/09/2017,0,0,8(-3.61 %),0,0,0,0,2695000,0.0
13/09/2017,0,0,8.4(5.00 %),0,0,0,0,2695000,0.0
14/09/2017,0,0,8.5(1.19 %),0,0,0,0,2695000,0.0
15/09/2017,0,0,7.7(-9.41 %),0,0,0,0,2695000,0.0
18/09/2017,0,0,7.4(-3.90 %),0,0,0,0,2695000,0.0
19/09/2017,0,0,7.7(4.05 %),0,0,0,0,2695000,0.0
20/09/2017,0,0,7.5(-2.60 %),0,0,0,0,2695000,0.0
21/09/2017,0,0,7.1(-5.33 %),0,0,0,0,2695000,0.0
22/09/2017,0,0,7.1(0.00 %),0,0,0,0,2695000,0.0
25/09/2017,0,0,7.1(0.00 %),0,0,0,0,2695000,0.0
26/09/2017,0,0,7(-1.41 %),0,0,0,0,2695000,0.0
27/09/2017,0,0,6.8(-2.86 %),0,0,0,0,2695000,0.0
28/09/2017,0,0,7(2.94 %),0,0,0,0,2695000,0.0
29/09/2017,200,1360000,6.4(-8.57 %),200,1360000,0,0,2694800,0.0
02/10/2017,0,0,5.9(-7.81 %),0,0,0,0,2694800,0.0
03/10/2017,0,0,6(1.69 %),0,0,0,0,2694800,0.0
04/10/2017,0,0,6.1(1.67 %),0,0,0,0,2694800,0.0
05/10/2017,0,0,6(-1.64 %),0,0,0,0,2694800,0.0
06/10/2017,0,0,5.4(-10.00 %),0,0,0,0,2694800,0.0
09/10/2017,0,0,5.7(5.56 %),0,0,0,0,2694800,0.0
10/10/2017,0,0,5.6(-1.75 %),0,0,0,0,2694800,0.0
11/10/2017,0,0,5.6(0.00 %),0,0,0,0,2694800,0.0
12/10/2017,0,0,5.5(-1.79 %),0,0,0,0,2694800,0.0
13/10/2017,0,0,5.8(5.45 %),0,0,0,0,2694800,0.0
