Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
22/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
25/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
26/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
27/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
28/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
29/05/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
01/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
02/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
03/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
04/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
05/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
08/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
09/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
10/06/2015,0,0,0(0.00 %),0,0,0,0,15190000,0.0
11/06/2015,0,0,10.8(3.85 %),0,0,0,0,15190000,0.0
12/06/2015,0,0,10.6(-1.85 %),0,0,0,0,15190000,0.0
15/06/2015,0,0,10.7(0.00 %),0,0,0,0,15190000,0.0
16/06/2015,0,0,10.4(-2.80 %),0,0,0,0,15190000,0.0
17/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
18/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
19/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
22/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
23/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
24/06/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
25/06/2015,0,0,10.3(-0.96 %),0,0,0,0,15190000,0.0
26/06/2015,0,0,10.4(0.97 %),0,0,0,0,15190000,0.0
29/06/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
30/06/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
01/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
02/07/2015,0,0,8.5(-12.37 %),0,0,0,0,15190000,0.0
03/07/2015,0,0,8.5(0.00 %),0,0,0,0,15190000,0.0
06/07/2015,0,0,8.5(0.00 %),0,0,0,0,15190000,0.0
07/07/2015,0,0,8.5(0.00 %),0,0,0,0,15190000,0.0
08/07/2015,0,0,8.5(0.00 %),0,0,0,0,15190000,0.0
09/07/2015,0,0,9.7(14.12 %),0,0,0,0,15190000,0.0
10/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
13/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
14/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
15/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
16/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
17/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
20/07/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
21/07/2015,0,0,10.3(6.19 %),0,0,0,0,15190000,0.0
22/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
23/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
24/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
27/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
28/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
29/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
30/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
31/07/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
03/08/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
04/08/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
05/08/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
06/08/2015,0,0,10.3(0.00 %),0,0,0,0,15190000,0.0
07/08/2015,0,0,10.5(1.94 %),0,0,0,0,15190000,0.0
10/08/2015,0,0,10.5(0.00 %),0,0,0,0,15190000,0.0
11/08/2015,0,0,9.7(-7.62 %),0,0,0,0,15190000,0.0
12/08/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
13/08/2015,0,0,9.7(0.00 %),0,0,0,0,15190000,0.0
14/08/2015,0,0,10.3(6.19 %),0,0,0,0,15190000,0.0
17/08/2015,0,0,10.4(0.97 %),0,0,0,0,15190000,0.0
18/08/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
19/08/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
20/08/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
21/08/2015,0,0,10.4(0.00 %),0,0,0,0,15190000,0.0
