Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
08/07/2014,0,0,0(0.00 %),0,0,0,0,11688810,0.3
09/07/2014,71190,2188006000,0(0.00 %),71190,2188006000,0,0,11688810,0.3
10/07/2014,0,0,0(0.00 %),0,0,0,0,11688810,0.3
11/07/2014,9200,304100000,0(0.00 %),9200,304100000,0,0,11679610,0.0
14/07/2014,25820,862926000,0(0.00 %),25820,862926000,0,0,11653790,0.44
15/07/2014,3000,105000000,0(0.00 %),3000,105000000,0,0,11650790,0.46
16/07/2014,4500,157250000,0(0.00 %),7000,248000000,2500,90750000,11643790,0.0
17/07/2014,0,0,0(0.00 %),0,0,0,0,11643790,0.48
18/07/2014,17000,609350000,35.7(-1.92 %),17000,609350000,0,0,11643790,0.48
21/07/2014,71680,2539342000,36(0.84 %),71680,2539342000,0,0,11626790,0.56
22/07/2014,128640,4662009000,37.5(4.17 %),128640,4662009000,0,0,11428970,0.0
23/07/2014,30,1125000,36.8(-1.87 %),30,1125000,0,0,11428970,1.38
24/07/2014,-22520,-830151000,36.6(-0.54 %),28180,1028070000,50700,1858221000,11400760,0.0
25/07/2014,80890,2952485000,36.5(-0.27 %),80890,2952485000,0,0,11319870,0.0
28/07/2014,159160,5769915000,36.1(-1.10 %),159160,5769915000,0,0,11160710,0.0
29/07/2014,33390,1192362000,35.6(-1.39 %),35390,1264362000,2000,72000000,11125320,0.0
30/07/2014,51440,1809580000,35(-1.69 %),51440,1809580000,0,0,11124580,0.0
31/07/2014,4860,166536000,35(0.00 %),19860,686236000,15000,519700000,11104720,0.0
01/08/2014,31160,1106756000,36.2(3.43 %),31160,1106756000,0,0,11073560,0.0
04/08/2014,34770,1263685000,36.8(1.66 %),34770,1263685000,0,0,11040790,0.0
05/08/2014,43660,1593290000,36.8(0.00 %),43660,1593290000,0,0,10997130,0.0
06/08/2014,57410,2095465000,36.5(-0.82 %),57410,2095465000,0,0,11012130,3.12
07/08/2014,39270,1430455000,36.4(-0.27 %),39270,1430455000,0,0,10972860,3.28
08/08/2014,10230,375298000,36.9(1.37 %),10230,375298000,0,0,10905450,0.0
11/08/2014,15000,550500000,36.5(-1.08 %),15000,550500000,0,0,10890220,0.0
12/08/2014,9090,331830000,36.6(0.27 %),9090,331830000,0,0,10881130,0.0
13/08/2014,0,0,36.6(0.00 %),0,0,0,0,10881130,0.0
14/08/2014,15700,571357000,36.7(0.27 %),15700,571357000,0,0,10881130,3.66
15/08/2014,54170,1977215000,36.6(-0.27 %),54170,1977215000,0,0,10865430,3.73
18/08/2014,30610,1117204000,36.6(0.00 %),30610,1117204000,0,0,10780650,0.0
19/08/2014,63760,2326940000,36.5(-0.27 %),63760,2326940000,0,0,10716890,0.0
20/08/2014,41210,1503254000,36.6(0.27 %),41210,1503254000,0,0,10675680,0.0
21/08/2014,121870,4447255000,36.6(0.00 %),121870,4447255000,0,0,10554310,0.0
22/08/2014,15000,556400000,37.2(1.64 %),15000,556400000,0,0,10553810,5.03
25/08/2014,46150,1721382000,37.3(0.27 %),46150,1721382000,0,0,10538810,5.09
26/08/2014,43560,1618232000,37.1(-0.54 %),43560,1618232000,0,0,10492660,5.28
27/08/2014,34000,1258100000,37(-0.27 %),34000,1258100000,0,0,10449100,5.46
28/08/2014,44660,1648622000,37(0.00 %),46160,1703972000,1500,55350000,10415100,5.6
29/08/2014,0,0,36.5(-1.35 %),0,0,0,0,10368940,0.0
03/09/2014,0,0,36.4(-0.27 %),0,0,0,0,10368940,5.8
04/09/2014,40940,1492010000,36.6(0.55 %),41940,1528510000,1000,36500000,10327000,0.0
05/09/2014,15290,560614000,36.7(0.27 %),15290,560614000,0,0,10313210,0.0
08/09/2014,7800,285680000,36.8(0.27 %),7800,285680000,0,0,10313210,6.03
09/09/2014,62610,2281943000,36.3(-1.36 %),62610,2281943000,0,0,10305410,6.06
10/09/2014,17920,650604000,36.3(0.00 %),17920,650604000,0,0,10225880,0.0
11/09/2014,9420,341204000,36.3(0.00 %),9420,341204000,0,0,10216460,0.0
12/09/2014,60800,2202660000,36.2(-0.28 %),60800,2202660000,0,0,10155660,0.0
15/09/2014,13230,479670000,36.3(0.28 %),13230,479670000,0,0,10155660,6.68
