Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
08/07/2014,13.52,31.0,1.5(5.08 %),99080,3095492000,0,0,35.4,35.4,30.5
09/07/2014,14.4,33.0,2(6.45 %),175130,5463584000,491000,14239000000,33.0,33.1,30.5
10/07/2014,14.48,33.2,0.2(0.61 %),53830,1804716000,66500,2041550000,35.3,35.3,32.0
11/07/2014,14.48,33.2,0(0.00 %),38710,1280685000,0,0,33.5,33.5,33.0
14/07/2014,15.14,34.7,1.5(4.52 %),98330,3312752000,30000,927000000,33.2,34.7,33.2
15/07/2014,15.27,35.0,0.3(0.86 %),141120,4941498000,21000,678300000,35.0,35.2,34.8
16/07/2014,16.05,36.8,1.8(5.14 %),315560,11408886000,0,0,35.4,37.2,35.3
17/07/2014,15.88,36.4,-0.4(-1.09 %),117160,4262674000,0,0,36.9,36.9,35.8
18/07/2014,15.57,35.7,-0.7(-1.92 %),118860,4258000000,0,0,36.3,36.3,35.6
21/07/2014,15.71,36.0,0.3(0.84 %),245280,8727000000,0,0,35.7,36.8,35.0
22/07/2014,16.36,37.5,1.5(4.17 %),548490,20082000000,0,0,36.0,37.8,36.0
23/07/2014,16.77,36.8,-0.7(-1.87 %),174030,6470000000,0,0,36.7,38.2,36.6
24/07/2014,16.68,36.6,-0.2(-0.54 %),178450,6536057000,0,0,36.5,37.0,36.3
25/07/2014,16.63,36.5,-0.1(-0.27 %),159020,5810000000,0,0,36.5,36.8,36.5
28/07/2014,16.45,36.1,-0.4(-1.10 %),348560,12611000000,0,0,36.4,36.5,35.8
29/07/2014,16.22,35.6,-0.5(-1.39 %),92470,3306000000,0,0,35.8,36.0,35.2
30/07/2014,15.95,35.0,-0.6(-1.69 %),149220,5244000000,0,0,35.4,35.6,34.7
31/07/2014,15.95,35.0,0(0.00 %),182760,6326000000,0,0,34.8,35.0,34.5
01/08/2014,16.5,36.2,1.2(3.43 %),126520,4500000000,0,0,35.0,36.2,34.9
04/08/2014,16.77,36.8,0.6(1.66 %),188660,6900000000,0,0,36.0,36.9,36.0
05/08/2014,16.77,36.8,0(0.00 %),134580,4925000000,0,0,36.8,36.8,36.4
06/08/2014,16.63,36.5,-0.3(-0.82 %),151170,5528000000,0,0,36.6,36.8,36.5
07/08/2014,16.59,36.4,-0.1(-0.27 %),104660,3812000000,0,0,36.4,36.6,36.3
08/08/2014,16.82,36.9,0.5(1.37 %),215520,7944000000,0,0,36.1,37.5,36.1
11/08/2014,16.63,36.5,-0.4(-1.08 %),63560,2333000000,0,0,36.6,36.9,36.5
12/08/2014,16.68,36.6,0.1(0.27 %),55640,2031000000,30000,1020000000,37.0,37.0,36.4
13/08/2014,16.68,36.6,0(0.00 %),59970,2199000000,0,0,36.6,37.0,36.5
14/08/2014,16.73,36.7,0.1(0.27 %),92600,3373810000,0,0,36.6,36.7,36.1
15/08/2014,16.68,36.6,-0.1(-0.27 %),117140,4277000000,0,0,36.6,36.6,36.4
