Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
05/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
08/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
09/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
10/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
11/07/2019,8.17,18.5,0(0.00 %),2000,37000000,0,0,18.5,18.5,18.5
12/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
15/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
16/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
17/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
18/07/2019,8.17,18.5,0(0.00 %),0,0,0,0,18.5,18.5,18.5
19/07/2019,9.36,21.2,2.7(14.59 %),100,2120000,0,0,21.2,21.2,21.2
22/07/2019,9.36,21.2,0(0.00 %),100,2120000,0,0,21.2,21.2,21.2
23/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
24/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
25/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
26/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
29/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
30/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
31/07/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
01/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
02/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
05/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
06/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
07/08/2019,9.36,21.2,0(0.00 %),0,0,4784,86590400,21.2,21.2,21.2
08/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
09/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
12/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
13/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
14/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
15/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
16/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
19/08/2019,9.36,21.2,0(0.00 %),0,0,0,0,21.2,21.2,21.2
20/08/2019,7.99,18.1,-3.1(-14.62 %),900,16290000,0,0,18.1,18.1,18.1
21/08/2019,7.99,18.1,0(0.00 %),0,0,0,0,18.1,18.1,18.1
22/08/2019,7.28,16.5,-1.6(-8.84 %),400,6730000,0,0,17.0,17.0,16.5
23/08/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
26/08/2019,7.28,16.5,-0.3(-1.79 %),600,10010000,0,0,16.8,16.8,16.5
27/08/2019,7.37,16.7,0(0.00 %),0,0,0,0,16.7,16.7,16.7
28/08/2019,7.37,16.7,0(0.00 %),0,0,0,0,16.7,16.7,16.7
29/08/2019,7.06,16.0,-0.7(-4.19 %),100,1600000,0,0,16.0,16.0,16.0
30/08/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
03/09/2019,7.06,16.0,0(0.00 %),300,4800000,0,0,16.0,16.0,16.0
04/09/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
05/09/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
06/09/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
09/09/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
10/09/2019,7.06,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
11/09/2019,6.53,14.8,-1.2(-7.50 %),1000,14800000,0,0,14.8,14.8,14.8
12/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
13/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
16/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
17/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
18/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
19/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
20/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
23/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
24/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
25/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
26/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
27/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
30/09/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
01/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
02/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
03/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
04/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
07/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
08/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
09/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
10/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
11/10/2019,6.53,14.8,0(0.00 %),8,100800,0,0,14.8,14.8,14.8
14/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
15/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
16/10/2019,6.53,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
17/10/2019,6.62,15.0,0.2(1.35 %),3000,45000000,0,0,15.0,15.0,15.0
18/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
21/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
22/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
25/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
28/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
29/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
30/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
31/10/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
01/11/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
04/11/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
05/11/2019,6.62,15.0,0(0.00 %),200,3000000,2000,30000000,15.0,15.0,15.0
06/11/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/11/2019,6.62,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/11/2019,7.42,16.8,1.8(12.00 %),200,3360000,0,0,16.8,16.8,16.8
11/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
12/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
13/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
14/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
15/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
18/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
19/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
20/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
21/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
22/11/2019,7.42,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
25/11/2019,8.52,19.3,2.5(14.88 %),100,1930000,0,0,19.3,19.3,19.3
26/11/2019,8.52,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
27/11/2019,8.52,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
28/11/2019,8.52,19.3,0(0.00 %),0,0,0,0,19.3,19.3,19.3
29/11/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
02/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
03/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
04/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
05/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
06/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
09/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
10/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
11/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
12/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
13/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
16/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
17/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
18/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
19/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
20/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
23/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
24/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
25/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
26/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
27/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
30/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
31/12/2019,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
02/01/2020,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
03/01/2020,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
06/01/2020,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
07/01/2020,8.52,17.8,0(0.00 %),0,0,0,0,17.8,17.8,17.8
