Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
18/08/2020,10.15,12.2,0(0.00 %),0,0,0,0,12.2,12.2,12.2
19/08/2020,14.15,17.0,4.8(39.34 %),1100,18700000,0,0,17.0,17.0,17.0
20/08/2020,16.23,19.5,2.5(14.71 %),500,9750000,0,0,19.5,19.5,19.5
21/08/2020,18.64,22.4,2.9(14.87 %),700,15680000,0,0,22.4,22.4,22.4
24/08/2020,21.39,25.7,3.3(14.73 %),4081,104881700,0,0,25.7,25.7,25.7
25/08/2020,24.55,29.5,3.8(14.79 %),12200,359900000,0,0,29.5,29.5,29.5
26/08/2020,28.21,33.9,4.4(14.92 %),5700,193230000,0,0,33.9,33.9,33.9
27/08/2020,32.37,38.9,5(14.75 %),16839,655037100,0,0,38.9,38.9,38.9
28/08/2020,27.55,33.1,-5.8(-14.91 %),13883,524667000,0,0,44.7,44.7,33.1
31/08/2020,26.8,32.2,-5.6(-14.81 %),2436,78439200,0,0,32.2,32.2,32.2
01/09/2020,26.8,32.2,0(0.00 %),347,9507800,0,0,32.2,32.2,32.2
03/09/2020,26.8,32.2,0(0.00 %),122,3342800,0,0,32.2,32.2,32.2
04/09/2020,22.8,27.4,-4.8(-14.91 %),2708,74199200,0,0,27.4,27.4,27.4
07/09/2020,19.39,23.3,-4.1(-14.96 %),800,18640000,0,0,23.3,23.3,23.3
08/09/2020,16.56,19.9,-3.4(-14.59 %),28893,580188900,0,0,19.9,23.3,19.9
09/09/2020,19.22,23.1,3(14.93 %),7221,152296000,0,0,19.9,23.1,19.9
10/09/2020,20.14,24.2,3.1(14.69 %),8193,198270600,0,0,24.2,24.2,24.2
11/09/2020,19.89,23.9,-0.3(-1.24 %),15372,356824000,0,0,24.8,24.8,22.0
14/09/2020,17.81,21.4,-1.8(-7.76 %),13191,284853700,0,0,23.0,24.0,21.0
15/09/2020,19.56,23.5,1.9(8.80 %),44378,1029661400,0,0,21.6,24.5,21.0
16/09/2020,19.14,23.0,-0.2(-0.86 %),22200,517269600,0,0,23.2,24.0,23.0
17/09/2020,19.14,23.0,-0.3(-1.29 %),33150,763624600,0,0,23.3,23.7,23.0
18/09/2020,18.72,22.5,-0.5(-2.17 %),6836,155733800,0,0,22.1,23.4,22.0
21/09/2020,18.31,22.0,-0.8(-3.51 %),3443,75755600,0,0,22.0,22.1,22.0
22/09/2020,17.89,21.5,-0.5(-2.27 %),1647,36303800,0,0,23.5,23.5,21.1
23/09/2020,18.31,22.0,-0.1(-0.45 %),4374,97334600,0,0,21.5,23.0,21.5
24/09/2020,17.56,21.1,-1.2(-5.38 %),8735,185548500,0,0,22.3,22.3,21.0
25/09/2020,17.23,20.7,-0.5(-2.36 %),1920,39895400,0,0,22.0,22.0,20.7
28/09/2020,18.64,22.4,1.6(7.69 %),9989,219876300,0,0,21.5,22.9,20.1
29/09/2020,17.81,21.4,-0.6(-2.73 %),4907,105603400,0,0,22.0,22.1,20.7
30/09/2020,18.39,22.1,0.6(2.79 %),5492,119870400,0,0,20.5,22.1,20.5
01/10/2020,20.81,25.0,3.2(14.68 %),32581,762728200,0,0,21.8,25.0,21.8
02/10/2020,19.72,23.7,0.3(1.28 %),17824,423828200,0,0,23.7,24.5,23.6
05/10/2020,19.64,23.6,-0.2(-0.84 %),40124,953845100,0,0,23.8,24.2,23.5
06/10/2020,19.56,23.5,-0.3(-1.26 %),6337,146102700,0,0,23.0,23.5,22.5
07/10/2020,19.97,24.0,0.9(3.90 %),25556,605966900,0,0,23.5,25.0,23.0
08/10/2020,19.97,24.0,0.3(1.27 %),4749,113564500,0,0,24.0,24.1,23.7
09/10/2020,19.14,23.0,-0.9(-3.77 %),2828,66006700,0,0,22.6,23.9,22.0
12/10/2020,18.31,22.0,-1.3(-5.58 %),11826,262923600,0,0,22.5,22.6,22.0
13/10/2020,17.48,21.0,-1.2(-5.41 %),5100,107410000,0,0,22.2,22.2,21.0
14/10/2020,17.64,21.2,0.1(0.47 %),1000,20955000,0,0,21.1,21.2,20.5
15/10/2020,17.48,21.0,0.1(0.48 %),800,17200000,0,0,22.0,22.0,21.0
19/10/2020,17.64,21.2,-0.4(-1.85 %),1710,35626000,0,0,20.2,21.2,20.2
20/10/2020,17.48,21.0,0.2(0.96 %),2670,55890100,0,0,21.0,21.0,21.0
