Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/09/2018,1000,48000000,0(0.00 %),1000,48000000,0,0,11999000,25.0
06/09/2018,0,0,0(0.00 %),0,0,0,0,11999000,25.0
07/09/2018,10,470000,0(0.00 %),10,470000,0,0,11998990,25.0
10/09/2018,0,0,0(0.00 %),0,0,0,0,11998990,25.0
11/09/2018,0,0,0(0.00 %),0,0,0,0,11998990,25.0
12/09/2018,0,0,0(0.00 %),0,0,0,0,11998990,25.0
13/09/2018,0,0,0(0.00 %),0,0,0,0,11998990,25.0
14/09/2018,0,0,42.7(-3.39 %),0,0,0,0,11998990,25.0
17/09/2018,0,0,42.1(-1.41 %),0,0,0,0,11998990,25.0
18/09/2018,0,0,43.3(2.85 %),0,0,0,0,11998990,25.0
19/09/2018,5000,220000000,45.4(4.85 %),5000,220000000,0,0,11993990,25.01
20/09/2018,0,0,45.6(0.44 %),0,0,0,0,11993990,25.01
21/09/2018,110,4960000,45.2(-0.88 %),110,4960000,0,0,11993880,25.01
24/09/2018,2090,90497000,43.15(-4.54 %),2090,90497000,0,0,11991790,25.02
25/09/2018,0,0,43.15(0.00 %),0,0,0,0,11991790,25.02
26/09/2018,0,0,43.1(-0.12 %),0,0,0,0,11991790,25.02
27/09/2018,0,0,42.1(-2.32 %),0,0,0,0,11991790,25.02
28/09/2018,0,0,43(2.14 %),0,0,0,0,11991790,25.02
01/10/2018,0,0,43(0.00 %),0,0,0,0,11991790,25.02
02/10/2018,0,0,42.5(-1.16 %),0,0,0,0,11991790,25.02
03/10/2018,3000,126150000,42.4(-0.24 %),3000,126150000,0,0,11988790,25.02
04/10/2018,9000,378610500,42(-0.94 %),9000,378610500,0,0,11979790,25.04
05/10/2018,0,0,42.5(1.19 %),0,0,0,0,11979790,25.04
08/10/2018,3850,163630000,42.5(0.00 %),3850,163630000,0,0,11975940,25.05
09/10/2018,42960,1827100000,42.9(0.94 %),42960,1827100000,0,0,11932980,25.13
10/10/2018,0,0,43(0.23 %),0,0,0,0,11932980,25.13
11/10/2018,60000,2559000000,42.55(-1.05 %),60000,2559000000,0,0,11872980,25.25
12/10/2018,0,0,42.8(0.59 %),0,0,0,0,11872980,25.25
15/10/2018,84950,3632293000,43.1(0.70 %),84950,3632293000,0,0,11788030,25.42
16/10/2018,79240,3410345000,43.2(0.23 %),79240,3410345000,0,0,11708790,25.58
17/10/2018,10000,429500000,43.1(-0.23 %),10000,429500000,0,0,11698790,25.6
18/10/2018,0,0,43.1(0.00 %),0,0,0,0,11698790,25.6
19/10/2018,0,0,43.1(0.00 %),0,0,0,0,11698790,25.6
22/10/2018,0,0,42.9(-0.46 %),0,0,0,0,11698790,25.6
23/10/2018,5000,214000000,42.8(-0.23 %),5000,214000000,0,0,11693790,25.61
24/10/2018,30,1274000,42.6(-0.47 %),50,2130000,20,856000,11693760,25.61
25/10/2018,0,0,42.1(-1.17 %),0,0,0,0,11693760,25.61
26/10/2018,0,0,42.3(0.48 %),0,0,0,0,11693740,25.61
29/10/2018,-20330,-854480000,42(-0.71 %),0,0,20330,854480000,11693760,25.61
30/10/2018,-2490,-104240500,41.2(-1.90 %),0,0,2490,104240500,11696250,25.61
31/10/2018,-2160,-89640000,41.6(0.97 %),0,0,2160,89640000,11698410,25.6
01/11/2018,0,0,41.8(0.48 %),0,0,0,0,11711580,25.58
02/11/2018,5000,209000000,42.2(0.96 %),5000,209000000,0,0,11706580,25.59
05/11/2018,0,0,41.8(-0.95 %),0,0,0,0,11713740,25.57
06/11/2018,0,0,41.7(-0.24 %),0,0,0,0,11713740,25.57
07/11/2018,0,0,41.7(0.00 %),0,0,0,0,11713740,25.57
08/11/2018,0,0,41.6(-0.24 %),0,0,0,0,11713740,25.57
09/11/2018,0,0,41.5(-0.24 %),0,0,0,0,11713740,25.57
