Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,49.1,0.0,-50.9(-100.00 %),15712700,49100,0,0,51.5,51.6,48.8
22/08/2025,50.9,50.9,-0.9(-1.74 %),24276800,1246657870000,134000,6540250000,51.5,53.4,49.9
21/08/2025,51.8,51.8,1.2(2.37 %),17837200,924451190000,50000,2355000000,51.3,52.7,51.0
20/08/2025,50.6,50.6,1(2.02 %),15736000,791472015000,134000,6544750000,49.65,52.0,49.1
19/08/2025,49.6,49.6,1.1(2.27 %),11749300,579102295000,0,0,48.9,49.8,48.85
18/08/2025,48.5,48.5,-0.5(-1.02 %),12393300,602474265000,0,0,49.05,49.4,48.2
15/08/2025,49.0,49.0,-1.2(-2.39 %),15808500,781916535000,45000,2167500000,50.8,50.9,48.8
14/08/2025,50.2,50.2,0.6(1.21 %),18688000,939307070000,89000,4272850000,50.2,51.1,49.6
13/08/2025,49.6,49.6,1.6(3.33 %),17697600,855721600000,45000,2166750000,48.1,49.6,47.15
12/08/2025,48.0,48.0,0.5(1.05 %),14358400,682216895000,89000,4186100000,47.5,48.45,47.0
11/08/2025,47.5,47.5,-0.2(-0.42 %),8862900,420270225000,0,0,47.8,47.85,47.15
08/08/2025,47.7,47.7,-0.15(-0.31 %),12368000,583918235000,89000,4351600000,47.95,48.0,46.8
07/08/2025,47.85,47.85,0.35(0.74 %),9156800,435157995000,65000,3078250000,48.0,48.0,46.95
06/08/2025,47.5,47.5,1(2.15 %),9566100,452240950000,89000,4001750000,47.2,47.75,46.55
05/08/2025,46.5,46.5,0.85(1.86 %),24076700,1131955455000,270000,12001425000,45.95,48.75,45.6
04/08/2025,45.65,45.65,1.35(3.05 %),9698200,435049880000,89000,4062850000,44.0,45.75,43.6
01/08/2025,44.3,44.3,-1.6(-3.49 %),16224400,727848030000,45000,2076750000,46.0,46.0,44.15
31/07/2025,45.9,45.9,-0.3(-0.65 %),19391700,891870045000,89000,4216650000,47.5,47.5,45.05
30/07/2025,46.2,46.2,2.4(5.48 %),22468200,1021242855000,45000,1984500000,44.0,46.85,43.85
29/07/2025,43.8,43.8,-1.8(-3.95 %),14733900,662049495000,89000,3912350000,45.8,46.05,43.8
28/07/2025,45.6,45.6,0(0.00 %),10570000,482025705000,45000,2029500000,45.5,46.0,45.4
25/07/2025,45.6,45.6,-0.1(-0.22 %),5534900,252738020000,263000,11470300000,45.8,46.2,45.45
24/07/2025,45.7,45.7,0.05(0.11 %),5070900,231480470000,45000,2056500000,45.65,45.95,45.2
23/07/2025,45.65,45.65,0.05(0.11 %),6335800,287772430000,89000,3995800000,45.7,45.85,44.8
22/07/2025,45.6,45.6,0.4(0.88 %),4817800,218182455000,45000,2056500000,45.2,45.6,44.7
21/07/2025,45.2,45.2,0.15(0.33 %),6559900,295482505000,89000,4017600000,45.6,45.75,44.7
18/07/2025,45.05,45.05,0.05(0.11 %),8291000,372867890000,45000,2103750000,45.0,45.55,44.55
17/07/2025,45.0,45.0,0.05(0.11 %),7521100,337787455000,89000,3877300000,44.9,45.15,44.6
16/07/2025,44.95,44.95,0.8(1.81 %),5688900,252821985000,123000,5271300000,44.15,44.95,43.9
15/07/2025,44.15,44.15,-0.15(-0.34 %),7167000,318236070000,89000,3802250000,44.3,44.85,44.1
14/07/2025,44.3,44.3,-0.3(-0.67 %),12064300,530924950000,123000,5727600000,44.5,44.55,43.7
11/07/2025,44.6,44.6,-0.4(-0.89 %),5736700,256129310000,89000,3995550000,44.95,44.95,44.55
10/07/2025,45.0,45.0,0(0.00 %),6547000,292031065000,45000,1883250000,44.9,45.0,44.3
09/07/2025,45.0,45.0,0.6(1.35 %),7568100,339022920000,89000,3744700000,44.4,45.2,44.3
08/07/2025,44.4,44.4,0(0.00 %),3982800,176175940000,1145000,50529100000,44.5,44.6,44.05
07/07/2025,44.4,44.4,1.7(3.98 %),11497400,504852090000,989000,43526100000,43.0,44.4,42.95
04/07/2025,42.7,42.7,0.2(0.47 %),4477100,190416950000,1045000,44364750000,42.7,42.8,42.2
03/07/2025,42.5,42.5,0.6(1.43 %),10203700,432231055000,589000,24734350000,41.85,42.75,41.8
02/07/2025,41.9,41.9,0(0.00 %),4277400,179414100000,45000,1866000000,41.85,42.1,41.8
01/07/2025,41.9,41.9,0(0.00 %),4088100,170754070000,63000,2492000000,41.7,42.0,41.55
30/06/2025,41.9,41.9,-0.05(-0.12 %),5913500,246782390000,571000,23907250000,42.0,42.0,41.55
27/06/2025,41.95,41.95,0.05(0.12 %),5913500,247270095000,63000,2501000000,42.0,42.15,41.55
26/06/2025,41.9,41.9,0.2(0.48 %),6038700,250757225000,71000,3011900000,41.8,41.9,41.3
25/06/2025,41.7,41.7,0.15(0.36 %),8585000,358774050000,63000,2504950000,41.7,42.0,41.5
24/06/2025,41.55,41.55,0.2(0.48 %),9812700,407490795000,71000,2898350000,41.55,41.8,41.35
23/06/2025,41.35,41.35,0.05(0.12 %),4848400,199271730000,267300,10415350000,40.95,41.35,40.55
20/06/2025,41.3,41.3,0.6(1.47 %),12449200,514941000000,71000,2803850000,40.8,41.8,40.65
19/06/2025,40.7,40.7,0.55(1.37 %),10136000,410934420000,63000,2400050000,40.2,41.05,40.05
18/06/2025,40.15,40.15,-0.2(-0.50 %),5524700,221751545000,150500,4327987500,40.2,40.4,39.95
17/06/2025,40.35,40.35,0.05(0.12 %),7871100,315698510000,63000,910800000,40.45,40.45,39.8
16/06/2025,40.3,40.3,0.4(1.00 %),6086700,243989620000,71000,990000000,39.95,40.3,39.9
13/06/2025,39.9,39.9,1.4(3.64 %),23868500,946370490000,63000,2390250000,38.4,40.75,38.15
12/06/2025,38.5,38.5,0.5(1.32 %),8242800,315648570000,71000,2681150000,38.05,38.55,37.9
11/06/2025,38.0,38.0,0.15(0.40 %),5975400,225512185000,63000,2411300000,38.0,38.0,37.55
10/06/2025,37.85,37.85,-0.15(-0.39 %),4647300,176486475000,71000,2651400000,38.0,38.2,37.85
09/06/2025,38.0,38.0,-0.2(-0.52 %),3172600,120525410000,63000,2446050000,38.2,38.25,37.9
06/06/2025,38.2,38.2,-0.35(-0.91 %),3467900,132521400000,71000,2676100000,38.45,38.45,38.05
05/06/2025,38.55,38.55,0.05(0.13 %),4332000,166062540000,63000,2495700000,38.5,38.75,38.0
04/06/2025,38.5,38.5,-0.05(-0.13 %),4155400,160258535000,71000,2692700000,38.7,38.9,38.45
03/06/2025,38.55,38.55,0.15(0.39 %),4295200,165672775000,63000,2341400000,38.65,38.75,38.4
02/06/2025,38.4,38.4,0.1(0.26 %),4412100,168255785000,71000,2712950000,38.25,38.65,37.95
30/05/2025,38.3,38.3,-0.6(-1.54 %),7680600,295659265000,63000,2496100000,39.15,39.15,38.2
29/05/2025,38.9,38.9,-0.65(-1.64 %),7448200,291277065000,71000,2742400000,39.45,39.5,38.9
