Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/08/2009,3.86,48.0,8(20.00 %),320950,15405600000,0,0,48.0,48.0,48.0
17/08/2009,3.71,46.1,-1.9(-3.96 %),86630,4169726000,120000,5690000000,49.0,49.0,46.1
18/08/2009,3.74,46.5,0.4(0.87 %),49070,2263505000,0,0,44.1,48.4,44.0
19/08/2009,3.78,47.0,0.5(1.08 %),30300,1421190000,0,0,47.9,47.9,46.0
20/08/2009,3.69,45.9,-1.1(-2.34 %),148730,6833708000,0,0,46.0,46.4,45.5
21/08/2009,3.82,47.5,1.6(3.49 %),241130,11285837000,0,0,46.0,47.5,46.0
24/08/2009,3.85,47.8,0.3(0.63 %),91680,4394791000,20000,940000000,48.0,48.0,47.5
25/08/2009,3.85,47.8,0(0.00 %),34270,1625636000,0,0,47.8,47.8,47.0
26/08/2009,3.82,47.5,-0.3(-0.63 %),82880,3963642000,0,0,47.9,48.0,47.5
27/08/2009,3.78,47.0,-0.5(-1.05 %),91230,4284575000,0,0,46.9,47.5,46.5
28/08/2009,3.97,49.3,2.3(4.89 %),474080,23211955000,0,0,47.0,49.3,47.0
31/08/2009,4.14,51.5,2.2(4.46 %),156800,8075200000,0,0,51.5,51.5,51.5
01/09/2009,4.34,54.0,2.5(4.85 %),347200,18736520000,0,0,54.0,54.0,52.5
03/09/2009,4.5,56.0,2(3.70 %),248700,13646370000,0,0,53.0,56.0,52.5
04/09/2009,4.3,53.5,-2.5(-4.46 %),112340,6060165000,0,0,56.0,56.0,53.5
07/09/2009,4.14,51.5,-2(-3.74 %),252680,12958875000,0,0,52.5,53.0,51.0
08/09/2009,4.18,52.0,0.5(0.97 %),90870,4749600000,0,0,53.0,53.0,51.5
09/09/2009,4.02,50.0,-2(-3.85 %),63070,3197675000,0,0,52.0,52.0,49.6
10/09/2009,4.02,50.0,0(0.00 %),80250,4009448000,0,0,50.0,52.0,49.4
11/09/2009,4.22,52.5,2.5(5.00 %),303550,15716100000,0,0,51.5,52.5,50.0
14/09/2009,4.26,53.0,0.5(0.95 %),169370,9085760000,0,0,52.5,55.0,52.5
15/09/2009,4.26,53.0,0(0.00 %),173330,9034955000,0,0,52.5,53.0,51.0
