Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
DBC,22/08/2025,5300,533900,146750000,14761490000
DBC,21/08/2025,0,25900,0,736725000
DBC,20/08/2025,119000,0,3466990000,0
DBC,19/08/2025,40000,50000,1172500000,1473250000
DBC,18/08/2025,363400,7000,10779590000,209000000
DBC,15/08/2025,475000,148600,14521620000,4576370000
DBC,14/08/2025,282400,0,8878010000,0
DBC,13/08/2025,391200,1200,12087990000,37050000
DBC,12/08/2025,180000,27200,5581000000,841115000
DBC,11/08/2025,45000,655700,1417500000,20343070000
DBC,08/08/2025,265000,2500,8163840000,76075000
DBC,07/08/2025,170000,32000,5142425000,982500000
DBC,06/08/2025,0,441284,0,15020810000
DBC,05/08/2025,0,235000,0,8109855000
DBC,04/08/2025,0,3000,0,103050000
DBC,01/08/2025,44000,100000,1501280000,3388275000
DBC,31/07/2025,60000,0,2018470000,0
DBC,30/07/2025,10000,30400,341000000,1030420000
DBC,29/07/2025,435000,104100,15375860000,3725075000
DBC,28/07/2025,61000,30000,2168550000,1068725000
DBC,25/07/2025,264000,200,9406470000,7150000
DBC,24/07/2025,312000,200,10720440000,6910000
DBC,23/07/2025,250000,150400,8505000000,5086020000
DBC,22/07/2025,200000,400,6548925000,13040000
DBC,21/07/2025,0,208000,0,7034050000
DBC,18/07/2025,50000,50900,1687500000,1715500000
DBC,17/07/2025,48000,2200,1617000000,74300000
DBC,16/07/2025,60000,4400,2016000000,148690000
DBC,15/07/2025,0,200,0,6860000
DBC,14/07/2025,0,6200,0,211120000
DBC,11/07/2025,0,52000,0,1751190000
DBC,10/07/2025,2000,800,67100000,27210000
DBC,09/07/2025,11700,50000,400345000,1697500000
DBC,08/07/2025,54000,900,1873800000,31435000
DBC,07/07/2025,4000,0,138400000,0
DBC,04/07/2025,0,200,0,6900000
DBC,03/07/2025,0,54200,0,1873510000
DBC,30/06/2025,0,264200,0,8820020000
DBC,27/06/2025,0,390000,0,12490820000
DBC,26/06/2025,0,608000,0,19100580000
DBC,25/06/2025,60000,385200,1923000000,12228650000
DBC,24/06/2025,290000,800000,9190460000,25465000000
DBC,23/06/2025,120500,130200,3797075000,4120820000
DBC,20/06/2025,171000,111800,5162835000,3438360000
DBC,19/06/2025,302500,170000,9159600000,5080750000
DBC,18/06/2025,300500,300000,9222795000,9154575000
DBC,17/06/2025,150500,130400,4592395000,3978300000
DBC,16/06/2025,150000,150700,4597500000,4630385000
DBC,13/06/2025,150000,250000,4597715000,7534745000
DBC,12/06/2025,0,0,0,0
DBC,11/06/2025,230000,4000,7056000000,118850000
DBC,10/06/2025,460000,0,13862985000,0
DBC,09/06/2025,490000,0,14974745000,0
DBC,06/06/2025,560000,200,16659255000,5860000
DBC,05/06/2025,80000,0,2372000000,0
DBC,03/06/2025,260000,200,7266715000,5590000
DBC,02/06/2025,2000,0,54600000,0
DBC,30/05/2025,0,500,0,13850000
DBC,29/05/2025,18000,200,508200000,5630000
DBC,28/05/2025,14000,0,400400000,0
DBC,27/05/2025,0,700,0,20090000
DBC,22/05/2025,0,99,0,2752000
DBC,21/05/2025,0,700,0,19240000
DBC,20/05/2025,0,12000,0,329400000
DBC,19/05/2025,4000,200,113500000,5590000
DBC,16/05/2025,0,700,0,20045000
DBC,12/05/2025,4000,0,111600000,0
DBC,09/05/2025,4000,0,111700000,0
DBC,08/05/2025,1000,0,27450000,0
DBC,07/05/2025,2000,0,55150000,0
DBC,06/05/2025,6000,0,167900000,0
DBC,29/04/2025,2000,0,55000000,0
DBC,25/04/2025,5000,0,138750000,0
DBC,24/04/2025,3500,0,97180000,0
DBC,22/04/2025,0,3500,0,94500000
DBC,21/04/2025,6500,0,175950000,0
DBC,17/04/2025,5500,0,142700000,0
DBC,11/04/2025,500,3900,12390000,93980000
DBC,09/04/2025,0,24800,0,544360000
DBC,08/04/2025,0,1500,0,35875000
DBC,04/04/2025,0,2500,0,63500000
DBC,03/04/2025,200,0,5480000,0
DBC,02/04/2025,100,800,2950000,23580000
DBC,31/03/2025,1600,5500,47570000,165575000
DBC,28/03/2025,900,7000,26645000,207000000
DBC,27/03/2025,200,500,5880000,14600000
DBC,26/03/2025,400,0,11875000,0
DBC,25/03/2025,300,0,8950000,0
DBC,24/03/2025,9600,400,284040000,11870000
DBC,21/03/2025,300,0,8680000,0
DBC,20/03/2025,2800,0,82150000,0
DBC,19/03/2025,1000,60200,29450000,1778895000
DBC,18/03/2025,100,1200,2935000,35465000
DBC,17/03/2025,0,11000,0,323600000
DBC,14/03/2025,1200,0,35560000,0
DBC,13/03/2025,4500,542100,137350000,16614430000
DBC,12/03/2025,2100,140100,63665000,4224055000
DBC,11/03/2025,26300,281200,788685000,8617730000
DBC,10/03/2025,14800,0,447740000,0
DBC,07/03/2025,2500,113000,77100000,3500095000
DBC,06/03/2025,229400,50000,7096160000,1532500000
DBC,05/03/2025,328900,0,10034085000,0
DBC,04/03/2025,1000,1000,30225000,30200000
DBC,03/03/2025,10500,300000,322050000,9205000000
DBC,28/02/2025,0,5000,0,148150000
DBC,24/02/2025,4000,0,113000000,0
DBC,21/02/2025,3000,0,84175000,0
DBC,19/02/2025,0,9200,0,254575000
DBC,12/02/2025,200,0,5400000,0
DBC,11/02/2025,0,500,0,13450000
DBC,07/02/2025,1500,0,39425000,0
DBC,06/02/2025,500,0,13150000,0
DBC,04/02/2025,0,70000,0,1848140000
DBC,03/02/2025,0,34000,0,871300000
DBC,23/01/2025,0,1730700,0,44034550000
DBC,21/01/2025,30500,0,802225000,0
DBC,20/01/2025,3500,0,93750000,0
DBC,16/01/2025,0,85500,0,2288650000
DBC,15/01/2025,0,102000,0,2706345000
DBC,14/01/2025,0,20000,0,536000000
DBC,08/01/2025,0,1600,0,42970000
DBC,07/01/2025,0,15000,0,403800000
DBC,03/01/2025,0,100000,0,2800000000
DBC,02/01/2025,0,298700,0,8439960000
DBC,31/12/2024,30500,277200,846575000,7715435000
DBC,27/12/2024,20000,2000000,575650000,57662000000
DBC,26/12/2024,289200,0,8233800000,0
DBC,25/12/2024,560000,100,16048005000,2870000
DBC,24/12/2024,400000,0,11523000000,0
DBC,23/12/2024,1200000,0,34714500000,0
DBC,19/12/2024,54000,0,1517600000,0
DBC,18/12/2024,5000,0,137050000,0
DBC,17/12/2024,0,600,0,16355000
DBC,16/12/2024,0,2000,0,53850000
DBC,12/12/2024,500,300,13650000,8175000
DBC,11/12/2024,1000,0,27225000,0
DBC,06/12/2024,50000,0,1365500000,0
DBC,05/12/2024,1000,30000,26150000,810000000
DBC,04/12/2024,0,500,0,13275000
DBC,03/12/2024,0,1500,0,40500000
DBC,02/12/2024,98700,1000,2674770000,27100000
DBC,27/11/2024,4000,0,107050000,0
DBC,26/11/2024,500,0,13325000,0
DBC,22/11/2024,76500,0,2018900000,0
DBC,21/11/2024,225000,0,5945820000,0
DBC,20/11/2024,0,6000,0,155700000
DBC,18/11/2024,0,18000,0,470550000
DBC,15/11/2024,0,113700,0,2969070000
DBC,13/11/2024,0,9000,0,251550000
DBC,12/11/2024,18000,0,506550000,0
DBC,11/11/2024,50000,11000,1370000000,303600000
DBC,08/11/2024,0,8500,0,234975000
DBC,07/11/2024,30000,2000,844650000,56475000
DBC,06/11/2024,90000,900,2515500000,24975000
DBC,05/11/2024,0,5100,0,140235000
DBC,04/11/2024,0,11000,0,303300000
DBC,01/11/2024,101700,1000,2827260000,27925000
DBC,31/10/2024,0,2000,0,56300000
DBC,28/10/2024,0,600,0,16820000
DBC,25/10/2024,0,4000,0,112500000
DBC,24/10/2024,20000,11500,563000000,329400000
DBC,23/10/2024,0,10500,0,300100000
DBC,22/10/2024,500,2000,14300000,57975000
DBC,21/10/2024,0,500,0,14675000
DBC,18/10/2024,500,0,14900000,0
DBC,17/10/2024,500,2500,14775000,73725000
DBC,16/10/2024,500,1500,14800000,45325000
DBC,15/10/2024,3000,440000,91425000,13349015000
DBC,14/10/2024,6500,50000,200725000,1550000000
DBC,11/10/2024,20000,500,602500000,15100000
DBC,10/10/2024,125000,0,3783025000,0
DBC,09/10/2024,306500,60500,9070075000,1819150000
DBC,08/10/2024,500,500,14650000,14550000
DBC,07/10/2024,0,1000,0,28975000
DBC,04/10/2024,0,3400,0,98260000
DBC,03/10/2024,500,26000,14600000,764400000
DBC,02/10/2024,0,70000,0,2079000000
DBC,01/10/2024,0,102500,0,3023250000
DBC,30/09/2024,0,120500,0,3529800000
DBC,27/09/2024,17400,147900,510790000,4334735000
DBC,26/09/2024,6000,110500,180300000,3310950000
DBC,25/09/2024,0,201000,0,5991855000
DBC,24/09/2024,0,50500,0,1502375000
