Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
17/12/2009,0,0,0(0.00 %),0,0,0,0,634252,0.0
18/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
21/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
22/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
23/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
24/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
25/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
28/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
29/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
30/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
31/12/2009,0,0,33(0.00 %),0,0,0,0,634252,0.0
04/01/2010,0,0,33(0.00 %),0,0,0,0,634252,0.0
05/01/2010,0,0,33(0.00 %),0,0,0,0,634252,0.0
06/01/2010,0,0,33(0.00 %),0,0,0,0,634252,0.0
07/01/2010,0,0,33(0.00 %),0,0,0,0,634252,0.0
08/01/2010,0,0,29.7(-10.00 %),0,0,0,0,634252,0.0
11/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
12/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
13/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
14/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
15/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
18/01/2010,0,0,29.7(0.00 %),0,0,0,0,634252,0.0
19/01/2010,0,0,26.8(-9.76 %),0,0,0,0,634252,0.0
20/01/2010,0,0,24.2(-9.70 %),0,0,0,0,634252,0.0
21/01/2010,0,0,21.8(-9.92 %),0,0,0,0,634252,0.0
22/01/2010,0,0,19.7(-9.63 %),0,0,0,0,634252,0.0
25/01/2010,0,0,17.8(-9.64 %),0,0,0,0,634252,0.0
26/01/2010,0,0,16.1(-9.55 %),0,0,0,0,634252,0.0
27/01/2010,0,0,17(4.29 %),0,0,0,0,634252,0.0
28/01/2010,0,0,16(-5.88 %),0,0,0,0,634252,0.0
29/01/2010,0,0,16(0.00 %),0,0,0,0,634252,0.0
01/02/2010,0,0,16.5(3.12 %),0,0,0,0,634252,0.0
02/02/2010,0,0,16.5(0.00 %),0,0,0,0,634252,0.0
03/02/2010,0,0,17.9(8.48 %),0,0,0,0,634252,0.0
04/02/2010,0,0,15.5(-6.06 %),0,0,0,0,634252,0.0
05/02/2010,0,0,17(9.68 %),0,0,0,0,634252,0.0
08/02/2010,0,0,17(0.00 %),0,0,0,0,634252,0.0
09/02/2010,0,0,17(0.00 %),0,0,0,0,634252,0.0
10/02/2010,0,0,17(0.00 %),0,0,0,0,634252,0.0
11/02/2010,0,0,17(0.00 %),0,0,0,0,634252,0.0
12/02/2010,0,0,17(0.00 %),0,0,0,0,634252,0.0
22/02/2010,0,0,15.3(-10.00 %),0,0,0,0,634252,0.0
23/02/2010,0,0,16.8(9.80 %),0,0,0,0,634252,0.0
24/02/2010,0,0,16.8(0.00 %),0,0,0,0,634252,0.0
25/02/2010,0,0,16.8(0.00 %),0,0,0,0,634252,0.0
26/02/2010,0,0,17.2(2.38 %),0,0,0,0,634252,0.0
01/03/2010,0,0,15.4(-9.94 %),0,0,0,0,634252,0.0
02/03/2010,0,0,16.5(7.14 %),0,0,0,0,634252,0.0
03/03/2010,0,0,14.9(-9.70 %),0,0,0,0,634252,0.0
04/03/2010,0,0,13.5(-9.40 %),0,0,0,0,634252,0.0
05/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
08/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
09/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
10/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
11/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
12/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
15/03/2010,0,0,13.5(0.00 %),0,0,0,0,634252,0.0
16/03/2010,0,0,14.8(9.63 %),0,0,0,0,634252,0.0
17/03/2010,0,0,16.2(9.46 %),0,0,0,0,634252,0.0
18/03/2010,0,0,16.5(1.85 %),0,0,0,0,634252,0.0
19/03/2010,0,0,16.6(0.00 %),0,0,0,0,634252,0.0
22/03/2010,0,0,16.9(1.81 %),0,0,0,0,634252,0.0
