Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/10/2009,4.0,42.0,-1(-2.33 %),173500,7222250000,0,0,43.0,45.0,40.0
02/11/2009,3.69,38.7,-2.9(-6.97 %),2200,86490000,0,0,39.8,39.8,38.7
03/11/2009,3.49,36.6,-2.7(-6.87 %),1000,36600000,0,0,36.6,36.6,36.6
04/11/2009,3.25,34.1,-2.5(-6.83 %),80800,2782740000,0,0,34.1,36.5,34.1
05/11/2009,3.13,32.9,-1.5(-4.36 %),53800,1744540000,0,0,34.3,34.4,32.0
06/11/2009,2.97,31.2,-1.2(-3.70 %),11000,349030000,0,0,34.6,34.6,31.2
09/11/2009,2.86,30.0,-1.7(-5.36 %),5300,157980000,0,0,30.8,30.8,29.5
10/11/2009,2.94,30.9,1.1(3.69 %),7700,237560000,0,0,31.7,31.7,28.1
11/11/2009,2.86,30.0,-0.9(-2.91 %),18800,573610000,0,0,32.0,32.0,29.6
12/11/2009,3.02,31.7,1.2(3.93 %),2500,76540000,0,0,29.3,31.7,28.5
13/11/2009,2.95,31.0,0.4(1.31 %),17200,517400000,0,0,30.0,31.0,30.0
16/11/2009,2.76,29.0,-1.1(-3.65 %),2000,59980000,0,0,32.0,32.0,29.0
17/11/2009,2.76,29.0,-1(-3.33 %),3800,111000000,0,0,29.5,30.5,29.0
18/11/2009,2.81,29.5,0.3(1.03 %),1500,44150000,0,0,29.4,29.5,29.4
19/11/2009,2.81,29.5,0.1(0.34 %),2100,61590000,0,0,29.5,29.5,29.0
20/11/2009,2.67,28.0,-1.3(-4.44 %),4900,139650000,89600,2688000000,29.3,29.3,28.0
23/11/2009,2.62,27.5,-1(-3.51 %),2100,58700000,0,0,28.0,28.0,27.5
24/11/2009,2.67,28.0,0(0.00 %),1500,42390000,0,0,29.9,29.9,28.0
25/11/2009,2.52,26.4,-1.9(-6.71 %),3000,79650000,0,0,27.4,27.4,26.4
26/11/2009,2.36,24.8,-1.8(-6.77 %),7600,193800000,0,0,28.4,28.4,24.8
27/11/2009,2.59,27.2,1.7(6.67 %),2600,65870000,0,0,26.5,27.2,23.8
30/11/2009,2.55,26.8,1.5(5.93 %),6100,163540000,0,0,27.0,27.0,26.8
01/12/2009,2.62,27.5,0.7(2.61 %),3400,93910000,60000,1680000000,27.9,27.9,27.0
02/12/2009,2.63,27.6,0(0.00 %),0,0,0,0,27.6,27.6,27.6
03/12/2009,2.55,26.8,-0.8(-2.90 %),1600,42860000,44000,1188000000,27.0,27.0,26.5
