Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
22/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
23/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
24/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
25/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
28/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
29/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
30/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
31/07/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
01/08/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
04/08/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
05/08/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
06/08/2008,0,0,22.7(2.71 %),0,0,0,0,0,0.0
07/08/2008,0,0,23.3(2.64 %),0,0,0,0,0,0.0
08/08/2008,0,0,23.9(2.58 %),0,0,0,0,0,0.0
11/08/2008,0,0,24.6(2.93 %),0,0,0,0,0,0.0
12/08/2008,0,0,25.3(2.85 %),0,0,0,0,0,0.0
13/08/2008,0,0,26(2.77 %),0,0,0,0,0,0.0
14/08/2008,0,0,26.7(2.69 %),0,0,0,0,0,0.0
15/08/2008,0,0,27.5(3.00 %),0,0,0,0,0,0.0
18/08/2008,0,0,28.8(4.73 %),0,0,0,0,0,0.0
19/08/2008,0,0,30.2(4.86 %),0,0,0,0,0,0.0
20/08/2008,0,0,31.7(4.97 %),0,0,0,0,0,0.0
21/08/2008,0,0,33.2(4.73 %),0,0,0,0,0,0.0
22/08/2008,0,0,34.8(4.82 %),0,0,0,0,0,0.0
25/08/2008,0,0,36.5(4.89 %),0,0,0,0,0,0.0
26/08/2008,0,0,38.3(4.93 %),0,0,0,0,0,0.0
27/08/2008,0,0,40.2(4.96 %),0,0,0,0,0,0.0
28/08/2008,30,1146000,42.2(4.98 %),30,1146000,0,0,0,0.0
29/08/2008,100,4430000,44.3(4.98 %),100,4430000,0,0,0,0.0
03/09/2008,0,0,46.5(4.97 %),0,0,0,0,0,0.0
04/09/2008,1040,49482000,48.5(4.30 %),1040,49482000,0,0,0,0.0
05/09/2008,1000,46100000,46.1(-4.95 %),1000,46100000,0,0,0,0.0
08/09/2008,0,0,43.8(-4.99 %),0,0,0,0,0,0.0
09/09/2008,1000,41700000,41.7(-4.79 %),1000,41700000,0,0,0,0.0
10/09/2008,0,0,39.7(-4.80 %),0,0,0,0,0,0.0
11/09/2008,0,0,36.8(-4.91 %),0,0,0,0,0,0.0
12/09/2008,0,0,35(-4.89 %),0,0,0,0,0,0.0
15/09/2008,800,26640000,33.3(-4.86 %),900,29970000,100,3330000,0,0.0
16/09/2008,0,0,31.7(-4.80 %),0,0,0,0,0,0.0
17/09/2008,0,0,30.2(-4.73 %),0,0,0,0,0,0.0
18/09/2008,2400,68880000,28.7(-4.97 %),2400,68880000,0,0,0,0.0
19/09/2008,54300,1485834000,30.1(4.88 %),54800,1500884000,500,15050000,0,0.0
22/09/2008,1000,31600000,31.6(4.98 %),1000,31600000,0,0,0,0.0
23/09/2008,110500,3326100000,30.1(-4.75 %),110500,3326100000,0,0,0,0.0
24/09/2008,60,1716000,28.6(-4.98 %),60,1716000,0,0,0,0.0
25/09/2008,58000,1594394000,29(1.40 %),58000,1594394000,0,0,0,0.0
26/09/2008,0,0,28(-3.45 %),0,0,0,0,0,0.0
29/09/2008,0,0,27.5(-1.79 %),0,0,0,0,0,0.0
30/09/2008,0,0,26.2(-4.73 %),0,0,0,0,0,0.0
01/10/2008,0,0,25.4(-3.05 %),0,0,0,0,0,0.0
02/10/2008,0,0,25.5(0.39 %),0,0,0,0,0,0.0
03/10/2008,0,0,24.4(-4.31 %),0,0,0,0,0,0.0
06/10/2008,2180,50576000,23.2(-4.92 %),2180,50576000,0,0,0,0.0
07/10/2008,0,0,22.1(-4.74 %),0,0,0,0,0,0.0
08/10/2008,0,0,21(-4.98 %),0,0,0,0,0,0.0
09/10/2008,1970,40800000,20(-4.76 %),2000,41400000,30,600000,0,0.0
10/10/2008,0,0,19(-5.00 %),0,0,0,0,0,0.0
13/10/2008,1000,18100000,18.1(-4.74 %),1000,18100000,0,0,0,0.0
14/10/2008,0,0,19(4.97 %),0,0,0,0,0,0.0
15/10/2008,2700,52954000,19.9(4.74 %),2700,52954000,0,0,0,0.0
