Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/07/2008,11.87,16.8,2.8(20.00 %),133500,2242800000,0,0,16.8,16.8,16.8
23/07/2008,12.23,17.3,0.5(2.98 %),10,173000,0,0,17.3,17.3,17.3
24/07/2008,12.58,17.8,0.5(2.89 %),10,178000,0,0,17.8,17.8,17.8
25/07/2008,12.93,18.3,0.5(2.81 %),20,366000,0,0,18.3,18.3,18.3
28/07/2008,13.29,18.8,0.5(2.73 %),1100,20680000,0,0,18.8,18.8,18.8
29/07/2008,13.64,19.3,0.5(2.66 %),3740,72182000,0,0,19.3,19.3,19.3
30/07/2008,13.99,19.8,0.5(2.59 %),1000,19800000,0,0,19.8,19.8,19.8
31/07/2008,14.35,20.3,0.5(2.53 %),7000,142100000,0,0,20.3,20.3,20.3
01/08/2008,14.77,20.9,0.6(2.96 %),6500,135850000,0,0,20.9,20.9,20.9
04/08/2008,15.19,21.5,0.6(2.87 %),7820,168130000,0,0,21.5,21.5,21.5
05/08/2008,15.62,22.1,0.6(2.79 %),1000,22100000,0,0,22.1,22.1,22.1
06/08/2008,16.04,22.7,0.6(2.71 %),1500,34050000,0,0,22.7,22.7,22.7
07/08/2008,16.47,23.3,0.6(2.64 %),20,466000,0,0,23.3,23.3,23.3
08/08/2008,16.89,23.9,0.6(2.58 %),20,478000,20000,454000000,23.9,23.9,23.9
11/08/2008,17.39,24.6,0.7(2.93 %),20,492000,120000,2868000000,24.6,24.6,24.6
12/08/2008,17.88,25.3,0.7(2.85 %),2000,50600000,20000,492000000,25.3,25.3,25.3
13/08/2008,18.38,26.0,0.7(2.77 %),1500,39000000,40000,1040000000,26.0,26.0,26.0
14/08/2008,18.87,26.7,0.7(2.69 %),10,267000,56000,1482200000,26.7,26.7,26.7
15/08/2008,19.44,27.5,0.8(3.00 %),3060,84150000,49000,1277800000,27.5,27.5,27.5
18/08/2008,20.35,28.8,1.3(4.73 %),3600,103680000,20000,524000000,28.8,28.8,28.8
19/08/2008,21.34,30.2,1.4(4.86 %),160,4832000,0,0,30.2,30.2,30.2
20/08/2008,22.4,31.7,1.5(4.97 %),3980,126166000,0,0,31.7,31.7,31.7
21/08/2008,23.46,33.2,1.5(4.73 %),2900,96280000,0,0,33.2,33.2,33.2
