Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
09/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
10/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
11/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
12/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
15/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
16/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
17/03/2010,0,0,0(0.00 %),0,0,0,0,1215690,0.0
18/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
19/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
22/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
23/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
24/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
25/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
26/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
29/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
30/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
31/03/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
01/04/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
02/04/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
05/04/2010,0,0,50(0.00 %),0,0,0,0,1215690,0.0
06/04/2010,0,0,45(-10.00 %),0,0,0,0,1215690,0.0
07/04/2010,0,0,45(0.00 %),0,0,0,0,1215690,0.0
08/04/2010,0,0,45(0.00 %),0,0,0,0,1215690,0.0
09/04/2010,0,0,45(0.00 %),0,0,0,0,1215690,0.0
12/04/2010,0,0,45(0.00 %),0,0,0,0,1215690,0.0
13/04/2010,0,0,40.5(-10.00 %),0,0,0,0,1215690,0.0
14/04/2010,0,0,40.5(0.00 %),0,0,0,0,1215690,0.0
15/04/2010,0,0,36.5(-9.88 %),0,0,0,0,1215690,0.0
16/04/2010,0,0,32.9(-9.86 %),0,0,0,0,1215690,0.0
19/04/2010,0,0,32.9(0.00 %),0,0,0,0,1215690,0.0
20/04/2010,0,0,29.7(-9.73 %),0,0,0,0,1215690,0.0
21/04/2010,0,0,26.8(-9.76 %),0,0,0,0,1215690,0.0
22/04/2010,0,0,24.2(-9.70 %),0,0,0,0,1215690,0.0
26/04/2010,0,0,24.2(0.00 %),0,0,0,0,1215690,0.0
27/04/2010,0,0,21.8(-9.92 %),0,0,0,0,1215690,0.0
28/04/2010,0,0,19.7(-9.63 %),0,0,0,0,1215690,0.0
29/04/2010,0,0,17.8(-9.64 %),0,0,0,0,1215690,0.0
04/05/2010,0,0,16.3(-8.43 %),0,0,0,0,1215690,0.0
05/05/2010,0,0,16(-0.62 %),0,0,0,0,1215690,0.0
06/05/2010,0,0,15(-9.64 %),0,0,0,0,1215690,0.0
07/05/2010,0,0,13.5(-10.00 %),0,0,0,0,1215690,0.0
10/05/2010,0,0,14.8(9.63 %),0,0,0,0,1215690,0.0
11/05/2010,0,0,13.4(-9.46 %),0,0,0,0,1215690,0.0
12/05/2010,0,0,15.4(10.00 %),0,0,0,0,1215690,0.0
13/05/2010,0,0,15.2(8.57 %),0,0,0,0,1215690,0.0
14/05/2010,0,0,12.5(-8.09 %),0,0,0,0,1215690,0.0
17/05/2010,0,0,13.6(0.00 %),0,0,0,0,1215690,0.0
18/05/2010,0,0,12.4(-8.82 %),0,0,0,0,1215690,0.0
19/05/2010,0,0,13.6(9.68 %),0,0,0,0,1215690,0.0
20/05/2010,0,0,12.3(-9.56 %),0,0,0,0,1215690,0.0
21/05/2010,0,0,11.1(-9.76 %),0,0,0,0,1215690,0.0
24/05/2010,0,0,10(-9.91 %),0,0,0,0,1215690,0.0
25/05/2010,0,0,10(0.00 %),0,0,0,0,1215690,0.0
26/05/2010,0,0,10(0.00 %),0,0,0,0,1215690,0.0
27/05/2010,0,0,11(10.00 %),0,0,0,0,1215690,0.0
28/05/2010,0,0,11(0.00 %),0,0,0,0,1215690,0.0
31/05/2010,0,0,11(0.00 %),0,0,0,0,1215690,0.0
01/06/2010,0,0,9.9(-10.00 %),0,0,0,0,1215690,0.0
02/06/2010,0,0,2.8(-76.07 %),0,0,0,0,1215690,0.0
03/06/2010,0,0,10.6(-9.40 %),0,0,0,0,1215690,0.0
04/06/2010,0,0,14(9.37 %),0,0,0,0,1215690,0.0
07/06/2010,0,0,12.6(-10.00 %),0,0,0,0,1215690,0.0
08/06/2010,0,0,12(-4.76 %),0,0,0,0,1215690,0.0
09/06/2010,0,0,12.8(9.40 %),0,0,0,0,1215690,0.0
10/06/2010,0,0,14(9.37 %),0,0,0,0,1215690,0.0
11/06/2010,0,0,15.4(10.00 %),0,0,0,0,1215690,0.0
14/06/2010,0,0,16.9(9.74 %),0,0,0,0,1215690,0.0
15/06/2010,0,0,18.5(9.47 %),0,0,0,0,1215690,0.0
16/06/2010,0,0,20.3(9.73 %),0,0,0,0,1215690,0.0
17/06/2010,0,0,20.3(0.00 %),0,0,0,0,1215690,0.0
18/06/2010,0,0,20.3(0.00 %),0,0,0,0,1215690,0.0
21/06/2010,0,0,20.3(0.00 %),0,0,0,0,1215690,0.0
22/06/2010,0,0,20.3(0.00 %),0,0,0,0,1215690,0.0
23/06/2010,0,0,20.3(0.00 %),0,0,0,0,1215690,0.0
24/06/2010,0,0,22.3(9.85 %),0,0,0,0,1215690,0.0
25/06/2010,0,0,22.3(0.00 %),0,0,0,0,1215690,0.0
28/06/2010,0,0,22.3(0.00 %),0,0,0,0,1215690,0.0
29/06/2010,0,0,24.5(9.87 %),0,0,0,0,1215690,0.0
30/06/2010,0,0,22.3(0.00 %),0,0,0,0,1215690,0.0
01/07/2010,0,0,22.3(0.00 %),0,0,0,0,1215690,0.0
02/07/2010,0,0,20.1(-9.87 %),0,0,0,0,1215690,0.0
05/07/2010,0,0,20(-0.99 %),0,0,0,0,1215690,0.0
06/07/2010,0,0,21.6(9.64 %),0,0,0,0,1215690,0.0
07/07/2010,0,0,20.1(-4.29 %),0,0,0,0,1215690,0.0
08/07/2010,0,0,19(-9.95 %),0,0,0,0,1215690,0.0
09/07/2010,0,0,19.6(1.55 %),0,0,0,0,1215690,0.0
12/07/2010,0,0,20.3(9.73 %),0,0,0,0,1215690,0.0
13/07/2010,0,0,21.4(6.47 %),0,0,0,0,1215690,0.0
14/07/2010,0,0,21.6(3.85 %),0,0,0,0,1215690,0.0
15/07/2010,0,0,20(-6.10 %),0,0,0,0,1215690,0.0
16/07/2010,0,0,21(-0.47 %),0,0,0,0,1215690,0.0
