Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
18/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
19/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
22/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
23/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
24/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
25/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
26/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
29/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
30/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
31/03/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
01/04/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
02/04/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
05/04/2010,38.02,50.0,0(0.00 %),0,0,0,0,50.0,50.0,50.0
06/04/2010,34.22,45.0,-5(-10.00 %),3325,149625000,0,0,50.0,45.0,45.0
07/04/2010,34.22,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
08/04/2010,34.22,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
09/04/2010,34.22,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
12/04/2010,34.22,45.0,0(0.00 %),0,0,0,0,45.0,45.0,45.0
13/04/2010,30.8,40.5,-4.5(-10.00 %),783,31711500,0,0,45.0,40.5,40.5
14/04/2010,30.8,40.5,0(0.00 %),0,0,0,0,40.5,40.5,40.5
15/04/2010,27.76,36.5,-4(-9.88 %),867,31645500,0,0,40.5,36.5,36.5
16/04/2010,25.02,32.9,-3.6(-9.86 %),5269,173350100,0,0,36.5,32.9,32.9
19/04/2010,25.02,32.9,0(0.00 %),0,0,0,0,32.9,32.9,32.9
20/04/2010,22.58,29.7,-3.2(-9.73 %),10,297000,0,0,32.9,29.7,29.7
21/04/2010,20.38,26.8,-2.9(-9.76 %),1183,31704400,0,0,29.7,26.8,26.8
22/04/2010,18.4,24.2,-2.6(-9.70 %),767,18561400,0,0,26.8,24.2,24.2
26/04/2010,18.4,24.2,0(0.00 %),0,0,0,0,24.2,24.2,24.2
27/04/2010,16.58,21.8,-2.4(-9.92 %),20,436000,0,0,24.2,21.8,21.8
28/04/2010,14.98,19.7,-2.1(-9.63 %),3544,69816800,0,0,21.8,19.7,19.7
29/04/2010,13.54,17.8,-1.9(-9.64 %),510,9078000,0,0,19.7,17.8,17.8
04/05/2010,12.39,16.3,-1.5(-8.43 %),23982,386566600,0,0,17.8,16.3,16.1
05/05/2010,12.17,16.0,-0.1(-0.62 %),6279,103926000,0,0,16.1,17.0,16.0
06/05/2010,11.41,15.0,-1.6(-9.64 %),10,150000,0,0,16.6,15.0,15.0
07/05/2010,10.27,13.5,-1.5(-10.00 %),10,135000,0,0,15.0,13.5,13.5
10/05/2010,11.25,14.8,1.3(9.63 %),1000,14800000,0,0,13.5,14.8,14.8
11/05/2010,10.19,13.4,-1.4(-9.46 %),130,1826000,0,0,14.8,16.2,13.4
12/05/2010,11.71,15.4,1.4(10.00 %),1510,21154000,0,0,14.0,15.4,14.0
13/05/2010,11.56,15.2,1.2(8.57 %),2070,28055000,0,0,14.0,15.4,12.7
14/05/2010,9.51,12.5,-1.1(-8.09 %),70,905000,0,0,13.6,14.0,12.5
17/05/2010,10.34,13.6,0(0.00 %),5405,73352000,0,0,13.6,13.6,12.3
18/05/2010,9.43,12.4,-1.2(-8.82 %),100,1240000,0,0,13.6,12.4,12.4
19/05/2010,10.34,13.6,1.2(9.68 %),20,272000,0,0,12.4,13.6,13.6
20/05/2010,9.35,12.3,-1.3(-9.56 %),100,1230000,0,0,13.6,12.3,12.3
21/05/2010,8.44,11.1,-1.2(-9.76 %),20,222000,0,0,12.3,11.1,11.1
24/05/2010,7.6,10.0,-1.1(-9.91 %),20,200000,0,0,11.1,10.0,10.0
25/05/2010,7.6,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
26/05/2010,7.6,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/05/2010,8.36,11.0,1(10.00 %),510,5610000,0,0,10.0,11.0,11.0
28/05/2010,8.36,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
31/05/2010,8.36,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
01/06/2010,7.53,9.9,-1.1(-10.00 %),1490,17477000,0,0,11.0,12.1,9.9
02/06/2010,2.13,2.8,-8.9(-76.07 %),200,2340000,0,0,11.7,12.8,10.6
03/06/2010,8.06,10.6,-1.1(-9.40 %),5550,70930000,0,0,11.7,12.8,10.6
04/06/2010,10.65,14.0,1.2(9.37 %),315,4410000,0,0,12.8,14.0,14.0
07/06/2010,9.58,12.6,-1.4(-10.00 %),800,10080000,0,0,14.0,12.6,12.6
08/06/2010,9.12,12.0,-0.6(-4.76 %),2105,24642000,0,0,12.6,12.0,11.4
09/06/2010,9.73,12.8,1.1(9.40 %),100,1280000,0,0,11.7,12.8,12.8
10/06/2010,10.65,14.0,1.2(9.37 %),10,140000,0,0,12.8,14.0,14.0
11/06/2010,11.71,15.4,1.4(10.00 %),10,154000,0,0,14.0,15.4,15.4
14/06/2010,12.85,16.9,1.5(9.74 %),10,169000,0,0,15.4,16.9,16.9
15/06/2010,14.07,18.5,1.6(9.47 %),10,185000,0,0,16.9,18.5,18.5
16/06/2010,15.44,20.3,1.8(9.73 %),10,203000,0,0,18.5,20.3,20.3
17/06/2010,15.44,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
18/06/2010,15.44,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
21/06/2010,15.44,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
22/06/2010,15.44,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
23/06/2010,15.44,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
24/06/2010,16.96,22.3,2(9.85 %),10,223000,0,0,20.3,22.3,22.3
25/06/2010,16.96,22.3,0(0.00 %),0,0,0,0,22.3,22.3,22.3
28/06/2010,16.96,22.3,0(0.00 %),0,0,0,0,22.3,22.3,22.3
29/06/2010,18.63,24.5,2.2(9.87 %),20,446000,0,0,22.3,24.5,20.1
30/06/2010,16.96,22.3,0(0.00 %),0,0,0,0,22.3,22.3,22.3
01/07/2010,16.96,22.3,0(0.00 %),0,0,0,0,22.3,22.3,22.3
02/07/2010,15.28,20.1,-2.2(-9.87 %),40198,811079800,0,0,22.3,21.0,20.1
05/07/2010,15.21,20.0,-0.2(-0.99 %),41268,812253600,0,0,20.2,22.2,18.2
06/07/2010,16.42,21.6,1.9(9.64 %),32236,693087200,0,0,19.7,21.6,17.8
07/07/2010,15.65,20.1,-0.9(-4.29 %),26290,555370000,0,0,21.0,23.1,19.0
08/07/2010,14.79,19.0,-2.1(-9.95 %),14224,274264800,0,0,21.1,20.5,19.0
09/07/2010,15.26,19.6,0.3(1.55 %),15851,294022000,0,0,19.3,21.2,17.4
12/07/2010,15.8,20.3,1.8(9.73 %),9092,182304000,0,0,18.5,20.3,19.5
13/07/2010,16.66,21.4,1.3(6.47 %),14167,294946500,0,0,20.1,22.1,19.5
14/07/2010,16.82,21.6,0.8(3.85 %),12585,267965800,0,0,20.8,21.7,18.8
