Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/04/2018,5.73,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
20/04/2018,5.73,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
23/04/2018,5.73,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
24/04/2018,5.73,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
26/04/2018,6.28,11.5,1(9.52 %),3500,40300000,0,0,11.6,11.6,11.5
27/04/2018,5.73,10.5,-1(-8.70 %),5210,57152000,0,0,11.5,11.5,10.5
02/05/2018,6.01,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
03/05/2018,6.01,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
04/05/2018,6.01,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
07/05/2018,6.01,11.0,0(0.00 %),2000,22000000,0,0,11.0,11.0,11.0
08/05/2018,6.01,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
09/05/2018,6.01,11.0,0(0.00 %),10,105000,0,0,11.0,11.0,11.0
10/05/2018,5.46,10.0,-1(-9.09 %),300,3000000,0,0,10.0,10.0,10.0
11/05/2018,5.73,10.5,0.5(5.00 %),2000,21000000,0,0,10.5,10.5,10.5
14/05/2018,5.73,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
15/05/2018,5.84,10.7,0.2(1.90 %),3000,32100000,0,0,10.7,10.7,10.7
16/05/2018,5.84,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
17/05/2018,5.84,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
18/05/2018,5.62,10.3,-0.4(-3.74 %),3000,30900000,0,0,10.3,10.3,10.3
21/05/2018,5.62,10.3,0(0.00 %),0,0,0,0,10.3,10.3,10.3
22/05/2018,5.84,10.7,0.4(3.88 %),4000,41610000,0,0,10.4,10.7,10.3
23/05/2018,5.68,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
24/05/2018,5.51,10.1,-0.3(-2.88 %),300,3030000,0,0,10.1,10.1,10.1
25/05/2018,5.51,10.1,0(0.00 %),0,0,0,0,10.1,10.1,10.1
28/05/2018,5.51,10.1,0(0.00 %),0,0,0,0,10.1,10.1,10.1
29/05/2018,5.35,9.8,-0.3(-2.97 %),300,2940000,0,0,9.8,9.8,9.8
30/05/2018,5.35,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
31/05/2018,5.35,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
01/06/2018,5.84,10.7,0.9(9.18 %),1000,10780000,0,0,10.7,10.8,10.7
04/06/2018,5.95,10.9,0.1(0.93 %),100,1090000,0,0,10.9,10.9,10.9
05/06/2018,5.95,10.9,0(0.00 %),0,0,0,0,10.9,10.9,10.9
06/06/2018,5.95,10.9,0(0.00 %),0,0,0,0,10.9,10.9,10.9
07/06/2018,5.95,10.9,0(0.00 %),0,0,0,0,10.9,10.9,10.9
08/06/2018,5.95,10.9,0(0.00 %),0,0,0,0,10.9,10.9,10.9
11/06/2018,5.95,10.9,0(0.00 %),0,0,0,0,10.9,10.9,10.9
12/06/2018,6.12,11.2,0.3(2.75 %),1000,11200000,0,0,11.2,11.2,11.2
13/06/2018,6.12,11.2,0(0.00 %),0,0,0,0,11.2,11.2,11.2
14/06/2018,6.12,11.2,0(0.00 %),0,0,0,0,11.2,11.2,11.2
15/06/2018,6.28,11.5,0.3(2.68 %),1000,11500000,0,0,11.5,11.5,11.5
18/06/2018,6.28,11.5,0(0.00 %),1000,11500000,0,0,11.5,11.5,11.5
19/06/2018,5.35,9.8,-1.7(-14.78 %),100,980000,0,0,9.8,9.8,9.8
20/06/2018,5.35,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
21/06/2018,5.35,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
22/06/2018,6.12,11.2,1.4(14.29 %),1200,13050000,0,0,8.5,11.2,8.5
25/06/2018,5.13,9.4,-1.5(-13.76 %),100,940000,0,0,9.4,9.4,9.4
26/06/2018,4.7,8.6,-0.8(-8.51 %),100,860000,0,0,8.6,8.6,8.6
27/06/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
28/06/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
29/06/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
02/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
03/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
04/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
05/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
06/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
09/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
10/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
11/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
12/07/2018,4.7,8.6,0(0.00 %),0,0,0,0,8.6,8.6,8.6
13/07/2018,4.91,9.0,0.4(4.65 %),200,1800000,0,0,9.0,9.0,9.0
16/07/2018,4.91,9.0,0(0.00 %),100,900000,0,0,9.0,9.0,9.0
17/07/2018,4.91,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
18/07/2018,4.91,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
19/07/2018,4.91,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
20/07/2018,4.91,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
23/07/2018,5.51,10.1,1.1(12.22 %),500,5050000,0,0,10.1,10.1,10.1
24/07/2018,5.51,9.6,0(0.00 %),0,0,0,0,9.6,9.6,9.6
25/07/2018,5.86,10.2,0.6(6.25 %),100,1020000,0,0,10.2,10.2,10.2
26/07/2018,5.92,10.3,0.1(0.98 %),500,5110000,0,0,10.2,10.3,10.2
27/07/2018,5.92,10.3,0.1(0.98 %),310,3182000,0,0,10.3,10.3,10.3
30/07/2018,5.92,10.3,0(0.00 %),0,0,0,0,10.3,10.3,10.3
31/07/2018,5.92,10.3,0(0.00 %),0,0,0,0,10.3,10.3,10.3
01/08/2018,5.97,10.4,0.1(0.97 %),500,5200000,0,0,10.4,10.4,10.4
02/08/2018,5.97,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
03/08/2018,5.92,10.3,-0.1(-0.96 %),300,3090000,0,0,10.3,10.3,10.3
06/08/2018,6.03,10.5,0.2(1.94 %),2000,20900000,0,0,10.4,10.5,10.4
07/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
08/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
09/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
10/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
13/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
14/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
15/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
16/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
17/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
20/08/2018,6.03,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
21/08/2018,6.32,11.0,0.5(4.76 %),1000,11000000,0,0,11.0,11.0,11.0
22/08/2018,6.32,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
23/08/2018,6.32,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
