Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/06/2010,19.73,30.0,5(20.00 %),713340,21400200000,0,0,30.0,30.0,30.0
23/06/2010,18.94,28.8,-1.2(-4.00 %),1177740,35865024000,0,0,31.1,31.1,28.7
24/06/2010,18.35,27.9,-0.9(-3.12 %),454510,12735264000,360000,10062000000,28.5,28.7,27.4
25/06/2010,19.2,29.2,1.3(4.66 %),190550,5479204000,0,0,27.9,29.2,27.5
28/06/2010,19.07,29.0,-0.2(-0.68 %),392890,11560298000,418000,11620400000,28.0,30.5,28.0
29/06/2010,18.74,28.5,-0.5(-1.72 %),139850,4015724000,20000,552000000,29.5,29.5,28.5
30/06/2010,18.22,27.7,-0.8(-2.81 %),149870,4138062000,20000,560000000,27.5,28.0,27.5
01/07/2010,18.22,27.7,0(0.00 %),138300,3833161000,454550,12000120000,28.0,28.0,27.5
02/07/2010,17.89,27.2,-0.5(-1.81 %),235240,6406464000,0,0,27.2,27.7,27.0
05/07/2010,17.62,26.8,-0.4(-1.47 %),151740,4076934000,20000,518000000,27.0,27.0,26.6
06/07/2010,16.83,25.6,-1.2(-4.48 %),177330,4603711000,20000,534000000,26.5,26.7,25.6
07/07/2010,16.24,24.7,-0.9(-3.52 %),232960,5896632000,0,0,25.6,26.3,24.6
08/07/2010,16.44,25.0,0.3(1.21 %),246150,6216852000,0,0,25.8,25.8,24.8
09/07/2010,17.23,26.2,1.2(4.80 %),324350,8412526000,0,0,25.6,26.2,25.0
12/07/2010,18.08,27.5,1.3(4.96 %),324540,8761564000,0,0,26.2,27.5,26.2
13/07/2010,18.94,28.8,1.3(4.73 %),257920,7330893000,0,0,28.4,28.8,27.8
14/07/2010,18.41,28.0,-0.8(-2.78 %),289280,8243725000,0,0,28.5,28.9,27.8
15/07/2010,17.76,27.0,-1(-3.57 %),287560,7793270000,0,0,27.2,28.0,26.7
16/07/2010,17.62,26.8,-0.2(-0.74 %),102550,2767306000,20000,558000000,27.0,27.9,26.8
19/07/2010,17.62,26.8,0(0.00 %),188710,5078180000,0,0,27.0,27.6,26.5
20/07/2010,17.49,26.6,-0.2(-0.75 %),141230,3761889000,0,0,26.7,27.0,26.5
21/07/2010,17.1,26.0,-0.6(-2.26 %),104110,2736550000,0,0,26.6,26.8,26.0
22/07/2010,17.03,25.9,-0.1(-0.38 %),141790,3681302000,0,0,26.0,26.5,25.8
23/07/2010,17.82,27.1,1.2(4.63 %),474030,12845350000,0,0,27.1,27.1,27.0
26/07/2010,17.82,27.1,0(0.00 %),400000,11216010000,0,0,28.4,28.4,27.1
27/07/2010,17.43,26.5,-0.6(-2.21 %),85660,2294777000,0,0,27.1,27.2,26.5
28/07/2010,17.29,26.3,-0.2(-0.75 %),84550,2231434000,0,0,26.5,26.8,26.0
29/07/2010,17.16,26.1,-0.2(-0.76 %),169430,4426150000,0,0,26.8,26.8,25.8
