Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/12/2006,21.3,130.0,0(0.00 %),350,45500,0,0,130.0,130.0,130.0
26/12/2006,22.28,136.0,6(4.62 %),44660,6073760,0,0,136.0,136.0,136.0
27/12/2006,21.63,132.0,-4(-2.94 %),23300,3166550,0,0,139.0,139.0,132.0
28/12/2006,22.61,138.0,6(4.55 %),18840,2599920,0,0,138.0,138.0,138.0
29/12/2006,22.61,138.0,0(0.00 %),21900,3015200,0,0,136.0,138.0,136.0
02/01/2007,21.63,132.0,-6(-4.35 %),7910,1044000000,0,0,132.0,132.0,132.0
03/01/2007,21.3,130.0,-2(-1.52 %),13900,0,0,0,130.0,130.0,127.0
04/01/2007,21.79,133.0,3(2.31 %),30590,4045000000,0,0,133.0,133.0,130.0
05/01/2007,22.78,139.0,6(4.51 %),70250,0,0,0,139.0,139.0,137.0
08/01/2007,23.1,141.0,2(1.44 %),62550,5297000000,0,0,145.0,145.0,141.0
09/01/2007,23.1,141.0,0(0.00 %),13480,1901000000,0,0,141.0,141.0,141.0
10/01/2007,23.27,142.0,1(0.71 %),40410,5798000000,0,0,145.0,145.0,142.0
11/01/2007,22.94,140.0,-2(-1.41 %),8150,1150000000,0,0,142.0,142.0,140.0
12/01/2007,22.78,139.0,-1(-0.71 %),9280,1267000000,0,0,135.0,139.0,135.0
15/01/2007,23.76,145.0,6(4.32 %),10350,1466000000,0,0,136.0,145.0,136.0
16/01/2007,23.76,145.0,0(0.00 %),1660,241000000,0,0,145.0,145.0,145.0
17/01/2007,24.09,147.0,2(1.38 %),41080,6162000000,0,0,152.0,152.0,147.0
18/01/2007,23.43,143.0,-4(-2.72 %),6420,918000000,0,0,140.0,146.0,140.0
19/01/2007,23.43,143.0,0(0.00 %),24420,3492000000,0,0,143.0,143.0,143.0
22/01/2007,22.78,139.0,-4(-2.80 %),41300,5794000000,0,0,143.0,143.0,139.0
23/01/2007,22.78,139.0,0(0.00 %),12890,1789000000,0,0,139.0,139.0,138.0
24/01/2007,23.76,145.0,6(4.32 %),27480,3951000000,0,0,143.0,145.0,143.0
25/01/2007,22.61,138.0,-7(-4.83 %),18520,2637000000,0,0,147.0,147.0,138.0
26/01/2007,22.94,140.0,2(1.45 %),28060,3976000000,0,0,138.0,144.0,140.0
29/01/2007,23.43,143.0,3(2.14 %),31200,4557000000,0,0,143.0,147.0,143.0
30/01/2007,22.94,140.0,-3(-2.10 %),7560,1066000000,0,0,143.0,143.0,140.0
31/01/2007,23.43,143.0,4(2.88 %),76660,7666000000,0,0,145.0,145.0,143.0
