Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
23/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
24/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
25/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
26/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
29/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
30/11/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
01/12/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
02/12/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
03/12/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
06/12/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
07/12/2021,10.4,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
08/12/2021,14.5,14.5,4.1(39.42 %),300,4340000,0,0,14.4,14.5,14.4
09/12/2021,16.6,16.6,2.1(14.48 %),9400,156040000,0,0,16.6,16.6,16.6
10/12/2021,19.0,19.0,2.4(14.46 %),8300,157700000,0,0,19.0,19.0,19.0
13/12/2021,21.8,21.8,2.8(14.74 %),1300,28340000,0,0,21.8,21.8,21.8
14/12/2021,25.0,25.0,3.2(14.68 %),7500,187500000,0,0,25.0,25.0,25.0
15/12/2021,25.0,25.0,0(0.00 %),4600,128570000,0,0,28.7,28.7,25.0
16/12/2021,28.0,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
17/12/2021,28.0,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
20/12/2021,28.0,28.0,0(0.00 %),1,25000,0,0,28.0,28.0,28.0
21/12/2021,28.0,28.0,0(0.00 %),0,0,0,0,28.0,28.0,28.0
23/12/2021,23.8,23.8,0(0.00 %),0,0,0,0,23.8,23.8,23.8
24/12/2021,23.8,23.8,0(0.00 %),0,0,0,0,23.8,23.8,23.8
27/12/2021,23.8,23.8,0(0.00 %),0,0,0,0,23.8,23.8,23.8
28/12/2021,23.8,23.8,0(0.00 %),0,0,0,0,23.8,23.8,23.8
29/12/2021,20.3,20.3,-3.5(-14.71 %),100,2030000,0,0,20.3,20.3,20.3
30/12/2021,20.3,20.3,0(0.00 %),0,0,0,0,20.3,20.3,20.3
31/12/2021,17.3,17.3,-3(-14.78 %),200,3460000,0,0,17.3,17.3,17.3
04/01/2022,14.8,14.8,-2.5(-14.45 %),10100,149740000,0,0,14.8,17.3,14.8
05/01/2022,12.8,12.8,-2(-13.51 %),2400,30770000,0,0,14.8,14.8,12.6
06/01/2022,14.7,14.7,1.9(14.84 %),1500,20050000,0,0,12.7,14.7,12.7
07/01/2022,12.1,12.1,-1.3(-9.70 %),3100,37460000,0,0,12.0,12.1,12.0
10/01/2022,12.1,12.1,0(0.00 %),400,4830000,0,0,12.1,12.1,12.0
11/01/2022,12.1,12.1,0(0.00 %),1600,17740000,0,0,12.0,12.1,10.5
12/01/2022,11.0,11.0,-0.1(-0.90 %),1100,12190000,0,0,11.1,11.2,11.0
13/01/2022,11.1,11.1,0(0.00 %),1600,16900000,0,0,10.6,11.1,10.0
14/01/2022,10.0,10.0,-0.6(-5.66 %),100,1000000,0,0,10.0,10.0,10.0
17/01/2022,10.1,10.1,0.1(1.00 %),1800,18180000,0,0,10.1,10.1,10.1
18/01/2022,11.0,11.0,0.9(8.91 %),100,1100000,0,0,11.0,11.0,11.0
19/01/2022,12.0,12.0,1(9.09 %),100,1200000,0,0,12.0,12.0,12.0
20/01/2022,12.0,12.0,0(0.00 %),300,3760000,0,0,12.8,12.8,12.0
21/01/2022,12.8,12.8,0.3(2.40 %),100,1280000,0,0,12.8,12.8,12.8
24/01/2022,12.8,12.8,0(0.00 %),0,0,0,0,12.8,12.8,12.8
25/01/2022,12.8,12.8,0(0.00 %),0,0,0,0,12.8,12.8,12.8
26/01/2022,12.8,12.8,0(0.00 %),0,0,0,0,12.8,12.8,12.8
27/01/2022,12.8,12.8,0(0.00 %),0,0,0,0,12.8,12.8,12.8
28/01/2022,12.8,12.8,0(0.00 %),0,0,0,0,12.8,12.8,12.8
07/02/2022,10.9,10.9,-1.9(-14.84 %),6900,75320000,0,0,11.2,11.2,10.9
08/02/2022,9.4,9.4,-1.5(-13.76 %),11900,112100000,0,0,10.9,10.9,9.3
09/02/2022,9.0,9.0,-0.4(-4.26 %),300,2740000,0,0,9.4,9.4,9.0
10/02/2022,8.1,8.1,-1(-10.99 %),3400,30250000,0,0,8.9,9.0,8.1
11/02/2022,8.6,8.6,-0.3(-3.37 %),400,3400000,0,0,8.4,8.6,8.4
14/02/2022,8.9,8.9,0.4(4.71 %),200,1740000,0,0,8.5,8.9,8.5
15/02/2022,8.9,8.9,0.2(2.30 %),800,6920000,0,0,8.5,8.9,8.5
16/02/2022,9.4,9.4,0.7(8.05 %),800,7650000,0,0,9.9,9.9,9.4
17/02/2022,8.8,8.8,-0.8(-8.33 %),1100,9770000,0,0,9.6,9.6,8.7
18/02/2022,8.9,8.9,0(0.00 %),0,0,0,0,8.9,8.9,8.9
21/02/2022,9.0,9.0,0.1(1.12 %),1100,9780000,0,0,8.9,9.0,8.8
22/02/2022,8.9,8.9,0(0.00 %),1100,9840000,0,0,8.9,9.0,8.9
23/02/2022,9.0,9.0,0.1(1.12 %),1700,14670000,0,0,8.6,9.0,8.6
24/02/2022,8.6,8.6,0(0.00 %),1000,8600000,0,0,8.6,8.6,8.6
25/02/2022,8.5,8.5,-0.1(-1.16 %),200,1700000,0,0,8.5,8.5,8.5
28/02/2022,9.3,9.3,0.8(9.41 %),200,1870000,0,0,9.4,9.4,9.3
01/03/2022,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
02/03/2022,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
03/03/2022,8.5,8.5,-0.9(-9.57 %),3900,33100000,0,0,8.3,8.6,8.3
04/03/2022,9.2,9.2,0.7(8.24 %),6400,56280000,0,0,8.5,9.5,8.5
07/03/2022,9.5,9.5,0.7(7.95 %),3500,32580000,0,0,9.2,10.0,9.2
08/03/2022,9.3,9.3,0(0.00 %),900,8390000,0,0,9.5,9.5,9.3
09/03/2022,9.2,9.2,-0.1(-1.08 %),4200,37930000,0,0,9.3,9.3,9.0
10/03/2022,9.4,9.4,0.4(4.44 %),6019,56091600,0,0,9.3,9.4,9.1
11/03/2022,9.9,9.9,0.6(6.45 %),7000,68330000,0,0,9.4,10.0,9.4
14/03/2022,10.0,10.0,0.2(2.04 %),9581,93264700,0,0,9.7,10.0,9.7
15/03/2022,9.9,9.9,0.2(2.06 %),3400,33280000,0,0,9.5,9.9,9.5
16/03/2022,11.2,11.2,1.4(14.29 %),6100,66620000,0,0,10.0,11.2,10.0
17/03/2022,12.5,12.5,1.6(14.68 %),6381,79702500,0,0,12.5,12.5,11.9
18/03/2022,14.3,14.3,1.8(14.40 %),5100,72900000,0,0,14.0,14.3,14.0
21/03/2022,15.0,15.0,0.7(4.90 %),21700,346030000,0,0,16.4,16.4,14.9
22/03/2022,13.6,13.6,-2.3(-14.47 %),5470,74392000,0,0,13.6,13.6,13.6
23/03/2022,11.7,11.7,-1.9(-13.97 %),3700,44670000,0,0,11.6,13.0,11.6
24/03/2022,12.9,12.9,0.8(6.61 %),14300,163830000,0,0,11.7,13.8,10.7
25/03/2022,11.8,11.8,0.3(2.61 %),6400,75160000,0,0,11.5,12.8,11.0
28/03/2022,11.5,11.5,-0.2(-1.71 %),5600,66320000,0,0,11.8,12.3,11.0
29/03/2022,11.7,11.7,-0.1(-0.85 %),11700,137540000,0,0,11.0,12.7,11.0
30/03/2022,11.4,11.4,-0.4(-3.39 %),2900,33700000,0,0,11.6,12.2,11.4
31/03/2022,12.1,12.1,0.5(4.31 %),13000,155610000,0,0,12.0,12.1,11.5
01/04/2022,12.5,12.5,0.5(4.17 %),4711,56476500,0,0,11.5,13.5,11.5
04/04/2022,11.5,11.5,-0.5(-4.17 %),6800,76950000,0,0,11.3,11.9,11.3
05/04/2022,11.3,11.3,0(0.00 %),3600,40680000,0,0,11.3,11.3,11.3
06/04/2022,11.3,11.3,0(0.00 %),1000,11000000,0,0,11.0,11.3,11.3
07/04/2022,11.1,11.1,0.1(0.91 %),3400,37810000,0,0,11.0,11.2,11.0
08/04/2022,10.4,10.4,-0.7(-6.31 %),400,4220000,0,0,11.0,11.0,10.4
12/04/2022,11.0,11.0,0.4(3.77 %),1700,18700000,0,0,11.0,11.0,11.0
13/04/2022,11.5,11.5,0.5(4.55 %),1800,20670000,0,0,11.4,11.5,11.4
14/04/2022,11.4,11.4,-0.1(-0.87 %),600,6840000,0,0,11.4,11.4,11.4
18/04/2022,11.2,11.2,-0.2(-1.75 %),2400,25650000,0,0,9.8,11.2,9.7
19/04/2022,10.7,10.7,0(0.00 %),6000,64200000,0,0,10.7,10.7,10.7
20/04/2022,10.7,10.7,0(0.00 %),300,3200000,0,0,10.6,10.7,10.6
21/04/2022,10.0,10.0,-0.7(-6.54 %),800,8000000,0,0,10.0,10.0,10.0
22/04/2022,11.0,11.0,1(10.00 %),1100,11600000,0,0,10.5,11.0,10.5
25/04/2022,11.0,11.0,0.5(4.76 %),100,1100000,0,0,11.0,11.0,11.0
