Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
13/06/2018,0,0,17(14.86 %),0,0,0,0,10279710,0.0
14/06/2018,0,0,19.5(14.71 %),0,0,0,0,10279710,0.0
15/06/2018,0,0,21(7.69 %),0,0,0,0,10279710,0.0
18/06/2018,0,0,22(-1.79 %),0,0,0,0,10279710,0.0
19/06/2018,0,0,18.7(-15.00 %),0,0,0,0,10279710,0.0
20/06/2018,0,0,16(-14.44 %),0,0,0,0,10279710,0.0
21/06/2018,0,0,16(0.00 %),0,0,0,0,10279710,0.0
22/06/2018,0,0,16(0.00 %),0,0,0,0,10279710,0.0
25/06/2018,0,0,14.1(-11.88 %),0,0,0,0,10279710,0.0
26/06/2018,0,0,14.1(0.00 %),0,0,0,0,10279710,0.0
27/06/2018,0,0,14.1(0.00 %),0,0,0,0,10279710,0.0
28/06/2018,0,0,14.1(0.00 %),0,0,0,0,10279710,0.0
29/06/2018,0,0,14.1(0.00 %),0,0,0,0,10279710,0.0
02/07/2018,0,0,12(-14.89 %),0,0,0,0,10279710,0.0
03/07/2018,0,0,12(-0.83 %),0,0,0,0,10279710,0.0
04/07/2018,0,0,10.6(-11.67 %),0,0,0,0,10279710,0.0
05/07/2018,0,0,11.5(8.49 %),0,0,0,0,10279710,0.0
06/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
09/07/2018,0,0,12(4.35 %),0,0,0,0,10279710,0.0
10/07/2018,0,0,13(4.84 %),0,0,0,0,10279710,0.0
11/07/2018,0,0,12(-5.51 %),0,0,0,0,10279710,0.0
12/07/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
13/07/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
16/07/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
17/07/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
18/07/2018,0,0,11(-8.33 %),0,0,0,0,10279710,0.0
19/07/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
20/07/2018,0,0,11.6(-3.33 %),0,0,0,0,10279710,0.0
23/07/2018,0,0,11.5(-4.17 %),0,0,0,0,10279710,0.0
24/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
25/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
26/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
27/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
30/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
31/07/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
01/08/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
02/08/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
03/08/2018,0,0,12(4.35 %),0,0,0,0,10279710,0.0
06/08/2018,0,0,12.3(14.95 %),0,0,0,0,10279710,0.0
07/08/2018,0,0,13(7.44 %),0,0,0,0,10279710,0.0
08/08/2018,0,0,13(0.00 %),0,0,0,0,10279710,0.0
09/08/2018,0,0,13.2(1.54 %),0,0,0,0,10279710,0.0
10/08/2018,0,0,13.5(2.27 %),0,0,0,0,10279710,0.0
13/08/2018,0,0,13.5(0.00 %),0,0,0,0,10279710,0.0
14/08/2018,0,0,12.6(-6.67 %),0,0,0,0,10279710,0.0
15/08/2018,0,0,11.5(-8.73 %),0,0,0,0,10279710,0.0
16/08/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
17/08/2018,0,0,11.5(0.00 %),0,0,0,0,10279710,0.0
20/08/2018,0,0,12.8(11.30 %),0,0,0,0,10279710,0.0
21/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
22/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
23/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
24/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
27/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
28/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
30/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
31/08/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
04/09/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
05/09/2018,0,0,12.6(0.00 %),0,0,0,0,10279710,0.0
07/09/2018,0,0,14(11.11 %),0,0,0,0,10279710,0.0
12/09/2018,0,0,13(0.00 %),0,0,0,0,10279710,0.0
13/09/2018,0,0,13(0.00 %),0,0,0,0,0,0.0
14/09/2018,0,0,13(0.00 %),0,0,0,0,0,0.0
17/09/2018,0,0,13(0.00 %),0,0,0,0,0,0.0
18/09/2018,0,0,13(0.00 %),0,0,0,0,10279710,0.0
19/09/2018,0,0,13(0.00 %),0,0,0,0,10279710,0.0
20/09/2018,0,0,11.1(-14.62 %),0,0,0,0,10279710,0.0
21/09/2018,0,0,12.7(14.41 %),0,0,0,0,10279710,0.0
24/09/2018,0,0,12.7(0.00 %),0,0,0,0,10279710,0.0
25/09/2018,0,0,12.7(0.00 %),0,0,0,0,10279710,0.0
26/09/2018,0,0,10.9(-14.17 %),0,0,0,0,10279710,0.0
27/09/2018,0,0,10.9(0.00 %),0,0,0,0,10279710,0.0
28/09/2018,0,0,10.9(0.00 %),0,0,0,0,10279710,0.0
01/10/2018,0,0,10.9(0.00 %),0,0,0,0,10279710,0.0
02/10/2018,0,0,11.5(5.50 %),0,0,0,0,10279710,0.0
03/10/2018,0,0,12(4.35 %),0,0,0,0,10279710,0.0
04/10/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
05/10/2018,0,0,12(0.00 %),0,0,0,0,10279710,0.0
08/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
09/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
10/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
11/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
12/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
15/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
16/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
17/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
18/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
19/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
22/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
23/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
24/10/2018,0,0,11.8(0.00 %),0,0,0,0,10279710,0.0
25/10/2018,100,1300000,13(10.17 %),100,1300000,0,0,10279610,0.0
26/10/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
29/10/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
30/10/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
31/10/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
01/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
02/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
05/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
06/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
07/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
08/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
09/11/2018,0,0,13(0.00 %),0,0,0,0,10279610,0.0
