Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/05/2017,14.2,14.2,4(39.22 %),100,1420000,0,0,14.2,14.2,14.2
22/05/2017,14.2,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
23/05/2017,14.2,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
24/05/2017,16.3,16.3,2.1(14.79 %),100,1630000,0,0,16.3,16.3,16.3
25/05/2017,18.7,18.7,2.4(14.72 %),100,1870000,0,0,18.7,18.7,18.7
26/05/2017,21.5,21.5,2.8(14.97 %),100,2150000,0,0,21.5,21.5,21.5
29/05/2017,24.7,24.7,3.2(14.88 %),100,2470000,1540,38038000,24.7,24.7,24.7
30/05/2017,28.4,28.4,3.7(14.98 %),5120,145408000,0,0,28.4,28.4,28.4
31/05/2017,32.6,32.6,4.2(14.79 %),1510,49184000,0,0,32.6,32.6,32.6
01/06/2017,37.4,37.4,4.8(14.72 %),3230,116012000,0,0,37.4,37.4,34.7
02/06/2017,35.0,35.0,-0.9(-2.51 %),220,7236000,0,0,30.7,35.0,30.7
05/06/2017,28.6,28.6,-4.3(-13.07 %),510,14552000,0,0,28.6,28.6,28.5
06/06/2017,28.5,28.5,0(0.00 %),12220,304162000,0,0,25.0,28.5,24.4
07/06/2017,22.0,22.0,-2.9(-11.65 %),3950,91030000,0,0,24.0,24.0,22.0
08/06/2017,26.0,26.0,2.9(12.55 %),1400,34600000,0,0,20.0,26.0,20.0
09/06/2017,25.0,25.0,0.3(1.21 %),9410,233529000,50,1050000,24.7,25.0,24.7
12/06/2017,24.8,24.8,0(0.00 %),4105,101846500,0,0,25.0,25.0,24.8
13/06/2017,24.8,24.8,0(0.00 %),0,0,0,0,24.8,24.8,24.8
14/06/2017,24.7,24.7,-0.1(-0.40 %),2400,59470000,0,0,24.8,24.8,24.7
16/06/2017,24.0,24.0,-0.6(-2.44 %),10775,259930000,0,0,24.0,25.5,24.0
19/06/2017,24.0,24.0,-0.1(-0.41 %),5955,142854000,0,0,24.0,24.0,24.0
20/06/2017,24.0,24.0,0(0.00 %),6850,164335000,0,0,24.0,24.0,24.0
21/06/2017,23.0,23.0,-1(-4.17 %),1300,30150000,0,0,23.5,23.5,23.0
22/06/2017,23.7,23.7,0.5(2.16 %),300,7120000,0,0,23.7,23.8,23.7
23/06/2017,23.0,23.0,-0.7(-2.95 %),4100,94300000,0,0,23.0,23.0,23.0
26/06/2017,22.5,22.5,-0.5(-2.17 %),2810,63196000,0,0,22.5,22.5,22.5
27/06/2017,21.5,21.5,-1(-4.44 %),4100,90150000,0,0,22.5,22.5,21.5
28/06/2017,21.1,21.1,-0.9(-4.09 %),9600,203590000,0,0,21.1,21.5,21.0
29/06/2017,20.5,20.5,-0.7(-3.30 %),2200,45440000,0,0,20.7,20.7,20.5
30/06/2017,18.5,18.5,-2.2(-10.63 %),2995,56064000,0,0,19.1,19.1,18.5
03/07/2017,18.5,18.5,-0.2(-1.07 %),12905,239897300,0,0,18.7,18.7,18.5
04/07/2017,18.6,18.6,0(0.00 %),300,5580000,0,0,18.6,18.6,18.6
05/07/2017,17.2,17.2,-1.4(-7.53 %),13510,234721000,0,0,17.1,18.2,17.1
06/07/2017,15.6,15.6,-1.8(-10.34 %),5860,95536000,0,0,16.6,16.6,15.6
07/07/2017,16.3,16.3,0(0.00 %),625,10167500,0,0,16.3,16.3,16.3
10/07/2017,16.0,16.0,-0.3(-1.84 %),400,6420000,0,0,16.2,16.2,16.0
11/07/2017,15.7,15.7,-0.4(-2.48 %),400,6330000,0,0,15.9,15.9,15.7
12/07/2017,15.0,15.0,-0.8(-5.06 %),150,2290000,0,0,15.0,15.0,15.0
13/07/2017,15.0,15.0,0(0.00 %),100,1500000,0,0,15.0,15.0,15.0
14/07/2017,17.2,17.2,2.2(14.67 %),600,10010000,0,0,15.6,17.2,15.6
17/07/2017,18.2,18.2,1.5(8.98 %),260,4564000,0,0,18.2,18.2,18.2
18/07/2017,18.2,18.2,0(0.00 %),0,0,0,0,18.2,18.2,18.2
19/07/2017,18.2,18.2,0(0.00 %),0,0,0,0,18.2,18.2,18.2
20/07/2017,18.2,18.2,0(0.00 %),0,0,0,0,18.2,18.2,18.2
21/07/2017,18.0,18.0,-0.2(-1.10 %),200,3600000,0,0,18.0,18.0,18.0
24/07/2017,18.0,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/07/2017,20.3,20.3,2.3(12.78 %),1600,29600000,0,0,15.5,20.3,15.5
26/07/2017,18.5,18.5,0(0.00 %),1000,18500000,0,0,18.5,18.5,18.5
27/07/2017,17.5,17.5,-1(-5.41 %),1000,17500000,0,0,17.5,17.5,17.5
28/07/2017,17.5,17.5,0(0.00 %),0,0,0,0,17.5,17.5,17.5
31/07/2017,16.0,16.0,-1.5(-8.57 %),523,8366300,0,0,16.0,16.0,16.0
01/08/2017,17.5,17.5,1.5(9.38 %),100,1750000,0,0,17.5,17.5,17.5
02/08/2017,17.5,17.5,0(0.00 %),100,1750000,0,0,17.5,17.5,17.5
03/08/2017,17.5,17.5,0(0.00 %),10,162000,0,0,17.5,17.5,17.5
04/08/2017,17.5,17.5,0(0.00 %),0,0,0,0,17.5,17.5,17.5
07/08/2017,17.5,17.5,0(0.00 %),0,0,0,0,17.5,17.5,17.5
08/08/2017,16.0,16.0,-1.5(-8.57 %),1100,17600000,0,0,16.0,16.0,16.0
09/08/2017,16.0,16.0,0(0.00 %),1860,28370000,0,0,15.0,16.0,15.0
10/08/2017,15.3,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
11/08/2017,15.3,15.3,0(0.00 %),0,0,0,0,15.3,15.3,15.3
14/08/2017,16.0,16.0,0.7(4.58 %),500,8000000,0,0,16.0,16.0,16.0
15/08/2017,16.0,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
16/08/2017,15.0,15.0,-1(-6.25 %),2200,32500000,0,0,15.0,15.0,14.5
17/08/2017,14.8,14.8,0(0.00 %),20,320000,0,0,14.8,14.8,14.8
18/08/2017,14.8,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
21/08/2017,14.8,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
22/08/2017,16.5,16.5,1.7(11.49 %),500,8250000,0,0,16.5,16.5,16.5
23/08/2017,16.5,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
24/08/2017,16.5,16.5,0(0.00 %),60,870000,0,0,16.5,16.5,16.5
25/08/2017,16.5,16.5,0(0.00 %),1000,16500000,0,0,16.5,16.5,16.5
28/08/2017,16.5,16.5,0(0.00 %),200,3300000,0,0,16.5,16.5,16.5
29/08/2017,16.5,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
30/08/2017,16.5,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
31/08/2017,14.5,14.5,-2(-12.12 %),1000,14500000,0,0,14.5,14.5,14.5
01/09/2017,14.5,14.5,0(0.00 %),0,0,0,0,14.5,14.5,14.5
05/09/2017,14.0,14.0,-0.5(-3.45 %),1100,15400000,0,0,14.0,14.0,14.0
06/09/2017,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
07/09/2017,12.5,12.5,-1.5(-10.71 %),1000,12500000,0,0,12.5,12.5,12.5
08/09/2017,12.5,12.5,0(0.00 %),0,0,0,0,12.5,12.5,12.5
