Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
08/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
09/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
10/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
11/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
12/01/2018,0,0,0(0.00 %),0,0,0,0,6000000,-51.0
15/01/2018,0,0,20.5(0.00 %),0,0,0,0,6000000,-51.0
16/01/2018,0,0,23.5(14.63 %),0,0,0,0,6000000,-51.0
17/01/2018,0,0,25.9(10.21 %),0,0,0,0,6000000,-51.0
18/01/2018,0,0,26.3(-0.38 %),0,0,0,0,6000000,-51.0
19/01/2018,0,0,25(-0.79 %),0,0,0,0,6000000,-51.0
22/01/2018,0,0,26(0.00 %),0,0,0,0,6000000,-51.0
23/01/2018,0,0,27(7.57 %),0,0,0,0,6000000,-51.0
24/01/2018,0,0,27(7.57 %),0,0,0,0,6000000,-51.0
25/01/2018,0,0,27.4(6.61 %),0,0,0,0,6000000,-51.0
26/01/2018,0,0,27(-1.82 %),0,0,0,0,6000000,-51.0
29/01/2018,0,0,26.5(-3.28 %),0,0,0,0,6000000,-51.0
30/01/2018,0,0,27.5(3.38 %),0,0,0,0,6000000,-51.0
31/01/2018,0,0,27.5(-0.72 %),0,0,0,0,6000000,-51.0
01/02/2018,0,0,26.9(-1.82 %),0,0,0,0,6000000,-51.0
02/02/2018,0,0,27(-0.37 %),0,0,0,0,6000000,-51.0
05/02/2018,0,0,27(-0.37 %),0,0,0,0,6000000,-51.0
06/02/2018,0,0,27(0.00 %),0,0,0,0,6000000,-51.0
07/02/2018,0,0,27(2.66 %),0,0,0,0,6000000,-51.0
08/02/2018,0,0,26(-4.76 %),0,0,0,0,6000000,-51.0
09/02/2018,0,0,26.5(0.38 %),0,0,0,0,6000000,-51.0
12/02/2018,0,0,27.1(3.44 %),0,0,0,0,6000000,-51.0
13/02/2018,0,0,27.1(-0.73 %),0,0,0,0,6000000,-51.0
21/02/2018,0,0,28(2.94 %),0,0,0,0,6000000,-51.0
22/02/2018,0,0,27.2(-3.55 %),0,0,0,0,6000000,-51.0
