Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
16/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
19/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
20/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
21/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
22/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
23/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
26/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
27/07/2010,0,0,0(0.00 %),0,0,0,0,4900000,0.0
28/07/2010,0,0,27.3(-4.88 %),0,0,0,0,4900000,0.0
29/07/2010,0,0,28(2.56 %),0,0,0,0,4900000,0.0
30/07/2010,0,0,28.5(1.79 %),0,0,0,0,4900000,0.0
02/08/2010,0,0,28.5(0.00 %),0,0,0,0,4900000,0.0
03/08/2010,0,0,27.5(-3.51 %),0,0,0,0,4900000,0.0
04/08/2010,0,0,27(-1.82 %),0,0,0,0,4900000,0.0
05/08/2010,0,0,26.3(-2.59 %),0,0,0,0,4900000,0.0
06/08/2010,0,0,25.3(-3.80 %),0,0,0,0,4900000,0.0
09/08/2010,0,0,25.6(1.19 %),0,0,0,0,4900000,0.0
10/08/2010,0,0,25(-2.34 %),0,0,0,0,4900000,0.0
11/08/2010,0,0,25(0.00 %),0,0,0,0,4900000,0.0
12/08/2010,0,0,24(-4.00 %),0,0,0,0,4900000,0.0
13/08/2010,0,0,22.8(-5.00 %),0,0,0,0,4900000,0.0
16/08/2010,0,0,23.9(4.82 %),0,0,0,0,4900000,0.0
17/08/2010,0,0,25(4.60 %),0,0,0,0,4900000,0.0
18/08/2010,0,0,26.2(4.80 %),0,0,0,0,4900000,0.0
19/08/2010,0,0,26(-0.76 %),0,0,0,0,4900000,0.0
20/08/2010,0,0,25.7(-1.15 %),0,0,0,0,4900000,0.0
23/08/2010,0,0,25(-2.72 %),0,0,0,0,4900000,0.0
24/08/2010,0,0,23.8(-4.80 %),0,0,0,0,4900000,0.0
25/08/2010,0,0,22.7(-4.62 %),0,0,0,0,4900000,0.0
26/08/2010,0,0,21.6(-4.85 %),0,0,0,0,4900000,0.0
27/08/2010,0,0,21.6(0.00 %),0,0,0,0,4900000,0.0
30/08/2010,0,0,22.3(3.24 %),0,0,0,0,4900000,0.0
31/08/2010,0,0,23.3(4.48 %),0,0,0,0,4900000,0.0
01/09/2010,0,0,22.5(-3.43 %),0,0,0,0,4900000,0.0
06/09/2010,3000,69900000,23.6(4.89 %),3000,69900000,0,0,4897000,0.03
07/09/2010,0,0,22.5(-4.66 %),0,0,0,0,4897000,0.03
08/09/2010,0,0,22.5(0.00 %),0,0,0,0,4897000,0.03
09/09/2010,0,0,22.5(0.00 %),0,0,0,0,4897000,0.03
10/09/2010,0,0,21.9(-2.67 %),0,0,0,0,4897000,0.03
13/09/2010,100,2090000,21.9(0.00 %),100,2090000,0,0,4896900,0.03
14/09/2010,0,0,21.5(-1.83 %),0,0,0,0,4896900,0.03
15/09/2010,0,0,20.5(-4.65 %),0,0,0,0,4896900,0.0
16/09/2010,0,0,19.5(-4.88 %),0,0,0,0,4896900,0.03
17/09/2010,0,0,20.2(3.59 %),0,0,0,0,4896900,0.03
20/09/2010,0,0,20.6(1.98 %),0,0,0,0,4896900,0.03
21/09/2010,0,0,20.6(0.00 %),0,0,0,0,4896900,0.03
22/09/2010,0,0,21.6(4.85 %),0,0,0,0,4896900,0.03
23/09/2010,0,0,22.2(2.78 %),0,0,0,0,4896900,0.03
24/09/2010,0,0,21.1(-4.95 %),0,0,0,0,4896900,0.03
27/09/2010,0,0,20.3(-3.79 %),0,0,0,0,4896900,0.03
28/09/2010,0,0,20.5(0.99 %),0,0,0,0,4896900,0.03
29/09/2010,0,0,20(-2.44 %),0,0,0,0,4896900,0.03
30/09/2010,0,0,19(-5.00 %),0,0,0,0,4896900,0.03
01/10/2010,0,0,18.2(-4.21 %),0,0,0,0,4896900,0.03
04/10/2010,0,0,17.3(-4.95 %),0,0,0,0,4896900,0.03
05/10/2010,0,0,17(-1.73 %),0,0,0,0,4896900,0.03
06/10/2010,0,0,17.5(2.94 %),0,0,0,0,4896900,0.03
07/10/2010,0,0,16.8(-4.00 %),0,0,0,0,4896900,0.03
08/10/2010,0,0,16.1(-4.17 %),0,0,0,0,4896900,0.03
11/10/2010,0,0,15.9(-1.24 %),0,0,0,0,4896900,0.03
12/10/2010,0,0,16.4(3.14 %),0,0,0,0,4896900,0.03
13/10/2010,0,0,16.3(-0.61 %),0,0,0,0,4896900,0.03
14/10/2010,0,0,16.2(-0.61 %),0,0,0,0,4896900,0.03
15/10/2010,3000,48600000,16(-1.23 %),3000,48600000,0,0,4893900,0.06
18/10/2010,0,0,16.1(0.62 %),0,0,0,0,4893900,0.06
19/10/2010,0,0,16.3(1.24 %),0,0,0,0,4893900,0.06
20/10/2010,0,0,15.5(-4.91 %),0,0,0,0,4893900,0.06
21/10/2010,0,0,14.9(-3.87 %),0,0,0,0,4893900,0.06
22/10/2010,0,0,14.2(-4.70 %),0,0,0,0,4893900,0.06
25/10/2010,0,0,13.6(-4.23 %),0,0,0,0,4893900,0.06
26/10/2010,0,0,14.2(4.41 %),0,0,0,0,4893900,0.06
27/10/2010,0,0,13.6(-4.23 %),0,0,0,0,4893900,0.06
28/10/2010,0,0,13.7(0.74 %),0,0,0,0,4893900,0.06
29/10/2010,0,0,13.7(0.00 %),0,0,0,0,4893900,0.06
01/11/2010,0,0,13.7(0.00 %),0,0,0,0,4893900,0.06
02/11/2010,0,0,13.3(-2.92 %),0,0,0,0,4893900,0.06
03/11/2010,0,0,13(-2.26 %),0,0,0,0,4893900,0.06
04/11/2010,0,0,13.5(3.85 %),0,0,0,0,4893900,0.06
05/11/2010,0,0,13.7(1.48 %),0,0,0,0,4893900,0.06
08/11/2010,0,0,13.6(-0.73 %),0,0,0,0,4893900,0.06
09/11/2010,0,0,13.1(-3.68 %),0,0,0,0,4893900,0.06
10/11/2010,0,0,13.4(2.29 %),0,0,0,0,4893900,0.06
11/11/2010,0,0,13.2(-1.49 %),0,0,0,0,4893900,0.06
12/11/2010,0,0,13(-1.52 %),0,0,0,0,4893900,0.06
15/11/2010,0,0,12.8(-1.54 %),0,0,0,0,4893900,0.06
16/11/2010,0,0,12.2(-4.69 %),0,0,0,0,4893900,0.06
17/11/2010,0,0,12.2(0.00 %),0,0,0,0,4893900,0.06
18/11/2010,0,0,12.7(4.10 %),0,0,0,0,4893900,0.06
19/11/2010,0,0,12.6(-0.79 %),0,0,0,0,4893900,0.06
22/11/2010,0,0,12(-4.76 %),0,0,0,0,4893900,0.06
23/11/2010,0,0,12.3(2.50 %),0,0,0,0,4893900,0.06
24/11/2010,0,0,12.3(0.00 %),0,0,0,0,4893900,0.06
25/11/2010,0,0,12.6(2.44 %),0,0,0,0,4893900,0.06
26/11/2010,0,0,12.6(0.00 %),0,0,0,0,4893900,0.06
29/11/2010,0,0,12.3(-2.38 %),0,0,0,0,4893900,0.06
30/11/2010,0,0,12.9(4.88 %),0,0,0,0,4893900,0.06
01/12/2010,0,0,13.5(4.65 %),0,0,0,0,4893900,0.06
02/12/2010,0,0,14.1(4.44 %),0,0,0,0,4893900,0.06
03/12/2010,0,0,14.8(4.96 %),0,0,0,0,4893900,0.06
06/12/2010,0,0,15.5(4.73 %),0,0,0,0,4893900,0.06
07/12/2010,0,0,16.2(4.52 %),0,0,0,0,4893900,0.06
08/12/2010,0,0,15.4(-4.94 %),0,0,0,0,4893900,0.06
09/12/2010,0,0,16(3.90 %),0,0,0,0,4893900,0.06
10/12/2010,0,0,16(0.00 %),0,0,0,0,4893900,0.06
13/12/2010,0,0,16(0.00 %),0,0,0,0,4893900,0.06
14/12/2010,0,0,15.3(-4.38 %),0,0,0,0,4893900,0.06
15/12/2010,0,0,15.3(3.38 %),0,0,0,0,4893900,0.06
16/12/2010,0,0,14.6(-4.58 %),0,0,0,0,4893900,0.06
17/12/2010,0,0,14.5(-0.68 %),0,0,0,0,4893900,0.06
20/12/2010,0,0,13.8(-4.83 %),0,0,0,0,4893900,0.06
21/12/2010,5000,66500000,13.2(-4.35 %),5000,66500000,0,0,4888900,0.11
22/12/2010,3000,41400000,13.8(4.55 %),3000,41400000,0,0,4885900,0.14
23/12/2010,0,0,13.3(-3.62 %),0,0,0,0,4885900,0.14
24/12/2010,0,0,13.3(0.00 %),0,0,0,0,4885900,0.14
27/12/2010,0,0,13(-2.26 %),0,0,0,0,4885900,0.14
28/12/2010,0,0,13.6(4.62 %),0,0,0,0,4885900,0.14
29/12/2010,0,0,13.7(0.74 %),0,0,0,0,4885900,0.14
30/12/2010,0,0,13.3(-2.92 %),0,0,0,0,4885900,0.14
31/12/2010,0,0,13.4(0.75 %),0,0,0,0,4885900,0.14
04/01/2011,0,0,13.4(0.00 %),0,0,0,0,4885900,0.14
05/01/2011,0,0,13(-2.99 %),0,0,0,0,4885900,0.14
06/01/2011,0,0,13(0.00 %),0,0,0,0,4885900,0.14
07/01/2011,0,0,13.1(0.77 %),0,0,0,0,4885900,0.14
10/01/2011,0,0,12.7(-3.05 %),0,0,0,0,4885900,0.14
11/01/2011,0,0,12.3(-3.15 %),0,0,0,0,4885900,0.14
12/01/2011,0,0,12.9(4.88 %),0,0,0,0,4885900,0.14
13/01/2011,0,0,13.1(1.55 %),0,0,0,0,4885900,0.14
14/01/2011,0,0,13.4(2.29 %),0,0,0,0,4885900,0.14
17/01/2011,0,0,13.7(2.24 %),0,0,0,0,4885900,0.14
18/01/2011,0,0,13.4(-2.19 %),0,0,0,0,4885900,0.14
19/01/2011,0,0,13.9(3.73 %),0,0,0,0,4885900,0.14
20/01/2011,0,0,13.5(-2.88 %),0,0,0,0,4885900,0.14
21/01/2011,0,0,13.5(0.00 %),0,0,0,0,4885900,0.14
24/01/2011,0,0,13(-3.70 %),0,0,0,0,4885900,0.14
25/01/2011,0,0,13.2(1.54 %),0,0,0,0,4885900,0.14
26/01/2011,0,0,13.5(2.27 %),0,0,0,0,4885900,0.14
27/01/2011,0,0,13.4(-0.74 %),0,0,0,0,4885900,0.14
28/01/2011,0,0,13.7(2.24 %),0,0,0,0,4885900,0.14
08/02/2011,0,0,13.7(0.00 %),0,0,0,0,4885900,0.14
09/02/2011,0,0,13.4(-2.19 %),0,0,0,0,4885900,0.14
10/02/2011,0,0,13.3(-0.75 %),0,0,0,0,4885900,0.14
11/02/2011,0,0,13.3(0.00 %),0,0,0,0,4885900,0.14
14/02/2011,0,0,13.1(-1.50 %),0,0,0,0,4885900,0.14
15/02/2011,0,0,13(-0.76 %),0,0,0,0,4885900,0.14
16/02/2011,0,0,12.9(-0.77 %),0,0,0,0,4885900,0.14
17/02/2011,0,0,12.5(-3.10 %),0,0,0,0,4885900,0.14
18/02/2011,0,0,12.1(-3.20 %),0,0,0,0,4885900,0.14
21/02/2011,0,0,11.5(-4.96 %),0,0,0,0,4885900,0.14
22/02/2011,0,0,11(-4.35 %),0,0,0,0,4885900,0.14
23/02/2011,0,0,11.2(1.82 %),0,0,0,0,4885900,0.14
24/02/2011,0,0,11.2(0.00 %),0,0,0,0,4885900,0.14
25/02/2011,0,0,11.3(0.89 %),0,0,0,0,4885900,0.14
28/02/2011,0,0,10.9(-3.54 %),0,0,0,0,4885900,0.14
01/03/2011,0,0,10.5(-3.67 %),0,0,0,0,4885900,0.14
02/03/2011,0,0,10(-4.76 %),0,0,0,0,4885900,0.14
03/03/2011,0,0,9.5(-5.00 %),0,0,0,0,0,0.0
04/03/2011,0,0,9.9(4.21 %),0,0,0,0,0,0.0
07/03/2011,0,0,9.9(0.00 %),0,0,0,0,0,0.0
08/03/2011,0,0,10.2(3.03 %),0,0,0,0,0,0.0
09/03/2011,0,0,9.8(-3.92 %),0,0,0,0,0,0.0
10/03/2011,0,0,10.2(4.08 %),0,0,0,0,0,0.0
11/03/2011,0,0,10.7(4.90 %),0,0,0,0,0,0.0
14/03/2011,0,0,10.5(-1.87 %),0,0,0,0,0,0.0
15/03/2011,0,0,10.7(1.90 %),0,0,0,0,0,0.0
16/03/2011,0,0,10.4(-2.80 %),0,0,0,0,4885900,0.14
17/03/2011,0,0,10.4(0.00 %),0,0,0,0,4885900,0.14
18/03/2011,0,0,10.5(0.96 %),0,0,0,0,4885900,0.14
21/03/2011,0,0,11(4.76 %),0,0,0,0,4885900,0.14
22/03/2011,-3000,-33000000,11.1(0.91 %),0,0,3000,33000000,4888900,0.11
23/03/2011,0,0,10.1(1.00 %),0,0,0,0,4888900,0.11
24/03/2011,0,0,10.1(0.00 %),0,0,0,0,4888900,0.11
25/03/2011,0,0,9.9(-1.98 %),0,0,0,0,4888900,0.11
28/03/2011,0,0,10(1.01 %),0,0,0,0,4888900,0.11
29/03/2011,0,0,9.7(-3.00 %),0,0,0,0,4888900,0.11
30/03/2011,0,0,9.4(-3.09 %),0,0,0,0,4888900,0.11
31/03/2011,0,0,9.4(0.00 %),0,0,0,0,4888900,0.11
01/04/2011,0,0,9.4(0.00 %),0,0,0,0,4888900,0.11
04/04/2011,0,0,9.4(0.00 %),0,0,0,0,4888900,0.11
05/04/2011,0,0,9(-4.26 %),0,0,0,0,4888900,0.11
06/04/2011,0,0,9(0.00 %),0,0,0,0,4888900,0.11
07/04/2011,0,0,8.9(-1.11 %),0,0,0,0,4888900,0.11
08/04/2011,0,0,8.7(-2.25 %),0,0,0,0,4888900,0.11
13/04/2011,0,0,8.7(0.00 %),0,0,0,0,4888900,0.11
14/04/2011,0,0,8.3(-4.60 %),0,0,0,0,4888900,0.11
15/04/2011,0,0,8(-3.61 %),0,0,0,0,4888900,0.11
18/04/2011,0,0,8(0.00 %),0,0,0,0,4888900,0.11
19/04/2011,0,0,8.1(1.25 %),0,0,0,0,4888900,0.11
20/04/2011,0,0,7.9(-2.47 %),0,0,0,0,4888900,0.11
21/04/2011,0,0,7.7(-2.53 %),0,0,0,0,4888900,0.11
22/04/2011,0,0,7.4(-3.90 %),0,0,0,0,4888900,0.11
25/04/2011,0,0,7.7(4.05 %),0,0,0,0,4888900,0.11
26/04/2011,0,0,7.8(1.30 %),0,0,0,0,4888900,0.11
27/04/2011,0,0,8(2.56 %),0,0,0,0,4888900,0.11
28/04/2011,0,0,7.7(-3.75 %),0,0,0,0,4888900,0.11
29/04/2011,0,0,7.7(0.00 %),0,0,0,0,4888900,0.11
04/05/2011,0,0,7.9(2.60 %),0,0,0,0,4888900,0.11
05/05/2011,0,0,7.8(-1.27 %),0,0,0,0,4888900,0.11
06/05/2011,0,0,7.6(-2.56 %),0,0,0,0,4888900,0.11
09/05/2011,0,0,7.8(2.63 %),0,0,0,0,4888900,0.11
10/05/2011,0,0,7.9(1.28 %),0,0,0,0,4888900,0.11
11/05/2011,0,0,7.8(-1.27 %),0,0,0,0,4888900,0.11
12/05/2011,0,0,8(2.56 %),0,0,0,0,4888900,0.11
13/05/2011,0,0,7.9(-1.25 %),0,0,0,0,4888900,0.11
16/05/2011,0,0,7.8(-1.27 %),0,0,0,0,4888900,0.11
17/05/2011,0,0,7.5(-3.85 %),0,0,0,0,4888900,0.11
18/05/2011,0,0,7.2(-4.00 %),0,0,0,0,4888900,0.11
19/05/2011,0,0,6.9(-4.17 %),0,0,0,0,4888900,0.11
20/05/2011,0,0,6.6(-4.35 %),0,0,0,0,4888900,0.11
23/05/2011,0,0,6.6(0.00 %),0,0,0,0,4888900,0.11
24/05/2011,0,0,6.4(-3.03 %),0,0,0,0,4888900,0.11
