Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
04/04/2025,4.6,4.6,0(0.00 %),48400,172420000,0,0,4.0,4.6,3.4
08/04/2025,3.6,3.6,0(0.00 %),149,541300,0,0,3.6,3.6,3.6
09/04/2025,4.1,4.1,0.5(13.89 %),2400,8930000,0,0,3.6,4.1,3.1
10/04/2025,4.2,4.2,0.5(13.51 %),1000,4200000,0,0,4.2,4.2,4.2
11/04/2025,4.8,4.8,0.6(14.29 %),9703,44714400,0,0,4.3,4.8,4.2
14/04/2025,5.0,5.0,0.4(8.70 %),200,1010000,0,0,5.1,5.1,5.0
15/04/2025,4.9,4.9,-0.2(-3.92 %),200,980000,0,0,4.9,4.9,4.9
16/04/2025,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
17/04/2025,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
18/04/2025,4.7,4.7,-0.2(-4.08 %),3400,15980000,0,0,4.7,4.7,4.7
21/04/2025,4.7,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
22/04/2025,4.7,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
23/04/2025,4.0,4.0,-0.7(-14.89 %),6206,25554000,0,0,4.6,4.6,4.0
24/04/2025,4.0,4.0,-0.1(-2.44 %),10,40000,0,0,4.1,4.1,4.1
25/04/2025,4.1,4.1,0(0.00 %),367,1344500,0,0,4.1,4.1,4.1
28/04/2025,3.7,3.7,-0.4(-9.76 %),15900,58830000,0,0,3.7,3.7,3.7
29/04/2025,4.2,4.2,0.5(13.51 %),400,1680000,0,0,4.2,4.2,4.2
05/05/2025,4.3,4.3,0.1(2.38 %),300,1290000,0,0,4.3,4.3,4.3
06/05/2025,4.0,4.0,-0.3(-6.98 %),7100,28100000,0,0,3.9,4.3,3.9
07/05/2025,4.5,4.5,0.5(12.50 %),4200,18500000,0,0,4.5,4.5,4.4
08/05/2025,4.7,4.7,0.3(6.82 %),900,4140000,0,0,4.8,4.8,4.5
09/05/2025,5.2,5.2,0.6(13.04 %),2300,9450000,0,0,5.2,5.2,4.0
12/05/2025,4.7,4.7,0.6(14.63 %),100,470000,0,0,4.7,4.7,4.7
