Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
04/06/2010,17.49,31.1,3.1(11.07 %),958770,30686377000,0,0,32.9,32.9,31.0
07/06/2010,16.93,30.1,-1(-3.22 %),174100,5243000000,0,0,30.1,30.9,30.0
08/06/2010,17.21,30.6,0.5(1.66 %),296830,9108518000,0,0,31.6,31.6,30.0
09/06/2010,16.93,30.1,-0.5(-1.63 %),270660,8230370000,0,0,30.6,30.7,30.0
10/06/2010,16.31,29.0,-1.1(-3.65 %),171510,4995045000,0,0,29.4,30.0,28.7
11/06/2010,16.08,28.6,-0.4(-1.38 %),207730,5996494000,0,0,29.4,29.4,28.5
14/06/2010,16.59,29.5,0.9(3.15 %),264930,7746507000,80000,2400000000,28.6,30.0,28.6
15/06/2010,16.31,29.0,-0.5(-1.69 %),153920,4484483000,0,0,29.9,29.9,28.9
16/06/2010,16.59,29.5,0.5(1.72 %),225880,6649713000,0,0,29.0,29.8,29.0
17/06/2010,16.42,29.2,-0.3(-1.02 %),171440,5046014000,84000,2368800000,29.5,29.6,29.2
18/06/2010,16.25,28.9,-0.3(-1.03 %),121420,3512067000,0,0,29.2,29.2,28.6
21/06/2010,16.25,28.9,0(0.00 %),200230,5800010000,0,0,29.0,29.1,28.9
22/06/2010,16.17,23.0,-0.1(-0.43 %),195110,4525679000,80000,1936000000,23.0,23.6,22.9
23/06/2010,16.17,23.0,0(0.00 %),42650,976013000,0,0,22.5,23.8,22.5
24/06/2010,16.94,24.1,1.1(4.78 %),396740,9489754000,0,0,23.5,24.1,23.3
25/06/2010,16.94,24.1,0(0.00 %),266630,6481549000,0,0,24.0,25.0,23.9
28/06/2010,16.87,24.0,-0.1(-0.41 %),148950,3582161000,0,0,24.2,24.2,23.9
29/06/2010,16.73,23.8,-0.2(-0.83 %),136270,3262033000,0,0,24.0,24.3,23.8
30/06/2010,16.03,22.8,-1(-4.20 %),324040,7438452000,80000,1992000000,23.2,23.3,22.7
01/07/2010,15.74,22.4,-0.4(-1.75 %),264470,5931013000,0,0,22.6,23.0,22.3
02/07/2010,16.1,22.9,0.5(2.23 %),91600,2069516000,0,0,23.2,23.2,22.2
