Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
25/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
26/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
27/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
30/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
31/10/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
01/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
02/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
03/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
06/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
09/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
10/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
13/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
14/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
15/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
16/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
17/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
20/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
21/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
22/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
27/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
28/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
29/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
30/11/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
01/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
04/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
05/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
06/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
12/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
13/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
14/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
15/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
18/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
19/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
20/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
21/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
22/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
25/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
26/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
27/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
28/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
29/12/2017,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
02/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
03/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
04/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
05/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
09/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
10/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
12/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
15/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
16/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
17/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
18/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
19/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
22/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
23/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
24/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
25/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
26/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
29/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
30/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
31/01/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
01/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
02/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
05/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
06/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
08/02/2018,1.42,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
09/02/2018,1.99,21.0,6(40.00 %),100,2100000,0,0,21.0,21.0,21.0
12/02/2018,1.99,21.0,0(0.00 %),0,0,3900,69810000,21.0,21.0,21.0
13/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
21/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
22/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
23/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
26/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
27/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
28/02/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
01/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
02/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
05/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
06/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
07/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
08/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
09/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
12/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
13/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
14/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
15/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
16/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
19/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
20/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
21/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
22/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
23/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
26/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
27/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
28/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
29/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
30/03/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
02/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
03/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
04/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
05/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
06/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
09/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
10/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
11/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
12/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
13/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
16/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
17/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
18/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
19/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
20/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
23/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
24/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
26/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
27/04/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
02/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
03/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
04/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
07/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
08/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
09/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
10/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
11/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
14/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
15/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
16/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
17/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
18/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
21/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
22/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
23/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
24/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
25/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
28/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
29/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
30/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
31/05/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
01/06/2018,1.99,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
