Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
09/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
10/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
11/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
12/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
13/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
16/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
17/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
18/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
19/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
20/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
23/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
24/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
25/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
26/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
27/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
30/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
31/05/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
01/06/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
02/06/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
03/06/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
06/06/2016,11.8,11.8,0(0.00 %),0,0,0,0,11.8,11.8,11.8
