Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
FIR,16/01/2023,0,500,0,23900000
FIR,31/03/2023,0,200,0,8440000
FIR,17/04/2023,400000,0,16300000000,0
FIR,18/04/2023,291000,0,11698200000,0
FIR,19/04/2023,0,108000,0,4919400000
FIR,20/04/2023,0,74000,0,3355900000
FIR,25/04/2023,0,45000,0,2031750000
FIR,26/04/2023,0,67000,0,2981500000
FIR,27/04/2023,0,32000,0,1412800000
FIR,28/04/2023,0,99000,0,4425300000
FIR,04/05/2023,0,38000,0,1723300000
FIR,05/05/2023,0,228000,0,10237200000
FIR,09/06/2023,128000,0,5094400000,0
FIR,12/06/2023,230000,0,9292000000,0
FIR,13/06/2023,200000,0,8080000000,0
FIR,14/06/2023,400000,0,15220000000,0
FIR,15/06/2023,800000,0,31680000000,0
FIR,16/06/2023,200000,0,7920000000,0
FIR,19/06/2023,169100,0,6222880000,0
FIR,20/06/2023,160000,0,6128000000,0
FIR,21/06/2023,200000,0,7720000000,0
FIR,27/06/2023,0,169100,0,5647940000
FIR,13/07/2023,300000,0,8670000000,0
FIR,28/08/2023,0,33820,0,833663000
FIR,06/09/2023,0,4900,0,123970000
FIR,11/10/2023,0,230900,0,6003400000
FIR,17/10/2023,0,1107000,0,26733600000
FIR,19/10/2023,0,1743700,0,40802580000
FIR,06/12/2023,953700,0,18024930000,0
FIR,07/12/2023,236000,0,4672800000,0
FIR,08/12/2023,0,230000,0,5163500000
FIR,15/12/2023,193000,0,3657350000,0
FIR,03/01/2024,0,1152700,0,22708190000
FIR,06/08/2025,0,470,0,4266000
